CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX,SEASON,LAMBDA0
2,13160084,2024-01-01 03:50:00,Московская,"МОСК, ШЧ-34","1шт ч(к учету 0,32ч)",,,Нарушение контакта штепсель/рельс,CSH,2024,1.0,"0,32ч",,,,,0 days 00:00:00,0.0,0.0,1,0.0,Зима,0.0016700299213694
2,13160498,2024-01-01 23:20:00,Московская,"МОСК, ИЧ-2 ЛЬГОВСКАЯ Ш","1шт ч(к учету 0,98ч)",,,Короткое замыкание в кабеле линий СЦБ напряжением до 1000 В,CSH,2024,1.0,"0,98ч",,,,,0 days 19:30:00,1170.0,1170.0,2,0.0011792452830188,Зима,0.0016700299213694
2,13161150,2024-01-02 19:53:00,Московская,"МОСК, ШЧ-8","5шт ч(к учету 2,13ч)",,,Обрыв жил контрольного кабеля линий СЦБ,CSH,2024,5.0,"2,13ч",,,,,1 days 16:03:00,2403.0,1233.0,3,0.0023584905660377,Зима,0.0016700299213694
2,13161210,2024-01-02 20:12:00,Московская,"МОСК, ИЧ-3 ПЛЕХАНОВСКАЯ Ш","2шт ч(к учету 0,67ч)",,,"Внутренний монтаж, обрыв монтажного провода",CSH,2024,2.0,"0,67ч",,,,,1 days 16:22:00,2422.0,19.0,4,0.0035377358490566,Зима,0.0016700299213694
2,13161176,2024-01-02 20:51:00,Московская,"МОСК, ШЧ-32",,"1шт ч(к учету 0,15ч)",,Неисправность монтажа,CSH,2024,,,1.0,"0,15ч",,,1 days 17:01:00,2461.0,39.0,5,0.0047169811320754,Зима,0.0016700299213694
2,13161403,2024-01-03 04:45:00,Московская,"МОСК, ШЧ-21",,"1шт ч(к учету 0,12ч)","1шт ч(к учету 0,1)ч","Разрегулировка воронки, муфты линии СЦБ напряжением до 1000 В",CSH,2024,,,1.0,"0,12ч",1.0,"0,1ч",2 days 00:55:00,2935.0,474.0,6,0.0058962264150943,Зима,0.0016700299213694
2,13161515,2024-01-03 06:14:00,Московская,"МОСК, ШЧ-24",,"2шт ч(к учету 0,28ч)",,Излом провода под гайкой,CSH,2024,,,2.0,"0,28ч",,,2 days 02:24:00,3024.0,89.0,7,0.0070754716981132,Зима,0.0016700299213694
1,13161925,2024-01-03 11:00:00,Московская,"МОСК, ШЧ-34","1шт ч(к учету 1,55ч)",,,Обрыв жил контрольного кабеля линий СЦБ,CSH,2024,1.0,"1,55ч",,,,,2 days 07:10:00,3310.0,286.0,8,0.008254716981132,Зима,0.0016700299213694
3,13164250,2024-01-03 22:50:00,Московская,"МОСК, ШЧ-34",,,,"Трансформатор, обрыв обмотки",CSH,2024,,,,,,,2 days 19:00:00,4020.0,710.0,9,0.0094339622641509,Зима,0.0016700299213694
2,13165754,2024-01-04 08:40:00,Московская,"МОСК, ШЧ-10",,,"2шт ч(к учету 0,27)ч","Внутренний монтаж, обрыв",CSH,2024,,,,,2.0,"0,27ч",3 days 04:50:00,4610.0,590.0,10,0.0106132075471698,Зима,0.0016700299213694
1,13165998,2024-01-04 19:14:00,Московская,"МОСК, ШЧ-4","1шт ч(к учету 0,58ч)","10шт (к учету 9) ч(к учету 2,83ч)","27шт ч(к учету 8,98)ч","Нарушение контакта в штепсельных розетках, неисправность контактных губок",CSH,2024,1.0,"0,58ч",9.0,"2,83ч",27.0,"8,98ч",3 days 15:24:00,5244.0,634.0,11,0.0117924528301886,Зима,0.0016700299213694
2,13166146,2024-01-04 20:44:00,Московская,"МОСК, ШЧ-32",,"1шт ч(к учету 0,22ч)",,"Жилы, сообщение",CSH,2024,,,1.0,"0,22ч",,,3 days 16:54:00,5334.0,90.0,12,0.0129716981132075,Зима,0.0016700299213694
3,13166145,2024-01-04 21:33:00,Московская,"МОСК, ТЧЭ-5",,,,Прочая неисправность тифона,CT,2024,,,,,,,3 days 17:43:00,5383.0,49.0,13,0.0141509433962264,Зима,0.0016700299213694
2,13166178,2024-01-04 23:06:00,Московская,"МОСК, ШЧ-5","1шт ч(к учету 0,27ч)",,,"Контактная система, потеря контакта",CSH,2024,1.0,"0,27ч",,,,,3 days 19:16:00,5476.0,93.0,14,0.0153301886792452,Зима,0.0016700299213694
3,13166200,2024-01-04 23:28:00,Московская,"МОСК, ШЧ-35",,,,"Контактная система, сваривание",CSH,2024,,,,,,,3 days 19:38:00,5498.0,22.0,15,0.0165094339622641,Зима,0.0016700299213694
3,13166177,2024-01-04 23:30:00,Московская,"МОСК, ШЧ-10",,,,"Лампы, перегорание основной нити",CSH,2024,,,,,,,3 days 19:40:00,5500.0,2.0,16,0.017688679245283,Зима,0.0016700299213694
3,13166336,2024-01-05 09:46:00,Московская,"МОСК, ШЧ-28",,,,"Автопереключатель, разрегулировка контактов",CSH,2024,,,,,,,4 days 05:56:00,6116.0,616.0,17,0.0188679245283018,Зима,0.0016700299213694
3,13166357,2024-01-05 15:43:00,Московская,"МОСК, ШЧ-15",,,,Отсутствие,CSH,2024,,,,,,,4 days 11:53:00,6473.0,357.0,18,0.0200471698113207,Зима,0.0016700299213694
2,13166355,2024-01-05 15:50:00,Московская,"МОСК, ШЧ-28",,"1шт ч(к учету 0,18ч)",,"Контактная система, увеличенное сопротивление контакта",CSH,2024,,,1.0,"0,18ч",,,4 days 12:00:00,6480.0,7.0,19,0.0212264150943396,Зима,0.0016700299213694
2,13166429,2024-01-06 03:52:00,Московская,"МОСК, ШТЦ МОСК ДИ","2шт ч(к учету 0,67ч)","3шт ч(к учету 0,35ч)","9шт ч(к учету 1,2)ч","Конденсатор, обрыв",CSH,2024,2.0,"0,67ч",3.0,"0,35ч",9.0,"1,2ч",5 days 00:02:00,7202.0,722.0,20,0.0224056603773584,Зима,0.0016700299213694
2,13166425,2024-01-06 05:17:00,Московская,"МОСК, ШЧ-24",,"3шт ч(к учету 0,57ч)",,"Конденсатор, снижение емкости",CSH,2024,,,3.0,"0,57ч",,,5 days 01:27:00,7287.0,85.0,21,0.0235849056603773,Зима,0.0016700299213694
1,13166460,2024-01-06 10:21:00,Московская,"МОСК, ШЧ-8","1шт ч(к учету 1,57ч)","1шт ч(к учету 0,13ч)",,Разъединение стрелочных остряков с тягами,CSH,2024,1.0,"1,57ч",1.0,"0,13ч",,,5 days 06:31:00,7591.0,304.0,22,0.0247641509433962,Зима,0.0016700299213694
3,13166487,2024-01-06 14:15:00,Московская,"МОСК, ШЧ-34",,,,Зависание ПО,CSH,2024,,,,,,,5 days 10:25:00,7825.0,234.0,23,0.025943396226415,Зима,0.0016700299213694
2,13166607,2024-01-06 20:53:00,Московская,"МОСК, ШЧ-32","1шт ч(к учету 0,37ч)","1шт ч(к учету 0,33ч)",,Понижение сопротивления изоляции,CSH,2024,1.0,"0,37ч",1.0,"0,33ч",,,5 days 17:03:00,8223.0,398.0,24,0.0271226415094339,Зима,0.0016700299213694
3,13166655,2024-01-06 21:02:00,Московская,"МОСК, ШЧ-26",,,,Нарушение контакта,CSH,2024,,,,,,,5 days 17:12:00,8232.0,9.0,25,0.0283018867924528,Зима,0.0016700299213694
