CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX,SEASON,LAMBDA0
2,13160143,2024-01-01 07:21:00,Северо-Кавказская,"С-КАВ, ШЧ-12",,"1шт ч(к учету 0,2ч)",,"Основная обмотка, обрыв",CSH,2024,,,1.0,"0,2ч",,,0 days 00:00:00,0.0,0.0,1,0.0,Зима,0.0013884256494186
2,13160290,2024-01-01 11:22:00,Северо-Кавказская,"С-КАВ, ШЧ-4 (Э)",,,"3шт (к учету 2) ч(к учету 0,37)ч","Нарушение контакта в разъемах блоков, неисправность контактных губок",CSH,2024,,,,,2.0,"0,37ч",0 days 04:01:00,241.0,241.0,2,0.0013586956521739,Зима,0.0013884256494186
3,13160614,2024-01-02 04:49:00,Северо-Кавказская,"С-КАВ, ВЧДЭ-5 БАТАЙСК",,,,Другие причины,CV,2024,,,,,,,0 days 21:28:00,1288.0,1047.0,3,0.0027173913043478,Зима,0.0013884256494186
3,13165345,2024-01-02 13:03:00,Северо-Кавказская,"С-КАВ, ШЧ-14",,,,"Нарушение контакта в штепсельных розетках, неисправность контактных губок",CSH,2024,,,,,,,1 days 05:42:00,1782.0,494.0,4,0.0040760869565217,Зима,0.0013884256494186
3,13161177,2024-01-02 19:25:00,Северо-Кавказская,"С-КАВ, ШЧ-12",,,,Понижение сопротивления изоляции,CSH,2024,,,,,,,1 days 12:04:00,2164.0,382.0,5,0.0054347826086956,Зима,0.0013884256494186
3,13161211,2024-01-02 21:20:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,"Обрыв троса, коррозия металла",CSH,2024,,,,,,,1 days 13:59:00,2279.0,115.0,6,0.0067934782608695,Зима,0.0013884256494186
3,13161549,2024-01-03 07:09:00,Северо-Кавказская,"С-КАВ, ШЧ-9",,,,Потеря контакта на посту,CSH,2024,,,,,,,1 days 23:48:00,2868.0,589.0,7,0.0081521739130434,Зима,0.0013884256494186
2,13193741,2024-01-05 02:00:00,Северо-Кавказская,"С-КАВ, ШЧ-2",,"1шт ч(к учету 0,2ч)",,"Кнопки, механическое заедание кнопки",CSH,2024,,,1.0,"0,2ч",,,3 days 18:39:00,5439.0,2571.0,8,0.0095108695652173,Зима,0.0013884256494186
2,13166078,2024-01-06 11:33:00,Северо-Кавказская,"С-КАВ, ШЧ-2",,"2шт ч(к учету 0,28ч)","1шт ч(к учету 0,1)ч",Неисправность ПО АРМ,CSH,2024,,,2.0,"0,28ч",1.0,"0,1ч",5 days 04:12:00,7452.0,2013.0,9,0.0108695652173913,Зима,0.0013884256494186
3,13166345,2024-01-06 14:57:00,Северо-Кавказская,"С-КАВ, ШЧ-7",,,,"Обрыв, коррозия металла",CSH,2024,,,,,,,5 days 07:36:00,7656.0,204.0,10,0.0122282608695652,Зима,0.0013884256494186
3,13167398,2024-01-07 17:48:00,Северо-Кавказская,"С-КАВ, ШЧ-19",,,,"Жилы, обрыв",CSH,2024,,,,,,,6 days 10:27:00,9267.0,1611.0,11,0.0135869565217391,Зима,0.0013884256494186
2,13169413,2024-01-09 11:49:00,Северо-Кавказская,"С-КАВ, ШЧ-8 (Р)","1шт ч(к учету 0,18ч)","1шт ч(к учету 0,23ч)",,"Конденсатор, снижение емкости",CSH,2024,1.0,"0,18ч",1.0,"0,23ч",,,8 days 04:28:00,11788.0,2521.0,12,0.014945652173913,Зима,0.0013884256494186
3,13170749,2024-01-09 21:01:00,Северо-Кавказская,"С-КАВ, ШЧ-5 (Р)",,,,"Реле напряжений, нарушение контакта",CSH,2024,,,,,,,8 days 13:40:00,12340.0,552.0,13,0.0163043478260869,Зима,0.0013884256494186
3,13176002,2024-01-12 05:09:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,"Обрыв, коррозия металла",CSH,2024,,,,,,,10 days 21:48:00,15708.0,3368.0,14,0.0176630434782608,Зима,0.0013884256494186
3,13177608,2024-01-12 15:22:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,"Контрольные линейки, ослабление крепления",CSH,2024,,,,,,,11 days 08:01:00,16321.0,613.0,15,0.0190217391304347,Зима,0.0013884256494186
2,13177903,2024-01-12 19:55:00,Северо-Кавказская,"С-КАВ, ШЧ-3 (Р)",,"3шт ч(к учету 0,4ч)","2шт ч(к учету 0,5)ч",Отсутствие,CSH,2024,,,3.0,"0,4ч",2.0,"0,5ч",11 days 12:34:00,16594.0,273.0,16,0.0203804347826086,Зима,0.0013884256494186
3,13178149,2024-01-13 04:46:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,"Обрыв, коррозия металла",CSH,2024,,,,,,,11 days 21:25:00,17125.0,531.0,17,0.0217391304347826,Зима,0.0013884256494186
3,13203563,2024-01-13 11:45:00,Северо-Кавказская,"С-КАВ, ШЧ-2",,,"1шт ч(к учету 0,03)ч",Неисправность аппаратной части АРМ,CSH,2024,,,,,1.0,"0,03ч",12 days 04:24:00,17544.0,419.0,18,0.0230978260869565,Зима,0.0013884256494186
3,13182196,2024-01-13 13:45:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,Нарушение контакта штепсель/рельс,CSH,2024,,,,,,,12 days 06:24:00,17664.0,120.0,19,0.0244565217391304,Зима,0.0013884256494186
3,13178593,2024-01-13 14:25:00,Северо-Кавказская,"С-КАВ, ШЧ-2",,,"1шт ч(к учету 0,02)ч","Клеммные колодки, неисправность",CSH,2024,,,,,1.0,"0,02ч",12 days 07:04:00,17704.0,40.0,20,0.0258152173913043,Зима,0.0013884256494186
3,13178711,2024-01-13 16:26:00,Северо-Кавказская,"С-КАВ, ШЧ-4 (Э)",,,,"Жилы, внутренний обрыв",CSH,2024,,,,,,,12 days 09:05:00,17825.0,121.0,21,0.0271739130434782,Зима,0.0013884256494186
3,13178883,2024-01-13 20:55:00,Северо-Кавказская,"С-КАВ, ШЧ-7",,,,"Конденсатор, короткое замыкание",CSH,2024,,,,,,,12 days 13:34:00,18094.0,269.0,22,0.0285326086956521,Зима,0.0013884256494186
2,13179164,2024-01-14 03:51:00,Северо-Кавказская,"С-КАВ, ШЧ-7",,"2шт ч(к учету 1,13ч)","1шт ч(к учету 0,13)ч","Тиратрон, обрыв",CSH,2024,,,2.0,"1,13ч",1.0,"0,13ч",12 days 20:30:00,18510.0,416.0,23,0.029891304347826,Зима,0.0013884256494186
3,13181782,2024-01-16 04:14:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,"Не срабатывание (не перегорание), нарушение контакта штепсельного разъема, ослабление крепления",CSH,2024,,,,,,,14 days 20:53:00,21413.0,2903.0,24,0.03125,Зима,0.0013884256494186
3,13185190,2024-01-16 08:19:00,Северо-Кавказская,"С-КАВ, ШЧ-3 (Р)",,,,"Контактная система, потеря контакта",CSH,2024,,,,,,,15 days 00:58:00,21658.0,245.0,25,0.0326086956521739,Зима,0.0013884256494186
3,13182276,2024-01-16 10:18:00,Северо-Кавказская,"С-КАВ, ШЧ-4 (Э)",,,,"Автопереключатель, излом контактных колодок",CSH,2024,,,,,,,15 days 02:57:00,21777.0,119.0,26,0.0339673913043478,Зима,0.0013884256494186
3,13185446,2024-01-16 20:21:00,Северо-Кавказская,"С-КАВ, ШЧ-5 (Р)",,,,"Внутренний монтаж, обрыв",CSH,2024,,,,,,,15 days 13:00:00,22380.0,603.0,27,0.0353260869565217,Зима,0.0013884256494186
3,13185401,2024-01-16 23:33:00,Северо-Кавказская,"С-КАВ, ШЧ-12",,,,Неисправность устройства сопряжения с объектами,CSH,2024,,,,,,,15 days 16:12:00,22572.0,192.0,28,0.0366847826086956,Зима,0.0013884256494186
3,13183220,2024-01-17 05:09:00,Северо-Кавказская,"С-КАВ, ШЧ-19",,,"1шт ч(к учету 0,02)ч","Срабатывание (перегорание), воздействие тягового тока",CSH,2024,,,,,1.0,"0,02ч",15 days 21:48:00,22908.0,336.0,29,0.0380434782608695,Зима,0.0013884256494186
3,13183919,2024-01-17 09:45:00,Северо-Кавказская,"С-КАВ, ИЧ-3 СТАВРОПОЛЬ Ш",,,,Нарушение контакта трос/наконечник,CSH,2024,,,,,,,16 days 02:24:00,23184.0,276.0,30,0.0394021739130434,Зима,0.0013884256494186
3,13185425,2024-01-17 18:35:00,Северо-Кавказская,"С-КАВ, ШЧ-8 (Р)",,,,"Контактная система, увеличенное сопротивление",CSH,2024,,,,,,,16 days 11:14:00,23714.0,530.0,31,0.0407608695652173,Зима,0.0013884256494186
3,13185451,2024-01-17 19:36:00,Северо-Кавказская,"С-КАВ, ШЧ-12",,,,"Срабатывание (перегорание), воздействие тягового тока",CSH,2024,,,,,,,16 days 12:15:00,23775.0,61.0,32,0.0421195652173913,Зима,0.0013884256494186
3,13185555,2024-01-18 06:31:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,"Нарушение контакта в разъемах блоков, излом розеток",CSH,2024,,,,,,,16 days 23:10:00,24430.0,655.0,33,0.0434782608695652,Зима,0.0013884256494186
3,13184965,2024-01-18 10:26:00,Северо-Кавказская,"С-КАВ, ШЧ-8 (Р)",,,,"Контактная система, увеличенное сопротивление контакта",CSH,2024,,,,,,,17 days 03:05:00,24665.0,235.0,34,0.0448369565217391,Зима,0.0013884256494186
3,13185507,2024-01-18 18:20:00,Северо-Кавказская,"С-КАВ, ШЧ-12",,,,Нарушение контакта трос/штепсель,CSH,2024,,,,,,,17 days 10:59:00,25139.0,474.0,35,0.046195652173913,Зима,0.0013884256494186
3,13185814,2024-01-19 04:25:00,Северо-Кавказская,"С-КАВ, ШЧ-15 (Р)",,,,"Контактная система, потеря контакта",CSH,2024,,,,,,,17 days 21:04:00,25744.0,605.0,36,0.0475543478260869,Зима,0.0013884256494186
3,13186209,2024-01-19 09:51:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,"Жилы, внутренний обрыв",CSH,2024,,,,,,,18 days 02:30:00,26070.0,326.0,37,0.0489130434782608,Зима,0.0013884256494186
3,13186679,2024-01-19 09:56:00,Северо-Кавказская,"С-КАВ, ШЧ-3 (Р)",,,,"Транзистор, пробой",CSH,2024,,,,,,,18 days 02:35:00,26075.0,5.0,38,0.0502717391304347,Зима,0.0013884256494186
3,13191510,2024-01-19 22:36:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,"Срабатывание, воздействие тягового тока",CSH,2024,,,,,,,18 days 15:15:00,26835.0,760.0,39,0.0516304347826086,Зима,0.0013884256494186
3,13187259,2024-01-20 07:25:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,"Нарушение контакта в разъемах блоков, замятие контакта",CSH,2024,,,,,,,19 days 00:04:00,27364.0,529.0,40,0.0529891304347826,Зима,0.0013884256494186
3,13188903,2024-01-22 01:47:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,"Ламподержатель, нарушение контакта",CSH,2024,,,,,,,20 days 18:26:00,29906.0,2542.0,41,0.0543478260869565,Зима,0.0013884256494186
3,13191743,2024-01-22 03:38:00,Северо-Кавказская,"С-КАВ, ШЧ-10",,,,"Лампы, перегорание основной нити",CSH,2024,,,,,,,20 days 20:17:00,30017.0,111.0,42,0.0557065217391304,Зима,0.0013884256494186
3,13191674,2024-01-22 21:32:00,Северо-Кавказская,"С-КАВ, ШЧ-14",,,,Нарушение контакта трос/наконечник,CSH,2024,,,,,,,21 days 14:11:00,31091.0,1074.0,43,0.0570652173913043,Зима,0.0013884256494186
3,13191816,2024-01-23 22:21:00,Северо-Кавказская,"С-КАВ, ШЧ-3 (Р)",,,,"Контактная система, потеря контакта",CSH,2024,,,,,,,22 days 15:00:00,32580.0,1489.0,44,0.0584239130434782,Зима,0.0013884256494186
3,13192950,2024-01-24 15:10:00,Северо-Кавказская,"С-КАВ, ШЧ-2",,,,"Нарушение контакта в штепсельных розетках, неисправность контактных губок",CSH,2024,,,,,,,23 days 07:49:00,33589.0,1009.0,45,0.0597826086956521,Зима,0.0013884256494186
3,13193576,2024-01-25 05:14:00,Северо-Кавказская,"С-КАВ, ШЧ-9",,,,"Конденсатор, снижение емкости",CSH,2024,,,,,,,23 days 21:53:00,34433.0,844.0,46,0.061141304347826,Зима,0.0013884256494186
