CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX,SEASON,LAMBDA0
3,13160423,2024-01-01 19:27:00,Южно-Уральская,"Ю-УР, ИЧ Ю-УР Ш",,,,"Резистор, обрыв",CSH,2024,,,,,,,0 days 00:00:00,0.0,0.0,1,0.0,Зима,0.0006334806240957
2,13161187,2024-01-02 20:55:00,Южно-Уральская,"Ю-УР, ШЧ-4 (Э)",,"1шт ч(к учету 0,13ч)",,Сбой АЛС с задержкой поезда,CSH,2024,,,1.0,"0,13ч",,,1 days 01:28:00,1528.0,1528.0,2,0.0025445292620865,Зима,0.0006334806240957
3,13161746,2024-01-03 08:07:00,Южно-Уральская,"Ю-УР, ШЧ-14 (Э)",,,,"Контактная система, увеличенное сопротивление контакта",CSH,2024,,,,,,,1 days 12:40:00,2200.0,672.0,3,0.005089058524173,Зима,0.0006334806240957
3,13163787,2024-01-04 15:46:00,Южно-Уральская,"Ю-УР, ШЧ-13 (Р)",,,,"Лампы, перегорание основной нити",CSH,2024,,,,,,,2 days 20:19:00,4099.0,1899.0,4,0.0076335877862595,Зима,0.0006334806240957
3,13171090,2024-01-10 09:53:00,Южно-Уральская,"Ю-УР, ШЧ-6 (Э)",,,,Пережог плавкой вставки предохранителя линии СЦБ,CSH,2024,,,,,,,8 days 14:26:00,12386.0,8287.0,5,0.010178117048346,Зима,0.0006334806240957
3,13172934,2024-01-10 23:46:00,Южно-Уральская,"Ю-УР, ВЧДЭ-1 ЧЕЛЯБИНСК",,,,"Неисправности роликов (шелушение, намины, раковины, трещины и др.)",CV,2024,,,,,,,9 days 04:19:00,13219.0,833.0,6,0.0127226463104325,Зима,0.0006334806240957
3,13175463,2024-01-11 16:58:00,Южно-Уральская,"Ю-УР, ШЧ-13 (Р)",,,,"Контактная система, потеря контакта",CSH,2024,,,,,,,9 days 21:31:00,14251.0,1032.0,7,0.015267175572519,Зима,0.0006334806240957
3,13175427,2024-01-11 17:00:00,Южно-Уральская,"Ю-УР, ШЧ-10 (Р)",,,,Неисправность петель связи,CSH,2024,,,,,,,9 days 21:33:00,14253.0,2.0,8,0.0178117048346055,Зима,0.0006334806240957
3,13181174,2024-01-15 13:50:00,Южно-Уральская,"Ю-УР, ВЧДЭ-2 ОРЕНБУРГ",,,,Неисправность тормозного цилиндра грузового вагона,CV,2024,,,,,,,13 days 18:23:00,19823.0,5570.0,9,0.0203562340966921,Зима,0.0006334806240957
3,13182970,2024-01-16 21:14:00,Южно-Уральская,"Ю-УР, ВЧДЭ-1 ЧЕЛЯБИНСК",,,,Повреждение/трещина корпуса резьбового тройника,CV,2024,,,,,,,15 days 01:47:00,21707.0,1884.0,10,0.0229007633587786,Зима,0.0006334806240957
3,13185165,2024-01-17 09:29:00,Южно-Уральская,"З-СИБ, ВЧДЭ-12 ВХОДНАЯ",,,,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы,CV,2024,,,,,,,15 days 14:02:00,22442.0,735.0,11,0.0254452926208651,Зима,0.0006334806240957
3,13186516,2024-01-19 07:18:00,Южно-Уральская,"Ю-УР, ТЧЭ-5",,,,Прочая неисправность обшивки корпуса кузова локомотива,CT,2024,,,,,,,17 days 11:51:00,25191.0,2749.0,12,0.0279898218829516,Зима,0.0006334806240957
2,13186355,2024-01-19 11:08:00,Южно-Уральская,"Ю-УР, ШЧ-5 (Э)","1шт ч(к учету 0,42ч)",,,Обрыв монтажного провода,CSH,2024,1.0,"0,42ч",,,,,17 days 15:41:00,25421.0,230.0,13,0.0305343511450381,Зима,0.0006334806240957
3,13187674,2024-01-20 13:05:00,Южно-Уральская,"Ю-УР, ВЧДЭ-1 ЧЕЛЯБИНСК",,,,Разрыв диафрагмы клапана мягкости,CV,2024,,,,,,,18 days 17:38:00,26978.0,1557.0,14,0.0330788804071246,Зима,0.0006334806240957
3,13191155,2024-01-21 22:43:00,Южно-Уральская,"КРАС, ВЧДЭ-8 АБАКАН",,,,Тонкий гребень колеса грузового вагона,CV,2024,,,,,,,20 days 03:16:00,28996.0,2018.0,15,0.0356234096692111,Зима,0.0006334806240957
