CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR,SOURCE_YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX,SEASON,SEASON_INDEX,MONTH,LAMBDA_FITTER,LAMBDA_MONTH,ENTITY_TYPE
,2025-01-01 15:30:38.051248560,,CV,2025,2024,0 days 00:00:00,0.0,0.0,0.0,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-02 00:59:18.497006322,,CV,2025,2024,0 days 09:28:40.445757762,568.6740959627,568.6740959627,0.0007867820613690008,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-02 11:21:20.660847516,,CV,2025,2024,0 days 19:50:42.609598956,1190.7101599825999,622.0360640198999,0.0015735641227380016,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-02 11:54:54.018395460,,CV,2025,2024,0 days 20:24:15.967146900,1224.266119115,33.555959132400176,0.0023603461841070024,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-02 19:34:52.383865182,,CV,2025,2024,1 days 04:04:14.332616622,1684.2388769437,459.97275782869997,0.003147128245476003,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-03 13:57:07.140820056,,CV,2025,2024,1 days 22:26:29.089571496,2786.4848261916,1102.2459492479,0.003933910306845004,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-03 20:25:59.886857322,,CV,2025,2024,2 days 04:55:21.835608762,3175.3639268127,388.87910062109995,0.004720692368214005,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-04 01:15:38.101161066,,CV,2025,2024,2 days 09:45:00.049912506,3465.0008318750997,289.6369050623998,0.0055074744295830055,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-04 17:53:25.211136600,,CV,2025,2024,3 days 02:22:47.159888040,4462.785998134,997.7851662589001,0.006294256490952006,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-04 21:13:53.933159268,,CV,2025,2024,3 days 05:43:15.881910708,4663.2646985118,200.47870037780012,0.007081038552321007,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-05 02:27:15.866126676,,CV,2025,2024,3 days 10:56:37.814878116,4976.6302479686,313.3655494568002,0.007867820613690008,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-05 06:08:55.809999738,,CV,2025,2024,3 days 14:38:17.758751178,5198.2959791862995,221.66573121769943,0.00865460267505901,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-05 21:34:21.499498956,,CV,2025,2024,4 days 06:03:43.448250396,6123.7241375066,925.4281583203001,0.00944138473642801,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-05 22:01:28.450385064,,CV,2025,2024,4 days 06:30:50.399136504,6150.8399856084,27.11584810180011,0.010228166797797011,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-06 01:59:45.098249676,,CV,2025,2024,4 days 10:29:07.047001116,6389.1174500186,238.27746441020008,0.011014948859166011,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-06 08:37:42.563701200,,CV,2025,2024,4 days 17:07:04.512452640,6787.075207544,397.95775752539976,0.011801730920535013,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-06 17:35:35.747228250,,CV,2025,2024,5 days 02:04:57.695979690,7324.9615996615,537.8863921175007,0.012588512981904013,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-06 22:35:19.168251174,,CV,2025,2024,5 days 07:04:41.117002614,7624.6852833769,299.7236837153996,0.013375295043273014,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-07 12:16:18.867741072,,CV,2025,2024,5 days 20:45:40.816492512,8445.6802748752,820.9949914982999,0.014162077104642014,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-08 04:31:54.316616838,,CV,2025,2024,6 days 13:01:16.265368278,9421.2710894713,975.5908145961002,0.014948859166011016,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-08 04:54:41.111386344,,CV,2025,2024,6 days 13:24:03.060137784,9444.051002296399,22.779912825099018,0.015735641227380016,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-08 07:51:04.669030902,,CV,2025,2024,6 days 16:20:26.617782342,9620.4436297057,176.39262740930099,0.016522423288749016,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-08 07:59:12.715089282,,CV,2025,2024,6 days 16:28:34.663840722,9628.577730678699,8.134100972998567,0.01730920535011802,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-08 10:16:08.323715454,,CV,2025,2024,6 days 18:45:30.272466894,9765.5045411149,136.92681043620178,0.01809598741148702,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-08 14:39:53.642025252,,CV,2025,2024,6 days 23:09:15.590776692,10029.2598462782,263.75530516330036,0.01888276947285602,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-09 04:28:01.489828026,,CV,2025,2024,7 days 12:57:23.438579466,10857.390642991099,828.1307967128978,0.01966955153422502,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-09 15:10:17.844393000,,CV,2025,2024,7 days 23:39:39.793144440,11499.663219074,642.2725760829017,0.020456333595594022,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-09 15:57:01.962072359,,CV,2025,2024,8 days 00:26:23.910823799,11546.398513729982,46.735294655982216,0.021243115656963022,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-09 16:30:29.492887098,,CV,2025,2024,8 days 00:59:51.441638538,11579.8573606423,33.45884691231731,0.022029897718332022,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-09 21:35:23.336526096,,CV,2025,2024,8 days 06:04:45.285277536,11884.754754625601,304.8973939833013,0.022816679779701022,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-10 01:55:38.857464126,,CV,2025,2024,8 days 10:25:00.806215566,12145.0134369261,260.25868230049855,0.023603461841070025,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-10 03:41:47.295327876,,CV,2025,2024,8 days 12:11:09.244079316,12251.1540679886,106.14063106250069,0.024390243902439025,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-10 16:48:54.482279586,,CV,2025,2024,9 days 01:18:16.431031026,13038.273850517098,787.119782528498,0.025177025963808025,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-11 07:47:27.460317648,,CV,2025,2024,9 days 16:16:49.409069088,13936.823484484801,898.5496339677029,0.025963808025177025,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-11 10:43:59.306855076,,CV,2025,2024,9 days 19:13:21.255606516,14113.354260108601,176.53077562379985,0.02675059008654603,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-11 23:21:15.753668609,,CV,2025,2024,10 days 07:50:37.702420049,14870.628373667483,757.2741135588822,0.02753737214791503,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-12 02:07:15.154503480,,CV,2025,2024,10 days 10:36:37.103254920,15036.618387582,165.99001391451748,0.02832415420928403,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-12 09:44:39.742519062,,CV,2025,2024,10 days 18:14:01.691270502,15494.0281878417,457.4098002597002,0.029110936270653028,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-12 13:26:04.142140842,,CV,2025,2024,10 days 21:55:26.090892282,15715.434848204699,221.40666036299808,0.02989771833202203,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-12 14:10:52.733152626,,CV,2025,2024,10 days 22:40:14.681904066,15760.2446984011,44.809850196401385,0.03068450039339103,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-13 05:12:07.058218410,,CV,2025,2024,11 days 13:41:29.006969850,16661.4834494975,901.2387510963999,0.03147128245476003,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-13 08:39:31.817816508,,CV,2025,2024,11 days 17:08:53.766567948,16868.8961094658,207.41265996830043,0.03225806451612903,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-13 16:13:55.209216966,,CV,2025,2024,12 days 00:43:17.157968406,17323.285966140098,454.38985667429733,0.03304484657749803,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-13 18:50:42.269043012,,CV,2025,2024,12 days 03:20:04.217794452,17480.070296574202,156.78433043410405,0.03383162863886703,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-13 18:57:14.156262360,,CV,2025,2024,12 days 03:26:36.105013800,17486.601750230002,6.531453655799851,0.03461841070023604,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-13 19:33:32.403697908,,CV,2025,2024,12 days 04:02:54.352449348,17522.9058741558,36.304123925798194,0.03540519276160504,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-13 23:28:28.095343398,,CV,2025,2024,12 days 07:57:50.044094838,17757.8340682473,234.92819409149888,0.03619197482297404,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-14 06:09:44.324232570,,CV,2025,2024,12 days 14:39:06.272984010,18159.1045497335,401.2704814862009,0.03697875688434304,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-14 08:29:23.646386298,,CV,2025,2024,12 days 16:58:45.595137738,18298.7599189623,139.65536922879983,0.03776553894571204,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-14 15:16:49.494455214,,CV,2025,2024,12 days 23:46:11.443206654,18706.1907201109,407.43080114859913,0.03855232100708104,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-14 22:07:48.927770700,,CV,2025,2024,13 days 06:37:10.876522140,19117.181275369003,410.990555258104,0.03933910306845004,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-15 05:04:53.168549880,,CV,2025,2024,13 days 13:34:15.117301320,19534.251955022,417.07067965299575,0.04012588512981904,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-15 08:57:18.511750722,,CV,2025,2024,13 days 17:26:40.460502162,19766.674341702703,232.42238668070422,0.040912667191188044,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-15 23:01:31.575233285,,CV,2025,2024,14 days 07:30:53.523984725,20610.89206641208,844.2177247093787,0.041699449252557044,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-16 02:51:42.640232556,,CV,2025,2024,14 days 11:21:04.588983996,20841.0764830666,230.18441665451974,0.042486231313926044,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-16 06:16:43.609917336,,CV,2025,2024,14 days 14:46:05.558668776,21046.0926444796,205.01616141299746,0.043273013375295044,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-16 07:32:55.358051844,,CV,2025,2024,14 days 16:02:17.306803284,21122.2884467214,76.19580224180027,0.044059795436664044,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-16 09:38:54.382397274,,CV,2025,2024,14 days 18:08:16.331148714,21248.2721858119,125.98373909050133,0.044846577498033044,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-16 09:53:43.706211198,,CV,2025,2024,14 days 18:23:05.654962638,21263.0942493773,14.82206356539973,0.045633359559402044,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-16 15:37:42.128444430,,CV,2025,2024,15 days 00:07:04.077195870,21607.0679532645,343.9737038872008,0.046420141620771044,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-16 17:15:36.544075788,,CV,2025,2024,15 days 01:44:58.492827228,21704.9748804538,97.90692718929859,0.04720692368214005,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-16 19:19:51.902559414,,CV,2025,2024,15 days 03:49:13.851310854,21829.2308551809,124.25597472710069,0.04799370574350905,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-17 03:44:40.211664552,,CV,2025,2024,15 days 12:14:02.160415992,22334.0360069332,504.8051517522981,0.04878048780487805,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-17 06:00:28.619875332,,CV,2025,2024,15 days 14:29:50.568626772,22469.8428104462,135.8068035130018,0.04956726986624705,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-17 07:35:30.311962668,,CV,2025,2024,15 days 16:04:52.260714108,22564.8710119018,95.02820145559963,0.05035405192761605,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-17 08:38:57.773773050,,CV,2025,2024,15 days 17:08:19.722524490,22628.3287087415,63.457696839701384,0.05114083398898505,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-17 17:09:52.079861544,,CV,2025,2024,16 days 01:39:14.028612984,23139.233810216403,510.90510147490204,0.05192761605035405,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-17 17:57:28.257114816,,CV,2025,2024,16 days 02:26:50.205866256,23186.8367644376,47.60295422119816,0.05271439811172305,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-17 21:24:40.109365902,,CV,2025,2024,16 days 05:54:02.058117342,23394.0343019557,207.19753751809913,0.05350118017309206,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-18 01:26:57.613867152,,CV,2025,2024,16 days 09:56:19.562618592,23636.3260436432,242.29174168749887,0.05428796223446106,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-18 08:05:23.830071606,,CV,2025,2024,16 days 16:34:45.778823046,24034.7629803841,398.43693674090173,0.05507474429583006,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-18 13:49:08.130174684,,CV,2025,2024,16 days 22:18:30.078926124,24378.5013154354,343.7383350512973,0.05586152635719906,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-18 23:19:29.575402014,,CV,2025,2024,17 days 07:48:51.524153454,24948.8587358909,570.3574204555007,0.05664830841856806,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-18 23:35:10.851809388,,CV,2025,2024,17 days 08:04:32.800560828,24964.5466760138,15.687940122901637,0.057435090479937057,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-19 01:35:39.533489934,,CV,2025,2024,17 days 10:05:01.482241374,25085.0247040229,120.47802800909994,0.058221872541306056,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-19 03:28:17.146434402,,CV,2025,2024,17 days 11:57:39.095185842,25197.651586430697,112.62688240779607,0.059008654602675056,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-19 04:22:22.291358226,,CV,2025,2024,17 days 12:51:44.240109666,25251.7373351611,54.085748730401974,0.05979543666404406,Зима,1,1,0.0029184005929448,126.07490561521894,department
,2025-01-19 06:19:19.839053952,,CV,2025,2024,17 days 14:48:41.787805392,25368.6964634232,116.95912826210042,0.06058221872541306,Зима,1,1,0.0029184005929448,126.07490561521894,department
