CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR,SOURCE_YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX,SEASON,SEASON_INDEX,MONTH,LAMBDA_FITTER,LAMBDA_MONTH,ENTITY_TYPE
,2025-01-01 11:41:51.140683554,Дальневосточная,SYNTHETIC,2025,2024,0 days 00:00:00,0.0,0.0,0.0,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-02 08:51:03.091807938,Дальневосточная,SYNTHETIC,2025,2024,0 days 21:09:11.951124384,1269.1991854064,1269.1991854064,0.001272264631043257,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-02 12:02:32.350527215,Дальневосточная,SYNTHETIC,2025,2024,1 days 00:20:41.209843661,1460.6868307276832,191.48764532128325,0.002544529262086514,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-02 16:23:04.815788064,Дальневосточная,SYNTHETIC,2025,2024,1 days 04:41:13.675104510,1721.2279184084998,260.54108768081664,0.003816793893129771,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-03 00:49:30.074706102,Дальневосточная,SYNTHETIC,2025,2024,1 days 13:07:38.934022548,2227.6489003758,506.42098196730035,0.005089058524173028,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-03 03:25:47.123793084,Дальневосточная,SYNTHETIC,2025,2024,1 days 15:43:55.983109530,2383.9330518255,156.28415144969995,0.006361323155216285,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-03 21:41:38.057829360,Дальневосточная,SYNTHETIC,2025,2024,2 days 09:59:46.917145806,3479.7819524301,1095.8489006045997,0.007633587786259542,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-04 13:58:20.422580940,Дальневосточная,SYNTHETIC,2025,2024,3 days 02:16:29.281897386,4456.4880316231,976.7060791930003,0.008905852417302799,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-04 15:41:33.338438082,Дальневосточная,SYNTHETIC,2025,2024,3 days 03:59:42.197754528,4559.7032959088,103.21526428569996,0.010178117048346057,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-04 22:31:20.521965774,Дальневосточная,SYNTHETIC,2025,2024,3 days 10:49:29.381282220,4969.489688037001,409.78639212820053,0.011450381679389313,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-05 14:51:31.002180780,Дальневосточная,SYNTHETIC,2025,2024,4 days 03:09:39.861497226,5949.6643582871,980.1746702500996,0.01272264631043257,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-05 19:22:02.374759950,Дальневосточная,SYNTHETIC,2025,2024,4 days 07:40:11.234076396,6220.187234606599,270.5228763194991,0.013994910941475827,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-06 06:21:14.837944566,Дальневосточная,SYNTHETIC,2025,2024,4 days 18:39:23.697261012,6879.394954350199,659.2077197436001,0.015267175572519083,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-06 06:55:07.032698304,Дальневосточная,SYNTHETIC,2025,2024,4 days 19:13:15.892014750,6913.2648669125,33.86991256230067,0.01653944020356234,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-06 17:11:57.854289114,Дальневосточная,SYNTHETIC,2025,2024,5 days 05:30:06.713605560,7530.111893426,616.8470265135002,0.017811704834605598,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-06 19:00:51.979463136,Дальневосточная,SYNTHETIC,2025,2024,5 days 07:19:00.838779582,7639.0139796597,108.90208623370017,0.019083969465648856,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-07 14:28:05.180755302,Дальневосточная,SYNTHETIC,2025,2024,6 days 02:46:14.040071748,8806.234001195799,1167.220021536098,0.020356234096692113,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-07 19:16:50.193834642,Дальневосточная,SYNTHETIC,2025,2024,6 days 07:34:59.053151088,9094.984219184798,288.7502179889998,0.021628498727735368,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-07 22:54:13.774891410,Дальневосточная,SYNTHETIC,2025,2024,6 days 11:12:22.634207856,9312.3772367976,217.3930176128015,0.022900763358778626,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-08 19:02:42.603060546,Дальневосточная,SYNTHETIC,2025,2024,7 days 07:20:51.462376992,10520.8577062832,1208.4804694855993,0.024173027989821884,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-08 19:36:31.928123166,Дальневосточная,SYNTHETIC,2025,2024,7 days 07:54:40.787439612,10554.679790660199,33.822084376999555,0.02544529262086514,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-09 01:08:39.921057396,Дальневосточная,SYNTHETIC,2025,2024,7 days 13:26:48.780373842,10886.8130062307,332.1332155705004,0.026717557251908396,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-09 06:12:25.855535370,Дальневосточная,SYNTHETIC,2025,2024,7 days 18:30:34.714851816,11190.5785808636,303.7655746329001,0.027989821882951654,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-09 09:52:48.091538826,Дальневосточная,SYNTHETIC,2025,2024,7 days 22:10:56.950855272,11410.9491809212,220.3706000576003,0.029262086513994912,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-10 12:28:49.787899944,Дальневосточная,SYNTHETIC,2025,2024,9 days 00:46:58.647216390,13006.9774536065,1596.0282726853002,0.030534351145038167,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-11 03:42:41.101945854,Дальневосточная,SYNTHETIC,2025,2024,9 days 16:00:49.961262300,13920.832687705,913.8552340985007,0.031806615776081425,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-11 04:26:06.852089982,Дальневосточная,SYNTHETIC,2025,2024,9 days 16:44:15.711406428,13964.2618567738,43.42916906880055,0.03307888040712468,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-11 18:10:39.554451780,Дальневосточная,SYNTHETIC,2025,2024,10 days 06:28:48.413768226,14788.806896137101,824.5450393633,0.03435114503816794,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-12 02:23:16.571667114,Дальневосточная,SYNTHETIC,2025,2024,10 days 14:41:25.430983560,15281.423849726001,492.6169535889003,0.035623409669211195,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-13 03:42:49.498027344,Дальневосточная,SYNTHETIC,2025,2024,11 days 16:00:58.357343790,16800.9726223965,1519.5487726704996,0.03689567430025445,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-13 07:49:35.444745144,Дальневосточная,SYNTHETIC,2025,2024,11 days 20:07:44.304061590,17047.7384010265,246.76577863000057,0.03816793893129771,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-13 17:10:50.832621216,Дальневосточная,SYNTHETIC,2025,2024,12 days 05:28:59.691937662,17608.9948656277,561.2564646011997,0.039440203562340966,Зима,1,1,0.0015210449048779,65.70913989072692,road
,2025-01-14 00:47:32.740474602,Дальневосточная,SYNTHETIC,2025,2024,12 days 13:05:41.599791048,18065.6933298508,456.6984642231,0.04071246819338423,Зима,1,1,0.0015210449048779,65.70913989072692,road
