CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX,SEASON,MONTH,LAMBDA_MONTH
2,2025-01-21 15:32:58.919040840,Восточно-Сибирская,SYNTHETIC,2025,0 days 00:00:00,29732.981984014114,29732.981984014114,0.0,Зима,1,8.51156624984936
2,2025-01-23 23:25:55.419337680,Восточно-Сибирская,SYNTHETIC,2025,2 days 07:52:56.500296840,33085.92365562833,3352.9416716142173,0.0029239766081871343,Зима,1,8.51156624984936
2,2025-01-31 06:16:19.422326460,Восточно-Сибирская,SYNTHETIC,2025,9 days 14:43:20.503285620,43576.32370544067,10490.400049812344,0.005847953216374269,Зима,1,8.51156624984936
2,2025-02-02 13:51:07.453439100,Восточно-Сибирская,SYNTHETIC,2025,11 days 22:18:08.534398260,2271.1242239846297,2271.1242239846297,0.008771929824561403,Зима,2,8.51156624984936
2,2025-02-02 16:32:35.059785780,Восточно-Сибирская,SYNTHETIC,2025,12 days 00:59:36.140744940,2432.5843297625847,161.46010577795485,0.011695906432748537,Зима,2,8.51156624984936
2,2025-02-03 12:33:46.451177520,Восточно-Сибирская,SYNTHETIC,2025,12 days 21:00:47.532136680,48273.774186292394,4697.450480851724,0.014619883040935672,Зима,1,8.51156624984936
2,2025-02-06 20:48:18.150600960,Восточно-Сибирская,SYNTHETIC,2025,16 days 05:15:19.231560120,53088.302510016496,4814.528323724099,0.017543859649122806,Зима,1,8.51156624984936
2,2025-02-07 20:00:02.595853740,Восточно-Сибирская,SYNTHETIC,2025,17 days 04:27:03.676812900,9840.043264228609,7407.458934466024,0.02046783625730994,Зима,2,8.51156624984936
2,2025-02-09 23:43:07.562177400,Восточно-Сибирская,SYNTHETIC,2025,19 days 08:10:08.643136560,12943.126036289537,3103.0827720609286,0.023391812865497075,Зима,2,8.51156624984936
2,2025-02-10 05:31:04.538161920,Восточно-Сибирская,SYNTHETIC,2025,19 days 13:58:05.619121080,57931.075636031674,4842.773126015175,0.02631578947368421,Зима,1,8.51156624984936
2,2025-02-16 06:40:43.641555780,Восточно-Сибирская,SYNTHETIC,2025,25 days 15:07:44.722514940,66640.7273592629,8709.651723231236,0.029239766081871343,Зима,1,8.51156624984936
2,2025-02-16 15:14:30.561220680,Восточно-Сибирская,SYNTHETIC,2025,25 days 23:41:31.642179840,22514.509353678197,9571.38331738866,0.03216374269005848,Зима,2,8.51156624984936
2,2025-02-19 01:14:35.542724760,Восточно-Сибирская,SYNTHETIC,2025,28 days 09:41:36.623683920,70634.59237874624,3993.865019483334,0.03508771929824561,Зима,1,8.51156624984936
2,2025-02-19 20:37:45.664005660,Восточно-Сибирская,SYNTHETIC,2025,29 days 05:04:46.744964820,71797.76106676062,1163.16868801438,0.038011695906432746,Зима,1,8.51156624984936
2,2025-02-22 09:51:38.194604880,Восточно-Сибирская,SYNTHETIC,2025,31 days 18:18:39.275564040,30831.636576747525,8317.127223069328,0.04093567251461988,Зима,2,8.51156624984936
2,2025-02-23 21:08:17.475826500,Восточно-Сибирская,SYNTHETIC,2025,33 days 05:35:18.556785660,32948.29126377457,2116.6546870270404,0.043859649122807015,Зима,2,8.51156624984936
2,2025-03-01 05:54:11.307382260,Восточно-Сибирская,SYNTHETIC,2025,38 days 14:21:12.388341420,354.188456371266,354.188456371266,0.04678362573099415,Весна,3,33.72860654597177
2,2025-03-01 08:39:55.910784780,Восточно-Сибирская,SYNTHETIC,2025,38 days 17:06:56.991743940,519.9318464125961,165.7433900413301,0.049707602339181284,Весна,3,33.72860654597177
2,2025-03-01 15:41:23.978519340,Восточно-Сибирская,SYNTHETIC,2025,39 days 00:08:25.059478500,941.3996419887762,421.46779557618015,0.05263157894736842,Весна,3,33.72860654597177
2,2025-03-01 17:45:54.760649460,Восточно-Сибирская,SYNTHETIC,2025,39 days 02:12:55.841608620,1065.9126774905396,124.51303550176335,0.05555555555555555,Весна,3,33.72860654597177
2,2025-03-02 15:52:50.301556620,Восточно-Сибирская,SYNTHETIC,2025,40 days 00:19:51.382515780,2392.8383592771625,1326.925681786623,0.05847953216374269,Весна,3,33.72860654597177
2,2025-03-03 09:58:35.325151500,Восточно-Сибирская,SYNTHETIC,2025,40 days 18:25:36.406110660,3478.5887525250037,1085.7503932478412,0.06140350877192982,Весна,3,33.72860654597177
2,2025-03-04 01:10:36.237954840,Восточно-Сибирская,SYNTHETIC,2025,41 days 09:37:37.318914,44710.60396591418,11762.312702139612,0.06432748538011696,Зима,2,8.51156624984936
2,2025-03-04 21:31:53.909050140,Восточно-Сибирская,SYNTHETIC,2025,42 days 05:58:54.990009300,45931.89848416945,1221.2945182552667,0.06725146198830409,Зима,2,8.51156624984936
2,2025-03-05 18:37:10.809602580,Восточно-Сибирская,SYNTHETIC,2025,43 days 03:04:11.890561740,6877.180160043281,3398.591407518277,0.07017543859649122,Весна,3,33.72860654597177
2,2025-03-06 07:56:42.054415500,Восточно-Сибирская,SYNTHETIC,2025,43 days 16:23:43.135374660,7676.7009069250025,799.5207468817215,0.07309941520467836,Весна,3,33.72860654597177
2,2025-03-06 19:38:20.097575160,Восточно-Сибирская,SYNTHETIC,2025,44 days 04:05:21.178534320,8378.334959586286,701.6340526612831,0.07602339181286549,Весна,3,33.72860654597177
2,2025-03-07 18:49:43.286151960,Восточно-Сибирская,SYNTHETIC,2025,45 days 03:16:44.367111120,9769.721435866099,1391.3864762798132,0.07894736842105263,Весна,3,33.72860654597177
