CATEGORY,START_TIME,ROAD,DEPARTMENT,RESPONSIBILITY,YEAR,SOURCE_YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX,SEASON,SEASON_INDEX,MONTH,LAMBDA_DYNAMIC,LAMBDA0,LAMBDA1,LAMBDA_MONTH,SPIKE_FLAG,TRANSITION_FLAG,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,ENTITY_TYPE,REASON
1,2025-01-01 05:38:17.906606202,Северная,CV,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ",2025,2024,0 days 00:00:00,0.0,0.0,0.0,Зима,1,1,0.0029184005929448,0.0029184005929448,0.0087552017788344,126.07490561521894,0,0,25,"21,53ч",25,"0,98ч",22,"0,38ч",department,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы
2,2025-01-01 09:23:06.912887748,Восточно-Сибирская,CV,"ЗАБ, ВЧДЭ-3 КАРЫМСКАЯ",2025,2024,0 days 03:44:49.006281546,224.8167713591,224.8167713591,0.0007651109410864,Зима,1,1,0.0029184005929448,0.0029184005929448,0.0087552017788344,126.07490561521894,0,0,38,"4,65ч",14,"9,82ч",5,"3,97ч",department,Тонкий гребень колеса грузового вагона
1,2025-01-01 19:24:38.542167612,Октябрьская,CV,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ",2025,2024,0 days 13:46:20.635561410,826.3439260235001,601.5271546644001,0.0015302218821729,Зима,1,1,0.0029184005929448,0.0029184005929448,0.0087552017788344,126.07490561521894,0,0,2,"7,3ч",0,,15,"0,63ч",department,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы
3,2025-01-02 05:37:38.501656704,Восточно-Сибирская,CV,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ",2025,2024,0 days 23:59:20.595050502,1439.3432508417,612.9993248181999,0.0022953328232593,Зима,1,1,0.0029184005929448,0.0029184005929448,0.0087552017788344,126.07490561521894,0,0,,,,,,,department,Тонкий гребень колеса грузового вагона
1,2025-01-02 16:29:04.260087054,Забайкальская,CV,"Д-ВОСТ, ВЧДЭ-1 ХАБАРОВСК",2025,2024,1 days 10:50:46.353480852,2090.7725580142,651.4293071725001,0.0030604437643458,Зима,1,1,0.0029184005929448,0.0029184005929448,0.0087552017788344,126.07490561521894,0,0,22,"3,28ч",8,"5,07ч",11,"0,72ч",department,Выщербина на ободе колеса грузового вагона
1,2025-01-03 01:46:28.002510192,Красноярская,CV,"З-СИБ, ВЧДЭ-12 ВХОДНАЯ",2025,2024,1 days 20:08:10.095903990,2648.1682650665,557.3957070523002,0.0038255547054322,Зима,1,1,0.0029184005929448,0.0029184005929448,0.0087552017788344,126.07490561521894,0,0,36,"1,53ч",25,"1,3ч",37,"0,58ч",department,Другие причины
3,2025-01-03 05:35:54.317736168,Забайкальская,CV,"З-СИБ, ВЧДЭ-23 БЕЛОВО",2025,2024,1 days 23:57:36.411129966,2877.6068521661,229.43858709959977,0.0045906656465187,Зима,1,1,0.0029184005929448,0.0029184005929448,0.0087552017788344,126.07490561521894,0,0,,,,,,,department,Другие причины
2,2025-01-03 08:20:30.103798224,Забайкальская,CV,"ЗАБ, ВЧДЭ-7 БЕЛОГОРСК",2025,2024,2 days 02:42:12.197192022,3042.2032865337,164.59643436760007,0.0053557765876052,Зима,1,1,0.0029184005929448,0.0029184005929448,0.0087552017788344,126.07490561521894,0,0,31,"4,2ч",7,"2,83ч",15,"0,25ч",department,Тонкий гребень колеса грузового вагона
2,2025-01-03 18:30:27.250501560,Южно-Уральская,CV,"КРАС, ВЧДЭ-8 АБАКАН",2025,2024,2 days 12:52:09.343895358,3652.1557315893,609.9524450556,0.0061208875286916,Зима,1,1,0.0029184005929448,0.0029184005929448,0.0087552017788344,126.07490561521894,0,0,2,"2,12ч",5,"5,08ч",4,"0,05ч",department,Выщербина на ободе колеса грузового вагона
1,2025-01-03 22:21:18.802952088,Дальневосточная,CV,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ",2025,2024,2 days 16:43:00.896345886,3883.0149390981,230.85920750879995,0.0068859984697781,Зима,1,1,0.0029184005929448,0.0029184005929448,0.0087552017788344,126.07490561521894,0,0,35,"13,23ч",26,"3,68ч",29,"1,18ч",department,Выщербина на ободе колеса грузового вагона
