CATEGORY,START_TIME,ROAD,DEPARTMENT,RESPONSIBILITY,YEAR,SOURCE_YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX,SEASON,SEASON_INDEX,MONTH,LAMBDA_DYNAMIC,LAMBDA0,LAMBDA1,LAMBDA_MONTH,SPIKE_FLAG,TRANSITION_FLAG,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,ENTITY_TYPE,REASON
1,2025-01-02 01:11:03.062247366,Забайкальская,CV,"ЗАБ, ШЧ-9",2025,2024,0 days 00:00:00,0.0,0.0,0.0,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,2,"1,33ч",8,"2,22ч",5,"0,93ч",road,Тонкий гребень колеса грузового вагона
2,2025-01-02 16:26:39.768164526,Забайкальская,CSH,"ЗАБ, ШЧ-9",2025,2024,0 days 15:15:36.705917160,915.611765286,915.611765286,0.0014204545454545,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,41,"3,7ч",8,"2,58ч",70,"0,32ч",road,"Срабатывание, воздействие тягового тока"
3,2025-01-02 19:17:37.504372578,Забайкальская,CV,"ЗАБ, ШЧ-1",2025,2024,0 days 18:06:34.442125212,1086.5740354202,170.96227013420014,0.002840909090909,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,,,,,,,road,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы
2,2025-01-03 06:39:50.259430710,Забайкальская,CV,"ЗАБ, ШЧ-1",2025,2024,1 days 05:28:47.197183344,1768.7866197224,682.2125843022,0.0042613636363636,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,39,"12,25ч",20,"10,15ч",3,"2,18ч",road,Тонкий гребень колеса грузового вагона
1,2025-01-04 10:49:27.902143812,Забайкальская,CV,"ЗАБ, ШЧ-6",2025,2024,2 days 09:38:24.839896446,3458.4139982741003,1689.6273785517003,0.0056818181818181,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,41,"15,32ч",3,"3,68ч",29,"0,6ч",road,Тонкий гребень колеса грузового вагона
3,2025-01-04 18:22:58.385053284,Забайкальская,CSH,"ЗАБ, ШЧ-5",2025,2024,2 days 17:11:55.322805918,3911.9220467653,453.5080484911996,0.0071022727272727,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,,,,,,,road,Сбой АЛС с задержкой поезда
1,2025-01-05 08:57:20.748010794,Забайкальская,CV,"ЗАБ, ВЧДЭ-3 КАРЫМСКАЯ",2025,2024,3 days 07:46:17.685763428,4786.2947627238,874.3727159585001,0.0085227272727272,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,25,"1,23ч",0,,18,"0,48ч",road,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы
2,2025-01-06 23:59:57.502990656,Забайкальская,CSH,"ЗАБ, ВЧДЭ-3 КАРЫМСКАЯ",2025,2024,4 days 22:48:54.440743290,7128.9073457215,2342.6125829977,0.0099431818181818,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,1,"4,43ч",14,"80,4ч",5,"3,02ч",road,Тонкий гребень колеса грузового вагона
2,2025-01-07 12:54:59.638775658,Забайкальская,CV,"ЗАБ, ВЧДЭ-3 КАРЫМСКАЯ",2025,2024,5 days 11:43:56.576528292,7903.942942138199,775.0355964166993,0.0113636363636363,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,34,"0,5ч",11,"1,7ч",70,"2,12ч",road,Тонкий гребень колеса грузового вагона
3,2025-01-07 14:06:25.847615676,Забайкальская,CSH,"ЗАБ, ШЧ-9",2025,2024,5 days 12:55:22.785368310,7975.3797561385,71.43681400030073,0.0127840909090909,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,,,,,,,road,Сбой АЛС с задержкой поезда
1,2025-01-07 17:11:48.666088896,Забайкальская,CV,"ЗАБ, ШЧ-9",2025,2024,5 days 16:00:45.603841530,8160.7600640255,185.3803078869996,0.0142045454545454,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,35,"5,5ч",25,"1,7ч",12,"0,28ч",road,Выщербина на ободе колеса грузового вагона
3,2025-01-08 03:09:25.524212490,Забайкальская,CSH,"ЗАБ, ШЧ-9",2025,2024,6 days 01:58:22.461965124,8758.3743660854,597.6143020599002,0.015625,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,,,,,,,road,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы
3,2025-01-08 06:42:29.947423674,Забайкальская,CSH,"ЗАБ, ВЧДЭ-3 КАРЫМСКАЯ",2025,2024,6 days 05:31:26.885176308,8971.4480862718,213.07372018639944,0.0170454545454545,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,,,,,,,road,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы
1,2025-01-09 17:30:45.127732470,Забайкальская,CV,"ЗАБ, ШЧ-5",2025,2024,7 days 16:19:42.065485104,11059.7010914184,2088.2530051466,0.018465909090909,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,12,"3,65ч",15,"1,47ч",18,"0,35ч",road,Выщербина на ободе колеса грузового вагона
2,2025-01-09 23:14:19.828687734,Забайкальская,CV,"ЗАБ, ШЧ-1",2025,2024,7 days 22:03:16.766440368,11403.2794406728,343.5783492544015,0.0198863636363636,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,38,"6,63ч",15,"1,23ч",10,"1,12ч",road,Выщербина на ободе колеса грузового вагона
2,2025-01-10 05:58:14.879524116,Забайкальская,CV,"ЗАБ, ШЧ-9",2025,2024,8 days 04:47:11.817276750,11807.1969546125,403.91751393969935,0.0213068181818181,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,56,"4,52ч",6,"2,25ч",37,"0,78ч",road,Тонкий гребень колеса грузового вагона
3,2025-01-10 19:17:36.805252272,Забайкальская,CV,"ЗАБ, ШЧ-1",2025,2024,8 days 18:06:33.743004906,12606.5623834151,799.3654288025991,0.0227272727272727,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,,,,,,,road,Тонкий гребень колеса грузового вагона
2,2025-01-11 03:28:38.720425584,Забайкальская,CSH,"ЗАБ, ВЧДЭ-3 КАРЫМСКАЯ",2025,2024,9 days 02:17:35.658178218,13097.5943029703,491.03191955520015,0.0241477272727272,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,1,"1,77ч",10,"1,25ч",6,"1,92ч",road,Тонкий гребень колеса грузового вагона
1,2025-01-11 08:46:55.131063330,Забайкальская,CV,"ЗАБ, ШЧ-5",2025,2024,9 days 07:35:52.068815964,13415.8678135994,318.273510629102,0.0255681818181818,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,34,"10,93ч",15,"1,08ч",25,"0,65ч",road,Тонкий гребень колеса грузового вагона
3,2025-01-11 09:39:37.373048292,Забайкальская,CSH,"ЗАБ, ШЧ-6",2025,2024,9 days 08:28:34.310800926,13468.5718466821,52.70403308269852,0.0269886363636363,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,,,,,,,road,Тонкий гребень колеса грузового вагона
3,2025-01-11 19:39:26.600265438,Забайкальская,CSH,"ЗАБ, ШЧ-9",2025,2024,9 days 18:28:23.538018072,14068.3923003012,599.8204536191006,0.0284090909090909,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,,,,,,,road,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы
1,2025-01-12 17:55:50.269027296,Забайкальская,CSH,"ЗАБ, ВЧДЭ-3 КАРЫМСКАЯ",2025,2024,10 days 16:44:47.206779930,15404.7867796655,1336.3944793643004,0.0298295454545454,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,55,"4,9ч",10,"2,72ч",30,"1,28ч",road,Выщербина на ободе колеса грузового вагона
1,2025-01-13 06:41:00.923947584,Забайкальская,CSH,"ЗАБ, ШЧ-1",2025,2024,11 days 05:29:57.861700218,16169.964361670302,765.1775820048006,0.03125,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,2,"243,73ч",8,"1,8ч",1,"2,18ч",road,Сбой АЛС с задержкой поезда
1,2025-01-13 11:58:35.571715080,Забайкальская,CV,"ЗАБ, ШЧ-5",2025,2024,11 days 10:47:32.509467714,16487.5418244619,317.577462791598,0.0326704545454545,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,36,"4,68ч",13,"3,13ч",15,"1,12ч",road,Сбой АЛС с задержкой поезда
1,2025-01-13 13:28:55.180450536,Забайкальская,CV,"ЗАБ, ШЧ-9",2025,2024,11 days 12:17:52.118203170,16577.8686367195,90.32681225760098,0.034090909090909,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,2,"4,87ч",13,"0,97ч",5,"0,18ч",road,Выщербина на ободе колеса грузового вагона
3,2025-01-14 08:09:05.363720598,Забайкальская,CV,"ЗАБ, ШЧ-9",2025,2024,12 days 06:58:02.301473232,17698.0383578872,1120.1697211676983,0.0355113636363636,Зима,1,1,0.0015128593040847,0.0015128593040847,0.0045385779122541,65.35552193645991,0,0,,,,,,,road,Выщербина на ободе колеса грузового вагона
