CATEGORY,START_TIME,ROAD,DEPARTMENT,RESPONSIBILITY,YEAR,SOURCE_YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX,SEASON,SEASON_INDEX,MONTH,LAMBDA_DYNAMIC,LAMBDA0,LAMBDA1,LAMBDA_MONTH,SPIKE_FLAG,TRANSITION_FLAG,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,ENTITY_TYPE,REASON
3,2025-01-02 00:21:06.358141062,Красноярская,CSH,"КРАС, ШЧ-7 (Э)",2025,2024,0 days 00:00:00,0.0,0.0,0.0,Зима,1,1,0.0013077699293642,0.0013077699293642,0.0039233097880926,56.49566094853683,0,0,,,,,,,road,Сбой АЛС с задержкой поезда
2,2025-01-02 23:46:39.228708066,Красноярская,CSH,"КРАС, ШЧ-7 (Э)",2025,2024,0 days 23:25:32.870567004,1405.5478427834,1405.5478427834,0.0014705882352941,Зима,1,1,0.0013077699293642,0.0013077699293642,0.0039233097880926,56.49566094853683,0,0,16,"30,42ч",16,"1,75ч",7,"0,82ч",road,"Срабатывание, воздействие тягового тока"
2,2025-01-03 01:11:12.332000766,Красноярская,CV,"КРАС, ШЧ-7 (Э)",2025,2024,1 days 00:50:05.973859704,1490.0995643284,84.55172154499996,0.0029411764705882,Зима,1,1,0.0013077699293642,0.0013077699293642,0.0039233097880926,56.49566094853683,0,0,15,"6,2ч",26,"0,1ч",3,"0,52ч",road,Сбой АЛС с задержкой поезда
3,2025-01-04 15:19:25.072122120,Красноярская,CSH,"КРАС, ШЧ-6 (Э)",2025,2024,2 days 14:58:18.713981058,3778.3118996843,2288.2123353559,0.0044117647058823,Зима,1,1,0.0013077699293642,0.0013077699293642,0.0039233097880926,56.49566094853683,0,0,,,,,,,road,Сбой АЛС с задержкой поезда
1,2025-01-04 17:53:27.632404794,Красноярская,CV,"КРАС, ШЧ-6 (Э)",2025,2024,2 days 17:32:21.274263732,3932.3545710622,154.04267137789975,0.0058823529411764,Зима,1,1,0.0013077699293642,0.0013077699293642,0.0039233097880926,56.49566094853683,0,0,1,"6,27ч",16,"1,02ч",18,"1,58ч",road,Тонкий гребень колеса грузового вагона
2,2025-01-05 00:42:35.485833198,Красноярская,CSH,"КРАС, ШЧ-11 (Э)",2025,2024,3 days 00:21:29.127692136,4341.4854615356,409.1308904734001,0.0073529411764705,Зима,1,1,0.0013077699293642,0.0013077699293642,0.0039233097880926,56.49566094853683,0,0,10,"3,9ч",3,"2,15ч",5,"1,05ч",road,Тонкий гребень колеса грузового вагона
3,2025-01-05 03:47:50.814267486,Красноярская,CSH,"КРАС, ШЧ-4 (Э)",2025,2024,3 days 03:26:44.456126424,4526.7409354404,185.25547390480008,0.0088235294117647,Зима,1,1,0.0013077699293642,0.0013077699293642,0.0039233097880926,56.49566094853683,0,0,,,,,,,road,Тонкий гребень колеса грузового вагона
2,2025-01-06 04:53:04.427409132,Красноярская,CSH,"КРАС, ШЧ-6 (Э)",2025,2024,4 days 04:31:58.069268070,6031.9678211345,1505.2268856941,0.0102941176470588,Зима,1,1,0.0013077699293642,0.0013077699293642,0.0039233097880926,56.49566094853683,0,0,2,"21,23ч",4,"1,43ч",8,"2,33ч",road,Тонкий гребень колеса грузового вагона
1,2025-01-06 22:31:17.492058690,Красноярская,CSH,"КРАС, ШЧ-6 (Э)",2025,2024,4 days 22:10:11.133917628,7090.185565293799,1058.2177441592994,0.0117647058823529,Зима,1,1,0.0013077699293642,0.0013077699293642,0.0039233097880926,56.49566094853683,0,0,28,"4,92ч",9,"2,85ч",37,"0,85ч",road,Обрыв внешнего монтажа аппаратуры защиты рельсовых цепей
1,2025-01-07 04:04:51.408735588,Красноярская,CSH,"КРАС, ШЧ-7 (Э)",2025,2024,5 days 03:43:45.050594526,7423.7508432421,333.5652779483007,0.013235294117647,Зима,1,1,0.0013077699293642,0.0013077699293642,0.0039233097880926,56.49566094853683,0,0,27,"2,77ч",14,"0,97ч",69,"0,02ч",road,Тонкий гребень колеса грузового вагона
3,2025-01-07 18:40:38.371200906,Красноярская,CSH,"КРАС, ШЧ-7 (Э)",2025,2024,5 days 18:19:32.013059844,8299.5335509974,875.7827077552993,0.0147058823529411,Зима,1,1,0.0013077699293642,0.0013077699293642,0.0039233097880926,56.49566094853683,0,0,,,,,,,road,Сбой АЛС с задержкой поезда
2,2025-01-07 21:16:28.210197984,Красноярская,CSH,"КРАС, ШЧ-4 (Э)",2025,2024,5 days 20:55:21.852056922,8455.3642009487,155.83064995130007,0.0161764705882352,Зима,1,1,0.0013077699293642,0.0013077699293642,0.0039233097880926,56.49566094853683,0,0,19,"5,27ч",13,"80,4ч",15,"0,07ч",road,Сбой АЛС с задержкой поезда
2,2025-01-08 03:24:50.614831830,Красноярская,CV,"КРАС, ШЧ-11 (Э)",2025,2024,6 days 03:03:44.256690768,8823.737611512799,368.3734105640997,0.0176470588235294,Зима,1,1,0.0013077699293642,0.0013077699293642,0.0039233097880926,56.49566094853683,0,0,18,"4,9ч",14,"2,83ч",26,"18,77ч",road,"Срабатывание, воздействие тягового тока"
1,2025-01-08 09:26:49.181306280,Красноярская,CSH,"КРАС, ШЧ-6 (Э)",2025,2024,6 days 09:05:42.823165218,9185.7137194203,361.9761079075015,0.0191176470588235,Зима,1,1,0.0013077699293642,0.0013077699293642,0.0039233097880926,56.49566094853683,0,0,32,"5,87ч",3,"80,4ч",29,"0,4ч",road,"Срабатывание, воздействие тягового тока"
2,2025-01-08 12:54:35.852658450,Красноярская,CV,"КРАС, ШЧ-1 (Э)",2025,2024,6 days 12:33:29.494517388,9393.4915752898,207.77785586950085,0.0205882352941176,Зима,1,1,0.0013077699293642,0.0013077699293642,0.0039233097880926,56.49566094853683,0,0,20,"5,65ч",11,"0,65ч",70,"1,7ч",road,Обрыв внешнего монтажа аппаратуры защиты рельсовых цепей
2,2025-01-09 15:32:43.976423550,Красноярская,CSH,"КРАС, ШЧ-4 (Э)",2025,2024,7 days 15:11:37.618282488,10991.6269713748,1598.1353960849974,0.0220588235294117,Зима,1,1,0.0013077699293642,0.0013077699293642,0.0039233097880926,56.49566094853683,0,0,29,"6,3ч",26,"1,55ч",1,"1,62ч",road,Тонкий гребень колеса грузового вагона
3,2025-01-10 06:01:15.605737980,Красноярская,CSH,"КРАС, ШЧ-6 (Э)",2025,2024,8 days 05:40:09.247596918,11860.1541266153,868.5271552405011,0.0235294117647058,Зима,1,1,0.0013077699293642,0.0013077699293642,0.0039233097880926,56.49566094853683,0,0,,,,,,,road,Тонкий гребень колеса грузового вагона
2,2025-01-10 10:12:23.383590942,Красноярская,CSH,"КРАС, ШЧ-4 (Э)",2025,2024,8 days 09:51:17.025449880,12111.283757498,251.12963088270044,0.025,Зима,1,1,0.0013077699293642,0.0013077699293642,0.0039233097880926,56.49566094853683,0,0,39,"33,12ч",7,"1,73ч",4,"7,98ч",road,Сбой АЛС с задержкой поезда
1,2025-01-10 13:44:22.649325114,Красноярская,CSH,"КРАС, ШЧ-7 (Э)",2025,2024,8 days 13:23:16.291184052,12323.2715197342,211.98776223620007,0.0264705882352941,Зима,1,1,0.0013077699293642,0.0013077699293642,0.0039233097880926,56.49566094853683,0,0,51,"4,35ч",3,"0,45ч",6,"0,23ч",road,Тонкий гребень колеса грузового вагона
3,2025-01-10 13:58:13.831758762,Красноярская,CV,"КРАС, ШЧ-1 (Э)",2025,2024,8 days 13:37:07.473617700,12337.124560295,13.853040560799856,0.0279411764705882,Зима,1,1,0.0013077699293642,0.0013077699293642,0.0039233097880926,56.49566094853683,0,0,,,,,,,road,Тонкий гребень колеса грузового вагона
1,2025-01-10 18:03:24.005987640,Красноярская,CSH,"КРАС, ШЧ-11 (Э)",2025,2024,8 days 17:42:17.647846578,12582.2941307763,245.16957048130095,0.0294117647058823,Зима,1,1,0.0017356910140083,0.0013077699293642,0.0039233097880926,56.49566094853683,0,1,39,"15,33ч",26,"0,7ч",26,"1,33ч",road,Обрыв внешнего монтажа аппаратуры защиты рельсовых цепей
2,2025-01-10 23:56:26.732797086,Красноярская,CSH,"КРАС, ШЧ-4 (Э)",2025,2024,8 days 23:35:20.374656024,12935.3395776004,353.0454468240987,0.0308823529411764,Зима,1,1,0.002119207227576,0.0013077699293642,0.0039233097880926,56.49566094853683,0,1,31,"2,78ч",25,"0,8ч",16,"1,22ч",road,Технологический нагрев буксового узла
3,2025-01-11 01:47:41.505494208,Красноярская,CV,"КРАС, ШЧ-4 (Э)",2025,2024,9 days 01:26:35.147353146,13046.5857892191,111.24621161869982,0.0323529411764705,Зима,1,1,0.0029244129576144,0.0013077699293642,0.0039233097880926,56.49566094853683,0,1,,,,,,,road,Сбой АЛС с задержкой поезда
1,2025-01-11 07:56:10.878657264,Красноярская,CSH,"КРАС, ШЧ-1 (Э)",2025,2024,9 days 07:35:04.520516202,13415.0753419367,368.4895527175995,0.0338235294117647,Зима,1,1,0.0032714674038575,0.0013077699293642,0.0039233097880926,56.49566094853683,0,1,1,"8,07ч",14,"3,58ч",11,"1,07ч",road,"Срабатывание, воздействие тягового тока"
2,2025-01-11 10:37:50.651573928,Красноярская,CSH,"КРАС, ШЧ-1 (Э)",2025,2024,9 days 10:16:44.293432866,13576.7382238811,161.6628819444013,0.0352941176470588,Зима,1,1,0.003282153852091,0.0013077699293642,0.0039233097880926,56.49566094853683,0,1,39,"0,58ч",7,"0,13ч",15,"0,42ч",road,"Срабатывание, воздействие тягового тока"
3,2025-01-11 12:33:00.415221150,Красноярская,CSH,"КРАС, ШЧ-4 (Э)",2025,2024,9 days 12:11:54.057080088,13691.9009513348,115.1627274536986,0.0367647058823529,Зима,1,1,0.0033019549966736,0.0013077699293642,0.0039233097880926,56.49566094853683,0,1,,,,,,,road,"Срабатывание, воздействие тягового тока"
1,2025-01-12 02:12:57.818541834,Красноярская,CV,"КРАС, ШЧ-7 (Э)",2025,2024,10 days 01:51:51.460400772,14511.8576733462,819.9567220114022,0.038235294117647,Зима,1,1,0.0034121643408502,0.0013077699293642,0.0039233097880926,56.49566094853683,0,1,27,"0,15ч",10,"1,55ч",3,"0,52ч",road,Тонкий гребень колеса грузового вагона
1,2025-01-12 03:40:26.184507912,Красноярская,CV,"КРАС, ШЧ-6 (Э)",2025,2024,10 days 03:19:19.826366850,14599.3304394475,87.47276610129848,0.0397058823529411,Зима,1,1,0.0034856248041969,0.0013077699293642,0.0039233097880926,56.49566094853683,0,1,37,"0,47ч",6,"0,42ч",15,"0,92ч",road,Тонкий гребень колеса грузового вагона
1,2025-01-12 06:05:27.382840656,Красноярская,CSH,"КРАС, ШЧ-4 (Э)",2025,2024,10 days 05:44:21.024699594,14744.3504116599,145.0199722123998,0.0411764705882352,Зима,1,1,0.0035024545783377,0.0013077699293642,0.0039233097880926,56.49566094853683,0,1,76,"2,12ч",10,"1,9ч",18,"2,92ч",road,Сбой АЛС с задержкой поезда
1,2025-01-12 08:22:31.299294048,Красноярская,CSH,"КРАС, ШЧ-6 (Э)",2025,2024,10 days 08:01:24.941152986,14881.4156858831,137.0652742232014,0.0426470588235294,Зима,1,1,0.0035146572797277,0.0013077699293642,0.0039233097880926,56.49566094853683,0,1,6,"6,62ч",10,"11,18ч",26,"10,63ч",road,Сбой АЛС с задержкой поезда
2,2025-01-12 09:32:52.452488280,Красноярская,CSH,"КРАС, ШЧ-7 (Э)",2025,2024,10 days 09:11:46.094347218,14951.768239120302,70.35255323720048,0.0441176470588235,Зима,1,1,0.0039233097880926,0.0013077699293642,0.0039233097880926,56.49566094853683,1,0,22,"22,77ч",25,"1,8ч",10,"1,07ч",road,"Срабатывание, воздействие тягового тока"
2,2025-01-12 10:35:22.831297602,Красноярская,CSH,"КРАС, ШЧ-7 (Э)",2025,2024,10 days 10:14:16.473156540,15014.274552608998,62.50631348869683,0.0455882352941176,Зима,1,1,0.0039233097880926,0.0013077699293642,0.0039233097880926,56.49566094853683,1,0,21,"7,85ч",26,"0,48ч",7,"0,35ч",road,Обрыв внешнего монтажа аппаратуры защиты рельсовых цепей
2,2025-01-12 12:07:09.621994596,Красноярская,CSH,"КРАС, ШЧ-4 (Э)",2025,2024,10 days 11:46:03.263853534,15106.0543975589,91.77984494990233,0.0470588235294117,Зима,1,1,0.0039233097880926,0.0013077699293642,0.0039233097880926,56.49566094853683,1,0,41,"2,57ч",25,"1,72ч",29,"4,43ч",road,"Срабатывание, воздействие тягового тока"
2,2025-01-12 20:36:07.691444904,Красноярская,CV,"КРАС, ШЧ-6 (Э)",2025,2024,10 days 20:15:01.333303842,15615.0222217307,508.9678241717993,0.0485294117647058,Зима,1,1,0.0039233097880926,0.0013077699293642,0.0039233097880926,56.49566094853683,1,0,35,"5,73ч",7,"2,43ч",0,,road,Тонкий гребень колеса грузового вагона
2,2025-01-13 02:47:31.008948564,Красноярская,CV,"КРАС, ШЧ-11 (Э)",2025,2024,11 days 02:26:24.650807502,15986.4108467917,371.3886250609994,0.05,Зима,1,1,0.0039233097880926,0.0013077699293642,0.0039233097880926,56.49566094853683,1,0,16,"1,8ч",9,"1,22ч",22,"2,33ч",road,Сбой АЛС с задержкой поезда
