CATEGORY,START_TIME,ROAD,DEPARTMENT,RESPONSIBILITY,YEAR,SOURCE_YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX,SEASON,SEASON_INDEX,MONTH,LAMBDA_DYNAMIC,LAMBDA0,LAMBDA1,LAMBDA_MONTH,SPIKE_FLAG,TRANSITION_FLAG,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,ENTITY_TYPE,REASON
2,2025-01-01 01:58:21.421917234,Октябрьская,CSH,"ОКТ, ШЧ-19",2025,2024,0 days 00:00:00,0.0,0.0,0.0,Зима,1,1,0.0038688154937952,0.0038688154937952,0.0116064464813856,167.13282933195362,0,0,5,"1,02ч",20,"0,83ч",2,"0,67ч",road,"Лампы, перегорание основной нити"
2,2025-01-01 02:23:44.212784010,Октябрьская,CT,"ОКТ, ИЧ-2 Ш",2025,2024,0 days 00:25:22.790866776,25.3798477796,25.3798477796,0.0005583472920156,Зима,1,1,0.0038688154937952,0.0038688154937952,0.0116064464813856,167.13282933195362,0,0,22,"0,38ч",0,,12,"1,62ч",road,Неисправность блока контроля напряжения
3,2025-01-01 09:46:54.766847928,Октябрьская,CSH,"ОКТ, ИЧ-2 Ш",2025,2024,0 days 07:48:33.344930694,468.5557488449,443.1759010653,0.0011166945840312,Зима,1,1,0.0038688154937952,0.0038688154937952,0.0116064464813856,167.13282933195362,0,0,,,,,,,road,"Срабатывание, атмосферные перенапряжения"
1,2025-01-01 14:44:23.945162406,Октябрьская,CSH,"ОКТ, ШЧ-19",2025,2024,0 days 12:46:02.523245172,766.0420540862,297.4863052413,0.0016750418760469,Зима,1,1,0.0038688154937952,0.0038688154937952,0.0116064464813856,167.13282933195362,0,0,35,"3,1ч",4,"1,83ч",12,"0,62ч",road,Плохой контакт зажимов линий СЦБ
3,2025-01-01 17:19:58.418753820,Октябрьская,CSH,"ОКТ, ШЧ-12",2025,2024,0 days 15:21:36.996836586,921.6166139431,155.5745598569,0.0022333891680625,Зима,1,1,0.0038688154937952,0.0038688154937952,0.0116064464813856,167.13282933195362,0,0,,,,,,,road,Неисправность блока контроля напряжения
3,2025-01-01 18:33:26.823320058,Октябрьская,CT,"ОКТ, ШЧ-12",2025,2024,0 days 16:35:05.401402824,995.0900233804,73.4734094373,0.0027917364600781,Зима,1,1,0.0038688154937952,0.0038688154937952,0.0116064464813856,167.13282933195362,0,0,,,,,,,road,Неисправность блока контроля напряжения
2,2025-01-01 19:15:59.155445412,Октябрьская,CSH,"ОКТ, ШЧ-19",2025,2024,0 days 17:17:37.733528178,1037.6288921363,42.53886875590001,0.0033500837520938,Зима,1,1,0.0038688154937952,0.0038688154937952,0.0116064464813856,167.13282933195362,0,0,0,,13,"6,07ч",30,"1,95ч",road,Обрыв жил контрольного кабеля линий СЦБ
3,2025-01-01 21:54:28.731298494,Октябрьская,CV,"ОКТ, ШЧ-11",2025,2024,0 days 19:56:07.309381260,1196.121823021,158.49293088469994,0.0039084310441094,Зима,1,1,0.0038688154937952,0.0038688154937952,0.0116064464813856,167.13282933195362,0,0,,,,,,,road,Обрыв жил контрольного кабеля линий СЦБ
1,2025-01-02 07:14:04.315395300,Октябрьская,CSH,"ОКТ, ШЧ-19",2025,2024,1 days 05:15:42.893478066,1755.7148913011,559.5930682801002,0.004466778336125,Зима,1,1,0.0038688154937952,0.0038688154937952,0.0116064464813856,167.13282933195362,0,0,2,"47,2ч",10,"2,13ч",0,,road,Плохой контакт зажимов линий СЦБ
2,2025-01-02 08:08:01.614910248,Октябрьская,CT,"ОКТ, ИЧ-2 Ш",2025,2024,1 days 06:09:40.192993014,1809.6698832169,53.95499191579984,0.0050251256281407,Зима,1,1,0.0038688154937952,0.0038688154937952,0.0116064464813856,167.13282933195362,0,0,43,"4,23ч",25,"0,65ч",2,"2,87ч",road,Обрыв жил контрольного кабеля линий СЦБ
1,2025-01-02 11:45:22.146576372,Октябрьская,CSH,"ОКТ, ШЧ-21",2025,2024,1 days 09:47:00.724659138,2027.0120776523,217.3421944354,0.0055834729201563,Зима,1,1,0.0038688154937952,0.0038688154937952,0.0116064464813856,167.13282933195362,0,0,15,"2,82ч",14,"1,25ч",2,"0,98ч",road,"Срабатывание, атмосферные перенапряжения"
2,2025-01-03 01:48:30.340221756,Октябрьская,CSH,"ОКТ, ШЧ-12",2025,2024,1 days 23:50:08.918304522,2870.1486384087,843.1365607563998,0.0061418202121719,Зима,1,1,0.0038688154937952,0.0038688154937952,0.0116064464813856,167.13282933195362,0,0,25,"30,52ч",16,"1,2ч",7,"1,18ч",road,Плохой контакт зажимов линий СЦБ
2,2025-01-03 06:10:31.022283576,Октябрьская,CSH,"ОКТ, ШЧ-12",2025,2024,2 days 04:12:09.600366342,3132.1600061057,262.0113676970004,0.0067001675041876,Зима,1,1,0.0038688154937952,0.0038688154937952,0.0116064464813856,167.13282933195362,0,0,20,"21,15ч",9,"0,95ч",7,"2,93ч",road,Неисправность блока контроля напряжения
3,2025-01-03 08:40:22.231861314,Октябрьская,CSH,"ОКТ, ШЧ-11",2025,2024,2 days 06:42:00.809944080,3282.0134990680003,149.85349296230015,0.0072585147962032,Зима,1,1,0.0038688154937952,0.0038688154937952,0.0116064464813856,167.13282933195362,0,0,,,,,,,road,"Срабатывание, атмосферные перенапряжения"
1,2025-01-03 14:06:04.572781200,Октябрьская,CT,"ОКТ, ШЧ-19",2025,2024,2 days 12:07:43.150863966,3607.7191810661,325.70568199809986,0.0078168620882188,Зима,1,1,0.0038688154937952,0.0038688154937952,0.0116064464813856,167.13282933195362,0,0,39,"4,38ч",11,"0,05ч",31,"18,77ч",road,"Срабатывание, атмосферные перенапряжения"
2,2025-01-03 21:35:58.266129516,Октябрьская,CSH,"ОКТ, ШЧ-12",2025,2024,2 days 19:37:36.844212282,4057.6140702047,449.8948891385999,0.0083752093802345,Зима,1,1,0.0038688154937952,0.0038688154937952,0.0116064464813856,167.13282933195362,0,0,37,"1,85ч",1,"2,27ч",8,"0,88ч",road,Неисправность блока контроля напряжения
2,2025-01-04 01:26:45.266753748,Октябрьская,CSH,"ОКТ, ШЧ-21",2025,2024,2 days 23:28:23.844836514,4288.3974139419,230.78334373719963,0.0089335566722501,Зима,1,1,0.0038688154937952,0.0038688154937952,0.0116064464813856,167.13282933195362,0,0,10,"5,27ч",0,,17,"0,3ч",road,"Срабатывание, атмосферные перенапряжения"
1,2025-01-04 10:17:46.432217334,Октябрьская,CSH,"ОКТ, ШЧ-12",2025,2024,3 days 08:19:25.010300100,4819.416838335001,531.019424393101,0.0094919039642657,Зима,1,1,0.0038688154937952,0.0038688154937952,0.0116064464813856,167.13282933195362,0,0,33,"0,2ч",20,"10,15ч",7,"0,28ч",road,Обрыв жил контрольного кабеля линий СЦБ
2,2025-01-04 13:24:35.522079852,Октябрьская,CSH,"ОКТ, ШЧ-11",2025,2024,3 days 11:26:14.100162618,5006.235002710299,186.8181643752987,0.0100502512562814,Зима,1,1,0.0038688154937952,0.0038688154937952,0.0116064464813856,167.13282933195362,0,0,11,"26,3ч",15,"80,4ч",18,"0,53ч",road,Плохой контакт зажимов линий СЦБ
