CATEGORY,START_TIME,ROAD,DEPARTMENT,RESPONSIBILITY,YEAR,SOURCE_YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX,SEASON,SEASON_INDEX,MONTH,LAMBDA_DYNAMIC,LAMBDA0,LAMBDA1,LAMBDA_MONTH,SPIKE_FLAG,TRANSITION_FLAG,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,ENTITY_TYPE,REASON
2,2025-01-01 14:38:28.214318760,Приволжская,CSH,"ПРИВ, ШЧ-6 (Э)",2025,2024,0 days 00:00:00,0.0,0.0,0.0,Зима,1,1,0.0008133291219204,0.0008133291219204,0.0024399873657612,35.13581806696147,0,0,12,"2,13ч",14,"0,28ч",26,"0,25ч",road,Перегорание лампы линзового светофора
2,2025-01-01 23:04:49.609249332,Приволжская,CSH,"ПРИВ, ШЧ-6 (Э)",2025,2024,0 days 08:26:21.394930572,506.3565821762001,506.3565821762001,0.0023364485981308,Зима,1,1,0.0008133291219204,0.0008133291219204,0.0024399873657612,35.13581806696147,0,0,38,"8,18ч",1,"0,33ч",1,"0,55ч",road,"Лампы, перегорание основной нити"
3,2025-01-02 07:57:50.221703262,Приволжская,CSH,"ПРИВ, ШЧ-7 (Э)",2025,2024,0 days 17:19:22.007384502,1039.3667897417,533.0102075655001,0.0046728971962616,Зима,1,1,0.0008133291219204,0.0008133291219204,0.0024399873657612,35.13581806696147,0,0,,,,,,,road,Неисправность монтажа
2,2025-01-03 05:11:07.098770448,Приволжская,CSH,"ПРИВ, ШЧ-14",2025,2024,1 days 14:32:38.884451688,2312.6480741948003,1273.2812844531002,0.0070093457943925,Зима,1,1,0.0008133291219204,0.0008133291219204,0.0024399873657612,35.13581806696147,0,0,27,"0,77ч",16,"1,68ч",0,,road,"Срабатывание (перегорание), воздействие тягового тока"
1,2025-01-05 01:36:51.574498854,Приволжская,CSH,"ПРИВ, ШЧ-8",2025,2024,3 days 10:58:23.360180094,4978.389336334901,2665.7412621401004,0.0093457943925233,Зима,1,1,0.0008133291219204,0.0008133291219204,0.0024399873657612,35.13581806696147,0,0,2,"1,97ч",2,"1,67ч",29,"1,85ч",road,Неисправность монтажа
3,2025-01-05 18:22:20.292312528,Приволжская,CSH,"ПРИВ, ШЧ-8",2025,2024,4 days 03:43:52.077993768,5983.8679665628,1005.478630227899,0.0116822429906542,Зима,1,1,0.0008133291219204,0.0008133291219204,0.0024399873657612,35.13581806696147,0,0,,,,,,,road,"Срабатывание (перегорание), воздействие тягового тока"
3,2025-01-06 18:12:51.147270366,Приволжская,CSH,"ПРИВ, ШЧ-6 (Э)",2025,2024,5 days 03:34:22.932951606,7414.3822158601,1430.5142492973,0.014018691588785,Зима,1,1,0.0008133291219204,0.0008133291219204,0.0024399873657612,35.13581806696147,0,0,,,,,,,road,"Срабатывание (перегорание), воздействие тягового тока"
3,2025-01-07 16:19:04.378118430,Приволжская,CSH,"ПРИВ, ШЧ-3 (Э)",2025,2024,6 days 01:40:36.163799670,8740.6027299945,1326.2205141344002,0.0163551401869158,Зима,1,1,0.0008133291219204,0.0008133291219204,0.0024399873657612,35.13581806696147,0,0,,,,,,,road,Неисправность монтажа
2,2025-01-08 08:43:59.129694138,Приволжская,CSH,"ПРИВ, ШЧ-8",2025,2024,6 days 18:05:30.915375378,9725.5152562563,984.9125262618,0.0186915887850467,Зима,1,1,0.0008133291219204,0.0008133291219204,0.0024399873657612,35.13581806696147,0,0,56,"4,95ч",0,,18,"0,57ч",road,Неисправность монтажа
2,2025-01-08 16:21:33.922876116,Приволжская,CSH,"ПРИВ, ШЧ-3 (Э)",2025,2024,7 days 01:43:05.708557356,10183.0951426226,457.57988636630034,0.0210280373831775,Зима,1,1,0.0008133291219204,0.0008133291219204,0.0024399873657612,35.13581806696147,0,0,37,"0,12ч",6,"0,27ч",18,"3,05ч",road,"Срабатывание (перегорание), воздействие тягового тока"
3,2025-01-09 02:04:57.047866512,Приволжская,CSH,"ПРИВ, ШЧ-14",2025,2024,7 days 11:26:28.833547752,10766.4805591292,583.3854165066004,0.0233644859813084,Зима,1,1,0.0008133291219204,0.0008133291219204,0.0024399873657612,35.13581806696147,0,0,,,,,,,road,"Срабатывание (перегорание), воздействие тягового тока"
1,2025-01-09 09:51:23.092019754,Приволжская,CSH,"ПРИВ, ШЧ-7 (Э)",2025,2024,7 days 19:12:54.877700994,11232.9146283499,466.4340692207006,0.0257009345794392,Зима,1,1,0.0008133291219204,0.0008133291219204,0.0024399873657612,35.13581806696147,0,0,34,"32,42ч",16,"0,93ч",25,"2,97ч",road,"Лампы, перегорание основной нити"
1,2025-01-11 12:58:56.546818368,Приволжская,CSH,"ПРИВ, ШЧ-6 (Э)",2025,2024,9 days 22:20:28.332499608,14300.4722083268,3067.5575799768994,0.02803738317757,Зима,1,1,0.0008133291219204,0.0008133291219204,0.0024399873657612,35.13581806696147,0,0,38,"1,75ч",6,"3,38ч",2,"2,87ч",road,Нарушение контакта монтажа муфты кабельной сети
2,2025-01-13 00:53:22.437804744,Приволжская,CSH,"ПРИВ, ШЧ-14",2025,2024,11 days 10:14:54.223485984,16454.903724766402,2154.431516439601,0.0303738317757009,Зима,1,1,0.0008133291219204,0.0008133291219204,0.0024399873657612,35.13581806696147,0,0,12,"5,08ч",20,"2,72ч",8,"1,07ч",road,"Лампы, перегорание основной нити"
2,2025-01-13 18:38:04.171008365,Приволжская,CSH,"ПРИВ, ШЧ-6 (Э)",2025,2024,12 days 03:59:35.956689605,17519.599278160083,1064.6955533936816,0.0327102803738317,Зима,1,1,0.0008133291219204,0.0008133291219204,0.0024399873657612,35.13581806696147,0,0,3,"4,17ч",0,,5,"1,37ч",road,Неисправность монтажа
2,2025-01-15 11:28:25.465341642,Приволжская,CSH,"ПРИВ, ШЧ-6 (Э)",2025,2024,13 days 20:49:57.251022882,19969.9541837147,2450.3549055546173,0.0350467289719626,Зима,1,1,0.0009929945286848,0.0008133291219204,0.0024399873657612,35.13581806696147,0,1,31,"16,43ч",13,"0,03ч",11,"0,75ч",road,Перегорание лампы линзового светофора
3,2025-01-16 09:48:40.675133742,Приволжская,CSH,"ПРИВ, ШЧ-8",2025,2024,14 days 19:10:12.460814982,21310.2076802497,1340.2534965349987,0.0373831775700934,Зима,1,1,0.0016229379781039,0.0008133291219204,0.0024399873657612,35.13581806696147,0,1,,,,,,,road,Нарушение контакта монтажа муфты кабельной сети
1,2025-01-17 09:10:05.317202796,Приволжская,CSH,"ПРИВ, ШЧ-3 (Э)",2025,2024,15 days 18:31:37.102884036,22711.6183814006,1401.4107011509004,0.0397196261682243,Зима,1,1,0.0018744353044963,0.0008133291219204,0.0024399873657612,35.13581806696147,0,1,32,"0,6ч",2,"3,57ч",26,"0,95ч",road,"Срабатывание (перегорание), воздействие тягового тока"
3,2025-01-17 10:52:51.040742970,Приволжская,CSH,"ПРИВ, ШЧ-3 (Э)",2025,2024,15 days 20:14:22.826424210,22814.3804404035,102.76205900290006,0.0420560747663551,Зима,1,1,0.0024399873657612,0.0008133291219204,0.0024399873657612,35.13581806696147,1,0,,,,,,,road,"Лампы, перегорание основной нити"
1,2025-01-17 19:30:55.320096330,Приволжская,CSH,"ПРИВ, ШЧ-7 (Э)",2025,2024,16 days 04:52:27.105777570,23332.4517629595,518.0713225559994,0.0443925233644859,Зима,1,1,0.0024399873657612,0.0008133291219204,0.0024399873657612,35.13581806696147,1,0,39,"19,4ч",2,"3,13ч",26,"0,08ч",road,"Лампы, перегорание основной нити"
3,2025-01-18 01:56:00.900043560,Приволжская,CSH,"ПРИВ, ШЧ-6 (Э)",2025,2024,16 days 11:17:32.685724800,23717.54476208,385.0929991205012,0.0467289719626168,Зима,1,1,0.0024399873657612,0.0008133291219204,0.0024399873657612,35.13581806696147,1,0,,,,,,,road,"Лампы, перегорание основной нити"
