CATEGORY,START_TIME,ROAD,DEPARTMENT,RESPONSIBILITY,YEAR,SOURCE_YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX,SEASON,SEASON_INDEX,MONTH,LAMBDA_DYNAMIC,LAMBDA0,LAMBDA1,LAMBDA_MONTH,SPIKE_FLAG,TRANSITION_FLAG,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,ENTITY_TYPE,REASON
1,2025-01-01 12:26:34.780389300,Северная,CSH,"СЕВ, ШЧ-5 (Р)",2025,2024,0 days 00:00:00,0.0,0.0,0.0,Зима,1,1,0.000793296261495,0.000793296261495,0.002379888784485,34.27039849658806,0,0,22,"30,42ч",11,"2,88ч",24,"0,5ч",road,"Внутренний монтаж, обрыв"
2,2025-01-01 12:30:59.807872116,Северная,CSH,"СЕВ, ШЧ-2",2025,2024,0 days 00:04:25.027482816,4.4171247136,4.4171247136,0.0025062656641604,Зима,1,1,0.000793296261495,0.000793296261495,0.002379888784485,34.27039849658806,0,0,16,"5,1ч",13,"3,33ч",9,"1,55ч",road,"Жилы, внутренний обрыв"
3,2025-01-04 01:14:33.907788708,Северная,CSH,"СЕВ, ШЧ-3",2025,2024,2 days 12:47:59.127399408,3647.9854566568,3643.5683319432,0.0050125313283208,Зима,1,1,0.000793296261495,0.000793296261495,0.002379888784485,34.27039849658806,0,0,,,,,,,road,"Внутренний монтаж, обрыв"
2,2025-01-04 07:26:47.650572960,Северная,CV,"СЕВ, ШЧ-4",2025,2024,2 days 19:00:12.870183660,4020.214503061,372.22904640419983,0.0075187969924812,Зима,1,1,0.000793296261495,0.000793296261495,0.002379888784485,34.27039849658806,0,0,30,"12,23ч",0,,18,"0,28ч",road,"Жилы, внутренний обрыв"
1,2025-01-05 20:44:43.942711446,Северная,CSH,"СЕВ, ШЧ-5 (Р)",2025,2024,4 days 08:18:09.162322146,6258.1527053691,2237.9382023081,0.0100250626566416,Зима,1,1,0.000793296261495,0.000793296261495,0.002379888784485,34.27039849658806,0,0,13,"15,62ч",4,"0,32ч",7,"0,3ч",road,"Жилы, внутренний обрыв"
3,2025-01-07 08:21:29.230789140,Северная,CSH,"СЕВ, ШЧ-5 (Р)",2025,2024,5 days 19:54:54.450399840,8394.907506664,2136.7548012949,0.012531328320802,Зима,1,1,0.000793296261495,0.000793296261495,0.002379888784485,34.27039849658806,0,0,,,,,,,road,Тонкий гребень колеса грузового вагона
2,2025-01-07 12:04:50.289548118,Северная,CSH,"СЕВ, ШЧ-2",2025,2024,5 days 23:38:15.509158818,8618.2584859803,223.35097931629932,0.0150375939849624,Зима,1,1,0.000793296261495,0.000793296261495,0.002379888784485,34.27039849658806,0,0,20,"6,72ч",5,"2,2ч",29,"1,62ч",road,"Внутренний монтаж, обрыв"
1,2025-01-08 01:34:41.908705368,Северная,CSH,"СЕВ, ШЧ-3",2025,2024,6 days 13:08:07.128316068,9428.1188052678,809.8603192874998,0.0175438596491228,Зима,1,1,0.000793296261495,0.000793296261495,0.002379888784485,34.27039849658806,0,0,34,"2,37ч",8,"0,78ч",29,"0,23ч",road,Разрегулирование рычажной передачи грузового вагона
3,2025-01-08 02:26:25.108904154,Северная,CSH,"СЕВ, ШЧ-4",2025,2024,6 days 13:59:50.328514854,9479.8388085809,51.72000331310119,0.0200501253132832,Зима,1,1,0.000793296261495,0.000793296261495,0.002379888784485,34.27039849658806,0,0,,,,,,,road,"Контактная система, увеличенное сопротивление"
2,2025-01-08 11:38:18.346222956,Северная,CSH,"СЕВ, ШЧ-12 (Р)",2025,2024,6 days 23:11:43.565833656,10031.7260972276,551.8872886466997,0.0225563909774436,Зима,1,1,0.000793296261495,0.000793296261495,0.002379888784485,34.27039849658806,0,0,22,"2,17ч",14,"0,13ч",9,"4,07ч",road,Разрегулирование рычажной передачи грузового вагона
2,2025-01-09 15:13:22.879751076,Северная,CSH,"СЕВ, ШЧ-12 (Р)",2025,2024,8 days 02:46:48.099361776,11686.8016560296,1655.0755588020002,0.025062656641604,Зима,1,1,0.000793296261495,0.000793296261495,0.002379888784485,34.27039849658806,0,0,25,"7,48ч",8,"1,62ч",18,"0,7ч",road,Разрегулирование рычажной передачи грузового вагона
3,2025-01-09 20:54:28.497474048,Северная,CSH,"СЕВ, ШЧ-5 (Р)",2025,2024,8 days 08:27:53.717084748,12027.8952847458,341.0936287162003,0.0275689223057644,Зима,1,1,0.000793296261495,0.000793296261495,0.002379888784485,34.27039849658806,0,0,,,,,,,road,"Контактная система, увеличенное сопротивление"
2,2025-01-09 23:31:30.574207475,Северная,CSH,"СЕВ, ШЧ-4",2025,2024,8 days 11:04:55.793818175,12184.929896969585,157.03461222378246,0.0300751879699248,Зима,1,1,0.000793296261495,0.000793296261495,0.002379888784485,34.27039849658806,0,0,5,"8,35ч",7,"11,18ч",1,"1,65ч",road,Тонкий гребень колеса грузового вагона
