CATEGORY,START_TIME,ROAD,DEPARTMENT,RESPONSIBILITY,YEAR,SOURCE_YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX,SEASON,SEASON_INDEX,MONTH,LAMBDA_DYNAMIC,LAMBDA0,LAMBDA1,LAMBDA_MONTH,SPIKE_FLAG,TRANSITION_FLAG,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,ENTITY_TYPE,REASON
2,2025-01-01 01:00:38.990757312,Южно-Уральская,CSH,"Ю-УР, ШЧ-4 (Э)",2025,2024,0 days 00:00:00,0.0,0.0,0.0,Зима,1,1,0.0006334806240957,0.0006334806240957,0.001900441872287,27.36636296093536,0,0,21,"17,2ч",4,"1,2ч",22,"2,33ч",road,Тонкий гребень колеса грузового вагона
1,2025-01-01 10:10:35.326401798,Южно-Уральская,CSH,"Ю-УР, ШЧ-4 (Э)",2025,2024,0 days 09:09:56.335644486,549.9389274081,549.9389274081,0.0028169014084507,Зима,1,1,0.0006334806240957,0.0006334806240957,0.001900441872287,27.36636296093536,0,0,30,"3,9ч",5,"2,62ч",6,"8,03ч",road,Тонкий гребень колеса грузового вагона
2,2025-01-01 22:27:45.271013964,Южно-Уральская,CSH,"Ю-УР, ШЧ-8 (Э)",2025,2024,0 days 21:27:06.280256652,1287.1046709442,737.1657435361001,0.0056338028169014,Зима,1,1,0.0006334806240957,0.0006334806240957,0.001900441872287,27.36636296093536,0,0,10,"9,27ч",9,"1,87ч",25,"0,62ч",road,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы
2,2025-01-02 09:45:05.257993584,Южно-Уральская,CSH,"Ю-УР, ШЧ-8 (Э)",2025,2024,1 days 08:44:26.267236272,1964.4377872712,677.333116327,0.0084507042253521,Зима,1,1,0.0006334806240957,0.0006334806240957,0.001900441872287,27.36636296093536,0,0,4,"0,02ч",0,,5,"2,18ч",road,Тонкий гребень колеса грузового вагона
2,2025-01-03 23:11:21.766456122,Южно-Уральская,CSH,"Ю-УР, ШЧ-8 (Э)",2025,2024,2 days 22:10:42.775698810,4210.7129283135,2246.2751410423,0.0112676056338028,Зима,1,1,0.0006334806240957,0.0006334806240957,0.001900441872287,27.36636296093536,0,0,8,"2,82ч",2,"0,18ч",50,"3,02ч",road,Тонкий гребень колеса грузового вагона
3,2025-01-04 10:51:11.656666422,Южно-Уральская,CV,"Ю-УР, ШЧ-4 (Э)",2025,2024,3 days 09:50:32.665909110,4910.5444318185,699.831503505,0.0140845070422535,Зима,1,1,0.0006334806240957,0.0006334806240957,0.001900441872287,27.36636296093536,0,0,,,,,,,road,Перегорание лампы линзового светофора
1,2025-01-07 21:22:53.817627024,Южно-Уральская,CSH,"Ю-УР, ВЧДЭ-1 ЧЕЛЯБИНСК",2025,2024,6 days 20:22:14.826869712,9862.2471144952,4951.7026826767,0.0169014084507042,Зима,1,1,0.0006334806240957,0.0006334806240957,0.001900441872287,27.36636296093536,0,0,13,"9,37ч",2,"11,18ч",37,"37,02ч",road,Тонкий гребень колеса грузового вагона
1,2025-01-13 16:44:23.370172806,Южно-Уральская,CSH,"Ю-УР, ШЧ-8 (Э)",2025,2024,12 days 15:43:44.379415494,18223.7396569249,8361.4925424297,0.0197183098591549,Зима,1,1,0.0006334806240957,0.0006334806240957,0.001900441872287,27.36636296093536,0,0,36,"11,58ч",7,"1,2ч",25,"1,65ч",road,Выщербина на ободе колеса грузового вагона
3,2025-01-14 02:45:49.265474520,Южно-Уральская,CSH,"Ю-УР, ШЧ-4 (Э)",2025,2024,13 days 01:45:10.274717208,18825.1712452868,601.431588361902,0.0225352112676056,Зима,1,1,0.0006334806240957,0.0006334806240957,0.001900441872287,27.36636296093536,0,0,,,,,,,road,Тонкий гребень колеса грузового вагона
1,2025-01-14 20:28:21.260232720,Южно-Уральская,CSH,"Ю-УР, ШЧ-4 (Э)",2025,2024,13 days 19:27:42.269475408,19887.7044912568,1062.5332459699966,0.0253521126760563,Зима,1,1,0.000669066533445,0.0006334806240957,0.001900441872287,27.36636296093536,0,1,5,"11,57ч",3,"3,33ч",3,"3,73ч",road,Тонкий гребень колеса грузового вагона
3,2025-01-15 09:49:25.971325164,Южно-Уральская,CV,"Ю-УР, ШЧ-13 (Р)",2025,2024,14 days 08:48:46.980567852,20688.7830094642,801.0785182074032,0.028169014084507,Зима,1,1,0.0010183522339441,0.0006334806240957,0.001900441872287,27.36636296093536,0,1,,,,,,,road,Тонкий гребень колеса грузового вагона
1,2025-01-15 23:29:13.757608764,Южно-Уральская,CSH,"Ю-УР, ШЧ-13 (Р)",2025,2024,14 days 22:28:34.766851452,21508.5794475242,819.7964380599988,0.0309859154929577,Зима,1,1,0.0010564570714536,0.0006334806240957,0.001900441872287,27.36636296093536,0,1,22,"3,05ч",5,"1,18ч",29,"0,32ч",road,"Лампы, перегорание основной нити"
1,2025-01-16 05:17:00.339319416,Южно-Уральская,CV,"Ю-УР, ШЧ-8 (Э)",2025,2024,15 days 04:16:21.348562104,21856.3558093684,347.77636184420044,0.0338028169014084,Зима,1,1,0.0013478167914598,0.0006334806240957,0.001900441872287,27.36636296093536,0,1,13,"51,07ч",15,"4,65ч",8,"3,72ч",road,Перегорание лампы линзового светофора
3,2025-01-16 06:52:31.030309266,Южно-Уральская,CSH,"Ю-УР, ШЧ-13 (Р)",2025,2024,15 days 05:51:52.039551954,21951.8673258659,95.51151649749954,0.0366197183098591,Зима,1,1,0.001900441872287,0.0006334806240957,0.001900441872287,27.36636296093536,1,0,,,,,,,road,Тонкий гребень колеса грузового вагона
1,2025-01-16 07:22:02.368602642,Южно-Уральская,CSH,"Ю-УР, ШЧ-8 (Э)",2025,2024,15 days 06:21:23.377845330,21981.3896307555,29.52230488960049,0.0394366197183098,Зима,1,1,0.001900441872287,0.0006334806240957,0.001900441872287,27.36636296093536,1,0,30,"14,42ч",15,"1,53ч",15,"0,65ч",road,Тонкий гребень колеса грузового вагона
1,2025-01-16 08:21:12.266797590,Южно-Уральская,CSH,"Ю-УР, ШЧ-4 (Э)",2025,2024,15 days 07:20:33.276040278,22040.554600671298,59.16496991579697,0.0422535211267605,Зима,1,1,0.001900441872287,0.0006334806240957,0.001900441872287,27.36636296093536,1,0,20,"14,02ч",7,"2,83ч",7,"2,12ч",road,Тонкий гребень колеса грузового вагона
1,2025-01-17 04:39:38.892958758,Южно-Уральская,CV,"Ю-УР, ШЧ-8 (Э)",2025,2024,16 days 03:38:59.902201446,23258.9983700241,1218.4437693528016,0.0450704225352112,Зима,1,1,0.001900441872287,0.0006334806240957,0.001900441872287,27.36636296093536,1,0,38,"9,08ч",9,"3,13ч",70,"3,55ч",road,Тонкий гребень колеса грузового вагона
1,2025-01-17 07:32:46.741700172,Южно-Уральская,CSH,"Ю-УР, ШЧ-13 (Р)",2025,2024,16 days 06:32:07.750942860,23432.129182381,173.1308123568997,0.0478873239436619,Зима,1,1,0.001900441872287,0.0006334806240957,0.001900441872287,27.36636296093536,1,0,22,"4,73ч",13,"10,15ч",12,"0,83ч",road,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы
1,2025-01-17 08:14:50.395168236,Южно-Уральская,CV,"Ю-УР, ШЧ-13 (Р)",2025,2024,16 days 07:14:11.404410924,23474.1900735154,42.06089113440248,0.0507042253521126,Зима,1,1,0.001900441872287,0.0006334806240957,0.001900441872287,27.36636296093536,1,0,28,"19,53ч",6,"1,63ч",12,"1,72ч",road,Тонкий гребень колеса грузового вагона
3,2025-01-17 16:48:53.204906892,Южно-Уральская,CSH,"Ю-УР, ШЧ-4 (Э)",2025,2024,16 days 15:48:14.214149580,23988.236902493,514.0468289776,0.0535211267605633,Зима,1,1,0.001900441872287,0.0006334806240957,0.001900441872287,27.36636296093536,1,0,,,,,,,road,Тонкий гребень колеса грузового вагона
2,2025-01-17 17:30:05.061157956,Южно-Уральская,CSH,"Ю-УР, ШЧ-8 (Э)",2025,2024,16 days 16:29:26.070400644,24029.4345066774,41.1976041843991,0.056338028169014,Зима,1,1,0.001900441872287,0.0006334806240957,0.001900441872287,27.36636296093536,1,0,28,"0,58ч",9,"2,8ч",7,"0,15ч",road,Тонкий гребень колеса грузового вагона
2,2025-01-17 18:08:18.031647276,Южно-Уральская,CSH,"Ю-УР, ШЧ-4 (Э)",2025,2024,16 days 17:07:39.040889964,24067.6506814994,38.21617482199872,0.0591549295774647,Зима,1,1,0.001900441872287,0.0006334806240957,0.001900441872287,27.36636296093536,1,0,17,"9,73ч",14,"2,27ч",6,"0,05ч",road,Тонкий гребень колеса грузового вагона
2,2025-01-18 02:39:36.965258358,Южно-Уральская,CSH,"Ю-УР, ШЧ-8 (Э)",2025,2024,17 days 01:38:57.974501046,24578.9662416841,511.3155601846993,0.0619718309859154,Зима,1,1,0.001900441872287,0.0006334806240957,0.001900441872287,27.36636296093536,1,0,15,"8,9ч",4,"1,18ч",7,"0,37ч",road,Тонкий гребень колеса грузового вагона
3,2025-01-18 10:30:33.771334614,Южно-Уральская,CSH,"Ю-УР, ВЧДЭ-1 ЧЕЛЯБИНСК",2025,2024,17 days 09:29:54.780577302,25049.9130096217,470.946767937603,0.0647887323943662,Зима,1,1,0.001900441872287,0.0006334806240957,0.001900441872287,27.36636296093536,1,0,,,,,,,road,Тонкий гребень колеса грузового вагона
2,2025-01-18 10:52:51.208304682,Южно-Уральская,CSH,"Ю-УР, ШЧ-8 (Э)",2025,2024,17 days 09:52:12.217547370,25072.203625789494,22.290616167796543,0.0676056338028169,Зима,1,1,0.001900441872287,0.0006334806240957,0.001900441872287,27.36636296093536,1,0,6,"3,53ч",0,,24,"0,97ч",road,Выщербина на ободе колеса грузового вагона
1,2025-01-18 16:17:33.143071914,Южно-Уральская,CSH,"Ю-УР, ШЧ-4 (Э)",2025,2024,17 days 15:16:54.152314602,25396.902538576694,324.69891278720024,0.0704225352112676,Зима,1,1,0.001900441872287,0.0006334806240957,0.001900441872287,27.36636296093536,1,0,8,"4,77ч",16,"0,57ч",4,"1,55ч",road,Тонкий гребень колеса грузового вагона
