CATEGORY,START_TIME,ROAD
3,2023-01-01 07:15:00,Восточно-Сибирская
1,2023-02-01 11:05:00,Красноярская
2,2023-03-01 00:11:00,Октябрьская
3,2023-03-01 01:00:00,Октябрьская
3,2023-03-01 03:08:00,Восточно-Сибирская
3,2023-04-01 02:18:00,Московская
3,2023-04-01 02:36:00,Восточно-Сибирская
3,2023-04-01 10:52:00,Восточно-Сибирская
3,2023-04-01 21:35:00,Восточно-Сибирская
2,2023-05-01 14:56:00,Свердловская
3,2023-05-01 20:09:00,Восточно-Сибирская
1,2023-06-01 00:20:00,Октябрьская
2,2023-06-01 01:25:00,Северная
3,2023-06-01 12:50:00,Московская
2,2023-06-01 14:44:00,Октябрьская
3,2023-06-01 15:58:00,Восточно-Сибирская
3,2023-07-01 11:18:00,Октябрьская
1,2023-07-01 21:35:00,Октябрьская
1,2023-08-01 16:42:00,Юго-Восточная
1,2023-08-01 20:03:00,Северо-Кавказская
3,2023-08-01 23:23:00,Московская
1,2023-09-01 05:40:00,Северо-Кавказская
1,2023-09-01 09:02:00,Дальневосточная
3,2023-09-01 23:50:00,Северо-Кавказская
2,2023-10-01 03:43:00,Октябрьская
3,2023-10-01 04:32:00,Северная
3,2023-10-01 11:50:00,Октябрьская
3,2023-10-01 18:45:00,Восточно-Сибирская
3,2023-10-01 20:06:00,Западно-Сибирская
1,2023-10-01 23:20:00,Забайкальская
3,2023-11-01 07:13:00,Восточно-Сибирская
3,2023-11-01 09:55:00,Московская
3,2023-11-01 13:10:00,Восточно-Сибирская
3,2023-12-01 18:01:00,Восточно-Сибирская
3,2023-12-01 21:30:00,Северо-Кавказская
1,2023-01-13 05:25:00,Красноярская
2,2023-01-13 05:38:00,Восточно-Сибирская
3,2023-01-13 11:00:00,Октябрьская
3,2023-01-13 20:00:00,Красноярская
3,2023-01-14 14:03:00,Московская
3,2023-01-14 14:30:00,Свердловская
3,2023-01-14 15:22:00,Восточно-Сибирская
3,2023-01-14 22:10:00,Московская
3,2023-01-15 07:50:00,Свердловская
3,2023-01-15 13:45:00,Красноярская
3,2023-01-15 18:50:00,Западно-Сибирская
3,2023-01-17 05:02:00,Восточно-Сибирская
2,2023-01-17 05:48:00,Московская
2,2023-01-17 23:57:00,Западно-Сибирская
3,2023-01-18 00:50:00,Северо-Кавказская
3,2023-01-18 09:00:00,Восточно-Сибирская
3,2023-01-18 22:26:00,Западно-Сибирская
3,2023-01-19 03:43:00,Восточно-Сибирская
2,2023-01-19 04:17:00,Восточно-Сибирская
3,2023-01-19 07:46:00,Западно-Сибирская
1,2023-01-19 23:01:00,Октябрьская
1,2023-01-20 00:33:00,Забайкальская
2,2023-01-20 00:46:00,Московская
3,2023-01-20 07:53:00,Западно-Сибирская
1,2023-01-21 03:52:00,Октябрьская
3,2023-01-21 04:40:00,Южно-Уральская
3,2023-01-21 09:56:00,Восточно-Сибирская
2,2023-01-21 15:59:00,Октябрьская
3,2023-01-21 21:42:00,Западно-Сибирская
1,2023-01-21 22:14:00,Западно-Сибирская
2,2023-01-22 03:29:00,Забайкальская
3,2023-01-22 10:32:00,Красноярская
3,2023-01-22 21:01:00,Восточно-Сибирская
3,2023-01-22 22:45:00,Восточно-Сибирская
3,2023-01-23 00:26:00,Октябрьская
3,2023-01-23 08:45:00,Западно-Сибирская
3,2023-01-24 12:56:00,Западно-Сибирская
1,2023-01-24 18:50:00,Свердловская
3,2023-01-25 08:34:00,Горьковская
3,2023-01-25 16:18:00,Юго-Восточная
1,2023-01-25 21:50:00,Северо-Кавказская
3,2023-01-25 22:20:00,Восточно-Сибирская
3,2023-01-26 04:54:00,Московская
3,2023-01-26 09:49:00,Октябрьская
3,2023-01-27 02:05:00,Октябрьская
3,2023-01-27 08:30:00,Октябрьская
2,2023-01-28 04:42:00,Московская
2,2023-01-28 15:58:00,Восточно-Сибирская
3,2023-01-28 21:09:00,Московская
2,2023-01-29 04:55:00,Красноярская
3,2023-01-29 18:53:00,Западно-Сибирская
3,2023-01-30 09:50:00,Западно-Сибирская
3,2023-01-31 02:48:00,Западно-Сибирская
3,2023-01-31 08:00:00,Западно-Сибирская
3,2023-01-31 09:30:00,Московская
3,2023-01-31 11:23:00,Западно-Сибирская
3,2023-01-31 15:50:00,Октябрьская
1,2023-01-31 18:20:00,Октябрьская
2,2023-01-02 04:34:00,Западно-Сибирская
3,2023-01-02 07:32:00,Западно-Сибирская
3,2023-01-02 14:30:00,Западно-Сибирская
1,2023-01-02 18:00:00,Октябрьская
1,2023-02-02 10:00:00,Восточно-Сибирская
3,2023-03-02 02:05:00,Октябрьская
3,2023-04-02 14:20:00,Московская
2,2023-04-02 14:58:00,Северная
2,2023-04-02 15:07:00,Октябрьская
3,2023-04-02 18:10:00,Московская
3,2023-07-02 06:48:00,Западно-Сибирская
1,2023-07-02 06:51:00,Северо-Кавказская
2,2023-07-02 08:38:00,Красноярская
1,2023-07-02 10:50:00,Октябрьская
1,2023-07-02 21:10:00,Красноярская
2,2023-08-02 14:49:00,Московская
3,2023-09-02 00:25:00,Октябрьская
3,2023-11-02 01:01:00,Октябрьская
2,2023-12-02 01:17:00,Октябрьская
1,2023-12-02 03:30:00,Восточно-Сибирская
2,2023-02-13 03:18:00,Октябрьская
1,2023-02-13 11:10:00,Октябрьская
1,2023-02-14 04:46:00,Октябрьская
3,2023-02-15 00:00:00,Октябрьская
2,2023-02-15 01:54:00,Красноярская
3,2023-02-15 16:40:00,Московская
3,2023-02-15 21:00:00,Московская
3,2023-02-15 21:15:00,Южно-Уральская
3,2023-02-16 02:09:00,Юго-Восточная
3,2023-02-16 02:10:00,Московская
3,2023-02-16 17:15:00,Восточно-Сибирская
2,2023-02-16 22:44:00,Октябрьская
1,2023-02-17 04:05:00,Октябрьская
3,2023-02-17 18:53:00,Южно-Уральская
3,2023-02-18 08:38:00,Горьковская
3,2023-02-19 08:27:00,Московская
3,2023-02-19 20:58:00,Западно-Сибирская
3,2023-02-20 04:30:00,Западно-Сибирская
3,2023-02-20 10:42:00,Западно-Сибирская
3,2023-02-20 11:13:00,Октябрьская
3,2023-02-20 13:24:00,Октябрьская
2,2023-02-20 16:22:00,Октябрьская
3,2023-02-20 23:20:00,Восточно-Сибирская
3,2023-02-22 10:12:00,Восточно-Сибирская
3,2023-02-23 01:42:00,Свердловская
3,2023-02-23 08:36:00,Московская
3,2023-02-23 08:57:00,Октябрьская
3,2023-02-23 12:17:00,Московская
3,2023-02-24 08:00:00,Западно-Сибирская
2,2023-02-24 09:19:00,Октябрьская
3,2023-02-25 15:36:00,Московская
1,2023-02-28 06:25:00,Октябрьская
1,2023-02-28 23:20:00,Октябрьская
3,2023-02-03 19:41:00,Московская
3,2023-03-03 01:25:00,Октябрьская
3,2023-03-03 19:50:00,Московская
3,2023-04-03 15:00:00,Октябрьская
1,2023-05-03 05:26:00,Свердловская
3,2023-05-03 07:30:00,Западно-Сибирская
3,2023-05-03 15:05:00,Западно-Сибирская
2,2023-06-03 05:15:00,Свердловская
3,2023-06-03 06:57:00,Западно-Сибирская
3,2023-07-03 01:53:00,Октябрьская
3,2023-07-03 17:45:00,Западно-Сибирская
1,2023-08-03 09:10:00,Горьковская
3,2023-09-03 05:21:00,Красноярская
3,2023-09-03 14:46:00,Западно-Сибирская
2,2023-09-03 22:09:00,Западно-Сибирская
2,2023-10-03 03:35:00,Московская
2,2023-10-03 07:47:00,Приволжская
1,2023-10-03 08:47:00,Северо-Кавказская
3,2023-11-03 12:52:00,Октябрьская
1,2023-11-03 20:35:00,Северо-Кавказская
3,2023-03-14 05:04:00,Западно-Сибирская
3,2023-03-15 10:01:00,Московская
3,2023-03-16 04:02:00,Восточно-Сибирская
1,2023-03-17 00:27:00,Московская
2,2023-03-19 06:49:00,Красноярская
3,2023-03-21 22:01:00,Октябрьская
3,2023-03-22 08:16:00,Западно-Сибирская
3,2023-03-22 18:32:00,Красноярская
3,2023-03-23 12:01:00,Московская
3,2023-03-23 16:16:00,Западно-Сибирская
3,2023-03-24 00:52:00,Октябрьская
1,2023-03-24 09:00:00,Куйбышевская
3,2023-03-24 11:20:00,Западно-Сибирская
3,2023-03-25 17:20:00,Западно-Сибирская
1,2023-03-25 22:10:00,Западно-Сибирская
3,2023-03-26 03:12:00,Московская
2,2023-03-26 19:20:00,Красноярская
2,2023-03-27 19:32:00,Восточно-Сибирская
3,2023-03-28 02:27:00,Октябрьская
3,2023-03-28 14:46:00,Московская
2,2023-03-29 03:10:00,Октябрьская
1,2023-03-29 06:10:00,Северо-Кавказская
1,2023-03-30 17:56:00,Северо-Кавказская
2,2023-03-30 19:17:00,Южно-Уральская
2,2023-01-04 01:09:00,Московская
3,2023-01-04 01:54:00,Московская
3,2023-02-04 10:05:00,Западно-Сибирская
3,2023-03-04 21:02:00,Западно-Сибирская
3,2023-04-04 06:40:00,Свердловская
1,2023-04-04 09:40:00,Куйбышевская
3,2023-04-04 11:37:00,Западно-Сибирская
2,2023-05-04 12:37:00,Западно-Сибирская
1,2023-05-04 15:40:00,Северо-Кавказская
2,2023-05-04 23:00:00,Красноярская
