CATEGORY,START_TIME,ROAD
2,2024-01-01 09:35:00,Забайкальская
2,2024-01-01 16:03:00,Забайкальская
3,2024-01-01 21:55:00,Свердловская
2,2024-02-01 02:30:00,Восточно-Сибирская
3,2024-02-01 04:49:00,Северо-Кавказская
2,2024-04-01 01:40:00,Забайкальская
2,2024-04-01 02:26:00,Забайкальская
3,2024-04-01 08:30:00,Западно-Сибирская
2,2024-04-01 15:34:00,Восточно-Сибирская
3,2024-06-01 04:20:00,Западно-Сибирская
3,2024-06-01 06:31:00,Западно-Сибирская
2,2024-06-01 17:14:00,Забайкальская
2,2024-07-01 00:50:00,Западно-Сибирская
3,2024-07-01 01:40:00,Восточно-Сибирская
2,2024-07-01 11:00:00,Забайкальская
3,2024-07-01 12:31:00,Забайкальская
3,2024-07-01 14:54:00,Западно-Сибирская
3,2024-07-01 20:13:00,Восточно-Сибирская
3,2024-08-01 00:09:00,Забайкальская
3,2024-08-01 09:32:00,Восточно-Сибирская
3,2024-08-01 20:22:00,Свердловская
1,2024-08-01 21:00:00,Западно-Сибирская
1,2024-10-01 01:41:00,Западно-Сибирская
2,2024-10-01 17:07:00,Западно-Сибирская
3,2024-10-01 23:46:00,Южно-Уральская
3,2024-11-01 01:00:00,Красноярская
3,2024-11-01 02:39:00,Куйбышевская
3,2024-11-01 04:21:00,Куйбышевская
2,2024-11-01 09:33:00,Восточно-Сибирская
3,2024-11-01 09:36:00,Свердловская
3,2024-11-01 11:50:00,Западно-Сибирская
3,2024-11-01 13:13:00,Дальневосточная
3,2024-11-01 22:28:00,Октябрьская
3,2024-11-01 23:56:00,Восточно-Сибирская
2,2024-12-01 01:22:00,Красноярская
1,2024-12-01 16:50:00,Забайкальская
2,2024-01-13 04:07:00,Восточно-Сибирская
2,2024-01-13 13:34:00,Забайкальская
3,2024-01-13 15:55:00,Свердловская
3,2024-01-13 18:10:00,Западно-Сибирская
2,2024-01-14 01:45:00,Западно-Сибирская
3,2024-01-14 02:20:00,Октябрьская
3,2024-01-14 04:00:00,Западно-Сибирская
3,2024-01-15 01:50:00,Восточно-Сибирская
3,2024-01-15 09:55:00,Забайкальская
3,2024-01-15 11:23:00,Свердловская
3,2024-01-15 13:50:00,Южно-Уральская
2,2024-01-15 16:10:00,Свердловская
3,2024-01-16 00:30:00,Куйбышевская
2,2024-01-16 09:04:00,Забайкальская
3,2024-01-16 21:14:00,Южно-Уральская
3,2024-01-17 05:00:00,Забайкальская
3,2024-01-17 09:29:00,Южно-Уральская
2,2024-01-17 15:08:00,Забайкальская
2,2024-01-17 19:00:00,Восточно-Сибирская
3,2024-01-17 19:23:00,Западно-Сибирская
3,2024-01-17 19:33:00,Куйбышевская
3,2024-01-17 20:10:00,Красноярская
1,2024-01-18 08:25:00,Октябрьская
2,2024-01-18 11:05:00,Забайкальская
3,2024-01-18 13:00:00,Восточно-Сибирская
2,2024-01-19 12:33:00,Восточно-Сибирская
3,2024-01-20 07:03:00,Восточно-Сибирская
2,2024-01-20 12:11:00,Красноярская
3,2024-01-20 13:05:00,Южно-Уральская
2,2024-01-20 16:10:00,Забайкальская
3,2024-01-21 00:34:00,Западно-Сибирская
3,2024-01-21 08:40:00,Дальневосточная
3,2024-01-21 08:51:00,Восточно-Сибирская
3,2024-01-21 09:39:00,Западно-Сибирская
3,2024-01-21 10:27:00,Октябрьская
2,2024-01-21 19:03:00,Красноярская
3,2024-01-21 22:43:00,Южно-Уральская
2,2024-01-22 07:15:00,Восточно-Сибирская
2,2024-01-22 08:25:00,Восточно-Сибирская
3,2024-01-22 13:08:00,Южно-Уральская
2,2024-01-22 15:05:00,Красноярская
3,2024-01-22 19:00:00,Свердловская
3,2024-01-22 20:00:00,Свердловская
3,2024-01-22 20:08:00,Южно-Уральская
3,2024-01-23 04:30:00,Западно-Сибирская
3,2024-01-23 08:08:00,Октябрьская
2,2024-01-23 09:30:00,Забайкальская
2,2024-01-23 10:35:00,Красноярская
3,2024-01-23 11:24:00,Восточно-Сибирская
3,2024-01-23 13:14:00,Куйбышевская
3,2024-01-23 15:43:00,Южно-Уральская
3,2024-01-23 20:05:00,Южно-Уральская
3,2024-01-24 00:31:00,Октябрьская
2,2024-01-24 00:48:00,Западно-Сибирская
3,2024-01-24 02:20:00,Красноярская
3,2024-01-24 13:35:00,Восточно-Сибирская
2,2024-01-25 02:32:00,Красноярская
3,2024-01-25 11:13:00,Дальневосточная
2,2024-01-25 17:02:00,Восточно-Сибирская
2,2024-01-25 20:00:00,Красноярская
3,2024-01-26 00:11:00,Забайкальская
3,2024-01-26 02:32:00,Западно-Сибирская
2,2024-01-26 09:48:00,Красноярская
3,2024-01-26 10:58:00,Восточно-Сибирская
3,2024-01-26 16:58:00,Красноярская
3,2024-01-26 17:12:00,Октябрьская
3,2024-01-26 19:54:00,Забайкальская
3,2024-01-27 08:43:00,Красноярская
3,2024-01-28 02:09:00,Западно-Сибирская
2,2024-01-28 08:40:00,Восточно-Сибирская
3,2024-01-28 13:49:00,Восточно-Сибирская
3,2024-01-28 19:00:00,Куйбышевская
2,2024-01-29 21:02:00,Западно-Сибирская
3,2024-01-30 00:02:00,Октябрьская
3,2024-01-30 10:48:00,Красноярская
2,2024-01-30 12:00:00,Восточно-Сибирская
3,2024-01-30 13:00:00,Западно-Сибирская
3,2024-01-30 13:00:00,Дальневосточная
1,2024-01-30 17:37:00,Забайкальская
1,2024-01-31 00:55:00,Восточно-Сибирская
