delta,arl0_target,h_analytic,arl1_analytic,eff_analytic,arl0_mc,arl1_mc,eff_mc,h_mc
1.25,100,1.2949258084184976,34.09975874703203,2.9325720672057187,85.063,32.909,2.5847944331337933,1.8949258084184972
1.25,250,2.0261258124540724,62.4131423619434,4.005566624897871,259.1125,58.971,4.393897000220448,2.6261258124540734
1.25,500,2.579257262540909,83.8313902412457,5.964352953722054,507.4085,83.171,6.100786331774296,3.17925726254091
1.25,1000,3.132388712627746,105.24963812054803,9.501220316355356,931.396,105.483,8.829820919010645,3.732388712627747
1.5,100,1.9136237835268899,21.404110306252335,4.67199984345012,87.693,20.037,4.376553376253931,2.513623783526891
1.5,250,2.768523036365476,32.76611538149184,7.629833353428712,249.238,32.249,7.728549722472014,3.368523036365477
1.5,500,3.415229355827905,41.36114042043518,12.088641534481638,486.045,40.7,11.942137592137591,3.915229355827906
1.5,1000,4.061935675290334,49.9561654593785,20.0175492014723,950.0115,49.97,19.011636982189312,4.561935675290335
2.0,100,2.6434651450147943,13.429023700182363,7.446557712057804,100.4415,12.499,8.035962877030162,3.2434651450147953
2.0,250,3.505694723708373,17.86387084245327,13.994727246117234,252.115,16.7965,15.009972315660999,4.105694723708374
2.0,500,4.1579462206152815,21.218703196363407,23.564116778149433,510.585,19.899,25.658827076737523,4.657946220615282
2.0,1000,4.81019771752219,24.57353555027354,40.694184927283224,971.4735,23.757,40.89209496148503,5.310197717522186
2.5,100,2.920409910222461,10.093924172843323,9.90694979352429,99.377,9.0055,11.035145189051136,3.520409910222462
2.5,250,3.8082956294085166,12.916099627015718,19.355688421378552,251.1115,11.809,21.264416970107547,4.3082956294085175
2.5,500,4.4799552473711035,15.05099294314035,33.220399603461395,510.6465,13.831,36.92043236208517,4.979955247371104
2.5,1000,5.15161486533369,17.185886259264983,58.18728140720097,957.409,16.178,59.179688465817776,5.651614865333687
3.0,100,3.099856441896354,8.297684620333087,12.051554689720877,103.114,7.3995,13.93526589634435,3.699856441896355
3.0,250,3.995988777669276,10.368501674368675,24.111487643196256,246.027,9.3805,26.227493203986995,4.495988777669277
3.0,500,4.673886720256903,11.935014302434151,41.89354007711786,506.777,11.032,45.93700145032632,5.1738867202569
3.0,1000,5.35178466284453,13.501526930499628,74.06569680211679,960.045,12.4815,76.91743780795576,5.851784662844526
