delta,ARL1_target,h_best,ARL0_best,ARL1_best,E_best
1.25,20,0.7,25.429,14.8595,1.711295804031091
1.25,30,1.0999999999999999,60.1665,27.1205,2.2184878597370994
1.25,40,1.2999999999999998,88.7305,34.17,2.5967369037167107
1.25,50,1.6999999999999997,161.51,49.243,3.2798570355177383
1.25,60,1.8999999999999997,213.302,53.5765,3.981260440678282
1.5,20,1.6999999999999997,63.328,17.342,3.651712605235844
1.5,30,2.4999999999999996,184.155,27.724,6.6424397633819074
1.5,40,3.2999999999999994,444.007,38.487,11.536544807337542
1.5,50,4.1,1043.1775,49.251,21.180838967736697
1.5,60,4.699999999999999,1989.308,56.5115,35.20182617697283
2.0,20,4.1,490.9725,19.7505,24.8587377534746
2.0,30,5.899999999999999,2929.826,29.1585,100.47931135003515
2.0,40,6.299999999999999,4372.718,31.0965,140.61769009374046
2.0,50,6.299999999999999,4521.5135,30.743,147.0745698207722
2.0,60,6.299999999999999,4334.0395,31.2615,138.6382451257937
2.5,20,6.299999999999999,3176.1165,19.63,161.79910850738668
2.5,30,6.299999999999999,3177.0885,19.6485,161.69623635392014
2.5,40,6.299999999999999,3280.48,19.739,166.19281625208976
2.5,50,6.299999999999999,3050.828,19.608,155.59098327213383
2.5,60,6.299999999999999,3072.0715,19.4805,157.69982803316137
3.0,20,6.299999999999999,2493.1375,14.563,171.1966971091121
3.0,30,6.299999999999999,2557.427,14.7675,173.1794142542746
3.0,40,6.299999999999999,2590.124,14.8375,174.56606571187868
3.0,50,6.299999999999999,2715.7865,14.6555,185.308348401624
3.0,60,6.299999999999999,2563.043,14.6005,175.54487860004795
