source,csv_name,out_stem,alarm_count,events_path,full_path,error
road,Восточно-Сибирская_2024.csv,Восточно-Сибирская-2024,5,KASANT\cusum_results\2024\by_road_year\Восточно-Сибирская-2024_cusum_events.csv,KASANT\cusum_results\2024\by_road_year\Восточно-Сибирская-2024.csv,
road,Горьковская_2024.csv,Горьковская-2024,4,KASANT\cusum_results\2024\by_road_year\Горьковская-2024_cusum_events.csv,KASANT\cusum_results\2024\by_road_year\Горьковская-2024.csv,
road,Дальневосточная_2024.csv,Дальневосточная-2024,2,KASANT\cusum_results\2024\by_road_year\Дальневосточная-2024_cusum_events.csv,KASANT\cusum_results\2024\by_road_year\Дальневосточная-2024.csv,
road,Забайкальская_2024.csv,Забайкальская-2024,0,KASANT\cusum_results\2024\by_road_year\Забайкальская-2024_cusum_events.csv,KASANT\cusum_results\2024\by_road_year\Забайкальская-2024.csv,
road,Западно-Сибирская_2024.csv,Западно-Сибирская-2024,1,KASANT\cusum_results\2024\by_road_year\Западно-Сибирская-2024_cusum_events.csv,KASANT\cusum_results\2024\by_road_year\Западно-Сибирская-2024.csv,
road,Красноярская_2024.csv,Красноярская-2024,0,KASANT\cusum_results\2024\by_road_year\Красноярская-2024_cusum_events.csv,KASANT\cusum_results\2024\by_road_year\Красноярская-2024.csv,
road,Куйбышевская_2024.csv,Куйбышевская-2024,0,KASANT\cusum_results\2024\by_road_year\Куйбышевская-2024_cusum_events.csv,KASANT\cusum_results\2024\by_road_year\Куйбышевская-2024.csv,
road,Московская_2024.csv,Московская-2024,2,KASANT\cusum_results\2024\by_road_year\Московская-2024_cusum_events.csv,KASANT\cusum_results\2024\by_road_year\Московская-2024.csv,
road,Октябрьская_2024.csv,Октябрьская-2024,11,KASANT\cusum_results\2024\by_road_year\Октябрьская-2024_cusum_events.csv,KASANT\cusum_results\2024\by_road_year\Октябрьская-2024.csv,
road,Приволжская_2024.csv,Приволжская-2024,0,KASANT\cusum_results\2024\by_road_year\Приволжская-2024_cusum_events.csv,KASANT\cusum_results\2024\by_road_year\Приволжская-2024.csv,
road,Свердловская_2024.csv,Свердловская-2024,1,KASANT\cusum_results\2024\by_road_year\Свердловская-2024_cusum_events.csv,KASANT\cusum_results\2024\by_road_year\Свердловская-2024.csv,
road,Северная_2024.csv,Северная-2024,1,KASANT\cusum_results\2024\by_road_year\Северная-2024_cusum_events.csv,KASANT\cusum_results\2024\by_road_year\Северная-2024.csv,
road,Северо-Кавказская_2024.csv,Северо-Кавказская-2024,1,KASANT\cusum_results\2024\by_road_year\Северо-Кавказская-2024_cusum_events.csv,KASANT\cusum_results\2024\by_road_year\Северо-Кавказская-2024.csv,
road,Юго-Восточная_2024.csv,Юго-Восточная-2024,0,KASANT\cusum_results\2024\by_road_year\Юго-Восточная-2024_cusum_events.csv,KASANT\cusum_results\2024\by_road_year\Юго-Восточная-2024.csv,
road,Южно-Уральская_2024.csv,Южно-Уральская-2024,1,KASANT\cusum_results\2024\by_road_year\Южно-Уральская-2024_cusum_events.csv,KASANT\cusum_results\2024\by_road_year\Южно-Уральская-2024.csv,
department,CSH_2024.csv,CSH-2024,30,KASANT\cusum_results\2024\by_department_year\CSH-2024_cusum_events.csv,KASANT\cusum_results\2024\by_department_year\CSH-2024.csv,
department,CT_2024.csv,CT-2024,3,KASANT\cusum_results\2024\by_department_year\CT-2024_cusum_events.csv,KASANT\cusum_results\2024\by_department_year\CT-2024.csv,
department,CV_2024.csv,CV-2024,3,KASANT\cusum_results\2024\by_department_year\CV-2024_cusum_events.csv,KASANT\cusum_results\2024\by_department_year\CV-2024.csv,
