CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX,SEASON,LAMBDA0,CUSUM_ALARM
2,13160059,2024-01-01 02:32:00,Свердловская,"СВЕРД, ШЧ-2","2шт ч(к учету 1,15ч)",,"3шт ч(к учету 0,37)ч",Неисправность,CSH,2024,2.0,"1,15ч",,,3.0,"0,37ч",0 days 00:00:00,0.0,0.0,1,0.0,Зима,0.0169355467227807,0
2,13160084,2024-01-01 03:50:00,Московская,"МОСК, ШЧ-34","1шт ч(к учету 0,32ч)",,,Нарушение контакта штепсель/рельс,CSH,2024,1.0,"0,32ч",,,,,0 days 01:18:00,78.0,78.0,2,0.0001069404341781,Зима,0.0169355467227807,0
2,13160087,2024-01-01 04:16:00,Восточно-Сибирская,"В-СИБ, ШЧ-6 (Р)",,,"1шт ч(к учету 0,1)ч","Внутренний монтаж, обрыв",CSH,2024,,,,,1.0,"0,1ч",0 days 01:44:00,104.0,26.0,3,0.0002138808683563,Зима,0.0169355467227807,0
2,13160086,2024-01-01 04:18:00,Западно-Сибирская,"З-СИБ, ШЧ-2","4шт (к учету 3) ч(к учету 1,97ч)",,,"Клеммная колодка резьб, излом штыря",CSH,2024,3.0,"1,97ч",,,,,0 days 01:46:00,106.0,2.0,4,0.0003208213025344,Зима,0.0169355467227807,0
3,13160110,2024-01-01 05:45:00,Октябрьская,"ОКТ, ШЧ-12",,,,Обрыв жил контрольного кабеля линий СЦБ,CSH,2024,,,,,,,0 days 03:13:00,193.0,87.0,5,0.0004277617367126,Зима,0.0169355467227807,0
3,13160146,2024-01-01 07:03:00,Западно-Сибирская,"З-СИБ, ШЧ-6",,,,"Жилы, внутренний обрыв",CSH,2024,,,,,,,0 days 04:31:00,271.0,78.0,6,0.0005347021708908,Зима,0.0169355467227807,0
2,13160143,2024-01-01 07:21:00,Северо-Кавказская,"С-КАВ, ШЧ-12",,"1шт ч(к учету 0,2ч)",,"Основная обмотка, обрыв",CSH,2024,,,1.0,"0,2ч",,,0 days 04:49:00,289.0,18.0,7,0.0006416426050689,Зима,0.0169355467227807,0
3,13160869,2024-01-01 07:32:00,Восточно-Сибирская,"В-СИБ, ШЧ-5 ИРКУТСК-СОРТИРОВОЧНЫЙ",,,,"Нарушение контакта в штепсельных розетках, неисправность контактных губок",CSH,2024,,,,,,,0 days 05:00:00,300.0,11.0,8,0.0007485830392471,Зима,0.0169355467227807,0
2,13160284,2024-01-01 11:01:00,Забайкальская,"ЗАБ, ШЧ-2","8шт ч(к учету 2,17ч)","2шт (к учету 1) ч(к учету 0,5ч)",,Ослабление крепления,CSH,2024,8.0,"2,17ч",1.0,"0,5ч",,,0 days 08:29:00,509.0,209.0,9,0.0008555234734253,Зима,0.0169355467227807,0
2,13160290,2024-01-01 11:22:00,Северо-Кавказская,"С-КАВ, ШЧ-4 (Э)",,,"3шт (к учету 2) ч(к учету 0,37)ч","Нарушение контакта в разъемах блоков, неисправность контактных губок",CSH,2024,,,,,2.0,"0,37ч",0 days 08:50:00,530.0,21.0,10,0.0009624639076034,Зима,0.0169355467227807,0
3,13160341,2024-01-01 14:29:00,Северная,"СЕВ, ШЧ-10",,,,Потеря контакта в дужке,CSH,2024,,,,,,,0 days 11:57:00,717.0,187.0,11,0.0010694043417816,Зима,0.0169355467227807,0
3,13160423,2024-01-01 19:27:00,Южно-Уральская,"Ю-УР, ИЧ Ю-УР Ш",,,,"Резистор, обрыв",CSH,2024,,,,,,,0 days 16:55:00,1015.0,298.0,12,0.0011763447759597,Зима,0.0169355467227807,0
2,13160457,2024-01-01 19:52:00,Восточно-Сибирская,"В-СИБ, ШЧ-7 СЛЮДЯНКА","5шт ч(к учету 2,13ч)",,,"Лампы, перегорание основной нити",CSH,2024,5.0,"2,13ч",,,,,0 days 17:20:00,1040.0,25.0,13,0.0012832852101379,Зима,0.0169355467227807,0
1,13160446,2024-01-01 20:16:00,Горьковская,"ГОРЬК, ШЧ-5 (Э)","6шт ч(к учету 3,37ч)",,,"Автопереключатель, излом контактной рессорной пружины",CSH,2024,6.0,"3,37ч",,,,,0 days 17:44:00,1064.0,24.0,14,0.0013902256443161,Зима,0.0169355467227807,0
2,13202322,2024-01-01 21:14:00,Октябрьская,"ОКТ, ШЧ-5 (Э)",,"1шт ч(к учету 0,1ч)",,"Срабатывание (перегорание), воздействие тягового тока",CSH,2024,,,1.0,"0,1ч",,,0 days 18:42:00,1122.0,58.0,15,0.0014971660784942,Зима,0.0169355467227807,0
3,13168642,2024-01-01 21:28:00,Дальневосточная,"Д-ВОСТ, ШЧ-6 (Э)","1шт ч(к учету 0,08ч)",,,"Стрелочный ОК, программное обеспечение, сбой",CSH,2024,1.0,"0,08ч",,,,,0 days 18:56:00,1136.0,14.0,16,0.0016041065126724,Зима,0.0169355467227807,0
3,13160480,2024-01-01 22:24:00,Красноярская,"КРАС, ШЧ-4 (Э)",,,,Сбой АЛС с задержкой поезда,CSH,2024,,,,,,,0 days 19:52:00,1192.0,56.0,17,0.0017110469468506,Зима,0.0169355467227807,0
2,13160498,2024-01-01 23:20:00,Московская,"МОСК, ИЧ-2 ЛЬГОВСКАЯ Ш","1шт ч(к учету 0,98ч)",,,Короткое замыкание в кабеле линий СЦБ напряжением до 1000 В,CSH,2024,1.0,"0,98ч",,,,,0 days 20:48:00,1248.0,56.0,18,0.0018179873810287,Зима,0.0169355467227807,0
2,13160616,2024-01-02 04:54:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-3 (Э)",,"1шт ч(к учету 0,13ч)",,"Основная обмотка, короткое замыкание",CSH,2024,,,1.0,"0,13ч",,,1 days 02:22:00,1582.0,334.0,19,0.0019249278152069,Зима,0.0169355467227807,0
2,13160823,2024-01-02 04:57:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)",,"1шт ч(к учету 0,1ч)","1шт ч(к учету 0,15)ч","Транзистор, обрыв",CSH,2024,,,1.0,"0,1ч",1.0,"0,15ч",1 days 02:25:00,1585.0,3.0,20,0.002031868249385,Зима,0.0169355467227807,0
2,13160621,2024-01-02 05:24:00,Октябрьская,"ОКТ, ШЧ-12","2шт ч(к учету 0,87ч)",,,"Кнопки, механическое заедание кнопки",CSH,2024,2.0,"0,87ч",,,,,1 days 02:52:00,1612.0,27.0,21,0.0021388086835632,Зима,0.0169355467227807,0
2,13160659,2024-01-02 06:48:00,Западно-Сибирская,"З-СИБ, ШЧ-7 (Р)","4шт ч(к учету 0,88ч)",,,"Контактная система, увеличенное сопротивление",CSH,2024,4.0,"0,88ч",,,,,1 days 04:16:00,1696.0,84.0,22,0.0022457491177414,Зима,0.0169355467227807,0
2,13160654,2024-01-02 06:55:00,Октябрьская,"ОКТ, ШЧ-12",,,"1шт ч(к учету 0,45)ч","Контактная система, увеличенное сопротивление",CSH,2024,,,,,1.0,"0,45ч",1 days 04:23:00,1703.0,7.0,23,0.0023526895519195,Зима,0.0169355467227807,0
