INDEX,START_TIME,SEASON,LAMBDA0,LAMBDA_HAT,DELTA_HAT,CUSUM_S,H,COOLDOWN,IN_SPIKE_PERIOD
682,2024-01-30 09:00:00,Зима,0.0169355467227807,0.02384737678855326,1.4081255939895447,4.220697190819361,4.1,30,
1381,2024-02-29 16:48:00,Зима,0.0169355467227807,0.019754768392370572,1.1664677093534643,5.130820217224247,4.1,30,
1678,2024-03-15 16:15:00,Весна,0.0157666293461756,0.023346303501945526,1.4807415706520985,4.542011917005831,4.1,30,
1994,2024-03-30 09:20:00,Весна,0.0157666293461756,0.021629416005767843,1.3718478141946262,4.306123809466826,4.1,30,
2052,2024-03-31 18:18:00,Весна,0.0157666293461756,0.026440037771482534,1.6769619676443974,4.10299162592743,4.1,30,
3143,2024-05-18 18:03:00,Весна,0.0157666293461756,0.021231422505307854,1.3466050377126302,4.543234582313088,4.1,30,
3216,2024-05-21 13:20:00,Весна,0.0157666293461756,0.022488755622188904,1.4263515129594802,4.159783712440692,4.1,30,
3375,2024-05-28 18:45:00,Весна,0.0157666293461756,0.01663798049340218,1.0552655312746309,4.206472267825589,4.1,30,
3463,2024-05-31 18:00:00,Весна,0.0157666293461756,0.022675736961451247,1.4382108225910404,4.68452291377504,4.1,30,
3500,2024-06-01 14:57:00,Лето,0.0220419243880242,0.023642732049036778,1.0726255853541684,4.179790521504143,4.1,30,
3543,2024-06-02 16:31:00,Лето,0.0220419243880242,0.023809523809523808,1.0801926088840037,4.810900127301222,4.1,30,
3623,2024-06-04 14:19:00,Лето,0.0220419243880242,0.03759398496240601,1.705567277185269,4.102074616151347,4.1,30,
3971,2024-06-14 14:38:00,Лето,0.0220419243880242,0.024232633279483037,1.0993882772163528,4.447777544893533,4.1,30,
4019,2024-06-15 20:22:00,Лето,0.0220419243880242,0.030401737242128118,1.3792687383795748,4.167062049325996,4.1,30,
4454,2024-06-30 05:48:00,Лето,0.0220419243880242,0.030526315789473683,1.3849206290744385,4.251745816144993,4.1,30,
4526,2024-07-01 18:16:00,Лето,0.0220419243880242,0.027649769585253458,1.2544172232201336,4.299313595654142,4.1,30,
4570,2024-07-02 14:50:00,Лето,0.0220419243880242,0.02819548872180451,1.2791754578889518,4.288861803454841,4.1,30,
5529,2024-07-31 14:55:00,Лето,0.0220419243880242,0.02566295979469632,1.1642794586773693,4.60093267562028,4.1,30,
6485,2024-09-04 16:01:00,Осень,0.0164210363015823,0.018083182640144666,1.1012205507640345,4.5046049781698025,4.1,30,
6915,2024-09-23 11:30:00,Осень,0.0164210363015823,0.020393811533052038,1.2419320655838832,4.692074552561363,4.1,30,
7131,2024-10-02 15:03:00,Осень,0.0164210363015823,0.02238805970149254,1.3633767863563682,4.585113016139809,4.1,30,
7316,2024-10-10 18:16:00,Осень,0.0164210363015823,0.021075581395348836,1.2834501433577632,4.704851700864599,4.1,30,
7487,2024-10-18 10:37:00,Осень,0.0164210363015823,0.018709677419354837,1.1393725143614721,4.2779047570234585,4.1,30,
7753,2024-10-30 18:00:00,Осень,0.0164210363015823,0.025728987993138937,1.5668309551608348,4.294775394247579,4.1,30,
7828,2024-11-01 22:44:00,Осень,0.0164210363015823,0.022590361445783132,1.3756964561126004,4.352024220841848,4.1,30,
7993,2024-11-08 10:30:00,Осень,0.0164210363015823,0.019476158495634655,1.1860492929887725,4.289534362711328,4.1,30,
8323,2024-11-21 15:00:00,Осень,0.0164210363015823,0.02,1.2179499291450222,4.683639233949303,4.1,30,
8828,2024-12-12 13:10:00,Зима,0.0169355467227807,0.022189349112426034,1.3102233707387922,4.743500890912927,4.1,30,
9021,2024-12-18 22:03:00,Зима,0.0169355467227807,0.031487513572204126,1.8592558060053048,4.8570027815688155,4.1,30,
9218,2024-12-26 17:14:00,Зима,0.0169355467227807,0.020026702269692925,1.1825246977562398,4.671362207396533,4.1,30,
