CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX,SEASON,LAMBDA0,CUSUM_ALARM
3,13160106,2024-01-01 03:45:00,Октябрьская,"ОКТ, ТЧЭ-14",,,,Прочая неисправность аккумуляторной батареи,CT,2024,,,,,,,0 days 00:00:00,0.0,0.0,1,0.0,Зима,0.0022225503376566,0
1,13160147,2024-01-01 06:11:00,Октябрьская,"ОКТ, ТЧЭ-14","6шт ч(к учету 5,65ч)",,,Неисправность микросхемы,CT,2024,6.0,"5,65ч",,,,,0 days 02:26:00,146.0,146.0,2,0.0012406947890818,Зима,0.0022225503376566,0
2,13160319,2024-01-01 13:59:00,Октябрьская,"ОКТ, ТЧЭ-14",,"2шт ч(к учету 0,3ч)","1шт ч(к учету 0,17)ч",Прочая неисправность уплотнения секции холодильника,CT,2024,,,2.0,"0,3ч",1.0,"0,17ч",0 days 10:14:00,614.0,468.0,3,0.0024813895781637,Зима,0.0022225503376566,0
3,13160600,2024-01-02 04:00:00,Октябрьская,"ОКТ, ТЧЭ-21",,,,Не качественное изготовление програмного обеспечения,CT,2024,,,,,,,1 days 00:15:00,1455.0,841.0,4,0.0037220843672456,Зима,0.0022225503376566,0
3,13160967,2024-01-02 13:57:00,Октябрьская,"ОКТ, ТЧЭ-14",,,,Течь воды в соединении с резиновым патрубком крышки цилиндров дизеля,CT,2024,,,,,,,1 days 10:12:00,2052.0,597.0,5,0.0049627791563275,Зима,0.0022225503376566,0
2,13170209,2024-01-02 14:36:00,Октябрьская,"ОКТ, ТЧЭ-4",,,"1шт ч(к учету 0,1)ч",Прочая неисправность диафрагмы крана машиниста,CT,2024,,,,,1.0,"0,1ч",1 days 10:51:00,2091.0,39.0,6,0.0062034739454094,Зима,0.0022225503376566,0
3,13161162,2024-01-02 18:47:00,Октябрьская,"ОКТ, ТЧЭ-12",,,,Прочая неисправность пружины токоприемника,CT,2024,,,,,,,1 days 15:02:00,2342.0,251.0,7,0.0074441687344913,Зима,0.0022225503376566,0
2,13161444,2024-01-03 03:37:00,Октябрьская,"ОКТ, ТЧЭ-12","4шт ч(к учету 1,22ч)",,,"Пропил полоза, скол вставки полоза",CT,2024,4.0,"1,22ч",,,,,1 days 23:52:00,2872.0,530.0,8,0.0086848635235732,Зима,0.0022225503376566,0
3,13162549,2024-01-03 06:48:00,Северная,"ОКТ, ТЧЭ-4",,,,Прочая неисправность корпуса буксы локомотива,CT,2024,,,,,,,2 days 03:03:00,3063.0,191.0,9,0.009925558312655,Зима,0.0022225503376566,0
1,13161743,2024-01-03 07:05:00,Свердловская,"СВЕРД, ТЧЭ-5","27шт (к учету 21) ч(к учету 49,9ч)","1шт ч(к учету 0,12ч)","1шт ч(к учету 0,17)ч","Код 14.2 Пробоксовки в виде местного износа и выкрашивания металла в местах термомеханических повреждений головки рельса из-за боксования, юза колес подвижного состава или нарушения режимов шлифования рельсошлифовальными поездами",CT,2024,21.0,"49,9ч",1.0,"0,12ч",1.0,"0,17ч",2 days 03:20:00,3080.0,17.0,10,0.0111662531017369,Зима,0.0022225503376566,0
2,13162314,2024-01-03 09:15:00,Октябрьская,"ОКТ, ТЧЭ-25","1шт ч(к учету 0,25ч)",,,Нетиповые элементы соединительной арматуры,CT,2024,1.0,"0,25ч",,,,,2 days 05:30:00,3210.0,130.0,11,0.0124069478908188,Зима,0.0022225503376566,0
3,13162008,2024-01-03 10:59:00,Западно-Сибирская,"З-СИБ, ТЧЭ-14",,,,Прочая неисправность пружины предохранительного клапана,CT,2024,,,,,,,2 days 07:14:00,3314.0,104.0,12,0.0136476426799007,Зима,0.0022225503376566,0
1,13162718,2024-01-03 18:43:00,Свердловская,"СВЕРД, ТЧЭ-12",,,,Прочая неисправность вкладыша опоры кузова локомотива,CT,2024,,,,,,,2 days 14:58:00,3778.0,464.0,13,0.0148883374689826,Зима,0.0022225503376566,0
