CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX,SEASON,LAMBDA0,CUSUM_ALARM
1,13160446,2024-01-01 20:16:00,Горьковская,"ГОРЬК, ШЧ-5 (Э)","6шт ч(к учету 3,37ч)",,,"Автопереключатель, излом контактной рессорной пружины",CSH,2024,6.0,"3,37ч",,,,,0 days 00:00:00,0.0,0.0,1,0.0,Зима,0.0014048012986607,0
2,13160823,2024-01-02 04:57:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)",,"1шт ч(к учету 0,1ч)","1шт ч(к учету 0,15)ч","Транзистор, обрыв",CSH,2024,,,1.0,"0,1ч",1.0,"0,15ч",0 days 08:41:00,521.0,521.0,2,0.0014471780028943,Зима,0.0014048012986607,0
2,13160877,2024-01-02 11:59:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)","1шт ч(к учету 0,33ч)",,,Перегорание предохранителей оборудования пункта питания линий СЦБ,CSH,2024,1.0,"0,33ч",,,,,0 days 15:43:00,943.0,422.0,3,0.0028943560057887,Зима,0.0014048012986607,0
2,13161142,2024-01-02 19:02:00,Горьковская,"ГОРЬК, ШЧ-5 (Э)","1шт ч(к учету 0,68ч)",,,"Стрелочный ОК, программное обеспечение, сбой",CSH,2024,1.0,"0,68ч",,,,,0 days 22:46:00,1366.0,423.0,4,0.004341534008683,Зима,0.0014048012986607,0
3,13162204,2024-01-03 15:47:00,Горьковская,"ГОРЬК, ИЧ-4 КАНАШ Ш",,,,"Коммутаторы, потеря контакта в штепсельном разъеме",CSH,2024,,,,,,,1 days 19:31:00,2611.0,1245.0,5,0.0057887120115774,Зима,0.0014048012986607,0
2,13163590,2024-01-04 12:23:00,Горьковская,"ГОРЬК, ШЧ-5 (Э)",,"1шт ч(к учету 0,3ч)",,"Нарушение контакта в разъемах блоков, неисправность контактных губок",CSH,2024,,,1.0,"0,3ч",,,2 days 16:07:00,3847.0,1236.0,6,0.0072358900144717,Зима,0.0014048012986607,0
2,13202735,2024-01-05 09:12:00,Горьковская,"ГОРЬК, ШЧ-3",,"1шт ч(к учету 0,12ч)",,Зависание ПО,CSH,2024,,,1.0,"0,12ч",,,3 days 12:56:00,5096.0,1249.0,7,0.0086830680173661,Зима,0.0014048012986607,0
2,13165824,2024-01-06 07:08:00,Горьковская,"ГОРЬК, ШЧ-5 (Э)",,"1шт ч(к учету 0,18ч)","1шт ч(к учету 0,02)ч","Диод, пробой",CSH,2024,,,1.0,"0,18ч",1.0,"0,02ч",4 days 10:52:00,6412.0,1316.0,8,0.0101302460202604,Зима,0.0014048012986607,0
2,13166163,2024-01-06 12:14:00,Горьковская,"ГОРЬК, ШЧ-7","2шт ч(к учету 0,95ч)",,,"Код 98.0 Другие, кроме перечисленных выше, дефекты и повреждения рельсов, оставленных в пути, опасность эксплуатации которых может быть оценена по ближайшему типоразмеру дефекта, в том числе общая равномерная коррозия рельсов, а также, наличие сварного стыка на расстоянии от 750 мм до 3000 мм (выполненного электро контактной или алюминотермитной сваркой)",CSH,2024,2.0,"0,95ч",,,,,4 days 15:58:00,6718.0,306.0,9,0.0115774240231548,Зима,0.0014048012986607,0
2,13166317,2024-01-06 15:17:00,Горьковская,"ГОРЬК, ШЧ-10",,"3шт (к учету 2) ч(к учету 0,52ч)",,"Светодиоды, неисправность",CSH,2024,,,2.0,"0,52ч",,,4 days 19:01:00,6901.0,183.0,10,0.0130246020260492,Зима,0.0014048012986607,0
2,13167634,2024-01-08 02:34:00,Горьковская,"ГОРЬК, ШЧ-8","1шт ч(к учету 0,17ч)","2шт (к учету 1) ч(к учету 0,25ч)",,Обрыв жил кабеля линий СЦБ напряжением до 1000 В,CSH,2024,1.0,"0,17ч",1.0,"0,25ч",,,6 days 06:18:00,9018.0,2117.0,11,0.0144717800289435,Зима,0.0014048012986607,0
2,13167888,2024-01-08 07:52:00,Горьковская,"ГОРЬК, ИЧ-3 МУРАШИ Ш",,,"1шт ч(к учету 0,22)ч","Жилы, обрыв",CSH,2024,,,,,1.0,"0,22ч",6 days 11:36:00,9336.0,318.0,12,0.0159189580318379,Зима,0.0014048012986607,0
3,13168465,2024-01-08 20:36:00,Горьковская,"ГОРЬК, ШЧ-3",,,,Излом провода под гайкой,CSH,2024,,,,,,,7 days 00:20:00,10100.0,764.0,13,0.0173661360347322,Зима,0.0014048012986607,0
3,13170624,2024-01-10 06:45:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)",,,,"Обмотка, обрыв",CSH,2024,,,,,,,8 days 10:29:00,12149.0,2049.0,14,0.0188133140376266,Зима,0.0014048012986607,0
2,13175598,2024-01-11 18:47:00,Горьковская,"ГОРЬК, ШЧ-14","3шт ч(к учету 2,03ч)",,,"Монтаж, короткое замыкание монтажа",CSH,2024,3.0,"2,03ч",,,,,9 days 22:31:00,14311.0,2162.0,15,0.0202604920405209,Зима,0.0014048012986607,0
2,13175610,2024-01-11 21:23:00,Горьковская,"ГОРЬК, ИЧ-5 ИЖЕВСК Ш","2шт ч(к учету 1,33ч)","1шт ч(к учету 0,88ч)","1шт ч(к учету 0,17)ч","Срабатывание (перегорание), коммутационные перенапряжения",CSH,2024,2.0,"1,33ч",1.0,"0,88ч",1.0,"0,17ч",10 days 01:07:00,14467.0,156.0,16,0.0217076700434153,Зима,0.0014048012986607,0
3,13177830,2024-01-12 13:52:00,Горьковская,"ГОРЬК, ШЧ-8",,,,100% (свежий) излом датчика УКСПС,CSH,2024,,,,,,,10 days 17:36:00,15456.0,989.0,17,0.0231548480463096,Зима,0.0014048012986607,0
3,13180625,2024-01-12 16:47:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)",,,,"Диод, пробой",CSH,2024,,,,,,,10 days 20:31:00,15631.0,175.0,18,0.024602026049204,Зима,0.0014048012986607,0
2,13178556,2024-01-13 12:30:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)","2шт ч(к учету 0,95ч)","1шт ч(к учету 0,12ч)",,"Контактная система, потеря контакта",CSH,2024,2.0,"0,95ч",1.0,"0,12ч",,,11 days 16:14:00,16814.0,1183.0,19,0.0260492040520984,Зима,0.0014048012986607,0
3,13178645,2024-01-13 13:10:00,Горьковская,"ГОРЬК, ШЧ-7",,,,Потеря контакта,CSH,2024,,,,,,,11 days 16:54:00,16854.0,40.0,20,0.0274963820549927,Зима,0.0014048012986607,0
3,13180315,2024-01-13 22:26:00,Горьковская,"ГОРЬК, ШЧ-14",,,,"Срабатывание, коммутационные перенапряжения",CSH,2024,,,,,,,12 days 02:10:00,17410.0,556.0,21,0.0289435600578871,Зима,0.0014048012986607,0
2,13181022,2024-01-15 13:54:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)",,"1шт ч(к учету 0,15ч)",,"Электродвигатель, постоянного тока (МСП, ДСП), обрыв обмотки якоря",CSH,2024,,,1.0,"0,15ч",,,13 days 17:38:00,19778.0,2368.0,22,0.0303907380607814,Зима,0.0014048012986607,0
2,13181728,2024-01-16 00:40:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)",,"1шт ч(к учету 0,15ч)",,"Обмотка, обрыв обмотки",CSH,2024,,,1.0,"0,15ч",,,14 days 04:24:00,20424.0,646.0,23,0.0318379160636758,Зима,0.0014048012986607,0
2,13181847,2024-01-16 04:57:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)","2шт ч(к учету 0,53ч)",,,"Лампы, перегорание основной нити",CSH,2024,2.0,"0,53ч",,,,,14 days 08:41:00,20681.0,257.0,24,0.0332850940665701,Зима,0.0014048012986607,0
2,13199065,2024-01-16 18:36:00,Горьковская,"ГОРЬК, ШЧ-3",,,"1шт ч(к учету 0,82)ч","Жилы, сообщение",CSH,2024,,,,,1.0,"0,82ч",14 days 22:20:00,21500.0,819.0,25,0.0347322720694645,Зима,0.0014048012986607,0
