CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX,SEASON,LAMBDA0,CUSUM_ALARM
2,13163577,2024-01-01 09:35:00,Забайкальская,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ","1шт ч(к учету 0,67ч)",,,Тонкий гребень колеса грузового вагона,CV,2024,1.0,"0,67ч",,,,,0 days 00:00:00,0.0,0.0,1,0.0,Зима,0.0015128593040847,0
2,13160284,2024-01-01 11:01:00,Забайкальская,"ЗАБ, ШЧ-2","8шт ч(к учету 2,17ч)","2шт (к учету 1) ч(к учету 0,5ч)",,Ослабление крепления,CSH,2024,8.0,"2,17ч",1.0,"0,5ч",,,0 days 01:26:00,86.0,86.0,2,0.0013020833333333,Зима,0.0015128593040847,0
2,13163602,2024-01-01 16:03:00,Забайкальская,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ","2шт ч(к учету 1,28ч)",,,Выщербина на ободе колеса грузового вагона,CV,2024,2.0,"1,28ч",,,,,0 days 06:28:00,388.0,302.0,3,0.0026041666666666,Зима,0.0015128593040847,0
2,13161217,2024-01-02 21:40:00,Забайкальская,"ЗАБ, ШЧ-9","22шт (к учету 16) ч(к учету 8,58ч)",,,"Контактная система, сваривание контактов",CSH,2024,16.0,"8,58ч",,,,,1 days 12:05:00,2165.0,1777.0,4,0.00390625,Зима,0.0015128593040847,0
2,13164843,2024-01-04 01:40:00,Забайкальская,"В-СИБ, ВЧДЭ-13 ТАЙШЕТ","1шт ч(к учету 0,67ч)",,,Выщербина на ободе колеса грузового вагона,CV,2024,1.0,"0,67ч",,,,,2 days 16:05:00,3845.0,1680.0,5,0.0052083333333333,Зима,0.0015128593040847,0
2,13164844,2024-01-04 02:26:00,Забайкальская,"В-СИБ, ВЧДЭ-13 ТАЙШЕТ","1шт ч(к учету 0,67ч)",,,Выщербина на ободе колеса грузового вагона,CV,2024,1.0,"0,67ч",,,,,2 days 16:51:00,3891.0,46.0,6,0.0065104166666666,Зима,0.0015128593040847,0
2,13163246,2024-01-04 08:02:00,Забайкальская,"ЗАБ, ШЧ-15 (Р)","3шт ч(к учету 0,88ч)","2шт ч(к учету 0,23ч)",,"Контактная система, подгар контактов",CSH,2024,3.0,"0,88ч",2.0,"0,23ч",,,2 days 22:27:00,4227.0,336.0,7,0.0078125,Зима,0.0015128593040847,0
2,13163842,2024-01-04 15:47:00,Забайкальская,"ЗАБ, ШЧ-6","1шт ч(к учету 0,27ч)",,,Нарушение изоляции монтажных проводов,CSH,2024,1.0,"0,27ч",,,,,3 days 06:12:00,4692.0,465.0,8,0.0091145833333333,Зима,0.0015128593040847,0
2,13165833,2024-01-06 02:15:00,Забайкальская,"ЗАБ, ШЧ-1","1шт ч(к учету 0,27ч)","1шт ч(к учету 0,08ч)",,Неисправность концентратора,CSH,2024,1.0,"0,27ч",1.0,"0,08ч",,,4 days 16:40:00,6760.0,2068.0,9,0.0104166666666666,Зима,0.0015128593040847,0
2,13168097,2024-01-06 17:14:00,Забайкальская,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ","1шт ч(к учету 0,67ч)",,,Трещина/излом/ повреждение  рычагов/  тормозных тяг,CV,2024,1.0,"0,67ч",,,,,5 days 07:39:00,7659.0,899.0,10,0.01171875,Зима,0.0015128593040847,0
3,13166706,2024-01-07 01:01:00,Забайкальская,"ЗАБ, ШЧ-1",,,,"Светодиоды, неисправность",CSH,2024,,,,,,,5 days 15:26:00,8126.0,467.0,11,0.0130208333333333,Зима,0.0015128593040847,0
2,13170379,2024-01-07 11:00:00,Забайкальская,"В-СИБ, ВЧДЭ-13 ТАЙШЕТ","7шт ч(к учету 3,12ч)",,,Выщербина на ободе колеса грузового вагона,CV,2024,7.0,"3,12ч",,,,,6 days 01:25:00,8725.0,599.0,12,0.0143229166666666,Зима,0.0015128593040847,0
3,13167109,2024-01-07 12:31:00,Забайкальская,"ЗАБ, ВЧДЭ-3 КАРЫМСКАЯ",,,,Просадка уплотнения усл. № 305.134 клапана мягкости,CV,2024,,,,,,,6 days 02:56:00,8816.0,91.0,13,0.015625,Зима,0.0015128593040847,0
3,13167579,2024-01-08 00:09:00,Забайкальская,"ЗАБ, ВЧДЭ-7 БЕЛОГОРСК",,,,Ослабление (разрушение) торцевого крепления,CV,2024,,,,,,,6 days 14:34:00,9514.0,698.0,14,0.0169270833333333,Зима,0.0015128593040847,0
3,13170137,2024-01-09 15:16:00,Забайкальская,"ЗАБ, ШЧ-5",,,,"Обмотка, короткое замыкание обмотки",CSH,2024,,,,,,,8 days 05:41:00,11861.0,2347.0,15,0.0182291666666666,Зима,0.0015128593040847,0
3,13192022,2024-01-12 12:52:00,Забайкальская,"ЗАБ, ШЧ-10",,"1шт ч(к учету 0,08ч)",,"Курбельный контакт, потеря контакта",CSH,2024,,,1.0,"0,08ч",,,11 days 03:17:00,16037.0,4176.0,16,0.01953125,Зима,0.0015128593040847,0
1,13188245,2024-01-12 16:50:00,Забайкальская,"Д-ВОСТ, ВЧДЭ-1 ХАБАРОВСК","139шт (к учету 118) ч(к учету 243,73ч)","12шт (к учету 4) ч(к учету 3,22ч)","6шт (к учету 5) ч(к учету 1,72)ч",Ползун на поверхности катания колеса грузового вагона,CV,2024,118.0,"243,73ч",4.0,"3,22ч",5.0,"1,72ч",11 days 07:15:00,16275.0,238.0,17,0.0208333333333333,Зима,0.0015128593040847,0
1,13178022,2024-01-13 00:03:00,Забайкальская,"ЗАБ, ТЧЭ-5","11шт (к учету 10) ч(к учету 26,4ч)","5шт (к учету 4) ч(к учету 8,77ч)","5шт (к учету 4) ч(к учету 4,82)ч",Прочая неисправность манжеты клапана песочницы,CT,2024,10.0,"26,4ч",4.0,"8,77ч",4.0,"4,82ч",11 days 14:28:00,16708.0,433.0,18,0.0221354166666666,Зима,0.0015128593040847,0
2,13178600,2024-01-13 13:34:00,Забайкальская,"ЗАБ, ВЧДЭ-7 БЕЛОГОРСК","3шт (к учету 2) ч(к учету 0,88ч)",,,Излом тормозной колодки грузового вагона,CV,2024,2.0,"0,88ч",,,,,12 days 03:59:00,17519.0,811.0,19,0.0234375,Зима,0.0015128593040847,0
1,13179832,2024-01-14 22:16:00,Забайкальская,"ЗАБ, ШЧ-9","35шт (к учету 31) ч(к учету 30,42ч)","1шт ч(к учету 0,1ч)",,"Срабатывание, нарушение контакта штепсельного разъема, ослабление крепления",CSH,2024,31.0,"30,42ч",1.0,"0,1ч",,,13 days 12:41:00,19481.0,1962.0,20,0.0247395833333333,Зима,0.0015128593040847,0
3,13180380,2024-01-15 09:55:00,Забайкальская,"ЗАБ, ВЧДЭ-7 БЕЛОГОРСК",,,,Ослабление (разрушение) торцевого крепления,CV,2024,,,,,,,14 days 00:20:00,20180.0,699.0,21,0.0260416666666666,Зима,0.0015128593040847,0
3,13181822,2024-01-16 04:32:00,Забайкальская,"ЗАБ, ШЧ-15 (Р)",,,,"Электродвигатель, постоянного тока (МСП, ДСП), неисправность коллектора",CSH,2024,,,,,,,14 days 18:57:00,21297.0,1117.0,22,0.02734375,Зима,0.0015128593040847,0
2,13195158,2024-01-16 09:04:00,Забайкальская,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ","17шт (к учету 10) ч(к учету 6,07ч)",,,"Шелушение, раковины, коррозия на  деталях подшипника",CV,2024,10.0,"6,07ч",,,,,14 days 23:29:00,21569.0,272.0,23,0.0286458333333333,Зима,0.0015128593040847,0
1,13183091,2024-01-17 02:05:00,Забайкальская,"ЗАБ, ШЧ-5","29шт (к учету 24) ч(к учету 19,32ч)","3шт (к учету 2) ч(к учету 0,7ч)","2шт ч(к учету 0,65)ч","Изоляция, понижение сопротивления",CSH,2024,24.0,"19,32ч",2.0,"0,7ч",2.0,"0,65ч",15 days 16:30:00,22590.0,1021.0,24,0.0299479166666666,Зима,0.0015128593040847,0
3,13186428,2024-01-17 05:00:00,Забайкальская,"Д-ВОСТ, ВЧДЭ-1 ХАБАРОВСК",,,,Выщербина на ободе колеса грузового вагона,CV,2024,,,,,,,15 days 19:25:00,22765.0,175.0,25,0.03125,Зима,0.0015128593040847,0
2,13183742,2024-01-17 10:12:00,Забайкальская,"ЗАБ, ТЧЭ-11","2шт ч(к учету 0,65ч)","1шт ч(к учету 0,23ч)",,Неперевод стрелочного перевода по причине попадания постороннего предмета,CT,2024,2.0,"0,65ч",1.0,"0,23ч",,,16 days 00:37:00,23077.0,312.0,26,0.0325520833333333,Зима,0.0015128593040847,0
2,13188453,2024-01-17 15:08:00,Забайкальская,"В-СИБ, ВЧДЭ-10 УЛАН-УДЭ","1шт ч(к учету 0,25ч)",,,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы,CV,2024,1.0,"0,25ч",,,,,16 days 05:33:00,23373.0,296.0,27,0.0338541666666666,Зима,0.0015128593040847,0
2,13184955,2024-01-18 07:05:00,Забайкальская,"ЗАБ, ШЧ-1","5шт ч(к учету 1,4ч)",,,"Кнопки, замыкание разомкнутых контактов посторонним предметом",CSH,2024,5.0,"1,4ч",,,,,16 days 21:30:00,24330.0,957.0,28,0.03515625,Зима,0.0015128593040847,0
2,13185200,2024-01-18 10:50:00,Забайкальская,"ЗАБ, ШЧ-6","4шт ч(к учету 1,48ч)","1шт ч(к учету 0,63ч)","1шт ч(к учету 0,12)ч","Автопереключатель, разрегулировка контактов",CSH,2024,4.0,"1,48ч",1.0,"0,63ч",1.0,"0,12ч",17 days 01:15:00,24555.0,225.0,29,0.0364583333333333,Зима,0.0015128593040847,0
2,13189247,2024-01-18 11:05:00,Забайкальская,"В-СИБ, ВЧДЭ-13 ТАЙШЕТ",3шт ч(к учету 1ч),,,Выщербина на ободе колеса грузового вагона,CV,2024,1.0,1ч,,,,,17 days 01:30:00,24570.0,15.0,30,0.0377604166666666,Зима,0.0015128593040847,0
2,13185607,2024-01-18 21:47:00,Забайкальская,"ЗАБ, ШЧ-10",,"1шт ч(к учету 0,28ч)",,"Срабатывание, коммутационные перенапряжения",CSH,2024,,,1.0,"0,28ч",,,17 days 12:12:00,25212.0,642.0,31,0.0390625,Зима,0.0015128593040847,0
1,13185822,2024-01-19 03:37:00,Забайкальская,"ЗАБ, ШЧ-5","11шт ч(к учету 7,42ч)","2шт ч(к учету 0,32ч)",,"Изоляция, понижение сопротивления",CSH,2024,11.0,"7,42ч",2.0,"0,32ч",,,17 days 18:02:00,25562.0,350.0,32,0.0403645833333333,Зима,0.0015128593040847,0
