INDEX,START_TIME,SEASON,LAMBDA0,LAMBDA_HAT,DELTA_HAT,CUSUM_S,H,COOLDOWN,IN_SPIKE_PERIOD
96,2024-01-12 09:35:00,Зима,0.0038688154937952,0.005790387955993052,1.4966823735274186,4.75798649951946,4.1,30,
181,2024-01-25 11:53:00,Зима,0.0038688154937952,0.0045828065739570165,1.1845503052050206,4.138844708942502,4.1,30,
252,2024-02-08 07:58:00,Зима,0.0038688154937952,0.005571030640668524,1.4399835426639842,4.231827592363314,4.1,30,
580,2024-04-21 06:24:00,Весна,0.0029844189093994,0.00340522133938706,1.1409997868135557,4.323515360865115,4.1,30,
718,2024-05-28 17:30:00,Весна,0.0029844189093994,0.0036385688295936932,1.2191883713556613,4.872302310185473,4.1,30,
760,2024-06-01 20:00:00,Лето,0.0050870715601616,0.006358254768691076,1.249885065208144,4.607520655218838,4.1,30,
808,2024-06-04 14:19:00,Лето,0.0050870715601616,0.011976047904191617,2.35421258823636,4.717484546274436,4.1,30,
997,2024-07-01 20:12:00,Лето,0.0050870715601616,0.006921241050119332,1.360555079335166,4.5464757964969,4.1,30,
1046,2024-07-05 01:28:00,Лето,0.0050870715601616,0.008344923504867872,1.6404179509129573,4.667980008960392,4.1,30,
1096,2024-07-10 14:55:00,Лето,0.0050870715601616,0.005405405405405406,1.0625770330688435,4.506169560669199,4.1,30,
1439,2024-09-01 08:00:00,Осень,0.003178493470685,0.004440497335701599,1.3970446617732468,4.569005432464099,4.1,30,
