CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,EVENT_NUMBER,INDEX,SEASON,LAMBDA0,CUSUM_ALARM
2,13160616,2024-01-02 04:54:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-3 (Э)",,"1шт ч(к учету 0,13ч)",,"Основная обмотка, короткое замыкание",CSH,2024,,,1.0,"0,13ч",,,0 days 00:00:00,0.0,0.0,1,0.0,Зима,0.0003837131221167,0
2,13163104,2024-01-04 07:03:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-15",,"1шт ч(к учету 0,12ч)",,"Внутренний монтаж, обрыв",CSH,2024,,,1.0,"0,12ч",,,2 days 02:09:00,3009.0,3009.0,2,0.0059880239520958,Зима,0.0003837131221167,0
2,13164273,2024-01-04 23:41:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-5 (Р)",,"2шт ч(к учету 0,45ч)",,"Контактная система, увеличенное сопротивление контакта",CSH,2024,,,2.0,"0,45ч",,,2 days 18:47:00,4007.0,998.0,3,0.0119760479041916,Зима,0.0003837131221167,0
3,13167304,2024-01-07 10:49:00,Юго-Восточная,"МОСК, ТЧЭ-36",,,,Трещина трубки радиатора секции холодильника,CT,2024,,,,,,,5 days 05:55:00,7555.0,3548.0,4,0.0179640718562874,Зима,0.0003837131221167,0
2,13173137,2024-01-11 04:15:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-3 (Э)",,"2шт ч(к учету 0,45ч)",,"Обмотка, обрыв",CSH,2024,,,2.0,"0,45ч",,,8 days 23:21:00,12921.0,5366.0,5,0.0239520958083832,Зима,0.0003837131221167,0
3,13175638,2024-01-11 23:00:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-4 (Э)","1шт ч(к учету 0,03ч)",,,"Автопереключатель, индевение контактов",CSH,2024,1.0,"0,03ч",,,,,9 days 18:06:00,14046.0,1125.0,6,0.029940119760479,Зима,0.0003837131221167,0
3,13181475,2024-01-15 16:09:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-5 (Р)",,,,"Контактная система, сваривание",CSH,2024,,,,,,,13 days 11:15:00,19395.0,5349.0,7,0.0359281437125748,Зима,0.0003837131221167,0
2,13184661,2024-01-18 05:30:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-9","1шт ч(к учету 0,28ч)",,,"Жилы, обрыв",CSH,2024,1.0,"0,28ч",,,,,16 days 00:36:00,23076.0,3681.0,8,0.0419161676646706,Зима,0.0003837131221167,0
2,13187818,2024-01-20 18:17:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-16",,,"1шт ч(к учету 0,17)ч",Нарушение контакта трос/штепсель,CSH,2024,,,,,1.0,"0,17ч",18 days 13:23:00,26723.0,3647.0,9,0.0479041916167664,Зима,0.0003837131221167,0
3,13188592,2024-01-21 14:46:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-15",,,,"Жилы, внутренний обрыв",CSH,2024,,,,,,,19 days 09:52:00,27952.0,1229.0,10,0.0538922155688622,Зима,0.0003837131221167,0
3,13195361,2024-01-26 08:01:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-14 (Э)",,,,Неисправность маршрутизатора,CSH,2024,,,,,,,24 days 03:07:00,34747.0,6795.0,11,0.059880239520958,Зима,0.0003837131221167,0
2,13196100,2024-01-27 05:15:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-4 (Э)",,,"3шт ч(к учету 0,52)ч","Жилы, внутренний обрыв",CSH,2024,,,,,3.0,"0,52ч",25 days 00:21:00,36021.0,1274.0,12,0.0658682634730539,Зима,0.0003837131221167,0
3,13199492,2024-01-30 17:24:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-11",,,,"Обмотка, обрыв",CSH,2024,,,,,,,28 days 12:30:00,41070.0,5049.0,13,0.0718562874251497,Зима,0.0003837131221167,0
3,13215330,2024-01-31 09:25:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-3 (Э)",,"1шт ч(к учету 0,02ч)",,"Электродвигатель, постоянного тока (МСП, ДСП), обрыв внутреннего монтажа",CSH,2024,,,1.0,"0,02ч",,,29 days 04:31:00,42031.0,961.0,14,0.0778443113772455,Зима,0.0003837131221167,0
2,13200780,2024-01-31 18:10:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-5 (Р)",,,"2шт ч(к учету 0,2)ч","Контактная система, увеличенное сопротивление контакта",CSH,2024,,,,,2.0,"0,2ч",29 days 13:16:00,42556.0,525.0,15,0.0838323353293413,Зима,0.0003837131221167,0
2,13204707,2024-02-03 23:02:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-14 (Э)","1шт ч(к учету 0,63ч)",,,Потеря контакта в дужке,CSH,2024,1.0,"0,63ч",,,,,32 days 18:08:00,47168.0,4612.0,16,0.0898203592814371,Зима,0.0003837131221167,0
3,13208567,2024-02-06 10:18:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-3 (Э)",,,,Обрыв жил контрольного кабеля линий СЦБ,CSH,2024,,,,,,,35 days 05:24:00,50724.0,3556.0,17,0.0958083832335329,Зима,0.0003837131221167,0
3,13221070,2024-02-13 22:19:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-4 (Э)",,,,"Жилы, обрыв",CSH,2024,,,,,,,42 days 17:25:00,61525.0,10801.0,18,0.1017964071856287,Зима,0.0003837131221167,0
3,13223764,2024-02-15 08:40:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-3 (Э)",,,,Обрыв жил контрольного кабеля линий СЦБ,CSH,2024,,,,,,,44 days 03:46:00,63586.0,2061.0,19,0.1077844311377245,Зима,0.0003837131221167,0
2,13226786,2024-02-17 18:44:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-7","1шт ч(к учету 0,23ч)","2шт ч(к учету 0,15ч)",,Сбой АЛС с задержкой поезда,CSH,2024,1.0,"0,23ч",2.0,"0,15ч",,,46 days 13:50:00,67070.0,3484.0,20,0.1137724550898203,Зима,0.0003837131221167,0
3,13249999,2024-02-18 01:43:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-11","2шт ч(к учету 0,22ч)",,,"Срабатывание, атмосферные перенапряжения",CSH,2024,2.0,"0,22ч",,,,,46 days 20:49:00,67489.0,419.0,21,0.1197604790419161,Зима,0.0003837131221167,0
3,13229752,2024-02-20 11:35:00,Юго-Восточная,"Ю-ВОСТ, ВЧДЭ-3 СТОЙЛЕНСКАЯ",,,,Износ тормозной колодки грузового вагона,CV,2024,,,,,,,49 days 06:41:00,70961.0,3472.0,22,0.1257485029940119,Зима,0.0003837131221167,0
3,13231437,2024-02-21 12:40:00,Юго-Восточная,"Ю-ВОСТ, ВЧДЭ-6 КОЧЕТОВКА",,,,Отсутствие/нетиповой указатель грузовых режимов торможения,CV,2024,,,,,,,50 days 07:46:00,72466.0,1505.0,23,0.1317365269461078,Зима,0.0003837131221167,0
2,13234084,2024-02-23 22:35:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-7","2шт ч(к учету 0,33ч)","1шт ч(к учету 0,22ч)",,"Жилы, внутренний обрыв",CSH,2024,2.0,"0,33ч",1.0,"0,22ч",,,52 days 17:41:00,75941.0,3475.0,24,0.1377245508982036,Зима,0.0003837131221167,0
2,13235142,2024-02-25 08:39:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-4 (Э)",,,"1шт ч(к учету 0,18)ч","Жилы, сообщение",CSH,2024,,,,,1.0,"0,18ч",54 days 03:45:00,77985.0,2044.0,25,0.1437125748502994,Зима,0.0003837131221167,0
2,13235445,2024-02-25 11:42:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-5 (Р)",,"3шт ч(к учету 0,38ч)",,"Контактная система, потеря контакта",CSH,2024,,,3.0,"0,38ч",,,54 days 06:48:00,78168.0,183.0,26,0.1497005988023952,Зима,0.0003837131221167,0
3,13237350,2024-02-27 06:48:00,Юго-Восточная,"Ю-ВОСТ, ВЧДЭ-2 ЛИСКИ",,,,Технологический нагрев буксового узла,CV,2024,,,,,,,56 days 01:54:00,80754.0,2586.0,27,0.155688622754491,Зима,0.0003837131221167,0
