entity_name,entity_type,hist_year,cusum_year,alarm_count,alarm_dates
Восточно-Сибирская,road,2023,2024,5,2024-06-10; 2024-06-30; 2024-07-04; 2024-07-10; 2024-07-31
Горьковская,road,2023,2024,4,2024-02-29; 2024-03-30; 2024-04-30; 2024-06-30
Дальневосточная,road,2023,2024,2,2024-04-08; 2024-07-04
Западно-Сибирская,road,2023,2024,1,2024-07-27
Московская,road,2023,2024,2,2024-01-09; 2024-11-22
Октябрьская,road,2023,2024,11,2024-01-12; 2024-01-25; 2024-02-08; 2024-04-21; 2024-05-28; 2024-06-01; 2024-06-04; 2024-07-01; 2024-07-05; 2024-07-10; 2024-09-01
Свердловская,road,2023,2024,1,2024-11-08
Северная,road,2023,2024,1,2024-06-05
Северо-Кавказская,road,2023,2024,1,2024-10-29
Южно-Уральская,road,2023,2024,1,2024-06-19
