source,csv_name,out_stem,alarm_count,events_path,full_path,error
road,Восточно-Сибирская-2025.csv,Восточно-Сибирская-2025,14,KASANT\cusum_results\by_road_year\Восточно-Сибирская-2025_cusum_events.csv,KASANT\cusum_results\by_road_year\Восточно-Сибирская-2025.csv,
road,Горьковская-2025.csv,Горьковская-2025,6,KASANT\cusum_results\by_road_year\Горьковская-2025_cusum_events.csv,KASANT\cusum_results\by_road_year\Горьковская-2025.csv,
road,Дальневосточная-2025.csv,Дальневосточная-2025,12,KASANT\cusum_results\by_road_year\Дальневосточная-2025_cusum_events.csv,KASANT\cusum_results\by_road_year\Дальневосточная-2025.csv,
road,Забайкальская-2025.csv,Забайкальская-2025,10,KASANT\cusum_results\by_road_year\Забайкальская-2025_cusum_events.csv,KASANT\cusum_results\by_road_year\Забайкальская-2025.csv,
road,Западно-Сибирская-2025.csv,Западно-Сибирская-2025,9,KASANT\cusum_results\by_road_year\Западно-Сибирская-2025_cusum_events.csv,KASANT\cusum_results\by_road_year\Западно-Сибирская-2025.csv,
road,Красноярская-2025.csv,Красноярская-2025,10,KASANT\cusum_results\by_road_year\Красноярская-2025_cusum_events.csv,KASANT\cusum_results\by_road_year\Красноярская-2025.csv,
road,Московская-2025.csv,Московская-2025,9,KASANT\cusum_results\by_road_year\Московская-2025_cusum_events.csv,KASANT\cusum_results\by_road_year\Московская-2025.csv,
road,Октябрьская-2025.csv,Октябрьская-2025,19,KASANT\cusum_results\by_road_year\Октябрьская-2025_cusum_events.csv,KASANT\cusum_results\by_road_year\Октябрьская-2025.csv,
road,Приволжская-2025.csv,Приволжская-2025,6,KASANT\cusum_results\by_road_year\Приволжская-2025_cusum_events.csv,KASANT\cusum_results\by_road_year\Приволжская-2025.csv,
road,Свердловская-2025.csv,Свердловская-2025,9,KASANT\cusum_results\by_road_year\Свердловская-2025_cusum_events.csv,KASANT\cusum_results\by_road_year\Свердловская-2025.csv,
road,Северная-2025.csv,Северная-2025,4,KASANT\cusum_results\by_road_year\Северная-2025_cusum_events.csv,KASANT\cusum_results\by_road_year\Северная-2025.csv,
road,Северо-Кавказская-2025.csv,Северо-Кавказская-2025,7,KASANT\cusum_results\by_road_year\Северо-Кавказская-2025_cusum_events.csv,KASANT\cusum_results\by_road_year\Северо-Кавказская-2025.csv,
road,Юго-Восточная-2025.csv,Юго-Восточная-2025,3,KASANT\cusum_results\by_road_year\Юго-Восточная-2025_cusum_events.csv,KASANT\cusum_results\by_road_year\Юго-Восточная-2025.csv,
road,Южно-Уральская-2025.csv,Южно-Уральская-2025,4,KASANT\cusum_results\by_road_year\Южно-Уральская-2025_cusum_events.csv,KASANT\cusum_results\by_road_year\Южно-Уральская-2025.csv,
department,CT-2025.csv,CT-2025,8,KASANT\cusum_results\by_department_year\CT-2025_cusum_events.csv,KASANT\cusum_results\by_department_year\CT-2025.csv,
department,CV-2025.csv,CV-2025,13,KASANT\cusum_results\by_department_year\CV-2025_cusum_events.csv,KASANT\cusum_results\by_department_year\CV-2025.csv,
