CATEGORY,START_TIME,ROAD,DEPARTMENT,RESPONSIBILITY,YEAR,SOURCE_YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX,SEASON,SEASON_INDEX,MONTH,LAMBDA_DYNAMIC,LAMBDA0,LAMBDA1,LAMBDA_MONTH,SPIKE_FLAG,TRANSITION_FLAG,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,ENTITY_TYPE,REASON,CUSUM_ALARM
1,2025-01-01 01:03:19.672969602,Дальневосточная,CSH,"В-СИБ, ШЧ-13 СЕВЕРОБАЙКАЛЬСК",2025,2024,0 days 00:00:00,0.0,0.0,0.0,Зима,1,1,0.0169355467227807,0.0169355467227807,0.0508066401683421,731.615618424129,0,0,36.0,"11,32ч",1.0,"1,78ч",70.0,"2,08ч",department,Неисправность,0
3,2025-01-01 08:22:44.536288812,Северо-Кавказская,CSH,"Д-ВОСТ, ШЧ-14 (Э)",2025,2024,0 days 07:19:24.863319210,439.4143886535,439.4143886535,0.0001177856301531,Зима,1,1,0.0169355467227807,0.0169355467227807,0.0508066401683421,731.615618424129,0,0,,,,,,,department,Перегорание лампы линзового светофора,0
2,2025-01-01 08:25:39.598835196,Красноярская,CSH,"В-СИБ, ШЧ-11 КОРШУНИХА-АНГАРСКАЯ",2025,2024,0 days 07:22:19.925865594,442.3320977599,2.9177091063999683,0.0002355712603062,Зима,1,1,0.0169355467227807,0.0169355467227807,0.0508066401683421,731.615618424129,0,0,17.0,"3,3ч",8.0,"1,53ч",6.0,"0,23ч",department,"Контактная система, увеличенное сопротивление контакта",0
2,2025-01-01 12:08:51.064163484,Октябрьская,CSH,"ОКТ, ШЧ-11",2025,2024,0 days 11:05:31.391193882,665.5231865647,223.19108880480007,0.0003533568904593,Зима,1,1,0.0169355467227807,0.0169355467227807,0.0508066401683421,731.615618424129,0,0,7.0,"5,82ч",14.0,"1,22ч",1.0,"5,7ч",department,"Срабатывание, несоответствие номинала",0
2,2025-01-01 12:39:41.865998250,Свердловская,CSH,"Д-ВОСТ, ШЧ-14 (Э)",2025,2024,0 days 11:36:22.193028648,696.3698838107999,30.846697246099893,0.0004711425206124,Зима,1,1,0.0169355467227807,0.0169355467227807,0.0508066401683421,731.615618424129,0,0,43.0,"24,95ч",0.0,,16.0,"0,38ч",department,Перегорание лампы линзового светофора,0
3,2025-01-01 14:40:30.643358112,Свердловская,CSH,"ГОРЬК, ШЧ-6 (Р)",2025,2024,0 days 13:37:10.970388510,817.1828398085,120.8129559977001,0.0005889281507656,Зима,1,1,0.0169355467227807,0.0169355467227807,0.0508066401683421,731.615618424129,0,0,,,,,,,department,Обрыв монтажного провода,0
3,2025-01-01 16:10:33.586936715,Западно-Сибирская,CSH,"ОКТ, ИЧ-2 Ш",2025,2024,0 days 15:07:13.913967113,907.2318994518834,90.04905964338332,0.0007067137809187,Зима,1,1,0.0169355467227807,0.0169355467227807,0.0508066401683421,731.615618424129,0,0,,,,,,,department,"Контактная система, потеря контакта",0
2,2025-01-01 16:59:59.142591798,Дальневосточная,CSH,"ОКТ, ШЧ-11",2025,2024,0 days 15:56:39.469622196,956.6578270366,49.425927584716646,0.0008244994110718,Зима,1,1,0.0169355467227807,0.0169355467227807,0.0508066401683421,731.615618424129,0,0,6.0,"8,63ч",8.0,"0,55ч",31.0,"1,6ч",department,Нарушение монтажа стативов для размещения постовых устройств ЭЦ,0
3,2025-01-01 18:19:10.545570888,Западно-Сибирская,CSH,"В-СИБ, ШЧ-11 КОРШУНИХА-АНГАРСКАЯ",2025,2024,0 days 17:15:50.872601286,1035.8478766881,79.19004965150009,0.0009422850412249,Зима,1,1,0.0169355467227807,0.0169355467227807,0.0508066401683421,731.615618424129,0,0,,,,,,,department,"Срабатывание, несоответствие номинала",0
3,2025-01-01 20:23:38.751240762,Восточно-Сибирская,CSH,"ОКТ, ИЧ-2 Ш",2025,2024,0 days 19:20:19.078271160,1160.317971186,124.47009449789994,0.001060070671378,Зима,1,1,0.0169355467227807,0.0169355467227807,0.0508066401683421,731.615618424129,0,0,,,,,,,department,"Жилы, обрыв",0
