INDEX,START_TIME,SEASON,LAMBDA0,LAMBDA_HAT,DELTA_HAT,CUSUM_S,H,COOLDOWN,IN_SPIKE_PERIOD
64,2025-01-19 01:44:01.442563746,Зима,0.0029184005929448,0.007152170398769476,2.4507157845498546,3.663409240558311,3.1000000000000005,30,0
105,2025-01-23 04:08:22.447965690,Зима,0.0029184005929448,0.008195740630137628,2.808298713326312,3.5267148475821397,3.1000000000000005,30,1
144,2025-01-26 04:24:54.704692518,Зима,0.0029184005929448,0.0074947564752169404,2.5681040818506644,3.40909012378481,3.1000000000000005,30,1
405,2025-04-08 04:54:28.361828424,Весна,0.003118961766093,0.004717227893927627,1.512435306264338,3.565251821048223,3.1000000000000005,30,0
440,2025-04-10 07:25:53.937601212,Весна,0.003118961766093,0.012259797208354191,3.9307302005537417,3.5020878856548325,3.1000000000000005,30,1
479,2025-04-14 07:45:17.252678058,Весна,0.003118961766093,0.006179187629568629,1.9811681235544778,3.4231537678699304,3.1000000000000005,30,1
524,2025-04-19 16:13:51.112192398,Весна,0.003118961766093,0.003785287792376826,1.2136371255100398,3.124078273881841,3.1000000000000005,30,0
785,2025-06-30 19:04:06.232160310,Лето,0.0027033966139579,0.0030183937631473798,1.1165190292697411,3.6527697831335666,3.1000000000000005,30,0
821,2025-07-03 19:18:33.849451140,Лето,0.0027033966139579,0.009157599894211828,3.3874422446674117,3.883517068973865,3.1000000000000005,30,1
859,2025-07-07 11:06:25.555152114,Лето,0.0027033966139579,0.0082211826789064,3.041056808482941,3.7768820387388864,3.1000000000000005,30,1
1124,2025-10-09 05:20:03.934177421,Осень,0.0023307163886162,0.003798250506039395,1.6296493750123342,3.5991875520684737,3.1000000000000005,30,0
1158,2025-10-13 23:23:53.761749996,Осень,0.0023307163886162,0.005038428759843348,2.1617511184339246,3.3514175949467684,3.1000000000000005,30,1
1246,2025-11-02 13:27:45.320468730,Осень,0.0023307163886162,0.0031935192708657588,1.3701878471630882,3.8484938484456075,3.1000000000000005,30,0
