CATEGORY,START_TIME,ROAD,DEPARTMENT,RESPONSIBILITY,YEAR,SOURCE_YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX,SEASON,SEASON_INDEX,MONTH,LAMBDA_DYNAMIC,LAMBDA0,LAMBDA1,LAMBDA_MONTH,SPIKE_FLAG,TRANSITION_FLAG,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,ENTITY_TYPE,REASON,CUSUM_ALARM
1,2025-01-01 00:39:59.920992426,Восточно-Сибирская,CSH,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ",2025,2024,0 days 00:00:00,0.0,0.0,0.0,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,36.0,"11,32ч",1.0,"1,78ч",70.0,"2,08ч",road,Выщербина на ободе колеса грузового вагона,0
3,2025-01-01 09:06:58.848333834,Восточно-Сибирская,CV,"В-СИБ, ШЧ-13 СЕВЕРОБАЙКАЛЬСК",2025,2024,0 days 08:26:58.927341408,506.9821223568,506.9821223568,0.0008190008190008,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,,,,,,,road,Тонкий гребень колеса грузового вагона,0
2,2025-01-01 18:06:17.286952098,Восточно-Сибирская,CV,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ",2025,2024,0 days 17:26:17.365959672,1046.2894326612,539.3073103044,0.0016380016380016,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,17.0,"3,3ч",8.0,"1,53ч",6.0,"0,23ч",road,Перегорание лампы линзового светофора,0
2,2025-01-01 19:26:07.521456558,Восточно-Сибирская,CSH,"В-СИБ, ШЧ-11 КОРШУНИХА-АНГАРСКАЯ",2025,2024,0 days 18:46:07.600464132,1126.1266744022,79.83724174100007,0.0024570024570024,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,7.0,"5,82ч",14.0,"1,22ч",1.0,"5,7ч",road,Выщербина на ободе колеса грузового вагона,0
2,2025-01-01 19:38:10.802219028,Восточно-Сибирская,CV,"В-СИБ, ШЧ-13 СЕВЕРОБАЙКАЛЬСК",2025,2024,0 days 18:58:10.881226602,1138.1813537767,12.054679374499983,0.0032760032760032,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,43.0,"24,95ч",0.0,,16.0,"0,38ч",road,Тонкий гребень колеса грузового вагона,0
3,2025-01-01 23:19:23.107073148,Восточно-Сибирская,CV,"В-СИБ, ШЧ-14 ТАКСИМО",2025,2024,0 days 22:39:23.186080722,1359.3864346787,221.205080902,0.004095004095004,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,,,,,,,road,"Нарушение контакта в штепсельных розетках, неисправность контактных губок",0
3,2025-01-02 05:27:49.668189012,Восточно-Сибирская,CSH,"В-СИБ, ШЧ-14 ТАКСИМО",2025,2024,1 days 04:47:49.747196586,1727.8291199431,368.4426852644001,0.0049140049140049,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,,,,,,,road,"Лампы, перегорание основной нити",0
2,2025-01-02 14:03:53.805220842,Восточно-Сибирская,CSH,"В-СИБ, ШЧ-11 КОРШУНИХА-АНГАРСКАЯ",2025,2024,1 days 13:23:53.884228416,2243.8980704736,516.0689505304999,0.0057330057330057,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,6.0,"8,63ч",8.0,"0,55ч",31.0,"1,6ч",road,Тонкий гребень колеса грузового вагона,0
3,2025-01-03 01:43:52.524720384,Восточно-Сибирская,CSH,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ",2025,2024,2 days 01:03:52.603727958,2943.8767287993,699.9786583257,0.0065520065520065,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,,,,,,,road,Выщербина на ободе колеса грузового вагона,0
3,2025-01-03 08:21:24.169099782,Восточно-Сибирская,CSH,"В-СИБ, ШЧ-14 ТАКСИМО",2025,2024,2 days 07:41:24.248107356,3341.4041351226,397.5274063232996,0.0073710073710073,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,,,,,,,road,Перегорание лампы линзового светофора,0
2,2025-01-03 09:10:56.779827600,Восточно-Сибирская,CSH,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ",2025,2024,2 days 08:30:56.858835174,3390.9476472529,49.54351213030032,0.0081900081900081,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,36.0,"4,6ч",8.0,"2,45ч",8.0,"2,27ч",road,Тонкий гребень колеса грузового вагона,0
2,2025-01-03 17:14:42.180488616,Восточно-Сибирская,CSH,"В-СИБ, ШЧ-14 ТАКСИМО",2025,2024,2 days 16:34:42.259496190,3874.7043249365,483.7566776836002,0.009009009009009,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,21.0,"2,7ч",13.0,"2,25ч",13.0,"2,98ч",road,Тонкий гребень колеса грузового вагона,0
2,2025-01-04 22:22:36.648143058,Восточно-Сибирская,CV,"В-СИБ, ШЧ-11 КОРШУНИХА-АНГАРСКАЯ",2025,2024,3 days 21:42:36.727150632,5622.6121191772,1747.9077942406998,0.0098280098280098,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,4.0,"3,57ч",16.0,"1,03ч",18.0,"0,08ч",road,Перегорание лампы линзового светофора,0
2,2025-01-05 14:57:31.071173538,Восточно-Сибирская,CSH,"В-СИБ, ШЧ-2 НИЖНЕУДИНСК",2025,2024,4 days 14:17:31.150181112,6617.5191696852,994.907050508,0.0106470106470106,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,20.0,"0,47ч",4.0,"3,48ч",1.0,"2,98ч",road,"Лампы, перегорание основной нити",0
1,2025-01-06 05:23:02.624268258,Восточно-Сибирская,CSH,"В-СИБ, ШЧ-11 КОРШУНИХА-АНГАРСКАЯ",2025,2024,5 days 04:43:02.703275832,7483.0450545972,865.525884912,0.0114660114660114,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,23.0,"6,08ч",26.0,"2,28ч",11.0,"0,95ч",road,Перегорание лампы линзового светофора,0
2,2025-01-06 07:54:42.791581662,Восточно-Сибирская,CSH,"В-СИБ, ШЧ-14 ТАКСИМО",2025,2024,5 days 07:14:42.870589236,7634.714509820599,151.66945522339938,0.0122850122850122,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,38.0,"5,9ч",14.0,"2,42ч",13.0,"2,03ч",road,Тонкий гребень колеса грузового вагона,0
1,2025-01-06 17:40:27.176631978,Восточно-Сибирская,CSH,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ",2025,2024,5 days 17:00:27.255639552,8220.4542606592,585.7397508386011,0.0131040131040131,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,23.0,"2,88ч",3.0,"1,2ч",6.0,"0,72ч",road,Тонкий гребень колеса грузового вагона,0
3,2025-01-07 07:03:19.118837508,Восточно-Сибирская,CSH,"В-СИБ, ШЧ-14 ТАКСИМО",2025,2024,6 days 06:23:19.197845082,9023.3199640847,802.8657034254993,0.0139230139230139,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,,,,,,,road,Тонкий гребень колеса грузового вагона,0
2,2025-01-07 15:01:27.672552654,Восточно-Сибирская,CV,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ",2025,2024,6 days 14:21:27.751560228,9501.4625260038,478.14256191909953,0.0147420147420147,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,21.0,"13,87ч",15.0,"6,07ч",7.0,"2,27ч",road,"Нарушение контакта в штепсельных розетках, неисправность контактных губок",0
1,2025-01-07 17:03:03.169264626,Восточно-Сибирская,CSH,"В-СИБ, ШЧ-14 ТАКСИМО",2025,2024,6 days 16:23:03.248272200,9623.05413787,121.59161186620076,0.0155610155610155,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,33.0,"2,88ч",25.0,"0,45ч",13.0,"18,77ч",road,Тонкий гребень колеса грузового вагона,0
1,2025-01-08 14:39:34.227694662,Восточно-Сибирская,CSH,"В-СИБ, ШЧ-14 ТАКСИМО",2025,2024,7 days 13:59:34.306702236,10919.5717783706,1296.5176405005986,0.0163800163800163,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,21.0,"7,28ч",0.0,,26.0,"1,22ч",road,Перегорание лампы линзового светофора,0
3,2025-01-08 18:52:13.449859254,Восточно-Сибирская,CSH,"В-СИБ, ШЧ-11 КОРШУНИХА-АНГАРСКАЯ",2025,2024,7 days 18:12:13.528866828,11172.2254811138,252.65370274320048,0.0171990171990172,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,,,,,,,road,Перегорание лампы линзового светофора,0
1,2025-01-08 19:50:50.250588588,Восточно-Сибирская,CSH,"В-СИБ, ШЧ-14 ТАКСИМО",2025,2024,7 days 19:10:50.329596162,11230.8388266027,58.61334548890045,0.018018018018018,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,30.0,"10,63ч",9.0,"0,65ч",9.0,"1,85ч",road,"Лампы, перегорание основной нити",0
1,2025-01-08 20:39:51.510717816,Восточно-Сибирская,CSH,"В-СИБ, ШЧ-14 ТАКСИМО",2025,2024,7 days 19:59:51.589725390,11279.8598287565,49.02100215380051,0.0188370188370188,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,14.0,"8,38ч",26.0,"1,9ч",12.0,"0,82ч",road,Перегорание лампы линзового светофора,0
2,2025-01-09 03:59:26.733321678,Восточно-Сибирская,CSH,"В-СИБ, ШЧ-13 СЕВЕРОБАЙКАЛЬСК",2025,2024,8 days 03:19:26.812329252,11719.4468721542,439.5870433976997,0.0196560196560196,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,27.0,"21,42ч",15.0,"0,23ч",2.0,"0,65ч",road,"Нарушение контакта в штепсельных розетках, неисправность контактных губок",0
2,2025-01-09 08:02:09.250980438,Восточно-Сибирская,CSH,"В-СИБ, ШЧ-11 КОРШУНИХА-АНГАРСКАЯ",2025,2024,8 days 07:22:09.329988012,11962.1554998002,242.7086276459995,0.0204750204750204,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,25.0,"22,25ч",16.0,"0,92ч",69.0,"0,78ч",road,"Нарушение контакта в штепсельных розетках, неисправность контактных губок",0
2,2025-01-09 08:43:59.655745710,Восточно-Сибирская,CSH,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ",2025,2024,8 days 08:03:59.734753284,12003.9955792214,41.84007942120115,0.0212940212940212,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,24.0,"0,15ч",25.0,"1,85ч",4.0,"0,72ч",road,Тонкий гребень колеса грузового вагона,0
2,2025-01-09 18:12:27.625956960,Восточно-Сибирская,CSH,"В-СИБ, ШЧ-14 ТАКСИМО",2025,2024,8 days 17:32:27.704964534,12572.4617494089,568.4661701874993,0.0221130221130221,Зима,1,1,0.0023721320692231,0.0023721320692231,0.0071163962076692,102.47610539043907,0,0,11.0,"4,63ч",14.0,"2,5ч",69.0,"2,22ч",road,Перегорание лампы линзового светофора,0
