INDEX,START_TIME,SEASON,LAMBDA0,LAMBDA_HAT,DELTA_HAT,CUSUM_S,H,COOLDOWN,IN_SPIKE_PERIOD
48,2025-01-14 13:02:52.400257884,Зима,0.0023721320692231,0.0030431019301756556,1.2828551873894214,3.141672954506655,3.1000000000000005,30,0
84,2025-01-18 00:39:02.539117314,Зима,0.0023721320692231,0.008635289049898829,3.6403070309348267,3.22980158161788,3.1000000000000005,30,1
127,2025-01-22 21:01:24.948391266,Зима,0.0023721320692231,0.00593883495055393,2.5035852883600054,3.4767233389933914,3.1000000000000005,30,1
309,2025-04-04 15:05:05.369669460,Весна,0.0022865622823222,0.003268133787942444,1.42927827210697,3.9515794372737973,3.1000000000000005,30,0
347,2025-04-09 19:55:41.978032044,Весна,0.0022865622823222,0.004220629647592789,1.845840666673806,3.6222171499177898,3.1000000000000005,30,1
384,2025-04-13 11:24:14.970356058,Весна,0.0022865622823222,0.006863282467424143,3.001572500554803,3.667470601723771,3.1000000000000005,30,1
669,2025-07-07 06:02:21.394863888,Лето,0.0034152430106209,0.005287845646405716,1.5483072888111618,3.559707838570463,3.1000000000000005,30,1
707,2025-07-09 14:09:26.716058820,Лето,0.0034152430106209,0.014523404450983548,4.2525244633596815,3.7690888055404805,3.1000000000000005,30,1
744,2025-07-12 03:56:45.648942000,Лето,0.0034152430106209,0.011483379376183885,3.362390125818946,3.8127247142323824,3.1000000000000005,30,1
789,2025-07-17 03:46:57.141451248,Лето,0.0034152430106209,0.005723866540987786,1.6759763575205069,3.420204298760411,3.1000000000000005,30,0
841,2025-07-29 00:54:52.471499358,Лето,0.0034152430106209,0.0037734772907076584,1.1048927642843285,3.3769421647230384,3.1000000000000005,30,0
1045,2025-09-27 15:49:06.726295464,Осень,0.0021451257134627,0.0034510731540650266,1.6087976254287881,3.56355477557564,3.1000000000000005,30,0
1079,2025-10-01 04:40:07.817647445,Осень,0.0021451257134627,0.00679748622357907,3.1688055300994216,3.6978204203448644,3.1000000000000005,30,1
1119,2025-10-05 17:34:43.114716996,Осень,0.0021451257134627,0.005228109526862146,2.4372042598952577,3.4847355891693357,3.1000000000000005,30,1
