CATEGORY,START_TIME,ROAD,DEPARTMENT,RESPONSIBILITY,YEAR,SOURCE_YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX,SEASON,SEASON_INDEX,MONTH,LAMBDA_DYNAMIC,LAMBDA0,LAMBDA1,LAMBDA_MONTH,SPIKE_FLAG,TRANSITION_FLAG,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,ENTITY_TYPE,REASON,CUSUM_ALARM
1,2025-01-01 13:04:40.980351558,Горьковская,CSH,"ГОРЬК, ШЧ-6 (Р)",2025,2024,0 days 00:00:00,0.0,0.0,0.0,Зима,1,1,0.0014048012986607,0.0014048012986607,0.004214403895982,60.68741610214466,0,0,35.0,"0,13ч",26.0,"0,33ч",10.0,"0,25ч",road,"Срабатывание, воздействие тягового тока",0
2,2025-01-03 05:25:27.033741846,Горьковская,CSH,"ГОРЬК, ШЧ-10",2025,2024,1 days 16:20:46.053390288,2420.7675565048,2420.7675565048,0.001610305958132,Зима,1,1,0.0014048012986607,0.0014048012986607,0.004214403895982,60.68741610214466,0,0,28.0,"10,85ч",0.0,,12.0,"0,65ч",road,"Срабатывание, воздействие тягового тока",0
1,2025-01-03 11:17:38.288997354,Горьковская,CSH,"ГОРЬК, ШЧ-6 (Р)",2025,2024,1 days 22:12:57.308645796,2772.9551440966,352.1875875918004,0.003220611916264,Зима,1,1,0.0014048012986607,0.0014048012986607,0.004214403895982,60.68741610214466,0,0,36.0,"19,23ч",16.0,"0,9ч",37.0,"0,67ч",road,"Срабатывание, воздействие тягового тока",0
2,2025-01-04 00:48:28.935810942,Горьковская,CSH,"ГОРЬК, ШЧ-10",2025,2024,2 days 11:43:47.955459384,3583.7992576564,810.8441135597996,0.0048309178743961,Зима,1,1,0.0014048012986607,0.0014048012986607,0.004214403895982,60.68741610214466,0,0,27.0,"8,18ч",26.0,"2,33ч",24.0,"0,75ч",road,"Лампы, перегорание основной нити",0
3,2025-01-04 04:58:14.772146310,Горьковская,CSH,"ГОРЬК, ШЧ-5 (Э)",2025,2024,2 days 15:53:33.791794752,3833.5631965792,249.7639389228002,0.0064412238325281,Зима,1,1,0.0014048012986607,0.0014048012986607,0.004214403895982,60.68741610214466,0,0,,,,,,,road,"Срабатывание, воздействие тягового тока",0
2,2025-01-04 08:38:41.062838214,Горьковская,CSH,"ГОРЬК, ШЧ-10",2025,2024,2 days 19:34:00.082486656,4054.0013747776,220.43817819840024,0.0080515297906602,Зима,1,1,0.0014048012986607,0.0014048012986607,0.004214403895982,60.68741610214466,0,0,43.0,"21,2ч",25.0,"6,65ч",1.0,"1,32ч",road,"Срабатывание, воздействие тягового тока",0
2,2025-01-04 18:46:22.465432758,Горьковская,CSH,"ГОРЬК, ШЧ-3",2025,2024,3 days 05:41:41.485081200,4661.69141802,607.6900432424,0.0096618357487922,Зима,1,1,0.0014048012986607,0.0014048012986607,0.004214403895982,60.68741610214466,0,0,18.0,"25,55ч",14.0,"0,95ч",11.0,"0,18ч",road,"Срабатывание, воздействие тягового тока",0
2,2025-01-06 16:45:25.285044036,Горьковская,CSH,"ГОРЬК, ШЧ-10",2025,2024,5 days 03:40:44.304692478,7420.7384115413,2759.0469935213,0.0112721417069243,Зима,1,1,0.0014048012986607,0.0014048012986607,0.004214403895982,60.68741610214466,0,0,4.0,"26,3ч",1.0,"1,55ч",22.0,"2,03ч",road,"Лампы, перегорание основной нити",0
3,2025-01-06 23:55:03.359271054,Горьковская,CSH,"ГОРЬК, ШЧ-3",2025,2024,5 days 10:50:22.378919496,7850.372981991601,429.634570450301,0.0128824476650563,Зима,1,1,0.0014048012986607,0.0014048012986607,0.004214403895982,60.68741610214466,0,0,,,,,,,road,"Срабатывание, воздействие тягового тока",0
3,2025-01-08 08:50:16.176202062,Горьковская,CSH,"ГОРЬК, ШЧ-10",2025,2024,6 days 19:45:35.195850504,9825.5865975084,1975.213615516799,0.0144927536231884,Зима,1,1,0.0014048012986607,0.0014048012986607,0.004214403895982,60.68741610214466,0,0,,,,,,,road,"Срабатывание (перегорание), воздействие тягового тока",0
