INDEX,START_TIME,SEASON,LAMBDA0,LAMBDA_HAT,DELTA_HAT,CUSUM_S,H,COOLDOWN,IN_SPIKE_PERIOD
38,2025-01-15 01:13:49.949743350,Зима,0.0015210449048779,0.002552704103504146,1.6782568978192403,3.257486765933531,3.1000000000000005,30,0
75,2025-01-20 10:39:04.793674722,Зима,0.0015210449048779,0.005891847722646131,3.8735527818747015,3.64250338624242,3.1000000000000005,30,1
222,2025-04-09 23:50:36.498617982,Весна,0.0015608425519018,0.0036480043922945916,2.3372020373545688,3.362850906426325,3.1000000000000005,30,1
260,2025-04-14 14:52:00.159217596,Весна,0.0015608425519018,0.005787320220886509,3.707818071614578,3.928828113522079,3.1000000000000005,30,1
309,2025-04-29 20:06:20.881344906,Весна,0.0015608425519018,0.0040223398328434485,2.5770311220324245,3.9167629067999297,3.1000000000000005,30,0
400,2025-06-20 15:56:38.525209260,Лето,0.00225522510767,0.003354750129533357,1.4875455749955435,3.712357707209166,3.1000000000000005,30,0
446,2025-06-30 08:29:07.424084988,Лето,0.00225522510767,0.004405915864869656,1.9536479307033148,3.541238776608031,3.1000000000000005,30,1
482,2025-07-03 17:39:05.257550544,Лето,0.00225522510767,0.007511819638999902,3.3308513697600612,3.4431468064226287,3.1000000000000005,30,1
517,2025-07-07 06:50:08.268273006,Лето,0.00225522510767,0.009728021675482743,4.313547965743122,3.5130057649566604,3.1000000000000005,30,1
688,2025-09-24 03:15:20.622426816,Осень,0.001559693732867,0.002100704813410856,1.346870074004452,3.2706755371458827,3.1000000000000005,30,1
727,2025-09-30 04:54:09.199793316,Осень,0.001559693732867,0.003366344392489155,2.1583368077662297,4.041848381930422,3.1000000000000005,30,1
790,2025-10-18 06:07:26.937904032,Осень,0.001559693732867,0.0020143204300298472,1.2914845957142886,3.4377537053181735,3.1000000000000005,30,0
