INDEX,START_TIME,SEASON,LAMBDA0,LAMBDA_HAT,DELTA_HAT,CUSUM_S,H,COOLDOWN,IN_SPIKE_PERIOD
41,2025-01-19 06:46:36.224535756,Зима,0.0015128593040847,0.0021197860489077167,1.4011785783280193,3.9762726653563907,3.1000000000000005,30,0
80,2025-01-25 17:40:04.018217400,Зима,0.0015128593040847,0.004309486300125647,2.8485704443830904,3.974096882113521,3.1000000000000005,30,1
204,2025-04-05 18:12:17.732533734,Весна,0.001331578782467,0.003557374479873265,2.671546382920401,3.1004718391461994,3.1000000000000005,30,1
239,2025-04-10 16:32:15.291954738,Весна,0.001331578782467,0.005596125959499804,4.202624758808434,3.2580439325649864,3.1000000000000005,30,1
303,2025-05-04 12:59:59.468817498,Весна,0.001331578782467,0.0018715693299898824,1.4055265483597212,3.3047133047628323,3.1000000000000005,30,0
374,2025-07-03 13:21:19.578583326,Лето,0.0015863303646293,0.002007324419641273,1.2653886380787729,3.6286181904171073,3.1000000000000005,30,0
408,2025-07-09 06:31:26.596438734,Лето,0.0015863303646293,0.004394888390277982,2.770474857111493,3.146179695830666,3.1000000000000005,30,1
572,2025-09-30 03:48:26.479961202,Осень,0.0015040029617289,0.0018756066073595198,1.2470764054902188,3.351760906107898,3.1000000000000005,30,0
607,2025-10-06 00:33:47.049533994,Осень,0.0015040029617289,0.006599671092336766,4.388070542594033,3.713277593973264,3.1000000000000005,30,1
681,2025-10-24 13:12:48.944154378,Осень,0.0015040029617289,0.0027151994598550344,1.8053152347079322,3.487394104933557,3.1000000000000005,30,0
