CATEGORY,START_TIME,ROAD,DEPARTMENT,RESPONSIBILITY,YEAR,SOURCE_YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX,SEASON,SEASON_INDEX,MONTH,LAMBDA_DYNAMIC,LAMBDA0,LAMBDA1,LAMBDA_MONTH,SPIKE_FLAG,TRANSITION_FLAG,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,ENTITY_TYPE,REASON,CUSUM_ALARM
3,2025-01-01 00:17:58.035147462,Западно-Сибирская,CV,"З-СИБ, ШЧ-14",2025,2024,0 days 00:00:00,0.0,0.0,0.0,Зима,1,1,0.0022241376656559,0.0022241376656559,0.0066724129969677,96.0827471563361,0,0,,,,,,,road,Нарушение монтажа стативов для размещения постовых устройств ЭЦ,0
3,2025-01-01 18:14:11.035712772,Западно-Сибирская,CSH,"З-СИБ, ШЧ-21",2025,2024,0 days 17:56:13.000565310,1076.2166760885,1076.2166760885,0.001031991744066,Зима,1,1,0.0022241376656559,0.0022241376656559,0.0066724129969677,96.0827471563361,0,0,,,,,,,road,Тонкий гребень колеса грузового вагона,0
2,2025-01-02 04:04:07.320728238,Западно-Сибирская,CSH,"З-СИБ, ШЧ-7 (Р)",2025,2024,1 days 03:46:09.285580776,1666.1547596796,589.9380835911002,0.002063983488132,Зима,1,1,0.0022241376656559,0.0022241376656559,0.0066724129969677,96.0827471563361,0,0,19.0,"10,15ч",11.0,"3,33ч",18.0,"8,45ч",road,Тонкий гребень колеса грузового вагона,0
2,2025-01-02 06:26:38.859347208,Западно-Сибирская,CSH,"З-СИБ, ШЧ-8",2025,2024,1 days 06:08:40.824199746,1808.6804033291,142.5256436494999,0.0030959752321981,Зима,1,1,0.0022241376656559,0.0022241376656559,0.0066724129969677,96.0827471563361,0,0,56.0,"5,87ч",5.0,"2,07ч",11.0,"0,98ч",road,Нарушение монтажа стативов для размещения постовых устройств ЭЦ,0
3,2025-01-02 11:35:29.038254444,Западно-Сибирская,CSH,"З-СИБ, ШЧ-14",2025,2024,1 days 11:17:31.003106982,2117.5167184497,308.8363151205999,0.0041279669762641,Зима,1,1,0.0022241376656559,0.0022241376656559,0.0066724129969677,96.0827471563361,0,0,,,,,,,road,"Лампы, перегорание основной нити",0
3,2025-01-02 11:48:09.413440656,Западно-Сибирская,CSH,"З-СИБ, ШЧ-8",2025,2024,1 days 11:30:11.378293194,2130.1896382199,12.67291977019977,0.0051599587203302,Зима,1,1,0.0022241376656559,0.0022241376656559,0.0066724129969677,96.0827471563361,0,0,,,,,,,road,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы,0
1,2025-01-02 14:54:29.369056332,Западно-Сибирская,CV,"З-СИБ, ШЧ-1",2025,2024,1 days 14:36:31.333908870,2316.5222318145,186.33259359460044,0.0061919504643962,Зима,1,1,0.0022241376656559,0.0022241376656559,0.0066724129969677,96.0827471563361,0,0,10.0,"12,38ч",7.0,"1,38ч",8.0,"0,37ч",road,Тонкий гребень колеса грузового вагона,0
1,2025-01-02 20:26:52.331895390,Западно-Сибирская,CSH,"З-СИБ, ШЧ-7 (Р)",2025,2024,1 days 20:08:54.296747928,2648.9049457988,332.3827139842997,0.0072239422084623,Зима,1,1,0.0022241376656559,0.0022241376656559,0.0066724129969677,96.0827471563361,0,0,18.0,"16,42ч",6.0,"1,05ч",69.0,"1,02ч",road,Тонкий гребень колеса грузового вагона,0
3,2025-01-03 01:54:16.845318282,Западно-Сибирская,CSH,"З-СИБ, ШЧ-7 (Р)",2025,2024,2 days 01:36:18.810170820,2976.313502847,327.40855704820024,0.0082559339525283,Зима,1,1,0.0022241376656559,0.0022241376656559,0.0066724129969677,96.0827471563361,0,0,,,,,,,road,Тонкий гребень колеса грузового вагона,0
1,2025-01-03 03:39:13.955875350,Западно-Сибирская,CSH,"З-СИБ, ШЧ-8",2025,2024,2 days 03:21:15.920727888,3081.2653454648,104.95184261780014,0.0092879256965944,Зима,1,1,0.0022241376656559,0.0022241376656559,0.0066724129969677,96.0827471563361,0,0,18.0,"8,35ч",8.0,"0,8ч",6.0,"0,42ч",road,Тонкий гребень колеса грузового вагона,0
3,2025-01-03 14:53:24.273807744,Западно-Сибирская,CSH,"З-СИБ, ШЧ-21",2025,2024,2 days 14:35:26.238660282,3755.4373110047,674.1719655398997,0.0103199174406604,Зима,1,1,0.0022241376656559,0.0022241376656559,0.0066724129969677,96.0827471563361,0,0,,,,,,,road,Тонкий гребень колеса грузового вагона,0
2,2025-01-03 17:33:02.388902262,Западно-Сибирская,CSH,"З-СИБ, ШЧ-1",2025,2024,2 days 17:15:04.353754800,3915.07256258,159.63525157529966,0.0113519091847265,Зима,1,1,0.0022241376656559,0.0022241376656559,0.0066724129969677,96.0827471563361,0,0,41.0,"3,8ч",5.0,"2,38ч",15.0,"0,97ч",road,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы,0
3,2025-01-04 00:03:31.081386959,Западно-Сибирская,CSH,"З-СИБ, ШЧ-7 (Р)",2025,2024,2 days 23:45:33.046239497,4305.550770658283,390.4782080782834,0.0123839009287925,Зима,1,1,0.0022241376656559,0.0022241376656559,0.0066724129969677,96.0827471563361,0,0,,,,,,,road,Тонкий гребень колеса грузового вагона,0
3,2025-01-04 02:25:57.265393518,Западно-Сибирская,CSH,"З-СИБ, ШЧ-21",2025,2024,3 days 02:07:59.230246056,4447.9871707676,142.43640010931722,0.0134158926728586,Зима,1,1,0.0022241376656559,0.0022241376656559,0.0066724129969677,96.0827471563361,0,0,,,,,,,road,"Лампы, перегорание основной нити",0
1,2025-01-04 06:34:53.676274416,Западно-Сибирская,CV,"З-СИБ, ШЧ-14",2025,2024,3 days 06:16:55.641126954,4696.9273521159,248.94018134830003,0.0144478844169246,Зима,1,1,0.0022241376656559,0.0022241376656559,0.0066724129969677,96.0827471563361,0,0,8.0,"4,98ч",7.0,"0,42ч",9.0,"1,17ч",road,Тонкий гребень колеса грузового вагона,0
2,2025-01-04 08:19:27.961312614,Западно-Сибирская,CSH,"З-СИБ, ШЧ-21",2025,2024,3 days 08:01:29.926165152,4801.4987694192,104.57141730329931,0.0154798761609907,Зима,1,1,0.0022241376656559,0.0022241376656559,0.0066724129969677,96.0827471563361,0,0,43.0,"12,38ч",8.0,"2,72ч",1.0,"2,02ч",road,Тонкий гребень колеса грузового вагона,0
1,2025-01-04 15:50:09.848503932,Западно-Сибирская,CV,"З-СИБ, ШЧ-21",2025,2024,3 days 15:32:11.813356470,5252.196889274501,450.6981198553012,0.0165118679050567,Зима,1,1,0.0022241376656559,0.0022241376656559,0.0066724129969677,96.0827471563361,0,0,1.0,"24,68ч",16.0,"0,22ч",17.0,"2,17ч",road,Нарушение монтажа стативов для размещения постовых устройств ЭЦ,0
3,2025-01-04 19:59:25.812121110,Западно-Сибирская,CSH,"З-СИБ, ШЧ-21",2025,2024,3 days 19:41:27.776973648,5501.4629495608,249.26606028629885,0.0175438596491228,Зима,1,1,0.0022241376656559,0.0022241376656559,0.0066724129969677,96.0827471563361,0,0,,,,,,,road,Тонкий гребень колеса грузового вагона,0
3,2025-01-04 20:06:44.146523652,Западно-Сибирская,CSH,"З-СИБ, ШЧ-8",2025,2024,3 days 19:48:46.111376190,5508.7685229365,7.305573375700078,0.0185758513931888,Зима,1,1,0.0022241376656559,0.0022241376656559,0.0066724129969677,96.0827471563361,0,0,,,,,,,road,"Лампы, перегорание основной нити",0
1,2025-01-04 20:19:34.851583026,Западно-Сибирская,CV,"З-СИБ, ШЧ-7 (Р)",2025,2024,3 days 20:01:36.816435564,5521.6136072594,12.84508432290022,0.0196078431372549,Зима,1,1,0.0022241376656559,0.0022241376656559,0.0066724129969677,96.0827471563361,0,0,0.0,,13.0,"2,1ч",29.0,"0,78ч",road,Тонкий гребень колеса грузового вагона,0
3,2025-01-05 01:05:59.600513502,Западно-Сибирская,CSH,"З-СИБ, ШЧ-14",2025,2024,4 days 00:48:01.565366040,5808.026089434,286.4124821746,0.0206398348813209,Зима,1,1,0.0022241376656559,0.0022241376656559,0.0066724129969677,96.0827471563361,0,0,,,,,,,road,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы,0
3,2025-01-05 02:36:59.496751482,Западно-Сибирская,CSH,"З-СИБ, ШЧ-14",2025,2024,4 days 02:19:01.461604020,5899.024360066999,90.99827063299928,0.0216718266253869,Зима,1,1,0.0022241376656559,0.0022241376656559,0.0066724129969677,96.0827471563361,0,0,,,,,,,road,"Лампы, перегорание основной нити",0
3,2025-01-05 09:12:27.652565688,Западно-Сибирская,CSH,"З-СИБ, ШЧ-14",2025,2024,4 days 08:54:29.617418226,6294.4936236371,395.46926357010034,0.022703818369453,Зима,1,1,0.0022241376656559,0.0022241376656559,0.0066724129969677,96.0827471563361,0,0,,,,,,,road,Тонкий гребень колеса грузового вагона,0
1,2025-01-05 13:08:18.916501710,Западно-Сибирская,CSH,"З-СИБ, ШЧ-7 (Р)",2025,2024,4 days 12:50:20.881354248,6530.3480225708,235.8543989337004,0.023735810113519,Зима,1,1,0.0022241376656559,0.0022241376656559,0.0066724129969677,96.0827471563361,0,0,31.0,"7,18ч",20.0,"0,95ч",18.0,"0,12ч",road,"Лампы, перегорание основной нити",0
