INDEX,START_TIME,SEASON,LAMBDA0,LAMBDA_HAT,DELTA_HAT,CUSUM_S,H,COOLDOWN,IN_SPIKE_PERIOD
22,2025-01-11 01:47:41.505494208,Зима,0.0013077699293642,0.0017838882123343688,1.3640688413761308,3.4885144288110155,3.1000000000000005,30,0
57,2025-01-14 17:18:17.341289880,Зима,0.0013077699293642,0.012078017052616451,9.235582483907114,3.8322927755370255,3.1000000000000005,30,1
106,2025-02-10 03:48:03.101167392,Зима,0.0013077699293642,0.001728334480148683,1.32158909708908,3.1956316276799175,3.1000000000000005,30,0
144,2025-03-17 08:24:22.390396872,Весна,0.0012515644555694,0.0022626392485740896,1.8078487596107868,3.331905595949779,3.1000000000000005,30,0
180,2025-03-31 00:36:55.116351576,Весна,0.0012515644555694,0.001628387680434854,1.3010817566675126,3.897592447384536,3.1000000000000005,30,1
345,2025-06-25 04:38:21.905034618,Лето,0.0016724187736609,0.002663774599575361,1.5927676976170255,3.909689017100073,3.1000000000000005,30,0
380,2025-06-30 16:50:04.922088810,Лето,0.0016724187736609,0.004243614958457985,2.537411696933283,3.332865296656749,3.1000000000000005,30,1
473,2025-07-30 20:09:14.624471982,Лето,0.0016724187736609,0.003445725018316221,2.060324287542874,3.3982594744214154,3.1000000000000005,30,0
562,2025-10-02 21:23:59.514835440,Осень,0.001455211814164,0.0024506841725997395,1.6840738569784257,3.468737333263148,3.1000000000000005,30,1
596,2025-10-07 02:15:40.795420056,Осень,0.001455211814164,0.0052833581727709635,3.63064546435543,3.675322623467285,3.1000000000000005,30,1
