CATEGORY,START_TIME,ROAD,DEPARTMENT,RESPONSIBILITY,YEAR,SOURCE_YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX,SEASON,SEASON_INDEX,MONTH,LAMBDA_DYNAMIC,LAMBDA0,LAMBDA1,LAMBDA_MONTH,SPIKE_FLAG,TRANSITION_FLAG,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,ENTITY_TYPE,REASON,CUSUM_ALARM
1,2025-01-01 03:05:42.949910064,Московская,CSH,"МОСК, ШЧ-34",2025,2024,0 days 00:00:00,0.0,0.0,0.0,Зима,1,1,0.0016700299213694,0.0016700299213694,0.0050100897641082,72.14529260315915,0,0,28.0,"0,3ч",14.0,"0,17ч",9.0,"1,95ч",road,"Низкое сопротивление изоляции провода, кабеля низковольтных цепей и цепей управления",0
2,2025-01-01 23:33:15.281169143,Московская,CSH,"МОСК, ШЧ-33",2025,2024,0 days 20:27:32.331259079,1227.5388543179834,1227.5388543179834,0.0013089005235602,Зима,1,1,0.0016700299213694,0.0016700299213694,0.0050100897641082,72.14529260315915,0,0,51.0,"17,02ч",26.0,"0,95ч",8.0,"0,6ч",road,"Низкое сопротивление изоляции провода, кабеля низковольтных цепей и цепей управления",0
2,2025-01-02 10:08:55.491680694,Московская,CSH,"МОСК, ШЧ-34",2025,2024,1 days 07:03:12.541770630,1863.2090295105,635.6701751925168,0.0026178010471204,Зима,1,1,0.0016700299213694,0.0016700299213694,0.0050100897641082,72.14529260315915,0,0,28.0,"9,5ч",13.0,"1,5ч",0.0,,road,Обрыв жил контрольного кабеля линий СЦБ,0
3,2025-01-02 13:33:46.427522580,Московская,CSH,"МОСК, ШЧ-28",2025,2024,1 days 10:28:03.477612516,2068.0579602086,204.84893069809985,0.0039267015706806,Зима,1,1,0.0016700299213694,0.0016700299213694,0.0050100897641082,72.14529260315915,0,0,,,,,,,road,"Жилы, обрыв",0
2,2025-01-04 09:07:56.451855348,Московская,CSH,"МОСК, ШЧ-34",2025,2024,3 days 06:02:13.501945284,4682.2250324214,2614.1670722128,0.0052356020942408,Зима,1,1,0.0016700299213694,0.0016700299213694,0.0050100897641082,72.14529260315915,0,0,2.0,"6,52ч",7.0,"1,33ч",26.0,"0,67ч",road,Нарушение монтажа стативов для размещения постовых устройств ЭЦ,0
2,2025-01-05 15:03:56.921755710,Московская,CSH,"МОСК, ШЧ-34",2025,2024,4 days 11:58:13.971845646,6478.2328640941,1796.0078316726997,0.006544502617801,Зима,1,1,0.0016700299213694,0.0016700299213694,0.0050100897641082,72.14529260315915,0,0,28.0,"7,82ч",9.0,"0,13ч",3.0,"37,02ч",road,"Лампы, перегорание основной нити",0
3,2025-01-05 23:35:31.640327651,Московская,CSH,"МОСК, ШЧ-34",2025,2024,4 days 20:29:48.690417587,6989.811506959783,511.57864286568383,0.0078534031413612,Зима,1,1,0.0016700299213694,0.0016700299213694,0.0050100897641082,72.14529260315915,0,0,,,,,,,road,"Низкое сопротивление изоляции провода, кабеля низковольтных цепей и цепей управления",0
1,2025-01-06 18:04:59.463423114,Московская,CSH,"МОСК, ШЧ-34",2025,2024,5 days 14:59:16.513513050,8099.2752252175,1109.4637182577162,0.0091623036649214,Зима,1,1,0.0016700299213694,0.0016700299213694,0.0050100897641082,72.14529260315915,0,0,26.0,"5,38ч",4.0,"0,37ч",70.0,"0,75ч",road,"Жилы, обрыв",0
3,2025-01-06 21:06:30.048448806,Московская,CSH,"МОСК, ШЧ-35",2025,2024,5 days 18:00:47.098538742,8280.7849756457,181.50975042820028,0.0104712041884816,Зима,1,1,0.0016700299213694,0.0016700299213694,0.0050100897641082,72.14529260315915,0,0,,,,,,,road,Обрыв жил контрольного кабеля линий СЦБ,0
1,2025-01-07 02:28:36.084766068,Московская,CT,"МОСК, ШЧ-33",2025,2024,5 days 23:22:53.134856004,8602.8855809334,322.1006052877001,0.0117801047120418,Зима,1,1,0.0016700299213694,0.0016700299213694,0.0050100897641082,72.14529260315915,0,0,19.0,"0,33ч",11.0,"2,93ч",10.0,"1,38ч",road,"Низкое сопротивление изоляции провода, кабеля низковольтных цепей и цепей управления",0
