INDEX,START_TIME,SEASON,LAMBDA0,LAMBDA_HAT,DELTA_HAT,CUSUM_S,H,COOLDOWN,IN_SPIKE_PERIOD
98,2025-01-18 10:06:30.103781525,Зима,0.0038688154937952,0.00709177820589253,1.8330618808951507,3.3024045420800987,3.1000000000000005,30,0
134,2025-01-20 13:00:38.524477062,Зима,0.0038688154937952,0.01191247263306348,3.0791007356563487,3.232159153848981,3.1000000000000005,30,1
168,2025-01-22 00:11:15.395844516,Зима,0.0038688154937952,0.019169656089204196,4.954916077013355,3.118963452329986,3.1000000000000005,30,1
207,2025-01-24 10:41:07.664528831,Зима,0.0038688154937952,0.010648954855704482,2.752510393112119,3.527787484540536,3.1000000000000005,30,1
426,2025-03-22 02:36:04.362706068,Весна,0.0029844189093994,0.0039913156962778605,1.33738453529672,3.10167329516908,3.1000000000000005,30,0
468,2025-04-01 02:16:08.887340526,Весна,0.0029844189093994,0.010077231503295694,3.376614278765473,3.4813520142455734,3.1000000000000005,30,0
504,2025-04-03 09:04:41.962434522,Весна,0.0029844189093994,0.013663310547948384,4.57821470870457,3.670807078150596,3.1000000000000005,30,1
540,2025-04-05 13:15:13.775133702,Весна,0.0029844189093994,0.014539856064825846,4.8719219741681385,3.83261296301852,3.1000000000000005,30,1
962,2025-07-02 14:31:48.878033124,Лето,0.0050870715601616,0.009256068041065527,1.8195277836373687,3.1988941855459716,3.1000000000000005,30,0
997,2025-07-04 09:07:53.866410984,Лето,0.0050870715601616,0.021345942827560957,4.196116090586873,3.5043108268333127,3.1000000000000005,30,1
1031,2025-07-06 08:44:30.799261032,Лето,0.0050870715601616,0.02960902247365547,5.8204454416432245,3.2891216559788328,3.1000000000000005,30,1
1071,2025-07-08 08:45:21.350285706,Лето,0.0050870715601616,0.012111477058816378,2.380834811459117,3.4177510970236944,3.1000000000000005,30,1
1107,2025-07-09 17:20:02.117480256,Лето,0.0050870715601616,0.01787596721534995,3.513999558280656,3.5907410374644337,3.1000000000000005,30,1
1148,2025-07-11 12:17:14.388858132,Лето,0.0050870715601616,0.014534023361484912,2.857051093069981,3.656155878447004,3.1000000000000005,30,1
1290,2025-07-29 01:03:49.772377212,Лето,0.0050870715601616,0.006121240633201419,1.2032935964846083,3.810533224155906,3.1000000000000005,30,0
1520,2025-10-03 04:12:17.873123346,Осень,0.003178493470685,0.0044662882198303515,1.4051588468004048,3.4260338162874904,3.1000000000000005,30,0
1555,2025-10-05 03:58:01.256676684,Осень,0.003178493470685,0.01582008674923427,4.977228015455029,3.2505292489631836,3.1000000000000005,30,1
1589,2025-10-07 08:14:48.203370996,Осень,0.003178493470685,0.008323980457596789,2.6188445986654423,3.127852189577383,3.1000000000000005,30,1
1711,2025-10-28 22:03:20.908733652,Осень,0.003178493470685,0.005420782527452808,1.7054565558961396,3.4422960428159723,3.1000000000000005,30,0
