INDEX,START_TIME,SEASON,LAMBDA0,LAMBDA_HAT,DELTA_HAT,CUSUM_S,H,COOLDOWN,IN_SPIKE_PERIOD
132,2025-03-21 16:58:52.782334500,Весна,0.0022434950014021,0.003102280493768235,1.3827891267105237,4.189167470048352,3.7999999999999994,30,0
169,2025-03-25 15:33:44.898728340,Весна,0.0022434950014021,0.00634776330749629,2.829408268585032,4.6348805986853,3.7999999999999994,30,1
208,2025-03-28 07:56:14.886126600,Весна,0.0022434950014021,0.009607164403031663,4.282231249469041,3.9914677256241453,3.7999999999999994,30,1
243,2025-03-31 05:35:16.929232020,Весна,0.0022434950014021,0.00914216281909947,4.074964648187743,3.8488458364468583,3.7999999999999994,30,1
439,2025-06-26 10:34:15.927341640,Лето,0.0025492822966507,0.003318422339547537,1.301708462772973,4.677125373410716,3.7999999999999994,30,0
484,2025-07-01 02:39:36.047830200,Лето,0.0025492822966507,0.007263235244184474,2.849129440755566,4.054657931236929,3.7999999999999994,30,1
526,2025-07-05 04:16:08.821731960,Лето,0.0025492822966507,0.006912084851379104,2.711384635769975,4.084408006421765,3.7999999999999994,30,1
563,2025-07-09 01:45:59.091494580,Лето,0.0025492822966507,0.00593793802177962,2.329258721005911,4.321093868066951,3.7999999999999994,30,1
731,2025-09-20 02:00:27.971941980,Осень,0.0019963298243997,0.002327996623001324,1.1661382776272238,4.771619030896777,3.7999999999999994,30,0
768,2025-09-25 15:44:15.216288720,Осень,0.0019963298243997,0.004752984334925779,2.3808612569092937,4.5242508353150805,3.7999999999999994,30,1
810,2025-10-01 12:19:46.807078740,Осень,0.0019963298243997,0.0051969800523081295,2.6032672501253,3.970592297708704,3.7999999999999994,30,1
