CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
3,13160106,2024-01-01 03:45:00,Октябрьская,"ОКТ, ТЧЭ-14",,,,Прочая неисправность аккумуляторной батареи,CT,2024,,,,,,
1,13160147,2024-01-01 06:11:00,Октябрьская,"ОКТ, ТЧЭ-14","6шт ч(к учету 5,65ч)",,,Неисправность микросхемы,CT,2024,5.0,"5,65ч",,,,
2,13160319,2024-01-01 13:59:00,Октябрьская,"ОКТ, ТЧЭ-14",,"2шт ч(к учету 0,3ч)","1шт ч(к учету 0,17)ч",Прочая неисправность уплотнения секции холодильника,CT,2024,,,0.0,"0,3ч",0.0,
3,13160600,2024-01-02 04:00:00,Октябрьская,"ОКТ, ТЧЭ-21",,,,Не качественное изготовление програмного обеспечения,CT,2024,,,,,,
3,13160967,2024-01-02 13:57:00,Октябрьская,"ОКТ, ТЧЭ-14",,,,Течь воды в соединении с резиновым патрубком крышки цилиндров дизеля,CT,2024,,,,,,
2,13170209,2024-01-02 14:36:00,Октябрьская,"ОКТ, ТЧЭ-4",,,"1шт ч(к учету 0,1)ч",Прочая неисправность диафрагмы крана машиниста,CT,2024,,,,,0.0,
3,13161162,2024-01-02 18:47:00,Октябрьская,"ОКТ, ТЧЭ-12",,,,Прочая неисправность пружины токоприемника,CT,2024,,,,,,
2,13161444,2024-01-03 03:37:00,Октябрьская,"ОКТ, ТЧЭ-12","4шт ч(к учету 1,22ч)",,,"Пропил полоза, скол вставки полоза",CT,2024,1.0,"1,22ч",,,,
3,13162549,2024-01-03 06:48:00,Северная,"ОКТ, ТЧЭ-4",,,,Прочая неисправность корпуса буксы локомотива,CT,2024,,,,,,
1,13161743,2024-01-03 07:05:00,Свердловская,"СВЕРД, ТЧЭ-5","27шт (к учету 21) ч(к учету 49,9ч)","1шт ч(к учету 0,12ч)","1шт ч(к учету 0,17)ч","Код 14.2 Пробоксовки в виде местного износа и выкрашивания металла в местах термомеханических повреждений головки рельса из-за боксования, юза колес подвижного состава или нарушения режимов шлифования рельсошлифовальными поездами",CT,2024,21.0,"49,9ч",0.0,"0,12ч",0.0,
2,13162314,2024-01-03 09:15:00,Октябрьская,"ОКТ, ТЧЭ-25","1шт ч(к учету 0,25ч)",,,Нетиповые элементы соединительной арматуры,CT,2024,0.0,"0,25ч",,,,
3,13162008,2024-01-03 10:59:00,Западно-Сибирская,"З-СИБ, ТЧЭ-14",,,,Прочая неисправность пружины предохранительного клапана,CT,2024,,,,,,
1,13162718,2024-01-03 18:43:00,Свердловская,"СВЕРД, ТЧЭ-12",,,,Прочая неисправность вкладыша опоры кузова локомотива,CT,2024,,,,,,
1,13162628,2024-01-03 22:00:00,Октябрьская,"ОКТ, ТЧЭ-12",,"1шт ч(к учету 0,13ч)","3шт ч(к учету 2,23)ч",Прочая неисправность якоря тягового двигателя постоянного тока,CT,2024,,,0.0,"0,13ч",2.0,
3,13162724,2024-01-03 22:35:00,Северная,"ОКТ, ТЧЭ-4",,,,Прочая неисправность стопорной планки буксовой гайки локомотива,CT,2024,,,,,,
2,13202091,2024-01-03 23:19:00,Октябрьская,"ОКТ, ТЧЭ-26","2шт ч(к учету 1,97ч)",,,Прочая неисправность штуцера концевого крана,CT,2024,1.0,"1,97ч",,,,
3,13162740,2024-01-04 01:36:00,Октябрьская,"ОКТ, ТЧЭ-22",,,,Засорение (замерзание) магистральной/ подводящих труб,CT,2024,,,,,,
2,13162889,2024-01-04 04:20:00,Октябрьская,"ОКТ, ТЧЭ-1",,,"1шт ч(к учету 0,13)ч",Пережог простой струны контактной сети,CT,2024,,,,,0.0,
1,13164340,2024-01-04 19:10:00,Октябрьская,"ОКТ, ТЧЭ-22","17шт (к учету 16) ч(к учету 12,75ч)",,,Прочая неисправность главного вала контроллера машиниста,CT,2024,16.0,"12,75ч",,,,
3,13166145,2024-01-04 21:33:00,Московская,"МОСК, ТЧЭ-5",,,,Прочая неисправность тифона,CT,2024,,,,,,
3,13165732,2024-01-05 20:19:00,Октябрьская,"ОКТ, ТЧЭ-14",,,,Нарушение регулировки подачи песка,CT,2024,,,,,,
3,13165634,2024-01-05 22:00:00,Октябрьская,"ОКТ, ТЧЭ-14",,,,Прочая неисправность трубопровода системы подачи масла,CT,2024,,,,,,
2,13165911,2024-01-06 08:11:00,Октябрьская,"ОКТ, ТЧЭ-12",,"1шт ч(к учету 0,18ч)","1шт ч(к учету 0,13)ч","Прочая неисправность провода, кабеля низковольтных цепей и цепей управления",CT,2024,,,0.0,"0,18ч",0.0,
2,13166643,2024-01-06 21:45:00,Октябрьская,"ОКТ, ТЧЭ-5","5шт ч(к учету 2,1ч)",,,Износ угольной вставки токоприемника,CT,2024,2.0,"2,1ч",,,,
3,13205564,2024-01-07 00:30:00,Октябрьская,"ОКТ, ТЧЭ-21",,,,Неисправность МСУД,CT,2024,,,,,,
