CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
3,12647829,2023-01-01 03:30:00,Свердловская,"СВЕРД, ВЧДЭ-4",,,,Обводнение смазки в буксе грузового вагона,CV,2023,,,,,,
2,12683986,2023-01-01 06:41:00,Забайкальская,"ЗАБ, ВЧДЭ-3 КАРЫМСКАЯ","1шт 0,25ч",,,Выщербина на ободе колеса грузового вагона,CV,2023,1.0,"0,25ч",,,,
2,12683984,2023-01-01 07:40:00,Забайкальская,"ЗАБ, ВЧДЭ-3 КАРЫМСКАЯ","1шт 0,25ч",,,Тонкий гребень колеса грузового вагона,CV,2023,1.0,"0,25ч",,,,
3,12647894,2023-01-01 08:46:00,Свердловская,"СВЕРД, ВЧДЭ-4",,,,Неисправность магистральной части воздухораспределителя,CV,2023,,,,,,
2,12649144,2023-01-01 13:10:00,Восточно-Сибирская,"КРАС, ВЧДЭ-8 АБАКАН","1шт 0,98ч",,,Выщербина на ободе колеса грузового вагона,CV,2023,1.0,"0,98ч",,,,
3,12648451,2023-01-01 13:21:00,Южно-Уральская,"С-КАВ, ВЧДЭ-5 БАТАЙСК",,,,Тонкий гребень колеса грузового вагона,CV,2023,,,,,,
1,12650849,2023-01-01 13:33:00,Дальневосточная,"ЗАБ, ВЧДЭ-7 БЕЛОГОРСК","28шт (к учету 15) 11,58ч",,,Выпадение валика подвески тормозного подвешивания грузового вагона,CV,2023,15.0,"11,58ч",,,,
3,12648029,2023-01-01 13:45:00,Западно-Сибирская,"З-СИБ, ВЧДЭ-6 ИНСКАЯ",,,,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы,CV,2023,,,,,,
2,12654751,2023-01-01 16:42:00,Дальневосточная,"ЗАБ, ВЧДЭ-7 БЕЛОГОРСК","7шт 3,05ч",,,Обрыв маятниковой подвески грузового вагона,CV,2023,7.0,"3,05ч",,,,
3,12649015,2023-01-01 17:05:00,Красноярская,"З-СИБ, ВЧДЭ-6 ИНСКАЯ",,,,Тонкий гребень колеса грузового вагона,CV,2023,,,,,,
1,12654752,2023-01-01 17:22:00,Дальневосточная,"ЗАБ, ВЧДЭ-6 МОГОЧА","3шт 0,95ч",,,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы,CV,2023,3.0,"0,95ч",,,,
2,12649749,2023-01-01 19:55:00,Забайкальская,"КРАС, ВЧДЭ-8 АБАКАН","1шт 0,58ч",,,Выщербина на ободе колеса грузового вагона,CV,2023,1.0,"0,58ч",,,,
1,12649141,2023-01-01 21:03:00,Восточно-Сибирская,"КРАС, ВЧДЭ-8 АБАКАН","1шт 2,72ч",,,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы,CV,2023,1.0,"2,72ч",,,,
3,12648189,2023-01-01 21:34:00,Западно-Сибирская,"З-СИБ, ВЧДЭ-25 НОВОКУЗНЕЦК",,,,Выщербина на ободе колеса грузового вагона,CV,2023,,,,,,
1,12649750,2023-01-01 21:40:00,Забайкальская,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ","19шт 12,45ч",,,Выщербина на ободе колеса грузового вагона,CV,2023,19.0,"12,45ч",,,,
2,12648219,2023-01-01 22:55:00,Восточно-Сибирская,"В-СИБ, ВЧДЭ-10 УЛАН-УДЭ","1шт 0,3ч",,,Технологический нагрев буксового узла,CV,2023,1.0,"0,3ч",,,,
3,12665805,2023-01-02 02:25:00,Дальневосточная,"ЗАБ, ВЧДЭ-7 БЕЛОГОРСК",,,,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы,CV,2023,,,,,,
3,12648556,2023-01-02 11:22:00,Свердловская,"СВЕРД, ВЧДЭ-4",,,,Подтверждённые неисправности кассетных подшипников,CV,2023,,,,,,
3,12648587,2023-01-02 11:47:00,Западно-Сибирская,"З-СИБ, ВЧДЭ-25 НОВОКУЗНЕЦК",,,,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы,CV,2023,,,,,,
3,12652383,2023-01-02 13:49:00,Свердловская,"З-СИБ, ВЧДЭ-23 БЕЛОВО",,,,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы,CV,2023,,,,,,
