CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
3,12647915,2023-01-01 09:18:00,Восточно-Сибирская,"В-СИБ, ШЧ-7 СЛЮДЯНКА",,,,Неисправность приёмной капсулы напольной камеры,CSH,2023,,,,,,
3,12650259,2023-01-02 02:00:00,Восточно-Сибирская,"В-СИБ, ШЧ-2 НИЖНЕУДИНСК",,,,Перегорание лампы линзового светофора,CSH,2023,,,,,,
2,12648394,2023-01-02 06:03:00,Восточно-Сибирская,"В-СИБ, ШЧ-11 КОРШУНИХА-АНГАРСКАЯ","1шт 0,48ч",,,Нарушение монтажа шкафов для размещения устройств АБ,CSH,2023,1.0,"0,48ч",,,,
3,12648659,2023-01-02 07:18:00,Восточно-Сибирская,"В-СИБ, ШЧ-13 СЕВЕРОБАЙКАЛЬСК",,,,Пережог тяговым током тиристорных устройств защиты рельсовых цепей,CSH,2023,,,,,,
3,12649528,2023-01-02 18:52:00,Восточно-Сибирская,"В-СИБ, ШЧ-13 СЕВЕРОБАЙКАЛЬСК",,,,Некачественная пайка монтажа светодиодного светофора,CSH,2023,,,,,,
3,12649021,2023-01-03 05:24:00,Восточно-Сибирская,"В-СИБ, ШЧ-8 УЛАН-УДЭ",,,,Неисправность контактной системы реле аппаратуры рельсовых цепей,CSH,2023,,,,,,
3,12650242,2023-01-04 08:03:00,Восточно-Сибирская,"В-СИБ, ШЧ-13 СЕВЕРОБАЙКАЛЬСК",,,,Короткое замыкание (электрический пробой) элементов трансформаторов аппаратуры рельсовых цепей,CSH,2023,,,,,,
2,12650737,2023-01-04 19:48:00,Восточно-Сибирская,"В-СИБ, ШЧ-2 НИЖНЕУДИНСК","2шт 0,48ч",,,Закорачивание РЦ,CSH,2023,2.0,"0,48ч",,,,
2,12652888,2023-01-06 15:32:00,Восточно-Сибирская,"В-СИБ, ШЧ-8 УЛАН-УДЭ","17шт 6,2ч",,,Другие неисправности предохранителей аппаратуры защиты постовых устройств ЭЦ,CSH,2023,17.0,"6,2ч",,,,
3,12659680,2023-01-07 00:30:00,Восточно-Сибирская,"В-СИБ, ШЧ-14 ТАКСИМО",,,,Подгар контактов реле аппаратуры постовых устройств ЭЦ,CSH,2023,,,,,,
3,12654744,2023-01-07 10:30:00,Восточно-Сибирская,"В-СИБ, ШЧ-10 ВИХОРЕВКА",,,,Нарушение герметичности колбы лампы линзового светофора,CSH,2023,,,,,,
3,12655766,2023-01-07 13:30:00,Восточно-Сибирская,"В-СИБ, ШЧ-11 КОРШУНИХА-АНГАРСКАЯ",,,,Перегорание лампы линзового светофора,CSH,2023,,,,,,
3,12657205,2023-01-07 22:32:00,Восточно-Сибирская,"В-СИБ, ШЧ-6 (Р)",,,,Пробой деталей блока элементов аппаратуры АБ,CSH,2023,,,,,,
