CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
1,13160446,2024-01-01 20:16:00,Горьковская,"ГОРЬК, ШЧ-5 (Э)","6шт ч(к учету 3,37ч)",,,"Автопереключатель, излом контактной рессорной пружины",CSH,2024,6.0,"3,37ч",,,,
2,13160823,2024-01-02 04:57:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)",,"1шт ч(к учету 0,1ч)","1шт ч(к учету 0,15)ч","Транзистор, обрыв",CSH,2024,,,1.0,"0,1ч",1.0,"0,15ч"
2,13160877,2024-01-02 11:59:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)","1шт ч(к учету 0,33ч)",,,Перегорание предохранителей оборудования пункта питания линий СЦБ,CSH,2024,1.0,"0,33ч",,,,
2,13161142,2024-01-02 19:02:00,Горьковская,"ГОРЬК, ШЧ-5 (Э)","1шт ч(к учету 0,68ч)",,,"Стрелочный ОК, программное обеспечение, сбой",CSH,2024,1.0,"0,68ч",,,,
3,13162204,2024-01-03 15:47:00,Горьковская,"ГОРЬК, ИЧ-4 КАНАШ Ш",,,,"Коммутаторы, потеря контакта в штепсельном разъеме",CSH,2024,,,,,,
2,13163590,2024-01-04 12:23:00,Горьковская,"ГОРЬК, ШЧ-5 (Э)",,"1шт ч(к учету 0,3ч)",,"Нарушение контакта в разъемах блоков, неисправность контактных губок",CSH,2024,,,1.0,"0,3ч",,
2,13202735,2024-01-05 09:12:00,Горьковская,"ГОРЬК, ШЧ-3",,"1шт ч(к учету 0,12ч)",,Зависание ПО,CSH,2024,,,1.0,"0,12ч",,
2,13165824,2024-01-06 07:08:00,Горьковская,"ГОРЬК, ШЧ-5 (Э)",,"1шт ч(к учету 0,18ч)","1шт ч(к учету 0,02)ч","Диод, пробой",CSH,2024,,,1.0,"0,18ч",1.0,"0,02ч"
2,13166163,2024-01-06 12:14:00,Горьковская,"ГОРЬК, ШЧ-7","2шт ч(к учету 0,95ч)",,,"Код 98.0 Другие, кроме перечисленных выше, дефекты и повреждения рельсов, оставленных в пути, опасность эксплуатации которых может быть оценена по ближайшему типоразмеру дефекта, в том числе общая равномерная коррозия рельсов, а также, наличие сварного стыка на расстоянии от 750 мм до 3000 мм (выполненного электро контактной или алюминотермитной сваркой)",CSH,2024,2.0,"0,95ч",,,,
2,13166317,2024-01-06 15:17:00,Горьковская,"ГОРЬК, ШЧ-10",,"3шт (к учету 2) ч(к учету 0,52ч)",,"Светодиоды, неисправность",CSH,2024,,,2.0,"0,52ч",,
