CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
3,13168642,2024-01-01 21:28:00,Дальневосточная,"Д-ВОСТ, ШЧ-6 (Э)","1шт ч(к учету 0,08ч)",,,"Стрелочный ОК, программное обеспечение, сбой",CSH,2024,0.0,"0,08ч",,,,
3,13160907,2024-01-02 09:32:00,Дальневосточная,"Д-ВОСТ, ШЧ-14 (Э)",,,,Неисправность устройства сопряжения с объектами,CSH,2024,,,,,,
3,13160964,2024-01-02 14:20:00,Дальневосточная,"Д-ВОСТ, ШЧ-3 (Э)",,,,"Срабатывание (перегорание), коммутационные перенапряжения",CSH,2024,,,,,,
2,13160992,2024-01-02 15:30:00,Дальневосточная,"Д-ВОСТ, ШЧ-14 (Э)","4шт ч(к учету 1,48ч)",,,Излом провода под гайкой,CSH,2024,1.0,"1,48ч",,,,
2,13161100,2024-01-02 17:05:00,Дальневосточная,"Д-ВОСТ, ШЧ-2 (Э)","1шт ч(к учету 0,17ч)","2шт (к учету 1) ч(к учету 0,28ч)",,Излом провода под гайкой,CSH,2024,0.0,"0,17ч",1.0,"0,28ч",,
1,13161891,2024-01-03 10:21:00,Дальневосточная,"Д-ВОСТ, ШЧ-6 (Э)","14шт ч(к учету 9,15ч)","2шт (к учету 1) ч(к учету 0,85ч)",,Удар посторонним предметом с проходящего поезда,CSH,2024,9.0,"9,15ч",1.0,"0,85ч",,
1,13162299,2024-01-03 15:37:00,Дальневосточная,"Д-ВОСТ, ШЧ-2 (Э)","11шт (к учету 10) ч(к учету 9,72ч)",,,Неисправность блоков питания,CSH,2024,10.0,"9,72ч",,,,
3,13162324,2024-01-03 15:55:00,Дальневосточная,"Д-ВОСТ, ШЧ-6 (Э)",,,,"Жилы, внутренний обрыв",CSH,2024,,,,,,
3,13162647,2024-01-03 23:51:00,Дальневосточная,"Д-ВОСТ, ИЧ Ш САХАЛИН",,,,"Обмотка, короткое замыкание",CSH,2024,,,,,,
3,13163281,2024-01-04 08:33:00,Дальневосточная,"Д-ВОСТ, ШЧ-12 (Э)",,,,"Контактная система, потеря контакта",CSH,2024,,,,,,
1,13163824,2024-01-04 16:40:00,Дальневосточная,"Д-ВОСТ, ШЧ-14 (Э)","3шт (к учету 2) ч(к учету 5,6ч)",,,"Диод, пробой",CSH,2024,2.0,"5,6ч",,,,
3,13164007,2024-01-04 19:05:00,Дальневосточная,"Д-ВОСТ, ШЧ-12 (Э)",,,,"Конденсатор, снижение емкости",CSH,2024,,,,,,
2,13164833,2024-01-05 07:53:00,Дальневосточная,"Д-ВОСТ, ШЧ-2 (Э)","11шт (к учету 9) ч(к учету 3,45ч)","1шт ч(к учету 0,23ч)",,Ослабление затяжки болтов,CSH,2024,9.0,"3,45ч",0.0,"0,23ч",,
3,13165083,2024-01-05 13:48:00,Дальневосточная,"Д-ВОСТ, ШЧ-14 (Э)",,,,Зависание ПО,CSH,2024,,,,,,
3,13166670,2024-01-06 18:00:00,Дальневосточная,"Д-ВОСТ, ШЧ-2 (Э)",,,,"Жилы, внутренний обрыв",CSH,2024,,,,,,
2,13166651,2024-01-06 22:47:00,Дальневосточная,"Д-ВОСТ, ШЧ-7 (Р)","6шт ч(к учету 2,6ч)",,,"Транзистор, пробой",CSH,2024,2.0,"2,6ч",,,,
2,13167137,2024-01-07 11:40:00,Дальневосточная,"Д-ВОСТ, ШЧ-14 (Э)",,"2шт (к учету 1) ч(к учету 0,28ч)",,Отсутствие,CSH,2024,,,1.0,"0,28ч",,
2,13170369,2024-01-08 13:38:00,Дальневосточная,"Д-ВОСТ, ШЧ-8 (Э)","1шт ч(к учету 0,87ч)",,,"Жилы, обрыв",CSH,2024,0.0,"0,87ч",,,,
2,13170426,2024-01-10 02:16:00,Дальневосточная,"Д-ВОСТ, ШЧ-14 (Э)","1шт ч(к учету 0,52ч)",,,"Автопереключатель, разрегулировка контактов",CSH,2024,0.0,"0,52ч",,,,
3,13176119,2024-01-12 07:24:00,Дальневосточная,"Д-ВОСТ, ШЧ-2 (Э)","1шт ч(к учету 0,02ч)",,,"Монтаж, обрыв",CSH,2024,0.0,"0,02ч",,,,
3,13179362,2024-01-14 12:40:00,Дальневосточная,"Д-ВОСТ, ШЧ-14 (Э)",,,,Неисправность МЦИ 422,CSH,2024,,,,,,
3,13184874,2024-01-15 14:25:00,Дальневосточная,"Д-ВОСТ, ШЧ-13 (Э)",,,,"Конденсатор, снижение емкости",CSH,2024,,,,,,
2,13183849,2024-01-17 10:50:00,Дальневосточная,"Д-ВОСТ, ШЧ-14 (Э)","2шт ч(к учету 0,78ч)",,,"Конденсатор, снижение емкости конденсатора",CSH,2024,0.0,"0,78ч",,,,
3,13184299,2024-01-17 21:19:00,Дальневосточная,"Д-ВОСТ, ШЧ-2 (Э)",,,,Срабатывания по причине малой скорости,CSH,2024,,,,,,
2,13185067,2024-01-18 07:06:00,Дальневосточная,"Д-ВОСТ, ШЧ-2 (Э)","2шт ч(к учету 0,37ч)","1шт ч(к учету 0,17ч)",,"Жилы, внутренний обрыв",CSH,2024,0.0,"0,37ч",0.0,"0,17ч",,
3,13184915,2024-01-18 07:13:00,Дальневосточная,"Д-ВОСТ, ШЧ-14 (Э)",,,,"Срабатывание, воздействие тягового тока",CSH,2024,,,,,,
3,13184791,2024-01-18 08:35:00,Дальневосточная,"Д-ВОСТ, ШЧ-12 (Э)",,,,Нарушение контакта,CSH,2024,,,,,,
2,13186889,2024-01-19 18:00:00,Дальневосточная,"Д-ВОСТ, ШЧ-13 (Э)","1шт ч(к учету 0,85ч)",,,"Конденсатор, снижение емкости",CSH,2024,0.0,"0,85ч",,,,
2,13187484,2024-01-20 09:50:00,Дальневосточная,"Д-ВОСТ, ШЧ-8 (Э)","2шт ч(к учету 0,85ч)",,,"Шибер, попадание посторонних предметов",CSH,2024,0.0,"0,85ч",,,,
2,13188043,2024-01-21 02:22:00,Дальневосточная,"Д-ВОСТ, ШЧ-4 (Р)","3шт ч(к учету 1,67ч)",,,"Обмотка, обрыв",CSH,2024,1.0,"1,67ч",,,,
1,13188553,2024-01-21 14:12:00,Дальневосточная,"Д-ВОСТ, ШЧ-3 (Э)","7шт ч(к учету 4,18ч)",,,"Контактная система, сваривание контактов",CSH,2024,4.0,"4,18ч",,,,
3,13193856,2024-01-22 06:01:00,Дальневосточная,"Д-ВОСТ, ШЧ-14 (Э)",,,,"Выключатели, наличие переходного сопротивления",CSH,2024,,,,,,
3,13190340,2024-01-22 11:27:00,Дальневосточная,"Д-ВОСТ, ШЧ-2 (Э)",,,,"Нарушение контакта в штепсельных розетках, неисправность контактных губок",CSH,2024,,,,,,
3,13193766,2024-01-25 04:17:00,Дальневосточная,"Д-ВОСТ, ШЧ-3 (Э)",,,,"Нарушение контакта в штепсельных розетках, неисправность контактных губок",CSH,2024,,,,,,
3,13193764,2024-01-25 04:31:00,Дальневосточная,"Д-ВОСТ, ШЧ-3 (Э)",,,,"Контактная система, подгар контактов",CSH,2024,,,,,,
3,13194813,2024-01-25 07:05:00,Дальневосточная,"Д-ВОСТ, ШЧ-4 (Р)",,,,"Контактная система, увеличенное сопротивление контакта",CSH,2024,,,,,,
