CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
2,13160284,2024-01-01 11:01:00,Забайкальская,"ЗАБ, ШЧ-2","8шт ч(к учету 2,17ч)","2шт (к учету 1) ч(к учету 0,5ч)",,Ослабление крепления,CSH,2024,8.0,"2,17ч",1.0,"0,5ч",,
2,13161217,2024-01-02 21:40:00,Забайкальская,"ЗАБ, ШЧ-9","22шт (к учету 16) ч(к учету 8,58ч)",,,"Контактная система, сваривание контактов",CSH,2024,16.0,"8,58ч",,,,
2,13163246,2024-01-04 08:02:00,Забайкальская,"ЗАБ, ШЧ-15 (Р)","3шт ч(к учету 0,88ч)","2шт ч(к учету 0,23ч)",,"Контактная система, подгар контактов",CSH,2024,3.0,"0,88ч",2.0,"0,23ч",,
2,13163842,2024-01-04 15:47:00,Забайкальская,"ЗАБ, ШЧ-6","1шт ч(к учету 0,27ч)",,,Нарушение изоляции монтажных проводов,CSH,2024,1.0,"0,27ч",,,,
2,13165833,2024-01-06 02:15:00,Забайкальская,"ЗАБ, ШЧ-1","1шт ч(к учету 0,27ч)","1шт ч(к учету 0,08ч)",,Неисправность концентратора,CSH,2024,1.0,"0,27ч",1.0,"0,08ч",,
3,13166706,2024-01-07 01:01:00,Забайкальская,"ЗАБ, ШЧ-1",,,,"Светодиоды, неисправность",CSH,2024,,,,,,
3,13170137,2024-01-09 15:16:00,Забайкальская,"ЗАБ, ШЧ-5",,,,"Обмотка, короткое замыкание обмотки",CSH,2024,,,,,,
3,13192022,2024-01-12 12:52:00,Забайкальская,"ЗАБ, ШЧ-10",,"1шт ч(к учету 0,08ч)",,"Курбельный контакт, потеря контакта",CSH,2024,,,1.0,"0,08ч",,
1,13179832,2024-01-14 22:16:00,Забайкальская,"ЗАБ, ШЧ-9","35шт (к учету 31) ч(к учету 30,42ч)","1шт ч(к учету 0,1ч)",,"Срабатывание, нарушение контакта штепсельного разъема, ослабление крепления",CSH,2024,31.0,"30,42ч",1.0,"0,1ч",,
3,13181822,2024-01-16 04:32:00,Забайкальская,"ЗАБ, ШЧ-15 (Р)",,,,"Электродвигатель, постоянного тока (МСП, ДСП), неисправность коллектора",CSH,2024,,,,,,
1,13183091,2024-01-17 02:05:00,Забайкальская,"ЗАБ, ШЧ-5","29шт (к учету 24) ч(к учету 19,32ч)","3шт (к учету 2) ч(к учету 0,7ч)","2шт ч(к учету 0,65)ч","Изоляция, понижение сопротивления",CSH,2024,24.0,"19,32ч",2.0,"0,7ч",2.0,"0,65ч"
2,13184955,2024-01-18 07:05:00,Забайкальская,"ЗАБ, ШЧ-1","5шт ч(к учету 1,4ч)",,,"Кнопки, замыкание разомкнутых контактов посторонним предметом",CSH,2024,5.0,"1,4ч",,,,
2,13185200,2024-01-18 10:50:00,Забайкальская,"ЗАБ, ШЧ-6","4шт ч(к учету 1,48ч)","1шт ч(к учету 0,63ч)","1шт ч(к учету 0,12)ч","Автопереключатель, разрегулировка контактов",CSH,2024,4.0,"1,48ч",1.0,"0,63ч",1.0,"0,12ч"
2,13185607,2024-01-18 21:47:00,Забайкальская,"ЗАБ, ШЧ-10",,"1шт ч(к учету 0,28ч)",,"Срабатывание, коммутационные перенапряжения",CSH,2024,,,1.0,"0,28ч",,
1,13185822,2024-01-19 03:37:00,Забайкальская,"ЗАБ, ШЧ-5","11шт ч(к учету 7,42ч)","2шт ч(к учету 0,32ч)",,"Изоляция, понижение сопротивления",CSH,2024,11.0,"7,42ч",2.0,"0,32ч",,
3,13185798,2024-01-19 03:49:00,Забайкальская,"ЗАБ, ШЧ-2",,,,"Срабатывание, воздействие тягового тока",CSH,2024,,,,,,
2,13187137,2024-01-20 02:56:00,Забайкальская,"ЗАБ, ШЧ-2","14шт (к учету 12) ч(к учету 7,92ч)",,,"Резистор, обрыв",CSH,2024,12.0,"7,92ч",,,,
2,13187507,2024-01-20 12:13:00,Забайкальская,"ЗАБ, ШЧ-10",,"1шт ч(к учету 0,1ч)",,"Срабатывание (перегорание), коммутационные перенапряжения",CSH,2024,,,1.0,"0,1ч",,
2,13188490,2024-01-21 12:35:00,Забайкальская,"ЗАБ, ШЧ-5","5шт ч(к учету 2,2ч)","1шт ч(к учету 0,23ч)",,"Шибер, заклинивание",CSH,2024,5.0,"2,2ч",1.0,"0,23ч",,
3,13202469,2024-01-21 14:49:00,Забайкальская,"ЗАБ, ШЧ-13",,"1шт ч(к учету 0,02ч)",,Нарушение контакта,CSH,2024,,,1.0,"0,02ч",,
2,13188734,2024-01-21 18:15:00,Забайкальская,"ЗАБ, ШЧ-9","8шт ч(к учету 3,02ч)","1шт ч(к учету 0,67ч)",,Сообщение,CSH,2024,8.0,"3,02ч",1.0,"0,67ч",,
2,13188942,2024-01-22 02:30:00,Забайкальская,"ЗАБ, ШЧ-5","11шт ч(к учету 3,87ч)",,,"Диод, короткое замыкание",CSH,2024,11.0,"3,87ч",,,,
2,13192316,2024-01-24 09:20:00,Забайкальская,"ЗАБ, ШЧ-16 (Р)","8шт (к учету 7) ч(к учету 1,97ч)","1шт ч(к учету 0,52ч)",,"Диод, пробой",CSH,2024,7.0,"1,97ч",1.0,"0,52ч",,
3,13196841,2024-01-28 08:26:00,Забайкальская,"ЗАБ, ШЧ-2",,,,"Срабатывание (перегорание), воздействие тягового тока",CSH,2024,,,,,,
2,13197643,2024-01-29 08:08:00,Забайкальская,"ЗАБ, ШЧ-15 (Р)","3шт ч(к учету 1,2ч)",,,"Контактная система, сваривание",CSH,2024,3.0,"1,2ч",,,,
2,13198811,2024-01-30 08:10:00,Забайкальская,"ЗАБ, ШЧ-7 (Р)","6шт ч(к учету 3,37ч)",,,"Нарушение контакта в разъемах блоков, сообщение",CSH,2024,6.0,"3,37ч",,,,
2,13200098,2024-01-31 07:27:00,Забайкальская,"ЗАБ, ШЧ-7 (Р)","4шт ч(к учету 1,4ч)","1шт ч(к учету 0,47ч)",,"Контактная система, потеря контакта",CSH,2024,4.0,"1,4ч",1.0,"0,47ч",,
2,13200176,2024-01-31 08:59:00,Забайкальская,"ЗАБ, ШЧ-15 (Р)","5шт ч(к учету 1,52ч)",,,"Контактная система, подгар контактов",CSH,2024,5.0,"1,52ч",,,,
3,13201093,2024-02-01 03:35:00,Забайкальская,"ЗАБ, ШЧ-15 (Р)",,,,"Внутренний монтаж, обрыв",CSH,2024,,,,,,
2,13201288,2024-02-01 07:27:00,Забайкальская,"ЗАБ, ШЧ-15 (Р)",4шт ч(к учету 2ч),,,"Обмотка, короткое замыкание",CSH,2024,2.0,2ч,,,,
1,13201334,2024-02-01 08:20:00,Забайкальская,"ЗАБ, ШЧ-9","12шт (к учету 11) ч(к учету 7,7ч)",,,"Конденсатор, снижение емкости",CSH,2024,11.0,"7,7ч",,,,
2,13207070,2024-02-05 16:30:00,Забайкальская,"ЗАБ, ШЧ-1",,,"2шт (к учету 1) ч(к учету 0,2)ч","Системный блок, сбой программного обеспечения",CSH,2024,,,,,1.0,"0,2ч"
2,13207222,2024-02-05 18:40:00,Забайкальская,"ЗАБ, ШЧ-10",,"1шт ч(к учету 0,25ч)",,"Нарушение контакта в штепсельных розетках, сообщение",CSH,2024,,,1.0,"0,25ч",,
3,13207533,2024-02-06 04:12:00,Забайкальская,"ЗАБ, ШЧ-6","3шт ч(к учету 0,12ч)",,,"Монтаж, нарушение изоляции",CSH,2024,3.0,"0,12ч",,,,
3,13209907,2024-02-07 04:32:00,Забайкальская,"ЗАБ, ШЧ-9",,,,Сбой АЛС с задержкой поезда,CSH,2024,,,,,,
2,13211992,2024-02-08 02:25:00,Забайкальская,"ЗАБ, ШЧ-7 (Р)","1шт ч(к учету 0,18ч)",,"2шт ч(к учету 0,28)ч","Обмотка, обрыв обмотки",CSH,2024,1.0,"0,18ч",,,2.0,"0,28ч"
1,13214862,2024-02-09 08:20:00,Забайкальская,"ЗАБ, ШЧ-5","20шт (к учету 16) ч(к учету 16,88ч)","1шт ч(к учету 0,42ч)",,"Контактная система, увеличенное сопротивление контакта",CSH,2024,16.0,"16,88ч",1.0,"0,42ч",,
2,13216337,2024-02-10 11:50:00,Забайкальская,"ЗАБ, ШЧ-1","5шт ч(к учету 2,48ч)",,,"Диод, пробой",CSH,2024,5.0,"2,48ч",,,,
1,13216546,2024-02-10 14:10:00,Забайкальская,"ЗАБ, ШЧ-9","3шт ч(к учету 4,03ч)",,,Пониженное сопротивление изоляции монтажа,CSH,2024,3.0,"4,03ч",,,,
1,13216866,2024-02-11 02:59:00,Забайкальская,"ЗАБ, ШЧ-5","19шт ч(к учету 12,43ч)","1шт ч(к учету 0,37ч)",,Отсутствие,CSH,2024,19.0,"12,43ч",1.0,"0,37ч",,
2,13217605,2024-02-11 23:20:00,Забайкальская,"ЗАБ, ШЧ-9","6шт ч(к учету 1,6ч)",,,"Контактная система, увеличенное сопротивление",CSH,2024,6.0,"1,6ч",,,,
3,13217892,2024-02-12 05:35:00,Забайкальская,"ЗАБ, ШЧ-6",,,,Влияние посторонних источников питания,CSH,2024,,,,,,
1,13218811,2024-02-12 13:10:00,Забайкальская,"ЗАБ, ШЧ-5","10шт ч(к учету 9,77ч)","2шт ч(к учету 0,7ч)","1шт ч(к учету 0,2)ч","Автопереключатель, разрегулировка контактов",CSH,2024,10.0,"9,77ч",2.0,"0,7ч",1.0,"0,2ч"
2,13219251,2024-02-13 02:30:00,Забайкальская,"ЗАБ, ШЧ-9","7шт (к учету 6) ч(к учету 4,92ч)","1шт ч(к учету 0,85ч)",,Неисправность устройств электроснабжения,CSH,2024,6.0,"4,92ч",1.0,"0,85ч",,
2,13248654,2024-02-15 08:31:00,Забайкальская,"ЗАБ, ШЧ-13","1шт ч(к учету 0,58ч)",,,"Нарушение контакта в штепсельных розетках, сообщение",CSH,2024,1.0,"0,58ч",,,,
2,13224732,2024-02-15 23:16:00,Забайкальская,"ЗАБ, ШЧ-16 (Р)","10шт ч(к учету 5,62ч)",,,"Блок фазный, излом выводов",CSH,2024,10.0,"5,62ч",,,,
3,13224737,2024-02-16 00:49:00,Забайкальская,"ЗАБ, ШЧ-5",,,,Понижение сопротивления изоляции,CSH,2024,,,,,,
2,13225089,2024-02-16 07:34:00,Забайкальская,"ЗАБ, ШЧ-5","2шт ч(к учету 1,38ч)",,,"Контактная система, увеличенное сопротивление",CSH,2024,2.0,"1,38ч",,,,
3,13226713,2024-02-17 17:23:00,Забайкальская,"ЗАБ, ШЧ-9",,,,"Контактная система, увеличенное сопротивление контакта",CSH,2024,,,,,,
2,13228014,2024-02-19 06:14:00,Забайкальская,"ЗАБ, ШЧ-9","13шт ч(к учету 5,83ч)",,,"Изоляция, понижение сопротивления",CSH,2024,13.0,"5,83ч",,,,
2,13228437,2024-02-19 11:08:00,Забайкальская,"ЗАБ, ШЧ-15 (Р)","8шт ч(к учету 3,32ч)",,"2шт (к учету 1) ч(к учету 0,23)ч","Контактная система, сваривание",CSH,2024,8.0,"3,32ч",,,1.0,"0,23ч"
2,13232449,2024-02-22 06:29:00,Забайкальская,"ЗАБ, ШЧ-1","4шт ч(к учету 1,28ч)",,,"Нарушение контакта в разъемах блоков, неисправность контактных губок",CSH,2024,4.0,"1,28ч",,,,
2,13232843,2024-02-22 10:05:00,Забайкальская,"ЗАБ, ШЧ-6","1шт ч(к учету 0,97ч)",,,"Не срабатывание (не перегорание), несоответствие номинала",CSH,2024,1.0,"0,97ч",,,,
2,13233220,2024-02-22 17:27:00,Забайкальская,"ЗАБ, ШЧ-5","7шт ч(к учету 2,18ч)","1шт ч(к учету 0,33ч)",,"Нарушение контакта в штепсельных розетках, замятие контакта",CSH,2024,7.0,"2,18ч",1.0,"0,33ч",,
2,13234081,2024-02-23 22:40:00,Забайкальская,"ЗАБ, ШЧ-9","2шт ч(к учету 1,37ч)",,,"Срабатывание (перегорание), нарушение контакта штепсельного разъема, некачественная пайка",CSH,2024,2.0,"1,37ч",,,,
3,13234209,2024-02-24 03:19:00,Забайкальская,"ЗАБ, ШЧ-2",,,,Неисправность концентратора,CSH,2024,,,,,,
2,13234558,2024-02-24 12:20:00,Забайкальская,"ЗАБ, ШЧ-9","2шт ч(к учету 0,88ч)","1шт ч(к учету 0,17ч)",,Сбой АЛС с задержкой поезда,CSH,2024,2.0,"0,88ч",1.0,"0,17ч",,
2,13236931,2024-02-26 19:58:00,Забайкальская,"ЗАБ, ШЧ-15 (Р)","10шт ч(к учету 2,5ч)","1шт ч(к учету 0,22ч)",,"Кнопки, нарушение регулировки контакта при работе внутри пульта",CSH,2024,10.0,"2,5ч",1.0,"0,22ч",,
2,13240100,2024-02-29 06:12:00,Забайкальская,"ЗАБ, ШЧ-1","4шт ч(к учету 2,1ч)",,,"Пакетные переключатели, наличие переходного сопротивления",CSH,2024,4.0,"2,1ч",,,,
2,13240345,2024-02-29 09:18:00,Забайкальская,"ЗАБ, ШЧ-2","3шт ч(к учету 0,83ч)","1шт ч(к учету 0,3ч)",,"Нарушение контакта в штепсельных розетках, замятие контакта",CSH,2024,3.0,"0,83ч",1.0,"0,3ч",,
2,13242428,2024-03-01 22:00:00,Забайкальская,"ЗАБ, ШЧ-15 (Р)",,"1шт ч(к учету 0,22ч)",,"Контактная система, потеря контакта",CSH,2024,,,1.0,"0,22ч",,
2,13248806,2024-03-06 09:50:00,Забайкальская,"ЗАБ, ШЧ-9","6шт ч(к учету 2,93ч)",,,"Кнопки, дефект скобы пломбировки с возможностью нажатия кнопки",CSH,2024,6.0,"2,93ч",,,,
2,13250884,2024-03-07 03:20:00,Забайкальская,"ЗАБ, ШЧ-5","1шт ч(к учету 0,22ч)","4шт (к учету 1) ч(к учету 0,73ч)",,Повреждение,CSH,2024,1.0,"0,22ч",1.0,"0,73ч",,
2,13252202,2024-03-07 13:03:00,Забайкальская,"ЗАБ, ШЧ-6","2шт ч(к учету 0,85ч)",,,"Нарушение контакта в разъемах блоков, замятие контакта",CSH,2024,2.0,"0,85ч",,,,
2,13258974,2024-03-13 07:58:00,Забайкальская,"ЗАБ, ШЧ-9","14шт ч(к учету 8,73ч)","4шт (к учету 2) ч(к учету 1,03ч)",,Неисправность устройств электроснабжения,CSH,2024,14.0,"8,73ч",2.0,"1,03ч",,
3,13260586,2024-03-14 05:56:00,Забайкальская,"ЗАБ, ШЧ-2",,,,Сбой АЛС с задержкой поезда,CSH,2024,,,,,,
2,13261725,2024-03-14 15:32:00,Забайкальская,"ЗАБ, ШЧ-10","6шт ч(к учету 3,98ч)","1шт ч(к учету 0,15ч)",,"Основная обмотка, обрыв",CSH,2024,6.0,"3,98ч",1.0,"0,15ч",,
2,13263687,2024-03-16 01:40:00,Забайкальская,"ЗАБ, ШЧ-1","5шт ч(к учету 1,42ч)","2шт ч(к учету 0,37ч)","2шт ч(к учету 0,22)ч","Диод, пробой",CSH,2024,5.0,"1,42ч",2.0,"0,37ч",2.0,"0,22ч"
2,13265123,2024-03-18 05:55:00,Забайкальская,"ЗАБ, ШЧ-1","5шт ч(к учету 2,32ч)",,,"Нарушение контакта в разъемах блоков, сообщение",CSH,2024,5.0,"2,32ч",,,,
3,13268377,2024-03-20 10:25:00,Забайкальская,"ЗАБ, ШЧ-1",,,,Излом повода под гайкой,CSH,2024,,,,,,
1,13269587,2024-03-21 07:08:00,Забайкальская,"ЗАБ, ШЧ-15 (Р)","4шт ч(к учету 4,15ч)",,,"Внутренний монтаж, короткое замыкание",CSH,2024,4.0,"4,15ч",,,,
3,13273858,2024-03-25 09:42:00,Забайкальская,"ЗАБ, ШЧ-1",,,,Обрыв монтажного провода,CSH,2024,,,,,,
2,13278465,2024-03-28 08:34:00,Забайкальская,"ЗАБ, ШЧ-6","4шт ч(к учету 0,82ч)",,,"Срабатывание (перегорание), коммутационные перенапряжения",CSH,2024,4.0,"0,82ч",,,,
2,13278515,2024-03-28 09:21:00,Забайкальская,"ЗАБ, ШЧ-9","11шт (к учету 10) ч(к учету 5,33ч)",,,"Контактная система, увеличенное сопротивление",CSH,2024,10.0,"5,33ч",,,,
2,13278920,2024-03-28 19:25:00,Забайкальская,"ЗАБ, ШЧ-2","6шт ч(к учету 3,35ч)",,,"Срабатывание (перегорание), несоответствие номинала",CSH,2024,6.0,"3,35ч",,,,
1,13279033,2024-03-28 23:18:00,Забайкальская,"ЗАБ, ШЧ-7 (Р)","1шт ч(к учету 1,45ч)",,,"Срабатывание (перегорание), коммутационные перенапряжения",CSH,2024,1.0,"1,45ч",,,,
2,13280516,2024-03-30 06:42:00,Забайкальская,"ЗАБ, ШЧ-10","11шт (к учету 10) ч(к учету 5,82ч)",,,"Срабатывание, коммутационные перенапряжения",CSH,2024,10.0,"5,82ч",,,,
2,13280648,2024-03-30 11:03:00,Забайкальская,"ЗАБ, ШЧ-10","5шт ч(к учету 2,4ч)",,,Неисправность элементов схемы в путевом ящике УКСПС,CSH,2024,5.0,"2,4ч",,,,
3,13280723,2024-03-30 13:42:00,Забайкальская,"ЗАБ, ШЧ-2",,,,Неисправность устройств электроснабжения,CSH,2024,,,,,,
3,13281447,2024-03-31 12:03:00,Забайкальская,"ЗАБ, ШЧ-9","1шт ч(к учету 0,02ч)",,,"Срабатывание, воздействие тягового тока",CSH,2024,1.0,"0,02ч",,,,
3,13281534,2024-03-31 14:23:00,Забайкальская,"ЗАБ, ШЧ-10",,,,Нарушение регулировки,CSH,2024,,,,,,
2,13283609,2024-04-02 03:01:00,Забайкальская,"ЗАБ, ШЧ-9","9шт (к учету 8) ч(к учету 2,83ч)","1шт ч(к учету 0,32ч)",,Неисправность устройств электроснабжения,CSH,2024,8.0,"2,83ч",1.0,"0,32ч",,
2,13284175,2024-04-02 09:05:00,Забайкальская,"ЗАБ, ШЧ-5","21шт (к учету 17) ч(к учету 6,68ч)","3шт (к учету 2) ч(к учету 1,32ч)","2шт (к учету 1) ч(к учету 0,33)ч","Жилы, обрыв",CSH,2024,17.0,"6,68ч",2.0,"1,32ч",1.0,"0,33ч"
2,13286671,2024-04-03 10:00:00,Забайкальская,"ЗАБ, ШЧ-1",,"1шт ч(к учету 0,1ч)",,"Монтаж, нарушение состояния паек",CSH,2024,,,1.0,"0,1ч",,
1,13287796,2024-04-03 12:26:00,Забайкальская,"ЗАБ, ШЧ-2","18шт (к учету 14) ч(к учету 15,62ч)","2шт (к учету 1) ч(к учету 0,25ч)","1шт ч(к учету 1,22)ч","Нарушение контакта в разъемах блоков, неисправность контактных губок",CSH,2024,14.0,"15,62ч",1.0,"0,25ч",1.0,"1,22ч"
2,13294054,2024-04-06 10:38:00,Забайкальская,"ЗАБ, ШЧ-15 (Р)","7шт ч(к учету 2,35ч)",,,Отключение внешнего электроснабжения,CSH,2024,7.0,"2,35ч",,,,
3,13295197,2024-04-07 11:58:00,Забайкальская,"ЗАБ, ШЧ-9",,,,Асимметрия тягового тока,CSH,2024,,,,,,
1,13295876,2024-04-08 01:33:00,Забайкальская,"ЗАБ, ШЧ-16 (Р)","5шт ч(к учету 3,7ч)",,,"Обмотка, обрыв",CSH,2024,5.0,"3,7ч",,,,
2,13296856,2024-04-08 10:57:00,Забайкальская,"ЗАБ, ШЧ-15 (Р)","5шт (к учету 4) ч(к учету 2,37ч)","1шт ч(к учету 0,25ч)",,Неисправность,CSH,2024,4.0,"2,37ч",1.0,"0,25ч",,
2,13300801,2024-04-10 04:28:00,Забайкальская,"ЗАБ, ШЧ-5","20шт ч(к учету 8,73ч)","1шт ч(к учету 0,7ч)",,Нарушение контакта трос/наконечник,CSH,2024,20.0,"8,73ч",1.0,"0,7ч",,
3,13304794,2024-04-11 08:35:00,Забайкальская,"ЗАБ, ШЧ-9",,,,Повреждение пайки выводов клемм,CSH,2024,,,,,,
1,13304800,2024-04-11 13:01:00,Забайкальская,"ЗАБ, ШЧ-9","6шт ч(к учету 5,45ч)","2шт ч(к учету 0,82ч)",,"Изоляция, понижение сопротивления",CSH,2024,6.0,"5,45ч",2.0,"0,82ч",,
3,13305472,2024-04-11 19:56:00,Забайкальская,"ЗАБ, ШЧ-5","3шт ч(к учету 0,25ч)",,,Неисправность реле,CSH,2024,3.0,"0,25ч",,,,
2,13305577,2024-04-11 23:01:00,Забайкальская,"ЗАБ, ШЧ-1","7шт ч(к учету 2,2ч)","1шт ч(к учету 0,05ч)",,"Внутренний монтаж, обрыв",CSH,2024,7.0,"2,2ч",1.0,"0,05ч",,
2,13308400,2024-04-13 13:42:00,Забайкальская,"ЗАБ, ШЧ-1","22шт (к учету 17) ч(к учету 12,63ч)",,,"Выпрямительные элементы, пробой",CSH,2024,17.0,"12,63ч",,,,
