CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
2,13160086,2024-01-01 04:18:00,Западно-Сибирская,"З-СИБ, ШЧ-2","4шт (к учету 3) ч(к учету 1,97ч)",,,"Клеммная колодка резьб, излом штыря",CSH,2024,3.0,"1,97ч",,,,
3,13160146,2024-01-01 07:03:00,Западно-Сибирская,"З-СИБ, ШЧ-6",,,,"Жилы, внутренний обрыв",CSH,2024,,,,,,
2,13160659,2024-01-02 06:48:00,Западно-Сибирская,"З-СИБ, ШЧ-7 (Р)","4шт ч(к учету 0,88ч)",,,"Контактная система, увеличенное сопротивление",CSH,2024,4.0,"0,88ч",,,,
2,13160838,2024-01-02 09:47:00,Западно-Сибирская,"З-СИБ, ШЧ-14","4шт ч(к учету 2,68ч)","1шт ч(к учету 0,27ч)",,"Внутренний монтаж, короткое замыкание монтажа",CSH,2024,4.0,"2,68ч",1.0,"0,27ч",,
3,13163932,2024-01-04 17:40:00,Западно-Сибирская,"З-СИБ, ШЧ-17",,,,"Внутренний монтаж, короткое замыкание",CSH,2024,,,,,,
2,13165079,2024-01-05 14:04:00,Западно-Сибирская,"З-СИБ, ШЧ-14","3шт ч(к учету 1,58ч)",,,Необеспечение электропитания подзаряда,CSH,2024,3.0,"1,58ч",,,,
3,13165187,2024-01-05 15:15:00,Западно-Сибирская,"З-СИБ, ШЧ-7 (Р)",,,,"Обмотка, короткое замыкание",CSH,2024,,,,,,
2,13165292,2024-01-05 17:56:00,Западно-Сибирская,"З-СИБ, ШЧ-7 (Р)",,"1шт ч(к учету 0,13ч)",,"Обмотка, короткое замыкание",CSH,2024,,,1.0,"0,13ч",,
3,13167282,2024-01-07 04:38:00,Западно-Сибирская,"З-СИБ, ШЧ-8",,,,"Контактная система, увеличенное сопротивление контакта",CSH,2024,,,,,,
3,13167660,2024-01-08 00:04:00,Западно-Сибирская,"З-СИБ, ШЧ-6",,,,Нарушение контакта трос/контактный болт,CSH,2024,,,,,,
3,13167933,2024-01-08 08:27:00,Западно-Сибирская,"З-СИБ, ШЧ-21",,,,"Жилы, обрыв",CSH,2024,,,,,,
3,13170511,2024-01-09 14:16:00,Западно-Сибирская,"З-СИБ, ШЧ-2",,,,"Контактная система, увеличенное сопротивление контакта",CSH,2024,,,,,,
3,13172030,2024-01-10 14:21:00,Западно-Сибирская,"З-СИБ, ШЧ-2",,,,"Лампы, перегорание основной нити",CSH,2024,,,,,,
2,13172935,2024-01-10 23:40:00,Западно-Сибирская,"З-СИБ, ШЧ-21","1шт ч(к учету 0,25ч)",,,"Выводные клеммы, повреждение пайки выводов",CSH,2024,1.0,"0,25ч",,,,
3,13172984,2024-01-11 01:17:00,Западно-Сибирская,"З-СИБ, ШЧ-14",,,,"Срабатывание, коммутационные перенапряжения",CSH,2024,,,,,,
3,13174333,2024-01-11 09:33:00,Западно-Сибирская,"З-СИБ, ШЧ-1",,,,"Нарушение контакта в штепсельных розетках, неисправность контактных губок",CSH,2024,,,,,,
3,13175120,2024-01-11 14:08:00,Западно-Сибирская,"З-СИБ, ШЧ-7 (Р)",,,,"Обмотка, обрыв",CSH,2024,,,,,,
