CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
3,12684748,2023-01-22 17:40:00,Калининградская,"КЛГ, ШЧ-1",,,,Нарушение монтажа стативов для размещения постовых устройств ЭЦ,CSH,2023,,,,,,
3,12704759,2023-02-09 10:08:00,Калининградская,"КЛГ, ШЧ-1",,,,Неисправность элементов блока питания ГАЦ,CSH,2023,,,,,,
2,12705316,2023-02-09 14:59:00,Калининградская,"КЛГ, ШЧ-1",,,"2шт 0,52ч",Неисправность элементов в щите питания постовых устройств ЭЦ,CSH,2023,,,,,2.0,"0,52ч"
3,12708018,2023-02-11 18:57:00,Калининградская,"КЛГ, ШЧ-1",,,,Неисправность элементов трансформаторов аппаратуры рельсовых цепей,CSH,2023,,,,,,
3,12730903,2023-03-05 03:00:00,Калининградская,"КЛГ, ШЧ-1",,,,Перегорание лампы линзового светофора,CSH,2023,,,,,,
3,12737723,2023-03-09 16:00:00,Калининградская,"КЛГ, ШЧ-1",,,,"Нарушение электрических характеристик реле аппаратуры светофоров, указателей и полос",CSH,2023,,,,,,
2,12744879,2023-03-14 20:38:00,Калининградская,"КЛГ, ШЧ-1",,,"1шт 0,22ч",Подгар контактов реле аппаратуры,CSH,2023,,,,,1.0,"0,22ч"
3,12746058,2023-03-15 12:20:00,Калининградская,"КЛГ, ШЧ-1",,,,Потеря контакта в ламподержателе линзового светофора,CSH,2023,,,,,,
3,12765899,2023-03-31 10:05:00,Калининградская,"КЛГ, ШЧ-1",,,,Обрыв жил сигнально-блокировочного металлического кабеля постовых устройств ЭЦ,CSH,2023,,,,,,
3,12779680,2023-04-07 13:35:00,Калининградская,"КЛГ, ШЧ-1",,,,"Нарушение монтажа шкафов для размещения аппаратуры светофоров, указателей и полос",CSH,2023,,,,,,
3,12791008,2023-04-11 19:33:00,Калининградская,"КЛГ, ШЧ-1",,,,Перегорание лампы линзового светофора,CSH,2023,,,,,,
3,12795723,2023-04-16 19:28:00,Калининградская,"КЛГ, ШЧ-1",,,,Неисправность источника бесперебойного питания ИБП станционной аппаратуры ДК,CSH,2023,,,,,,
3,12831362,2023-05-10 13:45:00,Калининградская,"КЛГ, ШЧ-1",,,,Износ элементов релейных блоков аппаратуры постовых устройств ЭЦ,CSH,2023,,,,,,
2,12834546,2023-05-11 10:18:00,Калининградская,"КЛГ, ШЧ-1",,,"1шт 0,17ч",Подгар контактов реле аппаратуры постовых устройств ЭЦ,CSH,2023,,,,,1.0,"0,17ч"
