CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
3,13160480,2024-01-01 22:24:00,Красноярская,"КРАС, ШЧ-4 (Э)",,,,Сбой АЛС с задержкой поезда,CSH,2024,,,,,,
2,13160914,2024-01-02 13:10:00,Красноярская,"КРАС, ШЧ-11 (Э)","1шт ч(к учету 0,97ч)",,,Обрыв жил контрольного кабеля линий СЦБ,CSH,2024,0.0,"0,97ч",,,,
2,13161188,2024-01-02 20:16:00,Красноярская,"КРАС, ШЧ-1 (Э)","3шт ч(к учету 2,18ч)",,,Ослабление крепления,CSH,2024,2.0,"2,18ч",,,,
2,13161932,2024-01-03 10:57:00,Красноярская,"КРАС, ШЧ-11 (Э)","2шт (к учету 1) ч(к учету 0,4ч)",,"1шт ч(к учету 0,17)ч","Контактная система, подгар контактов",CSH,2024,1.0,"0,4ч",,,0.0,
3,13162155,2024-01-03 13:40:00,Красноярская,"КРАС, ШЧ-4 (Э)",,,,Сбой АЛС с задержкой поезда,CSH,2024,,,,,,
3,13163399,2024-01-04 10:25:00,Красноярская,"КРАС, ШЧ-1 (Э)",,,,"Срабатывание, воздействие тягового тока",CSH,2024,,,,,,
2,13164328,2024-01-05 01:44:00,Красноярская,"КРАС, ШЧ-4 (Э)","2шт (к учету 1) ч(к учету 0,83ч)",,,Сбой АЛС с задержкой поезда,CSH,2024,1.0,"0,83ч",,,,
2,13165019,2024-01-05 12:56:00,Красноярская,"КРАС, ИЧ УЖУР Ш","1шт ч(к учету 0,5ч)",,,"Срабатывание, воздействие тягового тока",CSH,2024,0.0,"0,5ч",,,,
3,13167490,2024-01-07 21:44:00,Красноярская,"КРАС, ШЧ-4 (Э)",,,,"Стрелочный ОК, программное обеспечение, сбой",CSH,2024,,,,,,
3,13167724,2024-01-08 04:12:00,Красноярская,"КРАС, ШЧ-4 (Э)",,,,Короткое замыкание пластин,CSH,2024,,,,,,
