CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
2,12693537,2023-01-29 15:00:00,Куйбышевская,"КБШ, ШЧ-16","1шт 0,28ч",,,Электрический пробой выравнивателей (ограничителей) аппаратуры защиты рельсовых цепей,CSH,2023,1.0,"0,28ч",,,,
2,12693928,2023-01-29 21:30:00,Куйбышевская,"КБШ, ИЧ СТЕРЛИТАМАК Ш","1шт 0,27ч",,,Перегорание плавкой вставки (проволоки) предохранителей аппаратуры защиты схемы управления стрелкой,CSH,2023,1.0,"0,27ч",,,,
2,12695464,2023-01-31 11:45:00,Куйбышевская,"КБШ, ИЧ ЖИГУЛЕВСКОЕ МОРЕ Ш","1шт 0,33ч",,,Другие неисправности предохранителей аппаратуры защиты рельсовых цепей,CSH,2023,1.0,"0,33ч",,,,
2,12693962,2023-01-31 21:27:00,Куйбышевская,"КБШ, ШЧ-13","4шт 2,6ч",,,"Подгар, сваривание контактов релейных блоков аппаратуры постовых устройств ЭЦ",CSH,2023,4.0,"2,6ч",,,,
3,12695790,2023-01-31 23:43:00,Куйбышевская,"КБШ, ШЧ-12",,,,"Обрыв жил сигнально-блокировочного металлического кабеля светофоров, указателей и полос",CSH,2023,,,,,,
2,12734622,2023-02-06 16:00:00,Куйбышевская,"КБШ, ШЧ-13",,"1шт 0,1ч","1шт 0,27ч",Потеря контакта в ламподержателе линзового светофора,CSH,2023,,,1.0,"0,1ч",1.0,"0,27ч"
2,12743704,2023-02-10 03:36:00,Куйбышевская,"КБШ, ШЧ-2",,"1шт 0,12ч",,Нарушение электрических характеристик реле аппаратуры рельсовых цепей,CSH,2023,,,1.0,"0,12ч",,
2,12720681,2023-02-23 10:28:00,Куйбышевская,"КБШ, ШЧ-4",,"1шт 0,12ч",,Электрический пробой выравнивателей (ограничителей) аппаратуры защиты постовых устройств ЭЦ,CSH,2023,,,1.0,"0,12ч",,
3,12722962,2023-02-27 07:16:00,Куйбышевская,"КБШ, ШЧ-13",,,,Неисправность элементов пульта-табло постовых устройств ЭЦ,CSH,2023,,,,,,
2,12729974,2023-02-28 14:47:00,Куйбышевская,"КБШ, ШЧ-12","1шт 0,27ч",,,"Подгар, сваривание контактов трансмиттеров аппаратуры АБ",CSH,2023,1.0,"0,27ч",,,,
2,12728207,2023-02-28 20:10:00,Куйбышевская,"КБШ, ИЧ МОРШАНСК Ш",,"1шт 0,1ч",,Перегорание предохранителя электропитания устройств УКСПС,CSH,2023,,,1.0,"0,1ч",,
3,12782775,2023-03-05 18:39:00,Куйбышевская,"КБШ, ШЧ-9",,,"1шт 0,07ч",Нарушение контакта в монтаже в путевых ящиках для размещения аппаратуры рельсовых цепей,CSH,2023,,,,,1.0,"0,07ч"
3,12782776,2023-03-22 18:37:00,Куйбышевская,"КБШ, ШЧ-12",,,"1шт 0,05ч",Потеря контакта в ламподержателе линзового светофора,CSH,2023,,,,,1.0,"0,05ч"
2,12782806,2023-03-22 21:47:00,Куйбышевская,"КБШ, ШЧ-12",,"1шт 0,1ч",,Нарушение контакта во внутреннем монтаже пульта-табло постовых устройств ЭЦ,CSH,2023,,,1.0,"0,1ч",,
2,12765362,2023-03-30 21:31:00,Куйбышевская,"КБШ, ШЧ-13","2шт 0,5ч",,,Электрический пробой выравнивателей (ограничителей) аппаратуры защиты рельсовых цепей,CSH,2023,2.0,"0,5ч",,,,
3,12769686,2023-03-31 12:43:00,Куйбышевская,"КБШ, ШЧ-13",,,,Разрегулировка контактов элементов пульта-табло постовых устройств ЭЦ,CSH,2023,,,,,,
2,12767767,2023-04-02 13:31:00,Куйбышевская,"КБШ, ШЧ-13","2шт 1,07ч",,,Подгар контактов реле аппаратуры АБ,CSH,2023,2.0,"1,07ч",,,,
2,12815393,2023-04-27 20:11:00,Куйбышевская,"КБШ, ШЧ-6","1шт 0,25ч",,,Неисправность УКСПС из-за потери контакта в соединениях датчика,CSH,2023,1.0,"0,25ч",,,,
