CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
3,13160110,2024-01-01 05:45:00,Октябрьская,"ОКТ, ШЧ-12",,,,Обрыв жил контрольного кабеля линий СЦБ,CSH,2024,,,,,,
2,13202322,2024-01-01 21:14:00,Октябрьская,"ОКТ, ШЧ-5 (Э)",,"1шт ч(к учету 0,1ч)",,"Срабатывание (перегорание), воздействие тягового тока",CSH,2024,,,1.0,"0,1ч",,
2,13160621,2024-01-02 05:24:00,Октябрьская,"ОКТ, ШЧ-12","2шт ч(к учету 0,87ч)",,,"Кнопки, механическое заедание кнопки",CSH,2024,2.0,"0,87ч",,,,
2,13160654,2024-01-02 06:55:00,Октябрьская,"ОКТ, ШЧ-12",,,"1шт ч(к учету 0,45)ч","Контактная система, увеличенное сопротивление",CSH,2024,,,,,1.0,"0,45ч"
2,13160700,2024-01-02 08:06:00,Октябрьская,"ОКТ, ШЧ-12",,,"2шт ч(к учету 0,38)ч","Контактная система, потеря контакта",CSH,2024,,,,,2.0,"0,38ч"
3,13160810,2024-01-02 10:29:00,Октябрьская,"ОКТ, ШЧ-10",,,,"Транзистор, пробой",CSH,2024,,,,,,
2,13161327,2024-01-03 02:09:00,Октябрьская,"ОКТ, ШЧ-20","7шт ч(к учету 3,3ч)",,,"Контактная система, потеря контакта",CSH,2024,7.0,"3,3ч",,,,
3,13161326,2024-01-03 02:22:00,Октябрьская,"ОКТ, ШЧ-8",,,,"Срабатывание (перегорание), воздействие тягового тока",CSH,2024,,,,,,
2,13161337,2024-01-03 02:37:00,Октябрьская,"ОКТ, ШЧ-12",,"1шт ч(к учету 0,48ч)",,"Цугальты, излом",CSH,2024,,,1.0,"0,48ч",,
2,13161385,2024-01-03 03:14:00,Октябрьская,"ОКТ, ШЧ-5 (Э)",,"2шт ч(к учету 0,85ч)",,Неперевод стрелочного перевода по причине напрессовки снега или обледенения остряка и рамного рельса,CSH,2024,,,2.0,"0,85ч",,
3,13161399,2024-01-03 04:50:00,Октябрьская,"ОКТ, ШЧ-15 (Э)",,,,Загрязнение головок рельса,CSH,2024,,,,,,
3,13161423,2024-01-03 05:40:00,Октябрьская,"ОКТ, ШЧ-4 (Э)",,,,Неперевод стрелочного перевода по причине несвоевременной очистке и смазки,CSH,2024,,,,,,
2,13161470,2024-01-03 06:07:00,Октябрьская,"ОКТ, ШЧ-14 (Р)","1шт ч(к учету 0,3ч)",,"7шт (к учету 6) ч(к учету 3,35)ч","Электродвигатель, постоянного тока (МСП, ДСП), обрыв обмотки якоря",CSH,2024,1.0,"0,3ч",,,6.0,"3,35ч"
2,13176765,2024-01-03 08:05:00,Октябрьская,"ОКТ, ШЧ-12",,,"1шт ч(к учету 0,12)ч","Срабатывание, атмосферные перенапряжения",CSH,2024,,,,,1.0,"0,12ч"
3,13161771,2024-01-03 09:38:00,Октябрьская,"ОКТ, ШЧ-5 (Э)",,,,Неперевод стрелочного перевода по причине напрессовки снега или обледенения остряка и рамного рельса,CSH,2024,,,,,,
3,13162796,2024-01-04 03:30:00,Октябрьская,"ОКТ, ШЧ-17",,,,"Светодиоды, неисправность",CSH,2024,,,,,,
3,13162810,2024-01-04 03:30:00,Октябрьская,"ОКТ, ИЧ-2 Ш",,,,Схлестывание проводов линий СЦБ,CSH,2024,,,,,,
