CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
2,13162340,2024-01-03 17:40:00,Приволжская,"ПРИВ, ШЧ-7 (Э)","1шт ч(к учету 0,98ч)","1шт ч(к учету 0,15ч)","1шт ч(к учету 0,37)ч","Муфты подземные, неисправность корпуса",CSH,2024,1.0,"0,98ч",1.0,"0,15ч",1.0,"0,37ч"
1,13163296,2024-01-04 09:17:00,Приволжская,"ПРИВ, ШЧ-6 (Э)","1шт ч(к учету 1,67ч)","1шт ч(к учету 0,48ч)",,"Внутренний монтаж, короткое замыкание",CSH,2024,1.0,"1,67ч",1.0,"0,48ч",,
3,13164915,2024-01-05 11:40:00,Приволжская,"ПРИВ, ШЧ-6 (Э)",,,,"Системный блок, сбой программного обеспечения",CSH,2024,,,,,,
3,13166637,2024-01-06 22:19:00,Приволжская,"ПРИВ, ШЧ-14",,,,Нарушение контакта трос/контактный болт,CSH,2024,,,,,,
2,13167419,2024-01-07 19:29:00,Приволжская,"ПРИВ, ШЧ-1",,"1шт ч(к учету 0,17ч)",,Потеря контакта в манжете,CSH,2024,,,1.0,"0,17ч",,
3,13169355,2024-01-09 10:58:00,Приволжская,"ПРИВ, ШЧ-2",,,,"Не срабатывание (не перегорание), воздействие тягового тока",CSH,2024,,,,,,
3,13169875,2024-01-09 14:35:00,Приволжская,"ПРИВ, ШЧ-14",,,,Неисправность приёмной капсулы,CSH,2024,,,,,,
3,13169907,2024-01-09 14:45:00,Приволжская,"ПРИВ, ШЧ-7 (Э)",,,,"Контакторы, перекос подвижного контакта",CSH,2024,,,,,,
3,13173428,2024-01-09 19:18:00,Приволжская,"ПРИВ, ИЧ ПАЛЛАСОВКА Ш",,,,"Лампы, перегорание основной нити",CSH,2024,,,,,,
3,13170275,2024-01-09 22:19:00,Приволжская,"ПРИВ, ШЧ-8",,,,"Дроссели (реакторы), обрыв",CSH,2024,,,,,,
3,13172906,2024-01-10 22:17:00,Приволжская,"ПРИВ, ШЧ-14",,,,Нарушение регулировки,CSH,2024,,,,,,
3,13177564,2024-01-11 10:09:00,Приволжская,"ПРИВ, ШЧ-2",,,,"Срабатывание (перегорание), атмосферные перенапряжения",CSH,2024,,,,,,
3,13174323,2024-01-11 12:08:00,Приволжская,"ПРИВ, ШЧ-3 (Э)",,,,Нарушение контакта штепсель/рельс,CSH,2024,,,,,,
3,13175647,2024-01-11 23:32:00,Приволжская,"ПРИВ, ШЧ-3 (Э)",,,,Короткое замыкание пластин,CSH,2024,,,,,,
2,13218895,2024-01-12 18:06:00,Приволжская,"ПРИВ, ШЧ-8",,"1шт ч(к учету 0,1ч)",,Неисправность,CSH,2024,,,1.0,"0,1ч",,
2,13178403,2024-01-13 10:10:00,Приволжская,"ПРИВ, ШЧ-2","3шт (к учету 2) ч(к учету 1,65ч)",,,"Не срабатывание (не перегорание), несоответствие номинала",CSH,2024,2.0,"1,65ч",,,,
3,13178404,2024-01-13 10:37:00,Приволжская,"ПРИВ, ШЧ-2",,,,"Не срабатывание (не перегорание), воздействие тягового тока",CSH,2024,,,,,,
2,13179306,2024-01-14 11:30:00,Приволжская,"ПРИВ, ШЧ-14","2шт ч(к учету 0,47ч)",,,Потеря контакта в манжете,CSH,2024,2.0,"0,47ч",,,,
2,13179355,2024-01-14 12:12:00,Приволжская,"ПРИВ, ШЧ-8",,"1шт ч(к учету 0,12ч)",,"Не срабатывание (не перегорание), коммутационные перенапряжения",CSH,2024,,,1.0,"0,12ч",,
2,13181140,2024-01-15 14:39:00,Приволжская,"ПРИВ, ШЧ-2",,"1шт ч(к учету 0,18ч)",,Потеря контакта в манжете,CSH,2024,,,1.0,"0,18ч",,
2,13182871,2024-01-16 17:55:00,Приволжская,"ПРИВ, ШЧ-7 (Э)",,,"1шт ч(к учету 0,1)ч",Деформация,CSH,2024,,,,,1.0,"0,1ч"
3,13187820,2024-01-20 19:23:00,Приволжская,"ПРИВ, ШЧ-6 (Э)",,,,"Не срабатывание (не перегорание), несоответствие номинала",CSH,2024,,,,,,
2,13188745,2024-01-21 19:33:00,Приволжская,"ПРИВ, ШЧ-6 (Э)","4шт ч(к учету 1,97ч)",,,Нарушение контакта штепсель/рельс,CSH,2024,4.0,"1,97ч",,,,
3,13194418,2024-01-22 00:09:00,Приволжская,"ПРИВ, ШЧ-14",,,,"Конденсатор, снижение емкости конденсатора",CSH,2024,,,,,,
