CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
3,12647936,2023-01-01 05:59:00,Свердловская,"СВЕРД, ШЧ-17",,,,Асимметрия тягового тока,CSH,2023,,,,,,
3,12647948,2023-01-01 11:27:00,Свердловская,"СВЕРД, ИЧ ЕГОРШИНСКАЯ Ш",,,,"Повышенное переходное сопротивление между элементами (штепсель-рельс, провод (трос)-штепсель, провод (трос)-наконечник)",CSH,2023,,,,,,
3,12648021,2023-01-01 14:25:00,Свердловская,"СВЕРД, ШЧ-16",,,,Нарушение контакта в монтаже в путевых ящиках для размещения аппаратуры рельсовых цепей,CSH,2023,,,,,,
3,12648390,2023-01-01 20:56:00,Свердловская,"СВЕРД, ШЧ-16",,,,Обрыв соединителей,CSH,2023,,,,,,
3,12648267,2023-01-02 01:30:00,Свердловская,"СВЕРД, ИЧ ЕГОРШИНСКАЯ Ш",,,,Перегорание лампы линзового светофора,CSH,2023,,,,,,
1,12648888,2023-01-03 00:10:00,Свердловская,"СВЕРД, ШЧ-18","11шт (к учету 8) 10,18ч","2шт (к учету 1) 0,25ч",,Нарушение контакта в монтаже в путевых ящиках для размещения аппаратуры рельсовых цепей,CSH,2023,8.0,"10,18ч",1.0,"0,25ч",,
2,12649321,2023-01-03 10:00:00,Свердловская,"СВЕРД, ШЧ-20","1шт 0,68ч",,,Повышенное переходное сопротивление между элементами,CSH,2023,1.0,"0,68ч",,,,
2,12650572,2023-01-04 15:59:00,Свердловская,"СВЕРД, ИЧ ЕГОРШИНСКАЯ Ш","2шт 0,53ч",,,Повышенное переходное сопротивление между элементами,CSH,2023,2.0,"0,53ч",,,,
3,12650664,2023-01-04 18:56:00,Свердловская,"СВЕРД, ШЧ-16",,,,Обрыв соединителей,CSH,2023,,,,,,
3,12650805,2023-01-04 21:54:00,Свердловская,"СВЕРД, ШЧ-13",,,,Неисправность элементов трансмиттеров аппаратуры ПС,CSH,2023,,,,,,
2,12658064,2023-01-05 02:47:00,Свердловская,"СВЕРД, ШЧ-3","13шт 7,13ч","1шт 0,23ч",,Обрыв плавкой вставки (проволоки) предохранителей аппаратуры защиты рельсовых цепей,CSH,2023,13.0,"7,13ч",1.0,"0,23ч",,
2,12650851,2023-01-05 03:53:00,Свердловская,"СВЕРД, ШЧ-13",,,"2шт (к учету 1) 0,68ч",Обрыв стальных проводов,CSH,2023,,,,,1.0,"0,68ч"
2,12651387,2023-01-05 11:50:00,Свердловская,"СВЕРД, ШЧ-2","2шт 0,33ч","1шт 0,18ч",,Повышенное переходное сопротивление между элементами,CSH,2023,2.0,"0,33ч",1.0,"0,18ч",,
3,12651699,2023-01-05 18:04:00,Свердловская,"СВЕРД, ИЧ ЕГОРШИНСКАЯ Ш",,,,Короткое замыкание (электрический пробой) элементов реле аппаратуры рельсовых цепей,CSH,2023,,,,,,
3,12652019,2023-01-06 05:31:00,Свердловская,"СВЕРД, ШЧ-17",,,,Нарушение контакта в монтаже в путевых ящиках для размещения аппаратуры рельсовых цепей,CSH,2023,,,,,,
3,12652021,2023-01-06 06:13:00,Свердловская,"СВЕРД, ШЧ-13",,,,Перегорание лампы линзового светофора,CSH,2023,,,,,,
3,12652101,2023-01-06 07:40:00,Свердловская,"СВЕРД, ШЧ-5",,,,Закорачивание РЦ,CSH,2023,,,,,,
3,12653143,2023-01-06 21:33:00,Свердловская,"СВЕРД, ШЧ-16",,,,Повышенное переходное сопротивление между элементами,CSH,2023,,,,,,
2,12653184,2023-01-06 23:09:00,Свердловская,"СВЕРД, ШЧ-13","1шт 0,58ч",,,Обрыв жил линейного кабеля,CSH,2023,1.0,"0,58ч",,,,
2,12653965,2023-01-07 14:03:00,Свердловская,"СВЕРД, ШЧ-22",,"1шт 0,27ч",,Нарушение контакта монтажа в ящиках для размещения схемы управления стрелкой,CSH,2023,,,1.0,"0,27ч",,
3,12654181,2023-01-07 17:13:00,Свердловская,"СВЕРД, ШЧ-16",,,,"Нарушение элетрического контакта в болтовых и паечных соединениях, штепсельных разъемах внешнего монтажа аппаратуры АБ",CSH,2023,,,,,,
3,12654650,2023-01-07 20:43:00,Свердловская,"СВЕРД, ШЧ-3",,,,Замерзание деталей СП-6М,CSH,2023,,,,,,
3,12655071,2023-01-08 04:12:00,Свердловская,"СВЕРД, ШЧ-23",,,,Неисправность контактной системы реле аппаратуры постовых устройств ЭЦ,CSH,2023,,,,,,
3,12656600,2023-01-09 07:05:00,Свердловская,"СВЕРД, ШЧ-9",,,,Неисправность элементов приемников ТРЦ аппаратуры рельсовых цепей,CSH,2023,,,,,,
3,12657691,2023-01-09 11:50:00,Свердловская,"СВЕРД, ШЧ-9",,,,Другие неисправности АВМ аппаратуры защиты АБ,CSH,2023,,,,,,
3,12658543,2023-01-09 15:10:00,Свердловская,"СВЕРД, ШЧ-18",,,,Обрыв провода (троса) перемычки,CSH,2023,,,,,,
2,12658969,2023-01-09 19:03:00,Свердловская,"СВЕРД, ШЧ-9","1шт 0,58ч",,,Заклинивание подвижных частей трансмиттеров аппаратуры рельсовых цепей,CSH,2023,1.0,"0,58ч",,,,
3,12661221,2023-01-10 12:06:00,Свердловская,"СВЕРД, ШЧ-13",,,,Повышенное переходное сопротивление между элементами,CSH,2023,,,,,,
3,12665366,2023-01-11 09:21:00,Свердловская,"СВЕРД, ШЧ-2",,,,Замерзание деталей СП-6М,CSH,2023,,,,,,
3,12665157,2023-01-11 13:40:00,Свердловская,"СВЕРД, ШЧ-2",,,,Закорачивание РЦ,CSH,2023,,,,,,
3,12665642,2023-01-11 20:40:00,Свердловская,"СВЕРД, ШЧ-9",,,,Неисправность элементов крепления приборов в шкафах для размещения устройств АБ,CSH,2023,,,,,,
2,12665655,2023-01-11 21:07:00,Свердловская,"СВЕРД, ШЧ-22",,"1шт 0,22ч",,Обрыв жил сигнально-блокировочного металлического кабеля рельсовых цепей,CSH,2023,,,1.0,"0,22ч",,
3,12666170,2023-01-12 05:45:00,Свердловская,"СВЕРД, ШЧ-17",,,,Неисправность элементов дешифраторной ячейки аппаратуры АБ,CSH,2023,,,,,,
3,12668551,2023-01-12 17:48:00,Свердловская,"СВЕРД, ШЧ-13",,,,Повышенное переходное сопротивление между элементами,CSH,2023,,,,,,
3,12668866,2023-01-13 00:31:00,Свердловская,"СВЕРД, ШЧ-23",,,,Нарушение контакта во внутреннем монтаже СП-6,CSH,2023,,,,,,
2,12671212,2023-01-14 09:45:00,Свердловская,"СВЕРД, ИЧ ЕГОРШИНСКАЯ Ш","1шт 0,17ч",,"2шт 0,42ч","Обрыв жил сигнально-блокировочного металлического кабеля светофоров, указателей и полос",CSH,2023,1.0,"0,17ч",,,2.0,"0,42ч"
3,12671449,2023-01-14 16:07:00,Свердловская,"СВЕРД, ШЧ-18",,,,Нарушение монтажа шкафов для размещения устройств АБ,CSH,2023,,,,,,
3,12671505,2023-01-14 16:40:00,Свердловская,"СВЕРД, ШЧ-16",,,,Короткое замыкание секций СП-6М,CSH,2023,,,,,,
3,12672912,2023-01-16 10:51:00,Свердловская,"СВЕРД, ШЧ-17",,,,Электрический пробой выравнивателей (ограничителей) аппаратуры защиты рельсовых цепей,CSH,2023,,,,,,
3,12672914,2023-01-16 10:56:00,Свердловская,"СВЕРД, ШЧ-16",,,,Нарушение монтажа стативов для размещения постовых устройств ЭЦ,CSH,2023,,,,,,
3,12673519,2023-01-16 18:09:00,Свердловская,"СВЕРД, ШЧ-5",,,,Сбой в работе центрального процессорного модуля,CSH,2023,,,,,,
2,12673971,2023-01-17 07:26:00,Свердловская,"СВЕРД, ШЧ-1 (Р)",,,"1шт 0,25ч",Заклинивание подвижных частей трансмиттеров аппаратуры АБ,CSH,2023,,,,,1.0,"0,25ч"
3,12673911,2023-01-17 07:40:00,Свердловская,"СВЕРД, ШЧ-13",,,,Повышенное переходное сопротивление между элементами,CSH,2023,,,,,,
