CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
3,12647876,2023-01-01 07:11:00,Северная,"СЕВ, ШЧ-18",,,,Неисправность элементов трансмиттеров аппаратуры рельсовых цепей,CSH,2023,,,,,,
3,12649559,2023-01-03 15:10:00,Северная,"СЕВ, ШЧ-18",,,,Обрыв жил сигнально-блокировочного металлического кабеля кабельной сети АБ,CSH,2023,,,,,,
3,12649767,2023-01-04 02:31:00,Северная,"СЕВ, ШЧ-4",,,,Другие неисправности элементов защитного блока аппаратуры постовых устройств ЭЦ,CSH,2023,,,,,,
2,12651769,2023-01-05 22:41:00,Северная,"СЕВ, ШЧ-4","1шт 0,27ч",,,Другие неисправности элементов защитного блока аппаратуры АБ,CSH,2023,1.0,"0,27ч",,,,
3,12651827,2023-01-06 01:12:00,Северная,"СЕВ, ИЧ ИВАНОВО Ш",,,,Пробой элементов блока выпрямителей сопряжения БВС 4Л аппаратуры устройств АБ,CSH,2023,,,,,,
2,12652056,2023-01-06 02:40:00,Северная,"СЕВ, ШЧ-15","1шт 0,93ч",,,Излом штепселя (контактного болта) перемычек,CSH,2023,1.0,"0,93ч",,,,
2,12651947,2023-01-06 04:42:00,Северная,"СЕВ, ШЧ-5 (Р)","2шт 0,6ч",,,Заклинивание подвижных частей трансмиттеров аппаратуры рельсовых цепей,CSH,2023,2.0,"0,6ч",,,,
2,12653992,2023-01-07 14:16:00,Северная,"СЕВ, ШЧ-3","4шт 2,38ч",,,Нарушение изоляции путевого ящика оборудования для размещения аппаратуры рельсовых цепей,CSH,2023,4.0,"2,38ч",,,,
3,12654356,2023-01-07 19:55:00,Северная,"СЕВ, ШЧ-15",,,,Неисправность контактной системы реле аппаратуры рельсовых цепей,CSH,2023,,,,,,
3,12655001,2023-01-08 00:45:00,Северная,"СЕВ, ШЧ-10",,,,Нарушение монтажа стативов для размещения постовых устройств ЭЦ,CSH,2023,,,,,,
3,12655925,2023-01-08 17:25:00,Северная,"СЕВ, ШЧ-10",,,,Нарушение электрических характеристик реле аппаратуры рельсовых цепей,CSH,2023,,,,,,
2,12656379,2023-01-09 03:53:00,Северная,"СЕВ, ШЧ-4","1шт 0,47ч",,,Износ элементов дешифраторной ячейки аппаратуры АБ,CSH,2023,1.0,"0,47ч",,,,
3,12656801,2023-01-09 08:46:00,Северная,"СЕВ, ШЧ-2",,,,Нарушение электрического контакта в штепсельных разъемах релейных блоков аппаратуры постовых устройств ЭЦ,CSH,2023,,,,,,
2,12656861,2023-01-09 09:10:00,Северная,"СЕВ, ИЧ ИВАНОВО Ш",,,"2шт 0,28ч",Нарушение монтажа шкафов для размещения устройств ПАБ,CSH,2023,,,,,2.0,"0,28ч"
2,12657673,2023-01-09 11:20:00,Северная,"СЕВ, ШЧ-18","2шт (к учету 1) 0,62ч",,,"Повышенное переходное сопротивление между элементами (штепсель-рельс, провод (трос)-штепсель, провод (трос)-наконечник)",CSH,2023,1.0,"0,62ч",,,,
2,12660309,2023-01-10 06:25:00,Северная,"СЕВ, ИЧ МИКУНЬ Ш","3шт (к учету 2) 1,65ч","1шт 0,25ч",,"Другие неисправности предохранителей аппаратуры защиты светофоров, указателей и полос",CSH,2023,2.0,"1,65ч",1.0,"0,25ч",,
3,12663015,2023-01-11 06:55:00,Северная,"СЕВ, ШЧ-5 (Р)",,,,Обрыв обмотки реле аппаратуры постовых устройств ЭЦ,CSH,2023,,,,,,
1,12665565,2023-01-11 17:38:00,Северная,"СЕВ, ШЧ-3","30шт (к учету 23) 14,33ч","1шт 0,1ч","1шт 0,1ч",Неисправности боксов арматуры кабельной линии рельсовых цепей,CSH,2023,23.0,"14,33ч",1.0,"0,1ч",1.0,"0,1ч"
3,12668660,2023-01-12 19:39:00,Северная,"СЕВ, ШЧ-9",,,,Нарушение контакта в монтаже в путевых ящиках для размещения аппаратуры рельсовых цепей,CSH,2023,,,,,,
1,12671549,2023-01-14 18:12:00,Северная,"СЕВ, ШЧ-2","5шт 6,98ч",,"1шт 0,42ч",Неисправность кабельных стоек для размещения устройств рельсовой цепи,CSH,2023,5.0,"6,98ч",,,1.0,"0,42ч"
2,12673091,2023-01-16 12:24:00,Северная,"СЕВ, ШЧ-2",,"1шт 0,15ч",,Прочая неисправность приемной катушки автоматической локомотивной сигнализации,CSH,2023,,,1.0,"0,15ч",,
3,12678343,2023-01-20 09:30:00,Северная,"СЕВ, ШЧ-13",,,,Излом деталей СП-6,CSH,2023,,,,,,
2,12679644,2023-01-21 10:20:00,Северная,"СЕВ, ШЧ-5 (Р)",,,"1шт 0,33ч",Другие неисправности элементов защитного блока аппаратуры схемы управления стрелкой,CSH,2023,,,,,1.0,"0,33ч"
3,12679673,2023-01-21 15:22:00,Северная,"СЕВ, ШЧ-3",,,,Электрический пробой выравнивателей (ограничителей) аппаратуры защиты рельсовых цепей,CSH,2023,,,,,,
2,12684241,2023-01-25 10:40:00,Северная,"СЕВ, ШЧ-4","2шт 0,82ч",,"1шт 0,12ч",Другие неисправности элементов защитного блока аппаратуры АБ,CSH,2023,2.0,"0,82ч",,,1.0,"0,12ч"
2,12706166,2023-01-26 01:21:00,Северная,"СЕВ, ШЧ-4","4шт 0,48ч",,,Перегорание плавкой вставки (проволоки) предохранителей аппаратуры защиты рельсовых цепей,CSH,2023,4.0,"0,48ч",,,,
2,12687614,2023-01-28 02:12:00,Северная,"СЕВ, ШЧ-10","1шт 0,18ч","2шт 0,57ч",,Обрыв жил сигнально-блокировочного металлического кабеля схемы управления стрелкой,CSH,2023,1.0,"0,18ч",2.0,"0,57ч",,
3,12687705,2023-01-28 06:33:00,Северная,"СЕВ, ШЧ-5 (Р)",,,,Разрегулировка контактов элементов пульта-табло постовых устройств ЭЦ,CSH,2023,,,,,,
3,12689515,2023-01-30 13:29:00,Северная,"СЕВ, ШЧ-3",,,,Обрыв жил сигнально-блокировочного металлического кабеля рельсовых цепей,CSH,2023,,,,,,
3,12692021,2023-02-01 10:25:00,Северная,"СЕВ, ШЧ-5 (Р)","1шт 0,12ч",,,Нарушение контакта в разъеме элементов блока питания рельсовых цепей,CSH,2023,1.0,"0,12ч",,,,
2,12691981,2023-02-01 13:10:00,Северная,"СЕВ, ШЧ-15","1шт 0,23ч","1шт 0,37ч",,Перегорание элементов панелей питания постовых устройств ЭЦ,CSH,2023,1.0,"0,23ч",1.0,"0,37ч",,
2,12694034,2023-02-02 17:40:00,Северная,"СЕВ, ШЧ-5 (Р)",,,"2шт 0,47ч",Подгар контактов реле аппаратуры АБ,CSH,2023,,,,,2.0,"0,47ч"
3,12694280,2023-02-03 01:40:00,Северная,"СЕВ, ШЧ-3",,,,"Излом деталей СПГБ-4, СПГБ-4М, СПГБ-4Б",CSH,2023,,,,,,
3,12697091,2023-02-05 18:45:00,Северная,"СЕВ, ШЧ-12 (Р)",,,,Пробой элементов блока выдержки времени аппаратуры АБ,CSH,2023,,,,,,
3,12697433,2023-02-06 05:18:00,Северная,"СЕВ, ШЧ-18",,,,Потеря контакта в бегунке регулируемого сопротивления аппаратуры рельсовых цепей,CSH,2023,,,,,,
3,12697889,2023-02-06 10:28:00,Северная,"СЕВ, ШЧ-3",,,,Повышенное переходное сопротивление между элементами,CSH,2023,,,,,,
2,12699391,2023-02-07 04:11:00,Северная,"СЕВ, ШЧ-10","1шт 0,25ч",,,Влияние посторонних источников питания,CSH,2023,1.0,"0,25ч",,,,
2,12699163,2023-02-07 04:45:00,Северная,"СЕВ, ШЧ-3","8шт (к учету 7) 6,22ч",,,Обрыв жил сигнально-блокировочного металлического кабеля рельсовых цепей,CSH,2023,7.0,"6,22ч",,,,
3,12699419,2023-02-07 08:16:00,Северная,"СЕВ, ШЧ-9",,,,Сверхнормативное снижение емкости конденсаторов дешифраторной ячейки аппаратуры АБ,CSH,2023,,,,,,
3,12699835,2023-02-07 11:00:00,Северная,"СЕВ, ШЧ-4",,,,Нарушение регулировки усилия перевода СП-6,CSH,2023,,,,,,
2,12703058,2023-02-08 13:44:00,Северная,"СЕВ, ШЧ-13","2шт (к учету 1) 0,43ч",,,Обрыв внешнего монтажа аппаратуры электропитания рельсовых цепей,CSH,2023,1.0,"0,43ч",,,,
2,12703864,2023-02-09 05:15:00,Северная,"СЕВ, ШЧ-9",,"1шт 0,25ч",,Неисправность деталей блоков элементов аппаратуры схемы управления стрелкой,CSH,2023,,,1.0,"0,25ч",,
3,12703893,2023-02-09 05:48:00,Северная,"СЕВ, ШЧ-4",,,,Обрыв внешнего монтажа аппаратуры защиты рельсовых цепей,CSH,2023,,,,,,
2,12709897,2023-02-13 14:28:00,Северная,"СЕВ, ШЧ-2",,"1шт 0,12ч",,Нарушение герметичности колбы лампы линзового светофора,CSH,2023,,,1.0,"0,12ч",,
3,12710490,2023-02-14 06:09:00,Северная,"СЕВ, ШЧ-2",,,,Ошибка проекта,CSH,2023,,,,,,
1,12711764,2023-02-15 01:49:00,Северная,"СЕВ, ШЧ-4","23шт (к учету 19) 13,5ч",,,"Нарушение контакта во внутреннем монтаже транспортных модулей, контейнеров для размещения устройств АБ",CSH,2023,19.0,"13,5ч",,,,
2,12713261,2023-02-16 00:30:00,Северная,"СЕВ, ШЧ-3",,"1шт 0,1ч",,"Нарушение монтажа стативов для размещения аппаратуры светофоров, указателей и полос",CSH,2023,,,1.0,"0,1ч",,
3,12713633,2023-02-16 06:20:00,Северная,"СЕВ, ШЧ-15",,,,Излом деталей СП-6М,CSH,2023,,,,,,
3,12715158,2023-02-17 13:42:00,Северная,"СЕВ, ШЧ-2",,,,Обрыв электрической цепи элементов трансформаторов аппаратуры рельсовых цепей,CSH,2023,,,,,,
3,12718884,2023-02-17 15:30:00,Северная,"СЕВ, ШЧ-9",,,,Нарушение герметичности колбы лампы линзового светофора,CSH,2023,,,,,,
3,12717320,2023-02-20 10:25:00,Северная,"СЕВ, ШЧ-18",,,,Износ электрожезлового аппарата управления и контроля устройств ЭЖС,CSH,2023,,,,,,
3,12717685,2023-02-20 14:47:00,Северная,"СЕВ, ШЧ-3",,,,Неисправность элементов приемников ТРЦ аппаратуры рельсовых цепей,CSH,2023,,,,,,
3,12718381,2023-02-21 08:40:00,Северная,"СЕВ, ИЧ МИКУНЬ Ш",,,,"Повышенное переходное сопротивление между элементами (штепсель-рельс, провод (трос)-штепсель, провод (трос)-наконечник)",CSH,2023,,,,,,
1,12719245,2023-02-22 01:56:00,Северная,"СЕВ, ШЧ-4","9шт (к учету 8) 5,42ч",,,Нарушение контакта в стыке на графитовой смазке,CSH,2023,8.0,"5,42ч",,,,
3,12720624,2023-02-23 08:48:00,Северная,"СЕВ, ШЧ-5 (Р)",,,,Неисправность элементов дешифратора аппаратуры АБ,CSH,2023,,,,,,
2,12720997,2023-02-23 21:37:00,Северная,"СЕВ, ШЧ-2",,,"1шт 0,15ч",Обрыв элементов блока питания аппаратуры АБ,CSH,2023,,,,,1.0,"0,15ч"
3,12728090,2023-03-01 13:05:00,Северная,"СЕВ, ШЧ-18",,,,Нарушение регулировки гарнитуры стрелки,CSH,2023,,,,,,
2,12726697,2023-03-02 01:58:00,Северная,"СЕВ, ШЧ-18","3шт (к учету 2) 1,03ч","3шт 0,67ч",,Ослабление затяжки болтов перемычки,CSH,2023,2.0,"1,03ч",3.0,"0,67ч",,
