CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
3,12651179,2023-01-03 06:10:00,Северо-Кавказская,"С-КАВ, ШЧ-8 (Р)",,,,Неисправность светодиодного модуля светофора,CSH,2023,,,,,,
2,12649616,2023-01-03 19:01:00,Северо-Кавказская,"С-КАВ, ШЧ-4 (Э)","9шт 2,13ч",,,Пробой деталей блока элементов аппаратуры схемы управления стрелкой,CSH,2023,9.0,"2,13ч",,,,
3,12651141,2023-01-05 09:20:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,"Нарушение монтажа шкафов для размещения аппаратуры светофоров, указателей и полос",CSH,2023,,,,,,
1,12651228,2023-01-05 10:07:00,Северо-Кавказская,"С-КАВ, ШЧ-10","6шт 3,68ч","4шт 0,83ч",,Сбой в работе исполнительных блоков АБТЦ-М (Ш),CSH,2023,6.0,"3,68ч",4.0,"0,83ч",,
3,12652978,2023-01-05 23:55:00,Северо-Кавказская,"С-КАВ, ШЧ-8 (Р)",,,,"Нарушение электрических характеристик реле аппаратуры светофоров, указателей и полос",CSH,2023,,,,,,
3,12652746,2023-01-06 08:00:00,Северо-Кавказская,"С-КАВ, ИЧ-2 ТАГАНРОГ Ш",,,,Ослабление затяжки болтов перемычки,CSH,2023,,,,,,
3,12655629,2023-01-06 09:38:00,Северо-Кавказская,"С-КАВ, ШЧ-10",,,,Перегорание лампы линзового светофора,CSH,2023,,,,,,
3,12655318,2023-01-06 14:58:00,Северо-Кавказская,"С-КАВ, ШЧ-10",,,,Потеря контакта в ламподержателе линзового светофора,CSH,2023,,,,,,
3,12652882,2023-01-06 15:59:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,Обрыв плавкой вставки (проволоки) предохранителей аппаратуры защиты АБ,CSH,2023,,,,,,
3,12654533,2023-01-07 09:00:00,Северо-Кавказская,"С-КАВ, ИЧ-2 ТАГАНРОГ Ш",,,,Потеря контакта в ламподержателе линзового светофора устройств ПАБ,CSH,2023,,,,,,
3,12654198,2023-01-07 17:52:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,Нарушение монтажа стативов для размещения постовых устройств ЭЦ,CSH,2023,,,,,,
3,12665618,2023-01-07 21:45:00,Северо-Кавказская,"С-КАВ, ШЧ-10",,,,Перегорание лампы линзового светофора,CSH,2023,,,,,,
3,12654966,2023-01-08 05:37:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,Короткое замыкание (электрический пробой) элементов трансформаторов аппаратуры рельсовых цепей,CSH,2023,,,,,,
3,12655021,2023-01-08 06:00:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,Неисправность элементов фильтров аппаратуры рельсовых цепей,CSH,2023,,,,,,
2,12655837,2023-01-08 15:22:00,Северо-Кавказская,"С-КАВ, ШЧ-19",,"1шт 0,17ч",,Замерзание деталей СП-6М,CSH,2023,,,1.0,"0,17ч",,
3,12660579,2023-01-10 08:20:00,Северо-Кавказская,"С-КАВ, ШЧ-12",,,,Нарушение контакта в монтаже в путевых ящиках для размещения аппаратуры рельсовых цепей,CSH,2023,,,,,,
3,12668467,2023-01-10 08:21:00,Северо-Кавказская,"С-КАВ, ШЧ-12",,,,"Сбой в работе блока, модуля УВК РА",CSH,2023,,,,,,
3,12662488,2023-01-10 19:30:00,Северо-Кавказская,"С-КАВ, ШЧ-12",,,,Нарушение монтажа стативов для размещения постовых устройств ЭЦ,CSH,2023,,,,,,
3,12664633,2023-01-11 14:00:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,Неисправность монтажа в путевом ящике,CSH,2023,,,,,,
3,12665919,2023-01-12 02:00:00,Северо-Кавказская,"С-КАВ, ШЧ-2",,,,Другие неисправности элементов защитного блока аппаратуры АБ,CSH,2023,,,,,,
3,12666908,2023-01-12 10:35:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,Потеря контакта в ламподержателе линзового светофора,CSH,2023,,,,,,
3,12667183,2023-01-12 11:28:00,Северо-Кавказская,"С-КАВ, ШЧ-15 (Р)",,,,Неисправность элементов блока выдержки времени аппаратуры АБ,CSH,2023,,,,,,
3,12668015,2023-01-12 13:52:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,"Повышенное переходное сопротивление между элементами (штепсель-рельс, провод (трос)-штепсель, провод (трос)-наконечник)",CSH,2023,,,,,,
3,12672778,2023-01-13 03:30:00,Северо-Кавказская,"С-КАВ, ШЧ-7",,,,Обрыв монтажа линзового светофора,CSH,2023,,,,,,
2,12670529,2023-01-13 14:47:00,Северо-Кавказская,"С-КАВ, ШЧ-3 (Р)",,,"2шт 0,92ч",Неисправность элементов реле аппаратуры постовых устройств ЭЦ,CSH,2023,,,,,2.0,"0,92ч"
3,12670724,2023-01-13 16:42:00,Северо-Кавказская,"С-КАВ, ШЧ-14",,,,"Нарушение монтажа шкафов для размещения аппаратуры светофоров, указателей и полос",CSH,2023,,,,,,
3,12670872,2023-01-13 18:00:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,Нарушение монтажа стативов для размещения постовых устройств ЭЦ,CSH,2023,,,,,,
3,12671071,2023-01-14 05:13:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,Обрыв плавкой вставки (проволоки) предохранителей аппаратуры защиты АБ,CSH,2023,,,,,,
3,12671097,2023-01-14 06:12:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,"Нарушение элетрического контакта в болтовых и паечных соединениях, штепсельных разъемах внешнего монтажа аппаратуры АБ",CSH,2023,,,,,,
2,12671566,2023-01-14 18:30:00,Северо-Кавказская,"С-КАВ, ШЧ-10","2шт 0,42ч","2шт 0,3ч","2шт 0,47ч",Разъединение гарнитуры стрелки,CSH,2023,2.0,"0,42ч",2.0,"0,3ч",2.0,"0,47ч"
3,12672267,2023-01-15 18:52:00,Северо-Кавказская,"С-КАВ, ИЧ-3 СТАВРОПОЛЬ Ш",,,,Неисправность элементов аккумуляторов электропитания постовых устройств ЭЦ,CSH,2023,,,,,,
3,12675499,2023-01-18 02:26:00,Северо-Кавказская,"С-КАВ, ШЧ-10",,,,Сбой программной части АРМ центрального поста ДЦ,CSH,2023,,,,,,
3,12675573,2023-01-18 10:38:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,,,Нарушение контакта в монтаже в ящиках для размещения устройств АБ,CSH,2023,,,,,,
3,12690707,2023-01-20 12:27:00,Северо-Кавказская,"С-КАВ, ШЧ-18",,"1шт 0,02ч",,Сульфатация аккумуляторов электропитания рельсовых цепей,CSH,2023,,,1.0,"0,02ч",,
3,12690636,2023-01-20 14:58:00,Северо-Кавказская,"С-КАВ, ШЧ-8 (Р)",,"1шт 0,05ч",,Обрыв обмотки реле аппаратуры схемы управления стрелкой,CSH,2023,,,1.0,"0,05ч",,
3,12679214,2023-01-21 03:10:00,Северо-Кавказская,"С-КАВ, ШЧ-14",,,,Нарушение герметичности колбы лампы линзового светофора,CSH,2023,,,,,,
3,12684098,2023-01-22 01:00:00,Северо-Кавказская,"С-КАВ, ШЧ-7",,,,Перегорание лампы линзового светофора,CSH,2023,,,,,,
3,12681330,2023-01-22 04:15:00,Северо-Кавказская,"С-КАВ, ИЧ-3 СТАВРОПОЛЬ Ш",,,,Перегорание лампы линзового светофора,CSH,2023,,,,,,
2,12680616,2023-01-22 15:11:00,Северо-Кавказская,"С-КАВ, ШЧ-12","5шт 2,22ч",,,"Сбой в работе блока, модуля УВК РА",CSH,2023,5.0,"2,22ч",,,,
2,12693863,2023-01-23 03:57:00,Северо-Кавказская,"С-КАВ, ШЧ-7",,"1шт 0,2ч","1шт 0,1ч",Износ элементов выпрямительных устройств электропитания постовых устройств ЭЦ,CSH,2023,,,1.0,"0,2ч",1.0,"0,1ч"
2,12681077,2023-01-23 06:29:00,Северо-Кавказская,"С-КАВ, ШЧ-2",,,"1шт 0,25ч",Заклинивание деталей СП-6М,CSH,2023,,,,,1.0,"0,25ч"
3,12684059,2023-01-23 22:54:00,Северо-Кавказская,"С-КАВ, ШЧ-8 (Р)",,,,Короткое замыкание (пробой) элементов генератора аппаратуры рельсовых цепей,CSH,2023,,,,,,
