CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
3,12648845,2023-01-02 21:30:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-9",,,,Короткое замыкание монтажа путевого ящика для размещения аппаратуры рельсовых цепей,CSH,2023,,,,,,
2,12649622,2023-01-03 19:10:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-15",,"1шт 0,12ч",,"Загрязнение элементов реле аппаратуры светофоров, указателей и полос",CSH,2023,,,1.0,"0,12ч",,
2,12650184,2023-01-04 09:10:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-14 (Э)","1шт 0,47ч",,,Механические повреждения сигнально-блокировочного металлического кабеля рельсовых цепей,CSH,2023,1.0,"0,47ч",,,,
2,12655839,2023-01-08 15:10:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-5 (Р)",,"1шт 0,23ч",,Межвитковое замыкание обмотки реле аппаратуры схемы управления стрелкой,CSH,2023,,,1.0,"0,23ч",,
3,12657512,2023-01-09 12:12:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-16",,,,Обрыв обмотки реле аппаратуры схемы управления стрелкой,CSH,2023,,,,,,
2,12659943,2023-01-10 06:20:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-4 (Э)",,,"1шт 0,1ч",Перегорание плавкой вставки (проволоки) предохранителей аппаратуры защиты рельсовых цепей,CSH,2023,,,,,1.0,"0,1ч"
3,12661466,2023-01-10 12:06:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-15",,,,Нарушение контакта во внутреннем монтаже СП-6М,CSH,2023,,,,,,
2,12672289,2023-01-15 19:52:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-5 (Р)","1шт 0,52ч",,,Выгорание секций СП-6М,CSH,2023,1.0,"0,52ч",,,,
2,12673843,2023-01-17 06:20:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-11","1шт 0,33ч",,"1шт 0,13ч",Короткое замыкание (электрический пробой) элементов трансформаторов аппаратуры рельсовых цепей,CSH,2023,1.0,"0,33ч",,,1.0,"0,13ч"
2,12675206,2023-01-18 06:58:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-15","1шт 0,37ч",,,Залипание якоря реле аппаратуры рельсовых цепей,CSH,2023,1.0,"0,37ч",,,,
3,12676635,2023-01-19 05:58:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-16",,,,Закорачивание РЦ,CSH,2023,,,,,,
3,12676913,2023-01-19 08:56:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-14 (Э)",,,,Обрыв плавкой вставки (проволоки) предохранителей аппаратуры защиты постовых устройств ЭЦ,CSH,2023,,,,,,
3,12683256,2023-01-24 16:15:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-11",,,,"Повышенное переходное сопротивление между элементами (штепсель-рельс, провод (трос)-штепсель, провод (трос)-наконечник)",CSH,2023,,,,,,
2,12683447,2023-01-24 23:57:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-7",,"2шт 0,38ч",,Обрыв жил сигнально-блокировочного металлического кабеля кабельной сети АБ,CSH,2023,,,2.0,"0,38ч",,
2,12694211,2023-02-03 01:32:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-15",,"2шт 0,37ч",,Нарушение контакта в штепсельном разъеме реле аппаратуры рельсовых цепей,CSH,2023,,,2.0,"0,37ч",,
3,12699242,2023-02-07 06:05:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-5 (Р)",,,,Механическое заедание элементов пульта-табло постовых устройств ЭЦ,CSH,2023,,,,,,
2,12708040,2023-02-11 19:55:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-14 (Э)","1шт 0,2ч","1шт 0,18ч",,Сваривание контактов реле аппаратуры АБ,CSH,2023,1.0,"0,2ч",1.0,"0,18ч",,
3,12708983,2023-02-13 05:52:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-16",,,,Нарушение контакта в разъеме блока элементов аппаратуры АБ,CSH,2023,,,,,,
2,12713993,2023-02-16 12:55:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-15","2шт 1,08ч",,,Нарушение электрического контакта в штепсельных разъемах релейных блоков аппаратуры постовых устройств ЭЦ,CSH,2023,2.0,"1,08ч",,,,
3,12714423,2023-02-17 01:11:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-4 (Э)",,,,Нарушение монтажа стативов для размещения постовых устройств ЭЦ,CSH,2023,,,,,,
2,12716610,2023-02-19 15:19:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-3 (Э)",,"1шт 0,1ч",,Разрегулировка контактов элементов пульта-табло постовых устройств ЭЦ,CSH,2023,,,1.0,"0,1ч",,
3,12720499,2023-02-23 06:30:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-9",,,,Короткое замыкание секций СП-6М,CSH,2023,,,,,,
2,12720639,2023-02-23 08:34:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-5 (Р)",,,"1шт 0,2ч",Повреждение контактной системы реле дешифраторной ячейки аппаратуры АБ,CSH,2023,,,,,1.0,"0,2ч"
2,12721285,2023-02-24 08:57:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-5 (Р)","2шт 0,83ч",,,Излом элементов реле аппаратуры АБ,CSH,2023,2.0,"0,83ч",,,,
2,12724249,2023-02-28 07:30:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-4 (Э)",,,"2шт 0,35ч",Неисправность элементов выпрямительных устройств аппаратуры электропитания рельсовых цепей,CSH,2023,,,,,2.0,"0,35ч"
3,12773410,2023-03-01 07:32:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-3 (Э)","1шт 0,08ч",,,Перегорание лампы линзового светофора,CSH,2023,1.0,"0,08ч",,,,
3,12729034,2023-03-01 20:57:00,Юго-Восточная,"ПРИВ, ШЧ-7 (Э)",,,,Неисправность светодиодного модуля светофора,CSH,2023,,,,,,
2,12730156,2023-03-04 02:40:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-5 (Р)","2шт 0,37ч","6шт 1,75ч","2шт 0,23ч",Заедание элементов реле аппаратуры схемы управления стрелкой,CSH,2023,2.0,"0,37ч",6.0,"1,75ч",2.0,"0,23ч"
2,12732652,2023-03-06 13:47:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-7","2шт 0,9ч","1шт 0,18ч",,Неисправность УКСПС из-за потери контакта в соединениях датчика,CSH,2023,2.0,"0,9ч",1.0,"0,18ч",,
2,12735707,2023-03-09 00:31:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-15","1шт 0,38ч","1шт 0,12ч",,Внутренний обрыв жил сигнально-блокировочного металлического кабеля,CSH,2023,1.0,"0,38ч",1.0,"0,12ч",,
3,12740139,2023-03-11 09:20:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-14 (Э)",,,,Внутренний обрыв жил сигнально-блокировочного металлического кабеля,CSH,2023,,,,,,
2,12754682,2023-03-22 15:29:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-3 (Э)",,,"1шт 0,15ч",Короткое замыкание (пробой) деталей блока элементов аппаратуры рельсовых цепей,CSH,2023,,,,,1.0,"0,15ч"
3,12754798,2023-03-22 17:40:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-14 (Э)",,,,Нарушение герметичности путевого ящика для размещения аппаратуры рельсовых цепей,CSH,2023,,,,,,
2,12764776,2023-03-30 12:44:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-14 (Э)","1шт 0,48ч",,,Разрегулировка контактов автопереключателя СП-6М,CSH,2023,1.0,"0,48ч",,,,
2,12766990,2023-04-01 10:45:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-15","3шт 1,02ч",,"1шт 0,1ч",Износ навесного монтажа аппаратуры постовых устройств ЭЦ,CSH,2023,3.0,"1,02ч",,,1.0,"0,1ч"
2,12769733,2023-04-03 09:29:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-11","2шт 0,92ч",,,Обрыв жил кабеля напольного оборудования,CSH,2023,2.0,"0,92ч",,,,
2,12772527,2023-04-04 17:04:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-4 (Э)",,,"1шт 0,28ч",Нарушение контакта в штепсельном разъеме реле аппаратуры схемы управления стрелкой,CSH,2023,,,,,1.0,"0,28ч"
2,12833406,2023-04-05 01:06:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-7",,"1шт 0,2ч",,"Нарушение электрического контакта в штепсельных разъемах релейных блоков ЭЦ, ГАЦ, АБ, ПАБ аппаратуры светофоров, указателей и полос",CSH,2023,,,1.0,"0,2ч",,
2,12780268,2023-04-07 13:25:00,Юго-Восточная,"Ю-ВОСТ, ШЧ-7",,"2шт 0,28ч",,Механические повреждения металлического сигнально-блокировочного кабеля постовых устройств ЭЦ,CSH,2023,,,2.0,"0,28ч",,
