CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
3,12647885,2023-01-01 08:07:00,Южно-Уральская,"Ю-УР, ШЧ-13 (Р)",,,,Заклинивание деталей СП-6М,CSH,2023,,,,,,
3,12657581,2023-01-06 13:00:00,Южно-Уральская,"Ю-УР, ИЧ Ю-УР Ш",,,,Перегорание лампы линзового светофора устройств ПАБ,CSH,2023,,,,,,
3,12658197,2023-01-06 16:40:00,Южно-Уральская,"Ю-УР, ШЧ-4 (Э)",,,,Перегорание лампы линзового светофора,CSH,2023,,,,,,
3,12655353,2023-01-08 09:17:00,Южно-Уральская,"Ю-УР, ИЧ Ю-УР Ш",,,,Нарушение изоляции шкафов для размещения устройств ПАБ,CSH,2023,,,,,,
3,12663407,2023-01-11 09:18:00,Южно-Уральская,"Ю-УР, ШЧ-13 (Р)",,,,Другие неисправности элементов релейных блоков аппаратуры постовых устройств ЭЦ,CSH,2023,,,,,,
3,12671340,2023-01-14 13:10:00,Южно-Уральская,"Ю-УР, ШЧ-10 (Р)",,,,Неисправность элементов блока выдержки времени аппаратуры постовых устройств ЭЦ,CSH,2023,,,,,,
3,12671825,2023-01-15 07:23:00,Южно-Уральская,"Ю-УР, ШЧ-14 (Э)",,,,Перегорание лампы линзового светофора,CSH,2023,,,,,,
2,12673505,2023-01-16 17:21:00,Южно-Уральская,"Ю-УР, ШЧ-11 (Э)","4шт 1,45ч",,,Неисправность путевой перемычки,CSH,2023,4.0,"1,45ч",,,,
2,12674390,2023-01-17 13:11:00,Южно-Уральская,"Ю-УР, ШЧ-4 (Э)","2шт 1,23ч",,,Другие неисправности элементов релейных блоков аппаратуры схемы управления стрелкой,CSH,2023,2.0,"1,23ч",,,,
2,12679294,2023-01-21 05:11:00,Южно-Уральская,"Ю-УР, ШЧ-14 (Э)","5шт (к учету 4) 3,55ч",,,Обрыв провода (троса) перемычки,CSH,2023,4.0,"3,55ч",,,,
3,12679895,2023-01-21 21:11:00,Южно-Уральская,"Ю-УР, ШЧ-8 (Э)",,,,Повышенное переходное сопротивление между элементами ,CSH,2023,,,,,,
3,12681990,2023-01-23 18:59:00,Южно-Уральская,"Ю-УР, ШЧ-8 (Э)",,,,Потеря контакта в ламподержателе линзового светофора,CSH,2023,,,,,,
3,12683388,2023-01-24 21:13:00,Южно-Уральская,"Ю-УР, ШЧ-6 (Э)",,,,Нарушение изоляции стативов для размещения постовых устройств ЭЦ,CSH,2023,,,,,,
3,12686176,2023-01-26 17:05:00,Южно-Уральская,"Ю-УР, ШЧ-8 (Э)",,,,Перегорание лампы линзового светофора,CSH,2023,,,,,,
3,12688258,2023-01-29 02:05:00,Южно-Уральская,"Ю-УР, ШЧ-13 (Р)",,,,Неисправность элементов реле аппаратуры постовых устройств ЭЦ,CSH,2023,,,,,,
3,12692515,2023-02-01 19:27:00,Южно-Уральская,"Ю-УР, ШЧ-13 (Р)",,,,Износ навесного монтажа аппаратуры АБ,CSH,2023,,,,,,
2,12693494,2023-02-02 12:46:00,Южно-Уральская,"Ю-УР, ШЧ-13 (Р)",,,"1шт 0,13ч",Другие неисправности элементов релейных блоков аппаратуры постовых устройств ЭЦ,CSH,2023,,,,,1.0,"0,13ч"
3,12695990,2023-02-04 06:50:00,Южно-Уральская,"Ю-УР, ШЧ-14 (Э)",,,,Нарушение контакта в монтаже в ящиках для размещения устройств АБ,CSH,2023,,,,,,
2,12696540,2023-02-05 01:06:00,Южно-Уральская,"Ю-УР, ШЧ-10 (Р)",,"1шт 0,32ч",,Пробой элементов блока выдержки времени аппаратуры постовых устройств ЭЦ,CSH,2023,,,1.0,"0,32ч",,
3,12696590,2023-02-05 04:57:00,Южно-Уральская,"Ю-УР, ШЧ-13 (Р)",,,,Неисправность элементов приемников ТРЦ аппаратуры рельсовых цепей,CSH,2023,,,,,,
3,12708302,2023-02-12 08:05:00,Южно-Уральская,"Ю-УР, ШЧ-8 (Э)",,,,Неисправность элементов аккумуляторов электропитания постовых устройств ЭЦ,CSH,2023,,,,,,
3,12708722,2023-02-12 20:54:00,Южно-Уральская,"Ю-УР, ШЧ-8 (Э)",,,,Разрегулировка контактов реле аппаратуры АБ,CSH,2023,,,,,,
3,12710717,2023-02-14 09:21:00,Южно-Уральская,"Ю-УР, ШЧ-4 (Э)",,,,Нарушение монтажа стативов для размещения постовых устройств ЭЦ,CSH,2023,,,,,,
3,12718118,2023-02-21 00:46:00,Южно-Уральская,"Ю-УР, ШЧ-10 (Р)",,,,Механическое заедание элементов пульта-табло постовых устройств ЭЦ,CSH,2023,,,,,,
2,12720236,2023-02-22 20:27:00,Южно-Уральская,"Ю-УР, ШЧ-13 (Р)",,"1шт 0,15ч",,Подгар контактов реле аппаратуры АБ,CSH,2023,,,1.0,"0,15ч",,
3,12720298,2023-02-22 23:50:00,Южно-Уральская,"Ю-УР, ШЧ-16 (Э)",,,,Перегорание лампы линзового светофора,CSH,2023,,,,,,
3,12722068,2023-02-25 11:57:00,Южно-Уральская,"Ю-УР, ШЧ-16 (Э)",,,,Индевение контактов автопереключателя СП-6,CSH,2023,,,,,,
2,12724031,2023-02-28 00:43:00,Южно-Уральская,"Ю-УР, ШЧ-13 (Р)","3шт (к учету 2) 1,87ч",,,Неисправность контактной системы реле аппаратуры постовых устройств ЭЦ,CSH,2023,2.0,"1,87ч",,,,
3,12727488,2023-03-02 12:00:00,Южно-Уральская,"Ю-УР, ШЧ-13 (Р)",,,,Другие неисправности элементов релейных блоков аппаратуры постовых устройств ЭЦ,CSH,2023,,,,,,
3,12729239,2023-03-03 11:53:00,Южно-Уральская,"Ю-УР, ИЧ Ю-УР Ш",,,,Перегорание лампы линзового светофора устройств ПАБ,CSH,2023,,,,,,
3,12734418,2023-03-06 06:02:00,Южно-Уральская,"Ю-УР, ШЧ-10 (Р)",,,,Перегорание лампы линзового светофора,CSH,2023,,,,,,
2,12735649,2023-03-08 21:00:00,Южно-Уральская,"Ю-УР, ШЧ-10 (Р)","1шт 0,55ч",,,Электрический пробой выравнивателей (ограничителей) аппаратуры защиты рельсовых цепей,CSH,2023,1.0,"0,55ч",,,,
3,12736777,2023-03-09 11:13:00,Южно-Уральская,"Ю-УР, ШЧ-10 (Р)",,,,Другие неисправности АВМ рельсовых цепей,CSH,2023,,,,,,
3,12740263,2023-03-11 11:56:00,Южно-Уральская,"Ю-УР, ШЧ-11 (Э)",,,,Схлестывание проводов линий СЦБ,CSH,2023,,,,,,
2,12741588,2023-03-13 02:50:00,Южно-Уральская,"Ю-УР, ШЧ-14 (Э)","1шт 0,53ч",,,Нарушение монтажа шкафов для размещения устройств АБ,CSH,2023,1.0,"0,53ч",,,,
3,12742818,2023-03-13 15:05:00,Южно-Уральская,"Ю-УР, ШЧ-4 (Э)",,,,Нарушение монтажа стативов для размещения постовых устройств ЭЦ,CSH,2023,,,,,,
