CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR
1,2023-01-01 19:38:00,Дальневосточная,CSH,2023
1,2023-02-01 10:56:00,Московская,CSH,2023
1,2023-02-01 12:44:00,Дальневосточная,CSH,2023
1,2023-03-01 00:10:00,Свердловская,CSH,2023
1,2023-03-01 05:29:00,Забайкальская,CSH,2023
1,2023-04-01 10:34:00,Забайкальская,CSH,2023
1,2023-05-01 10:07:00,Северо-Кавказская,CSH,2023
1,2023-05-01 17:01:00,Забайкальская,CSH,2023
1,2023-06-01 02:32:00,Московская,CSH,2023
1,2023-07-01 23:59:00,Забайкальская,CSH,2023
1,2023-10-01 07:25:00,Забайкальская,CSH,2023
1,2023-11-01 12:01:00,Дальневосточная,CSH,2023
1,2023-11-01 17:38:00,Северная,CSH,2023
1,2023-01-14 18:12:00,Северная,CSH,2023
1,2023-01-15 18:34:00,Московская,CSH,2023
1,2023-01-17 17:50:00,Московская,CSH,2023
1,2023-01-18 02:31:00,Московская,CSH,2023
1,2023-01-19 21:10:00,Забайкальская,CSH,2023
1,2023-01-19 21:19:00,Западно-Сибирская,CSH,2023
1,2023-01-22 19:50:00,Дальневосточная,CSH,2023
1,2023-01-22 22:46:00,Восточно-Сибирская,CSH,2023
1,2023-01-25 07:20:00,Забайкальская,CSH,2023
1,2023-01-25 12:51:00,Московская,CSH,2023
1,2023-01-31 00:04:00,Горьковская,CSH,2023
1,2023-01-02 16:10:00,Дальневосточная,CSH,2023
1,2023-01-02 18:09:00,Забайкальская,CSH,2023
1,2023-05-02 17:19:00,Октябрьская,CSH,2023
1,2023-06-02 20:57:00,Московская,CSH,2023
1,2023-07-02 08:19:00,Забайкальская,CSH,2023
1,2023-08-02 22:42:00,Горьковская,CSH,2023
1,2023-12-02 05:21:00,Забайкальская,CSH,2023
1,2023-02-14 11:10:00,Дальневосточная,CSH,2023
1,2023-02-15 01:49:00,Северная,CSH,2023
1,2023-02-15 13:09:00,Восточно-Сибирская,CSH,2023
1,2023-02-16 23:00:00,Приволжская,CSH,2023
1,2023-02-18 08:34:00,Восточно-Сибирская,CSH,2023
1,2023-02-18 10:40:00,Забайкальская,CSH,2023
1,2023-02-21 18:20:00,Дальневосточная,CSH,2023
1,2023-02-21 18:57:00,Горьковская,CSH,2023
1,2023-02-22 01:56:00,Северная,CSH,2023
1,2023-02-23 11:08:00,Западно-Сибирская,CSH,2023
1,2023-02-23 16:05:00,Дальневосточная,CSH,2023
1,2023-02-23 16:22:00,Забайкальская,CSH,2023
1,2023-02-23 21:08:00,Горьковская,CSH,2023
1,2023-02-24 09:14:00,Забайкальская,CSH,2023
1,2023-02-25 04:28:00,Московская,CSH,2023
1,2023-02-25 23:30:00,Октябрьская,CSH,2023
1,2023-02-26 01:16:00,Западно-Сибирская,CSH,2023
1,2023-02-27 00:10:00,Восточно-Сибирская,CSH,2023
1,2023-02-27 12:32:00,Восточно-Сибирская,CSH,2023
1,2023-02-28 11:15:00,Дальневосточная,CSH,2023
1,2023-02-28 15:15:00,Октябрьская,CSH,2023
1,2023-04-03 07:30:00,Западно-Сибирская,CSH,2023
1,2023-04-03 22:25:00,Приволжская,CSH,2023
1,2023-11-03 09:37:00,Забайкальская,CSH,2023
1,2023-11-03 22:30:00,Октябрьская,CSH,2023
1,2023-12-03 10:26:00,Восточно-Сибирская,CSH,2023
1,2023-03-13 00:12:00,Западно-Сибирская,CSH,2023
1,2023-03-13 21:28:00,Московская,CSH,2023
1,2023-03-16 13:54:00,Забайкальская,CSH,2023
1,2023-03-16 23:25:00,Октябрьская,CSH,2023
1,2023-03-17 01:50:00,Северная,CSH,2023
1,2023-03-17 03:59:00,Октябрьская,CSH,2023
1,2023-03-18 00:12:00,Свердловская,CSH,2023
1,2023-03-18 16:07:00,Дальневосточная,CSH,2023
1,2023-03-19 11:29:00,Забайкальская,CSH,2023
1,2023-03-20 14:18:00,Свердловская,CSH,2023
