CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR
3,2024-01-01 05:45:00,Октябрьская,CSH,2024
2,2024-01-01 21:14:00,Октябрьская,CSH,2024
2,2024-02-01 05:24:00,Октябрьская,CSH,2024
2,2024-02-01 06:55:00,Октябрьская,CSH,2024
2,2024-02-01 08:06:00,Октябрьская,CSH,2024
3,2024-02-01 10:29:00,Октябрьская,CSH,2024
2,2024-03-01 02:09:00,Октябрьская,CSH,2024
3,2024-03-01 02:22:00,Октябрьская,CSH,2024
2,2024-03-01 02:37:00,Октябрьская,CSH,2024
2,2024-03-01 03:14:00,Октябрьская,CSH,2024
3,2024-03-01 04:50:00,Октябрьская,CSH,2024
3,2024-03-01 05:40:00,Октябрьская,CSH,2024
2,2024-03-01 06:07:00,Октябрьская,CSH,2024
2,2024-03-01 08:05:00,Октябрьская,CSH,2024
3,2024-03-01 09:38:00,Октябрьская,CSH,2024
3,2024-04-01 03:30:00,Октябрьская,CSH,2024
3,2024-04-01 03:30:00,Октябрьская,CSH,2024
3,2024-04-01 03:58:00,Октябрьская,CSH,2024
3,2024-04-01 11:12:00,Октябрьская,CSH,2024
2,2024-04-01 22:02:00,Октябрьская,CSH,2024
3,2024-05-01 02:50:00,Октябрьская,CSH,2024
3,2024-05-01 11:25:00,Октябрьская,CSH,2024
2,2024-05-01 16:46:00,Октябрьская,CSH,2024
2,2024-05-01 20:10:00,Октябрьская,CSH,2024
3,2024-05-01 22:04:00,Октябрьская,CSH,2024
2,2024-06-01 03:55:00,Октябрьская,CSH,2024
2,2024-06-01 04:43:00,Октябрьская,CSH,2024
2,2024-06-01 09:49:00,Октябрьская,CSH,2024
2,2024-06-01 11:00:00,Октябрьская,CSH,2024
2,2024-06-01 16:47:00,Октябрьская,CSH,2024
1,2024-06-01 20:54:00,Октябрьская,CSH,2024
2,2024-07-01 04:38:00,Октябрьская,CSH,2024
2,2024-07-01 05:10:00,Октябрьская,CSH,2024
3,2024-07-01 12:14:00,Октябрьская,CSH,2024
3,2024-07-01 20:48:00,Октябрьская,CSH,2024
2,2024-07-01 22:39:00,Октябрьская,CSH,2024
3,2024-08-01 04:10:00,Октябрьская,CSH,2024
3,2024-08-01 04:55:00,Октябрьская,CSH,2024
3,2024-08-01 05:13:00,Октябрьская,CSH,2024
3,2024-08-01 08:13:00,Октябрьская,CSH,2024
1,2024-08-01 16:43:00,Октябрьская,CSH,2024
3,2024-08-01 19:37:00,Октябрьская,CSH,2024
2,2024-08-01 22:49:00,Октябрьская,CSH,2024
2,2024-08-01 23:16:00,Октябрьская,CSH,2024
3,2024-09-01 03:11:00,Октябрьская,CSH,2024
2,2024-09-01 07:34:00,Октябрьская,CSH,2024
2,2024-09-01 11:31:00,Октябрьская,CSH,2024
2,2024-09-01 11:36:00,Октябрьская,CSH,2024
2,2024-09-01 11:41:00,Октябрьская,CSH,2024
3,2024-09-01 13:18:00,Октябрьская,CSH,2024
2,2024-09-01 16:45:00,Октябрьская,CSH,2024
2,2024-09-01 18:14:00,Октябрьская,CSH,2024
3,2024-10-01 05:25:00,Октябрьская,CSH,2024
2,2024-10-01 10:40:00,Октябрьская,CSH,2024
2,2024-10-01 20:44:00,Октябрьская,CSH,2024
3,2024-11-01 00:50:00,Октябрьская,CSH,2024
2,2024-11-01 04:47:00,Октябрьская,CSH,2024
3,2024-11-01 05:17:00,Октябрьская,CSH,2024
2,2024-11-01 07:20:00,Октябрьская,CSH,2024
3,2024-11-01 15:50:00,Октябрьская,CSH,2024
3,2024-12-01 02:00:00,Октябрьская,CSH,2024
2,2024-12-01 04:00:00,Октябрьская,CSH,2024
3,2024-12-01 08:00:00,Октябрьская,CSH,2024
3,2024-12-01 08:43:00,Октябрьская,CSH,2024
3,2024-12-01 08:50:00,Октябрьская,CSH,2024
2,2024-12-01 09:35:00,Октябрьская,CSH,2024
2,2024-12-01 09:36:00,Октябрьская,CSH,2024
3,2024-12-01 17:13:00,Октябрьская,CSH,2024
2,2024-12-01 21:50:00,Октябрьская,CSH,2024
2,2024-01-13 05:44:00,Октябрьская,CSH,2024
2,2024-01-13 09:24:00,Октябрьская,CSH,2024
3,2024-01-13 11:10:00,Октябрьская,CSH,2024
2,2024-01-13 13:19:00,Октябрьская,CSH,2024
2,2024-01-13 19:35:00,Октябрьская,CSH,2024
3,2024-01-13 23:22:00,Октябрьская,CSH,2024
