CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR
2,2023-03-01 00:11:00,Октябрьская,CT,2023
2,2023-05-01 14:56:00,Свердловская,CT,2023
2,2023-06-01 01:25:00,Северная,CT,2023
2,2023-06-01 14:44:00,Октябрьская,CT,2023
2,2023-10-01 03:43:00,Октябрьская,CT,2023
2,2023-01-13 05:38:00,Восточно-Сибирская,CT,2023
2,2023-01-17 05:48:00,Московская,CT,2023
2,2023-01-17 23:57:00,Западно-Сибирская,CT,2023
2,2023-01-19 04:17:00,Восточно-Сибирская,CT,2023
2,2023-01-20 00:46:00,Московская,CT,2023
2,2023-01-21 15:59:00,Октябрьская,CT,2023
2,2023-01-22 03:29:00,Забайкальская,CT,2023
2,2023-01-28 04:42:00,Московская,CT,2023
2,2023-01-28 15:58:00,Восточно-Сибирская,CT,2023
2,2023-01-29 04:55:00,Красноярская,CT,2023
2,2023-01-02 04:34:00,Западно-Сибирская,CT,2023
2,2023-04-02 14:58:00,Северная,CT,2023
2,2023-04-02 15:07:00,Октябрьская,CT,2023
2,2023-07-02 08:38:00,Красноярская,CT,2023
2,2023-08-02 14:49:00,Московская,CT,2023
2,2023-12-02 01:17:00,Октябрьская,CT,2023
2,2023-02-13 03:18:00,Октябрьская,CT,2023
2,2023-02-15 01:54:00,Красноярская,CT,2023
2,2023-02-16 22:44:00,Октябрьская,CT,2023
2,2023-02-20 16:22:00,Октябрьская,CT,2023
2,2023-02-24 09:19:00,Октябрьская,CT,2023
2,2023-06-03 05:15:00,Свердловская,CT,2023
2,2023-09-03 22:09:00,Западно-Сибирская,CT,2023
2,2023-10-03 03:35:00,Московская,CT,2023
2,2023-10-03 07:47:00,Приволжская,CT,2023
2,2023-03-19 06:49:00,Красноярская,CT,2023
2,2023-03-26 19:20:00,Красноярская,CT,2023
2,2023-03-27 19:32:00,Восточно-Сибирская,CT,2023
2,2023-03-29 03:10:00,Октябрьская,CT,2023
2,2023-03-30 19:17:00,Южно-Уральская,CT,2023
2,2023-01-04 01:09:00,Московская,CT,2023
2,2023-05-04 12:37:00,Западно-Сибирская,CT,2023
2,2023-05-04 23:00:00,Красноярская,CT,2023
2,2023-07-04 03:42:00,Восточно-Сибирская,CT,2023
2,2023-08-04 05:45:00,Московская,CT,2023
2,2023-10-04 03:58:00,Восточно-Сибирская,CT,2023
2,2023-12-04 01:25:00,Октябрьская,CT,2023
2,2023-04-21 16:08:00,Октябрьская,CT,2023
2,2023-04-22 22:09:00,Красноярская,CT,2023
2,2023-04-28 00:09:00,Северо-Кавказская,CT,2023
2,2023-04-28 04:30:00,Северо-Кавказская,CT,2023
2,2023-03-05 04:20:00,Красноярская,CT,2023
2,2023-03-05 16:19:00,Октябрьская,CT,2023
2,2023-04-05 18:09:00,Красноярская,CT,2023
2,2023-05-05 16:15:00,Октябрьская,CT,2023
2,2023-07-05 00:50:00,Октябрьская,CT,2023
2,2023-11-05 11:02:00,Октябрьская,CT,2023
2,2023-12-05 02:40:00,Октябрьская,CT,2023
2,2023-05-14 23:36:00,Свердловская,CT,2023
2,2023-05-16 07:03:00,Октябрьская,CT,2023
2,2023-05-23 03:05:00,Московская,CT,2023
2,2023-05-23 03:23:00,Октябрьская,CT,2023
2,2023-05-23 07:19:00,Северо-Кавказская,CT,2023
2,2023-05-25 11:40:00,Октябрьская,CT,2023
2,2023-05-26 06:14:00,Забайкальская,CT,2023
2,2023-05-26 08:20:00,Забайкальская,CT,2023
2,2023-05-31 07:39:00,Октябрьская,CT,2023
2,2023-05-31 08:32:00,Восточно-Сибирская,CT,2023
2,2023-04-06 08:50:00,Московская,CT,2023
2,2023-06-13 03:44:00,Московская,CT,2023
2,2023-06-14 06:13:00,Забайкальская,CT,2023
2,2023-06-19 01:18:00,Московская,CT,2023
2,2023-06-25 22:18:00,Северо-Кавказская,CT,2023
2,2023-06-27 15:23:00,Северо-Кавказская,CT,2023
2,2023-06-30 15:05:00,Красноярская,CT,2023
2,2023-06-30 16:35:00,Восточно-Сибирская,CT,2023
2,2023-02-07 01:18:00,Октябрьская,CT,2023
2,2023-03-07 12:19:00,Забайкальская,CT,2023
2,2023-03-07 22:10:00,Забайкальская,CT,2023
2,2023-08-07 00:28:00,Октябрьская,CT,2023
2,2023-08-07 12:28:00,Октябрьская,CT,2023
2,2023-09-07 14:45:00,Октябрьская,CT,2023
2,2023-10-07 00:16:00,Октябрьская,CT,2023
2,2023-10-07 04:10:00,Октябрьская,CT,2023
2,2023-07-16 16:58:00,Московская,CT,2023
2,2023-07-17 13:00:00,Октябрьская,CT,2023
2,2023-07-22 07:39:00,Забайкальская,CT,2023
2,2023-07-23 12:20:00,Красноярская,CT,2023
2,2023-07-23 16:08:00,Московская,CT,2023
