CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR
3,2023-01-01 15:20:00,Октябрьская,CSH,2023
2,2023-01-01 18:05:00,Октябрьская,CSH,2023
2,2023-02-01 06:15:00,Октябрьская,CSH,2023
3,2023-02-01 19:20:00,Октябрьская,CSH,2023
2,2023-03-01 01:01:00,Октябрьская,CSH,2023
2,2023-03-01 01:03:00,Октябрьская,CSH,2023
3,2023-03-01 04:14:00,Октябрьская,CSH,2023
2,2023-04-01 23:42:00,Октябрьская,CSH,2023
3,2023-05-01 00:11:00,Октябрьская,CSH,2023
2,2023-05-01 20:58:00,Октябрьская,CSH,2023
2,2023-06-01 14:35:00,Октябрьская,CSH,2023
3,2023-06-01 18:54:00,Октябрьская,CSH,2023
3,2023-07-01 09:43:00,Октябрьская,CSH,2023
3,2023-07-01 16:09:00,Октябрьская,CSH,2023
3,2023-07-01 18:02:00,Октябрьская,CSH,2023
3,2023-08-01 10:00:00,Октябрьская,CSH,2023
3,2023-08-01 22:50:00,Октябрьская,CSH,2023
3,2023-09-01 08:30:00,Октябрьская,CSH,2023
3,2023-10-01 05:40:00,Октябрьская,CSH,2023
3,2023-10-01 19:20:00,Октябрьская,CSH,2023
2,2023-10-01 19:35:00,Октябрьская,CSH,2023
3,2023-10-01 20:02:00,Октябрьская,CSH,2023
3,2023-10-01 21:32:00,Октябрьская,CSH,2023
2,2023-11-01 00:08:00,Октябрьская,CSH,2023
2,2023-11-01 19:05:00,Октябрьская,CSH,2023
2,2023-12-01 17:22:00,Октябрьская,CSH,2023
2,2023-12-01 23:25:00,Октябрьская,CSH,2023
2,2023-01-13 14:30:00,Октябрьская,CSH,2023
2,2023-01-13 15:08:00,Октябрьская,CSH,2023
3,2023-01-13 18:20:00,Октябрьская,CSH,2023
2,2023-01-13 21:34:00,Октябрьская,CSH,2023
2,2023-01-14 02:26:00,Октябрьская,CSH,2023
3,2023-01-15 16:44:00,Октябрьская,CSH,2023
3,2023-01-15 18:05:00,Октябрьская,CSH,2023
2,2023-01-16 17:14:00,Октябрьская,CSH,2023
3,2023-01-16 21:41:00,Октябрьская,CSH,2023
2,2023-01-17 00:11:00,Октябрьская,CSH,2023
2,2023-01-17 08:16:00,Октябрьская,CSH,2023
2,2023-01-18 06:12:00,Октябрьская,CSH,2023
3,2023-01-18 15:20:00,Октябрьская,CSH,2023
3,2023-01-19 04:50:00,Октябрьская,CSH,2023
2,2023-01-19 05:48:00,Октябрьская,CSH,2023
2,2023-01-20 14:59:00,Октябрьская,CSH,2023
3,2023-01-20 16:02:00,Октябрьская,CSH,2023
3,2023-01-20 18:03:00,Октябрьская,CSH,2023
2,2023-01-22 06:20:00,Октябрьская,CSH,2023
3,2023-01-22 08:03:00,Октябрьская,CSH,2023
2,2023-01-23 02:38:00,Октябрьская,CSH,2023
3,2023-01-23 14:49:00,Октябрьская,CSH,2023
3,2023-01-23 20:23:00,Октябрьская,CSH,2023
2,2023-01-24 01:00:00,Октябрьская,CSH,2023
3,2023-01-24 10:13:00,Октябрьская,CSH,2023
3,2023-01-25 02:18:00,Октябрьская,CSH,2023
3,2023-01-25 16:40:00,Октябрьская,CSH,2023
2,2023-01-25 19:48:00,Октябрьская,CSH,2023
3,2023-01-25 21:54:00,Октябрьская,CSH,2023
2,2023-01-26 16:50:00,Октябрьская,CSH,2023
3,2023-01-26 23:45:00,Октябрьская,CSH,2023
2,2023-01-27 01:15:00,Октябрьская,CSH,2023
2,2023-01-28 01:57:00,Октябрьская,CSH,2023
3,2023-01-28 22:40:00,Октябрьская,CSH,2023
3,2023-01-29 02:24:00,Октябрьская,CSH,2023
2,2023-01-29 05:02:00,Октябрьская,CSH,2023
2,2023-01-29 08:18:00,Октябрьская,CSH,2023
2,2023-01-29 20:08:00,Октябрьская,CSH,2023
3,2023-01-30 12:34:00,Октябрьская,CSH,2023
3,2023-01-31 05:53:00,Октябрьская,CSH,2023
3,2023-01-02 07:14:00,Октябрьская,CSH,2023
3,2023-01-02 12:00:00,Октябрьская,CSH,2023
3,2023-01-02 15:42:00,Октябрьская,CSH,2023
2,2023-02-02 06:39:00,Октябрьская,CSH,2023
3,2023-02-02 09:31:00,Октябрьская,CSH,2023
3,2023-02-02 15:40:00,Октябрьская,CSH,2023
2,2023-02-02 16:10:00,Октябрьская,CSH,2023
3,2023-02-02 17:27:00,Октябрьская,CSH,2023
2,2023-03-02 06:26:00,Октябрьская,CSH,2023
3,2023-03-02 10:15:00,Октябрьская,CSH,2023
2,2023-03-02 14:41:00,Октябрьская,CSH,2023
2,2023-03-02 18:30:00,Октябрьская,CSH,2023
3,2023-04-02 03:58:00,Октябрьская,CSH,2023
3,2023-04-02 16:16:00,Октябрьская,CSH,2023
3,2023-05-02 13:35:00,Октябрьская,CSH,2023
1,2023-05-02 17:19:00,Октябрьская,CSH,2023
2,2023-05-02 20:26:00,Октябрьская,CSH,2023
2,2023-06-02 05:55:00,Октябрьская,CSH,2023
2,2023-06-02 05:55:00,Октябрьская,CSH,2023
3,2023-06-02 10:36:00,Октябрьская,CSH,2023
2,2023-06-02 16:13:00,Октябрьская,CSH,2023
2,2023-06-02 16:55:00,Октябрьская,CSH,2023
2,2023-08-02 09:10:00,Октябрьская,CSH,2023
3,2023-08-02 13:10:00,Октябрьская,CSH,2023
3,2023-08-02 17:50:00,Октябрьская,CSH,2023
2,2023-08-02 23:15:00,Октябрьская,CSH,2023
3,2023-09-02 00:13:00,Октябрьская,CSH,2023
2,2023-09-02 01:23:00,Октябрьская,CSH,2023
3,2023-09-02 08:10:00,Октябрьская,CSH,2023
2,2023-09-02 10:38:00,Октябрьская,CSH,2023
3,2023-09-02 18:09:00,Октябрьская,CSH,2023
3,2023-10-02 02:32:00,Октябрьская,CSH,2023
3,2023-10-02 07:01:00,Октябрьская,CSH,2023
2,2023-10-02 22:35:00,Октябрьская,CSH,2023
3,2023-11-02 11:00:00,Октябрьская,CSH,2023
3,2023-11-02 11:00:00,Октябрьская,CSH,2023
2,2023-11-02 23:05:00,Октябрьская,CSH,2023
3,2023-12-02 18:03:00,Октябрьская,CSH,2023
2,2023-02-13 04:10:00,Октябрьская,CSH,2023
3,2023-02-13 05:16:00,Октябрьская,CSH,2023
2,2023-02-13 09:23:00,Октябрьская,CSH,2023
3,2023-02-13 11:00:00,Октябрьская,CSH,2023
2,2023-02-14 08:40:00,Октябрьская,CSH,2023
2,2023-02-14 10:20:00,Октябрьская,CSH,2023
3,2023-02-14 12:00:00,Октябрьская,CSH,2023
3,2023-02-14 13:57:00,Октябрьская,CSH,2023
2,2023-02-15 06:01:00,Октябрьская,CSH,2023
2,2023-02-15 08:37:00,Октябрьская,CSH,2023
3,2023-02-15 22:38:00,Октябрьская,CSH,2023
2,2023-02-16 10:38:00,Октябрьская,CSH,2023
3,2023-02-16 10:47:00,Октябрьская,CSH,2023
2,2023-02-16 17:28:00,Октябрьская,CSH,2023
2,2023-02-16 21:05:00,Октябрьская,CSH,2023
3,2023-02-18 05:42:00,Октябрьская,CSH,2023
2,2023-02-18 13:03:00,Октябрьская,CSH,2023
3,2023-02-18 13:52:00,Октябрьская,CSH,2023
3,2023-02-19 04:40:00,Октябрьская,CSH,2023
3,2023-02-19 07:30:00,Октябрьская,CSH,2023
2,2023-02-20 13:52:00,Октябрьская,CSH,2023
3,2023-02-20 15:56:00,Октябрьская,CSH,2023
3,2023-02-21 11:35:00,Октябрьская,CSH,2023
2,2023-02-21 23:22:00,Октябрьская,CSH,2023
3,2023-02-22 04:00:00,Октябрьская,CSH,2023
2,2023-02-22 06:16:00,Октябрьская,CSH,2023
3,2023-02-22 06:44:00,Октябрьская,CSH,2023
3,2023-02-22 12:45:00,Октябрьская,CSH,2023
2,2023-02-22 15:42:00,Октябрьская,CSH,2023
3,2023-02-22 18:46:00,Октябрьская,CSH,2023
2,2023-02-22 20:04:00,Октябрьская,CSH,2023
3,2023-02-22 20:52:00,Октябрьская,CSH,2023
3,2023-02-23 13:27:00,Октябрьская,CSH,2023
2,2023-02-24 10:09:00,Октябрьская,CSH,2023
2,2023-02-24 15:37:00,Октябрьская,CSH,2023
3,2023-02-24 21:17:00,Октябрьская,CSH,2023
2,2023-02-24 22:20:00,Октябрьская,CSH,2023
3,2023-02-24 22:52:00,Октябрьская,CSH,2023
3,2023-02-25 11:10:00,Октябрьская,CSH,2023
2,2023-02-25 19:38:00,Октябрьская,CSH,2023
1,2023-02-25 23:30:00,Октябрьская,CSH,2023
2,2023-02-26 04:45:00,Октябрьская,CSH,2023
2,2023-02-27 06:05:00,Октябрьская,CSH,2023
3,2023-02-27 09:40:00,Октябрьская,CSH,2023
3,2023-02-27 12:03:00,Октябрьская,CSH,2023
3,2023-02-27 21:15:00,Октябрьская,CSH,2023
3,2023-02-28 07:16:00,Октябрьская,CSH,2023
3,2023-02-28 07:35:00,Октябрьская,CSH,2023
