CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR
2,2023-01-01 06:41:00,Забайкальская,CV,2023
2,2023-01-01 07:40:00,Забайкальская,CV,2023
2,2023-01-01 13:10:00,Восточно-Сибирская,CV,2023
2,2023-01-01 16:42:00,Дальневосточная,CV,2023
2,2023-01-01 19:55:00,Забайкальская,CV,2023
2,2023-01-01 22:55:00,Восточно-Сибирская,CV,2023
2,2023-02-01 14:41:00,Восточно-Сибирская,CV,2023
2,2023-02-01 19:42:00,Забайкальская,CV,2023
2,2023-04-01 01:51:00,Западно-Сибирская,CV,2023
2,2023-04-01 10:33:00,Восточно-Сибирская,CV,2023
2,2023-04-01 15:40:00,Восточно-Сибирская,CV,2023
2,2023-05-01 10:51:00,Восточно-Сибирская,CV,2023
2,2023-05-01 19:44:00,Восточно-Сибирская,CV,2023
2,2023-05-01 22:10:00,Восточно-Сибирская,CV,2023
2,2023-06-01 11:27:00,Красноярская,CV,2023
2,2023-06-01 21:20:00,Западно-Сибирская,CV,2023
2,2023-07-01 01:53:00,Октябрьская,CV,2023
2,2023-07-01 09:53:00,Восточно-Сибирская,CV,2023
2,2023-08-01 06:02:00,Горьковская,CV,2023
2,2023-08-01 18:37:00,Западно-Сибирская,CV,2023
2,2023-09-01 11:26:00,Южно-Уральская,CV,2023
2,2023-10-01 01:47:00,Забайкальская,CV,2023
2,2023-10-01 21:50:00,Восточно-Сибирская,CV,2023
2,2023-10-01 23:15:00,Западно-Сибирская,CV,2023
2,2023-11-01 07:00:00,Забайкальская,CV,2023
2,2023-11-01 18:44:00,Свердловская,CV,2023
2,2023-11-01 22:02:00,Западно-Сибирская,CV,2023
2,2023-12-01 17:57:00,Восточно-Сибирская,CV,2023
2,2023-01-13 02:39:00,Северная,CV,2023
2,2023-01-13 04:05:00,Восточно-Сибирская,CV,2023
2,2023-01-13 05:54:00,Московская,CV,2023
2,2023-01-13 08:19:00,Восточно-Сибирская,CV,2023
2,2023-01-13 10:34:00,Дальневосточная,CV,2023
2,2023-01-13 21:10:00,Восточно-Сибирская,CV,2023
2,2023-01-14 07:11:00,Восточно-Сибирская,CV,2023
2,2023-01-14 13:46:00,Восточно-Сибирская,CV,2023
2,2023-01-14 16:35:00,Восточно-Сибирская,CV,2023
2,2023-01-15 07:01:00,Восточно-Сибирская,CV,2023
2,2023-01-15 14:06:00,Свердловская,CV,2023
2,2023-01-15 15:49:00,Восточно-Сибирская,CV,2023
2,2023-01-16 02:22:00,Свердловская,CV,2023
2,2023-01-16 05:55:00,Восточно-Сибирская,CV,2023
2,2023-01-17 10:38:00,Восточно-Сибирская,CV,2023
2,2023-01-17 12:05:00,Дальневосточная,CV,2023
2,2023-01-18 00:31:00,Восточно-Сибирская,CV,2023
2,2023-01-18 02:45:00,Восточно-Сибирская,CV,2023
2,2023-01-18 04:25:00,Восточно-Сибирская,CV,2023
2,2023-01-18 08:00:00,Октябрьская,CV,2023
2,2023-01-18 11:36:00,Восточно-Сибирская,CV,2023
2,2023-01-18 18:25:00,Красноярская,CV,2023
2,2023-01-19 04:28:00,Восточно-Сибирская,CV,2023
2,2023-01-19 06:11:00,Восточно-Сибирская,CV,2023
2,2023-01-19 06:28:00,Восточно-Сибирская,CV,2023
2,2023-01-19 17:58:00,Восточно-Сибирская,CV,2023
2,2023-01-19 18:05:00,Красноярская,CV,2023
2,2023-01-19 22:40:00,Восточно-Сибирская,CV,2023
2,2023-01-20 07:10:00,Восточно-Сибирская,CV,2023
2,2023-01-21 12:45:00,Свердловская,CV,2023
2,2023-01-21 14:00:00,Октябрьская,CV,2023
