CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR
1,2023-01-22 22:46:00,Восточно-Сибирская,CSH,2023
1,2023-02-15 13:09:00,Восточно-Сибирская,CSH,2023
1,2023-02-18 08:34:00,Восточно-Сибирская,CSH,2023
1,2023-02-27 00:10:00,Восточно-Сибирская,CSH,2023
1,2023-02-27 12:32:00,Восточно-Сибирская,CSH,2023
1,2023-12-03 10:26:00,Восточно-Сибирская,CSH,2023
1,2023-03-30 21:15:00,Восточно-Сибирская,CSH,2023
1,2023-05-04 21:03:00,Восточно-Сибирская,CSH,2023
1,2023-04-20 04:24:00,Восточно-Сибирская,CSH,2023
1,2023-04-28 16:45:00,Восточно-Сибирская,CSH,2023
1,2023-04-05 14:42:00,Восточно-Сибирская,CSH,2023
1,2023-05-17 21:10:00,Восточно-Сибирская,CSH,2023
1,2023-05-19 19:09:00,Восточно-Сибирская,CSH,2023
1,2023-04-06 00:02:00,Восточно-Сибирская,CSH,2023
1,2023-07-06 14:26:00,Восточно-Сибирская,CSH,2023
1,2023-09-06 08:55:00,Восточно-Сибирская,CSH,2023
1,2023-06-20 14:32:00,Восточно-Сибирская,CSH,2023
1,2023-06-21 23:10:00,Восточно-Сибирская,CSH,2023
1,2023-06-26 04:29:00,Восточно-Сибирская,CSH,2023
1,2023-01-07 04:04:00,Восточно-Сибирская,CSH,2023
1,2023-05-07 20:09:00,Восточно-Сибирская,CSH,2023
1,2023-06-07 12:53:00,Восточно-Сибирская,CSH,2023
1,2023-09-07 20:19:00,Восточно-Сибирская,CSH,2023
1,2023-07-16 22:01:00,Восточно-Сибирская,CSH,2023
1,2023-07-17 08:27:00,Восточно-Сибирская,CSH,2023
1,2023-07-25 03:29:00,Восточно-Сибирская,CSH,2023
1,2023-07-26 10:33:00,Восточно-Сибирская,CSH,2023
1,2023-03-08 20:32:00,Восточно-Сибирская,CSH,2023
1,2023-05-08 00:48:00,Восточно-Сибирская,CSH,2023
1,2023-05-08 13:59:00,Восточно-Сибирская,CSH,2023
1,2023-09-08 21:19:00,Восточно-Сибирская,CSH,2023
1,2023-10-08 04:36:00,Восточно-Сибирская,CSH,2023
1,2023-08-21 14:05:00,Восточно-Сибирская,CSH,2023
1,2023-08-23 22:45:00,Восточно-Сибирская,CSH,2023
1,2023-08-29 17:13:00,Восточно-Сибирская,CSH,2023
1,2023-08-29 20:07:00,Восточно-Сибирская,CSH,2023
1,2023-03-09 00:20:00,Восточно-Сибирская,CSH,2023
1,2023-10-13 00:25:00,Восточно-Сибирская,CSH,2023
1,2023-10-15 04:38:00,Восточно-Сибирская,CSH,2023
1,2023-10-27 13:59:00,Восточно-Сибирская,CSH,2023
1,2023-10-31 17:26:00,Восточно-Сибирская,CSH,2023
1,2023-02-02 10:00:00,Восточно-Сибирская,CT,2023
1,2023-12-02 03:30:00,Восточно-Сибирская,CT,2023
1,2023-05-29 18:53:00,Восточно-Сибирская,CT,2023
1,2023-06-25 20:08:00,Восточно-Сибирская,CT,2023
1,2023-03-07 07:49:00,Восточно-Сибирская,CT,2023
1,2023-09-15 19:00:00,Восточно-Сибирская,CT,2023
1,2023-09-30 07:32:00,Восточно-Сибирская,CT,2023
1,2023-01-01 21:03:00,Восточно-Сибирская,CV,2023
1,2023-04-01 03:24:00,Восточно-Сибирская,CV,2023
1,2023-05-01 11:07:00,Восточно-Сибирская,CV,2023
1,2023-06-01 04:35:00,Восточно-Сибирская,CV,2023
1,2023-01-22 09:09:00,Восточно-Сибирская,CV,2023
1,2023-02-20 07:12:00,Восточно-Сибирская,CV,2023
1,2023-02-21 08:17:00,Восточно-Сибирская,CV,2023
1,2023-11-04 15:29:00,Восточно-Сибирская,CV,2023
1,2023-09-29 16:13:00,Восточно-Сибирская,CV,2023
