CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR
2,2023-01-01 18:05:00,Октябрьская,CSH,2023
2,2023-02-01 06:15:00,Октябрьская,CSH,2023
2,2023-03-01 01:01:00,Октябрьская,CSH,2023
2,2023-03-01 01:03:00,Октябрьская,CSH,2023
2,2023-04-01 23:42:00,Октябрьская,CSH,2023
2,2023-05-01 20:58:00,Октябрьская,CSH,2023
2,2023-06-01 14:35:00,Октябрьская,CSH,2023
2,2023-10-01 19:35:00,Октябрьская,CSH,2023
2,2023-11-01 00:08:00,Октябрьская,CSH,2023
2,2023-11-01 19:05:00,Октябрьская,CSH,2023
2,2023-12-01 17:22:00,Октябрьская,CSH,2023
2,2023-12-01 23:25:00,Октябрьская,CSH,2023
2,2023-01-13 14:30:00,Октябрьская,CSH,2023
2,2023-01-13 15:08:00,Октябрьская,CSH,2023
2,2023-01-13 21:34:00,Октябрьская,CSH,2023
2,2023-01-14 02:26:00,Октябрьская,CSH,2023
2,2023-01-16 17:14:00,Октябрьская,CSH,2023
2,2023-01-17 00:11:00,Октябрьская,CSH,2023
2,2023-01-17 08:16:00,Октябрьская,CSH,2023
2,2023-01-18 06:12:00,Октябрьская,CSH,2023
2,2023-01-19 05:48:00,Октябрьская,CSH,2023
2,2023-01-20 14:59:00,Октябрьская,CSH,2023
2,2023-01-22 06:20:00,Октябрьская,CSH,2023
2,2023-01-23 02:38:00,Октябрьская,CSH,2023
2,2023-01-24 01:00:00,Октябрьская,CSH,2023
2,2023-01-25 19:48:00,Октябрьская,CSH,2023
2,2023-01-26 16:50:00,Октябрьская,CSH,2023
2,2023-01-27 01:15:00,Октябрьская,CSH,2023
2,2023-01-28 01:57:00,Октябрьская,CSH,2023
2,2023-01-29 05:02:00,Октябрьская,CSH,2023
2,2023-01-29 08:18:00,Октябрьская,CSH,2023
2,2023-01-29 20:08:00,Октябрьская,CSH,2023
2,2023-02-02 06:39:00,Октябрьская,CSH,2023
2,2023-02-02 16:10:00,Октябрьская,CSH,2023
2,2023-03-02 06:26:00,Октябрьская,CSH,2023
2,2023-03-02 14:41:00,Октябрьская,CSH,2023
2,2023-03-02 18:30:00,Октябрьская,CSH,2023
2,2023-05-02 20:26:00,Октябрьская,CSH,2023
2,2023-06-02 05:55:00,Октябрьская,CSH,2023
2,2023-06-02 05:55:00,Октябрьская,CSH,2023
2,2023-06-02 16:13:00,Октябрьская,CSH,2023
2,2023-06-02 16:55:00,Октябрьская,CSH,2023
2,2023-08-02 09:10:00,Октябрьская,CSH,2023
2,2023-08-02 23:15:00,Октябрьская,CSH,2023
2,2023-09-02 01:23:00,Октябрьская,CSH,2023
2,2023-09-02 10:38:00,Октябрьская,CSH,2023
2,2023-10-02 22:35:00,Октябрьская,CSH,2023
2,2023-11-02 23:05:00,Октябрьская,CSH,2023
2,2023-02-13 04:10:00,Октябрьская,CSH,2023
2,2023-02-13 09:23:00,Октябрьская,CSH,2023
2,2023-02-14 08:40:00,Октябрьская,CSH,2023
2,2023-02-14 10:20:00,Октябрьская,CSH,2023
2,2023-02-15 06:01:00,Октябрьская,CSH,2023
2,2023-02-15 08:37:00,Октябрьская,CSH,2023
2,2023-02-16 10:38:00,Октябрьская,CSH,2023
2,2023-02-16 17:28:00,Октябрьская,CSH,2023
2,2023-02-16 21:05:00,Октябрьская,CSH,2023
2,2023-02-18 13:03:00,Октябрьская,CSH,2023
2,2023-02-20 13:52:00,Октябрьская,CSH,2023
2,2023-02-21 23:22:00,Октябрьская,CSH,2023
2,2023-02-22 06:16:00,Октябрьская,CSH,2023
2,2023-02-22 15:42:00,Октябрьская,CSH,2023
2,2023-02-22 20:04:00,Октябрьская,CSH,2023
2,2023-02-24 10:09:00,Октябрьская,CSH,2023
2,2023-02-24 15:37:00,Октябрьская,CSH,2023
2,2023-02-24 22:20:00,Октябрьская,CSH,2023
2,2023-02-25 19:38:00,Октябрьская,CSH,2023
2,2023-02-26 04:45:00,Октябрьская,CSH,2023
2,2023-02-27 06:05:00,Октябрьская,CSH,2023
2,2023-01-03 07:50:00,Октябрьская,CSH,2023
2,2023-02-03 03:01:00,Октябрьская,CSH,2023
2,2023-02-03 19:20:00,Октябрьская,CSH,2023
2,2023-02-03 23:20:00,Октябрьская,CSH,2023
2,2023-03-03 13:00:00,Октябрьская,CSH,2023
2,2023-04-03 14:06:00,Октябрьская,CSH,2023
2,2023-04-03 22:10:00,Октябрьская,CSH,2023
2,2023-05-03 15:53:00,Октябрьская,CSH,2023
2,2023-06-03 01:35:00,Октябрьская,CSH,2023
2,2023-07-03 03:33:00,Октябрьская,CSH,2023
2,2023-07-03 23:23:00,Октябрьская,CSH,2023
2,2023-10-03 05:16:00,Октябрьская,CSH,2023
2,2023-11-03 05:30:00,Октябрьская,CSH,2023
2,2023-11-03 16:35:00,Октябрьская,CSH,2023
2,2023-12-03 13:55:00,Октябрьская,CSH,2023
2,2023-03-14 17:40:00,Октябрьская,CSH,2023
2,2023-03-15 03:20:00,Октябрьская,CSH,2023
2,2023-03-16 18:48:00,Октябрьская,CSH,2023
2,2023-03-17 18:40:00,Октябрьская,CSH,2023
2,2023-03-18 08:30:00,Октябрьская,CSH,2023
2,2023-03-19 17:06:00,Октябрьская,CSH,2023
2,2023-03-21 05:07:00,Октябрьская,CSH,2023
2,2023-03-21 10:37:00,Октябрьская,CSH,2023
2,2023-03-21 13:16:00,Октябрьская,CSH,2023
2,2023-03-21 16:04:00,Октябрьская,CSH,2023
2,2023-03-22 12:41:00,Октябрьская,CSH,2023
2,2023-03-22 13:14:00,Октябрьская,CSH,2023
2,2023-03-23 05:51:00,Октябрьская,CSH,2023
2,2023-03-23 07:40:00,Октябрьская,CSH,2023
2,2023-03-24 13:05:00,Октябрьская,CSH,2023
2,2023-03-26 06:45:00,Октябрьская,CSH,2023
2,2023-03-26 12:02:00,Октябрьская,CSH,2023
2,2023-03-27 10:55:00,Октябрьская,CSH,2023
2,2023-03-27 16:10:00,Октябрьская,CSH,2023
2,2023-03-28 10:18:00,Октябрьская,CSH,2023
2,2023-03-28 15:50:00,Октябрьская,CSH,2023
2,2023-03-29 04:00:00,Октябрьская,CSH,2023
2,2023-03-30 10:13:00,Октябрьская,CSH,2023
2,2023-03-31 09:59:00,Октябрьская,CSH,2023
2,2023-03-31 13:50:00,Октябрьская,CSH,2023
2,2023-03-31 18:24:00,Октябрьская,CSH,2023
2,2023-02-04 11:57:00,Октябрьская,CSH,2023
2,2023-03-04 15:37:00,Октябрьская,CSH,2023
2,2023-04-04 03:15:00,Октябрьская,CSH,2023
2,2023-05-04 00:13:00,Октябрьская,CSH,2023
2,2023-05-04 13:24:00,Октябрьская,CSH,2023
2,2023-05-04 15:21:00,Октябрьская,CSH,2023
2,2023-06-04 05:47:00,Октябрьская,CSH,2023
2,2023-07-04 16:00:00,Октябрьская,CSH,2023
2,2023-07-04 16:43:00,Октябрьская,CSH,2023
2,2023-07-04 18:37:00,Октябрьская,CSH,2023
2,2023-07-04 22:14:00,Октябрьская,CSH,2023
