CATEGORY,START_TIME,ROAD,DEPARTMENT,YEAR
2,2024-02-01 20:07:00,Куйбышевская,CSH,2024
2,2024-08-01 00:11:00,Куйбышевская,CSH,2024
2,2024-08-01 23:26:00,Куйбышевская,CSH,2024
2,2024-01-18 16:28:00,Куйбышевская,CSH,2024
2,2024-02-20 12:00:00,Куйбышевская,CSH,2024
2,2024-02-29 06:40:00,Куйбышевская,CSH,2024
2,2024-02-29 16:30:00,Куйбышевская,CSH,2024
2,2024-02-29 20:58:00,Куйбышевская,CSH,2024
2,2024-02-29 23:40:00,Куйбышевская,CSH,2024
2,2024-03-31 18:18:00,Куйбышевская,CSH,2024
2,2024-04-19 11:54:00,Куйбышевская,CSH,2024
2,2024-04-22 16:41:00,Куйбышевская,CSH,2024
2,2024-04-27 18:36:00,Куйбышевская,CSH,2024
2,2024-04-30 12:48:00,Куйбышевская,CSH,2024
2,2024-05-31 04:58:00,Куйбышевская,CSH,2024
2,2024-05-31 17:27:00,Куйбышевская,CSH,2024
2,2024-05-31 20:08:00,Куйбышевская,CSH,2024
2,2024-06-29 23:50:00,Куйбышевская,CSH,2024
2,2024-06-30 00:00:00,Куйбышевская,CSH,2024
2,2024-06-30 03:39:00,Куйбышевская,CSH,2024
2,2024-06-30 06:05:00,Куйбышевская,CSH,2024
2,2024-06-30 08:32:00,Куйбышевская,CSH,2024
2,2024-06-30 19:08:00,Куйбышевская,CSH,2024
2,2024-07-23 00:19:00,Куйбышевская,CSH,2024
2,2024-07-30 19:20:00,Куйбышевская,CSH,2024
2,2024-07-31 07:52:00,Куйбышевская,CSH,2024
2,2024-07-31 14:20:00,Куйбышевская,CSH,2024
2,2024-07-31 14:28:00,Куйбышевская,CSH,2024
2,2024-07-31 14:55:00,Куйбышевская,CSH,2024
2,2024-07-31 15:15:00,Куйбышевская,CSH,2024
2,2024-08-31 16:04:00,Куйбышевская,CSH,2024
2,2024-08-31 17:31:00,Куйбышевская,CSH,2024
2,2024-08-31 17:32:00,Куйбышевская,CSH,2024
2,2024-08-31 20:31:00,Куйбышевская,CSH,2024
2,2024-08-31 21:30:00,Куйбышевская,CSH,2024
2,2024-09-30 19:40:00,Куйбышевская,CSH,2024
2,2024-11-10 19:35:00,Куйбышевская,CSH,2024
2,2024-10-28 14:04:00,Куйбышевская,CSH,2024
2,2024-10-29 01:19:00,Куйбышевская,CSH,2024
2,2024-10-30 14:57:00,Куйбышевская,CSH,2024
2,2024-10-31 05:15:00,Куйбышевская,CSH,2024
2,2024-04-11 06:08:00,Куйбышевская,CSH,2024
2,2024-11-29 09:35:00,Куйбышевская,CSH,2024
2,2024-11-30 02:30:00,Куйбышевская,CSH,2024
2,2024-11-30 23:00:00,Куйбышевская,CSH,2024
2,2024-11-30 23:50:00,Куйбышевская,CSH,2024
2,2024-12-15 16:52:00,Куйбышевская,CSH,2024
2,2024-12-26 15:20:00,Куйбышевская,CSH,2024
2,2024-12-26 17:03:00,Куйбышевская,CSH,2024
2,2024-12-27 00:55:00,Куйбышевская,CSH,2024
2,2024-12-27 12:02:00,Куйбышевская,CSH,2024
2,2024-12-28 09:40:00,Куйбышевская,CSH,2024
2,2024-12-28 10:52:00,Куйбышевская,CSH,2024
2,2024-12-28 18:08:00,Куйбышевская,CSH,2024
2,2024-12-28 23:02:00,Куйбышевская,CSH,2024
2,2024-10-01 21:56:00,Куйбышевская,CT,2024
